date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-11-17,307197,1261,0,4,612389415,2610585,0,615000000,4164248022000,17751978000,0,4182000000000,6800.0,,6800.0,6800.0,612389415.0,1397-08-26
2018-11-18,55,7,550,0,755381,64707,820088,0,5393420340,462007980,5855428320,0,7140.0,7140.0,7140.0,,-64707.0,1397-08-27
2018-11-19,76,2,873,4,1169379,80000,1243469,5910,8766834363,599760000,9322287093,44307270,7497.0,7497.0,7497.0,7497.0,-74090.0,1397-08-28
2018-11-20,142,12,1053,5,1468784,138919,1598293,9410,11560798864,1093431449,12580164203,74066110,7871.0,7871.0,7871.0,7871.0,-129509.0,1397-08-29
2018-11-21,353,11,2584,8,4047658,310000,4341059,16599,33449845712,2561840000,35874511576,137174136,8264.0,8264.0,8264.0,8264.0,-293401.0,1397-08-30
2018-11-24,7762,210,92018,399,105611354,87168552,191534526,1245380,915996121632,756170682342,1661361970030,10804833944,8673.273156141904,8673.955577231021,8674.810639759164,8675.933405065121,-85923172.0,1397-09-03
2018-11-26,8594,88,97057,170,87220820,122525445,208685838,1060427,738354762740,1040048828755,1769298391414,9105200081,8465.349932963254,8478.286827561342,8488.431351993866,8586.352555149953,-121465018.0,1397-09-05
2018-11-27,5932,32,30126,94,47411725,38302402,83269083,2445044,403822473533,326047189986,708910766601,20958896918,8517.354589671648,8513.493136474193,8512.447600179226,8571.991717940455,-35857358.0,1397-09-06
2018-11-28,2725,18,9654,47,17516064,14907913,29342260,3081717,149265135418,126679075128,249664247786,26279962760,8521.613954938735,8508.691824896923,8497.43858365688,8527.701524831775,-11826196.0,1397-09-07
2018-12-01,2759,31,12055,51,21961126,25103906,46231812,833220,178357063039,203930017879,375542838612,6744242306,8121.4899017017615,8123.039577423442,8123.4377582118095,8094.191577254506,-24270686.0,1397-09-10
2018-12-02,1505,19,6392,56,13744570,7582998,20456691,870877,113119392943,62810964785,168715161379,7215196349,8230.115088576798,8247.431677928753,8283.13086525936,8284.977498544571,-6712121.0,1397-09-11
