date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-30,1,1,2,1,14859,10,14859,10,12169521,7980,12169521,7980,819.0,819.0,798.0,798.0,0.0,1387-09-10
2008-12-13,1,1,2,0,10000,12511,22511,0,7750000,9696025,17446025,0,775.0,775.0,775.0,,-12511.0,1387-09-23
2008-12-14,2,0,2,0,12438,0,12438,0,9456308,0,9456308,0,760.2756070107735,760.2756070107735,,,0.0,1387-09-24
2008-12-15,3,0,2,0,44011,0,44011,0,33928459,0,33928459,0,770.908613755652,770.908613755652,,,0.0,1387-09-25
2008-12-20,4,1,1,0,13009,1991,15000,0,9931347,1515151,11446498,0,763.4212468291183,763.0998666666667,761.0,,-1991.0,1387-09-30
2008-12-27,3,1,1,0,2110,1249,3359,0,1605550,950489,2556039,0,760.9241706161138,760.9523667758261,761.0,,-1249.0,1387-10-07
2009-01-03,1,0,3,0,12497,0,12497,0,9497720,0,9497720,0,760.0,760.0,,,0.0,1387-10-14
2009-01-10,3,0,4,0,31528,0,31528,0,23915664,0,23915664,0,758.5531590966759,758.5531590966759,,,0.0,1387-10-21
2009-01-12,3,0,3,0,17486,0,17486,0,13242954,0,13242954,0,757.3461054557932,757.3461054557932,,,0.0,1387-10-23
2009-01-14,1,0,1,0,4252,0,4252,0,3240024,0,3240024,0,762.0,762.0,,,0.0,1387-10-25
2009-01-17,4,0,1,0,6493,0,6493,0,4943443,0,4943443,0,761.349607269367,761.349607269367,,,0.0,1387-10-28
2009-01-18,1,0,1,0,6288,0,6288,0,4973808,0,4973808,0,791.0,791.0,,,0.0,1387-10-29
2009-01-19,5,0,2,0,132522,0,132522,0,104752380,0,104752380,0,790.4527550142618,790.4527550142618,,,0.0,1387-10-30
2009-01-20,2,0,2,1,17279,0,9396,7883,13911292,0,7557594,6353698,805.0982117020661,804.3416347381865,,806.0,7883.0,1387-11-01
2009-01-24,1,0,0,1,1220,0,0,1220,982100,0,0,982100,805.0,,,805.0,1220.0,1387-11-05
2009-01-26,3,0,1,0,9010,0,9010,0,6879560,0,6879560,0,763.5471698113207,763.5471698113207,,,0.0,1387-11-07
2009-01-27,1,0,1,0,1580,0,1580,0,1203960,0,1203960,0,762.0,762.0,,,0.0,1387-11-08
2009-01-31,1,0,1,0,2110,0,2110,0,1607820,0,1607820,0,762.0,762.0,,,0.0,1387-11-12
2009-02-09,1,0,1,0,65000,0,65000,0,49530000,0,49530000,0,762.0,762.0,,,0.0,1387-11-21
2009-02-11,4,0,2,1,70106,0,70016,90,52859924,0,52792064,67860,754.0,754.0,,754.0,90.0,1387-11-23
2009-02-17,1,0,10,2,49650,0,41650,8000,37731524,0,31763524,5968000,759.9501309164149,762.6296278511404,,746.0,8000.0,1387-11-29
2009-04-07,3,0,1,1,18500,0,13500,5000,11640000,0,8640000,3000000,629.1891891891892,640.0,,600.0,5000.0,1388-01-18
2009-04-08,2,0,2,0,409600,0,409600,0,257484800,0,257484800,0,628.625,628.625,,,0.0,1388-01-19
2009-04-11,2,0,2,0,15639,0,15639,0,10118433,0,10118433,0,647.0,647.0,,,0.0,1388-01-22
2009-04-12,1,0,2,0,4857,0,4857,0,3147336,0,3147336,0,648.0,648.0,,,0.0,1388-01-23
2009-04-14,1,0,1,0,5825,0,5825,0,3774600,0,3774600,0,648.0,648.0,,,0.0,1388-01-25
2009-04-15,1,0,1,0,5785,0,5785,0,3754465,0,3754465,0,649.0,649.0,,,0.0,1388-01-26
2009-04-19,3,0,4,0,12107,0,12107,0,7869550,0,7869550,0,650.0,650.0,,,0.0,1388-01-30
2009-04-20,5,0,1,0,98340,0,98340,0,64019340,0,64019340,0,651.0,651.0,,,0.0,1388-01-31
2009-04-22,3,0,1,0,13100,0,13100,0,8659100,0,8659100,0,661.0,661.0,,,0.0,1388-02-02
2009-04-25,3,0,1,0,46243,0,46243,0,30505408,0,30505408,0,659.6762320783686,659.6762320783686,,,0.0,1388-02-05
2009-04-26,3,0,1,0,19000,0,19000,0,12654000,0,12654000,0,666.0,666.0,,,0.0,1388-02-06
2009-04-27,11,0,2,0,91000,0,91000,0,60471764,0,60471764,0,664.5248791208792,664.5248791208792,,,0.0,1388-02-07
2009-04-29,2,0,2,0,88543,0,88543,0,59686998,0,59686998,0,674.1018262313227,674.1018262313227,,,0.0,1388-02-09
2009-05-02,2,0,1,0,11467,0,11467,0,7831961,0,7831961,0,683.0,683.0,,,0.0,1388-02-12
2009-05-05,3,0,3,0,10801,0,10801,0,7387847,0,7387847,0,683.9965743912601,683.9965743912601,,,0.0,1388-02-15
2009-05-09,4,0,7,0,62914,0,62914,0,43055702,0,43055702,0,684.358044314461,684.358044314461,,,0.0,1388-02-19
2009-05-10,1,0,0,1,185,0,0,185,128020,0,0,128020,692.0,,,692.0,185.0,1388-02-20
2009-05-11,4,0,3,0,23126,0,23126,0,16003192,0,16003192,0,692.0,692.0,,,0.0,1388-02-21
2009-05-13,5,0,6,0,40131,0,40131,0,27850914,0,27850914,0,694.0,694.0,,,0.0,1388-02-23
2009-05-16,3,0,2,0,4309,0,4309,0,3007682,0,3007682,0,698.0,698.0,,,0.0,1388-02-26
2009-05-18,3,0,2,0,12465,0,12465,0,8207780,0,8207780,0,658.466105094264,658.466105094264,,,0.0,1388-02-28
2009-05-19,2,0,3,0,2031,0,2031,0,1353925,0,1353925,0,666.6297390448055,666.6297390448055,,,0.0,1388-02-29
2009-05-20,2,0,2,1,8768,0,7210,1558,5763692,0,4736970,1026722,657.3553832116788,657.0,,659.0,1558.0,1388-02-30
2009-05-23,1,0,4,0,33262,0,33262,0,23074070,0,23074070,0,693.7066321928928,693.7066321928928,,,0.0,1388-03-02
2009-05-24,2,0,2,0,26738,0,26738,0,18689862,0,18689862,0,699.0,699.0,,,0.0,1388-03-03
2009-06-15,1,0,1,0,539,0,539,0,350350,0,350350,0,650.0,650.0,,,0.0,1388-03-25
2009-06-17,2,0,2,0,2043070,0,2043070,0,1330038570,0,1330038570,0,651.0,651.0,,,0.0,1388-03-27
2009-06-20,3,0,3,0,28324,0,28324,0,18665878,0,18665878,0,659.0127806806948,659.0127806806948,,,0.0,1388-03-30
2009-06-21,3,0,2,0,69062,0,69062,0,45018424,0,45018424,0,651.8552025716024,651.8552025716024,,,0.0,1388-03-31
2009-06-22,1,0,1,0,5000,0,5000,0,3270000,0,3270000,0,654.0,654.0,,,0.0,1388-04-01
2009-06-23,5,0,3,0,72696,0,72696,0,47625880,0,47625880,0,655.1375591504346,655.1375591504346,,,0.0,1388-04-02
2009-06-24,2,0,2,0,5363,0,5363,0,3485950,0,3485950,0,650.0,650.0,,,0.0,1388-04-03
2009-06-27,9,0,5,0,582336,0,582336,0,372801900,0,372801900,0,640.1835023079459,640.1835023079459,,,0.0,1388-04-06
2009-06-28,1,0,3,0,48000,0,48000,0,30940515,0,30940515,0,644.5940625,644.5940625,,,0.0,1388-04-07
2009-06-29,4,0,1,0,14743,0,14743,0,9368950,0,9368950,0,635.4846367767755,635.4846367767755,,,0.0,1388-04-08
2009-07-04,4,1,4,1,11485,1226975,11485,1226975,7580100,789127760,7580100,789127760,660.0,660.0,643.1490128160721,643.1490128160721,0.0,1388-04-13
2009-07-05,2,0,2,0,20900,0,20900,0,13784970,0,13784970,0,659.567942583732,659.567942583732,,,0.0,1388-04-14
2009-07-07,1,0,1,0,703,0,703,0,463980,0,463980,0,660.0,660.0,,,0.0,1388-04-16
2009-07-12,2,1,4,0,92992,10000,102992,0,61512408,6640000,68152408,0,661.4806434962147,661.7252602143856,664.0,,-10000.0,1388-04-21
2009-07-19,1,1,7,0,10000,50000,60000,0,7000000,35000000,42000000,0,700.0,700.0,700.0,,-50000.0,1388-04-28
2009-07-21,1,0,2,0,11000,0,11000,0,7469000,0,7469000,0,679.0,679.0,,,0.0,1388-04-30
2009-07-22,2,0,3,0,12768,0,12768,0,8669472,0,8669472,0,679.0,679.0,,,0.0,1388-04-31
2009-08-02,1,0,1,0,10000,0,10000,0,6780000,0,6780000,0,678.0,678.0,,,0.0,1388-05-11
2009-08-15,0,1,1,0,0,5000,5000,0,0,3385000,3385000,0,,677.0,677.0,,-5000.0,1388-05-24
2009-08-18,2,0,3,1,70000,0,30000,40000,47320000,0,20280000,27040000,676.0,676.0,,676.0,40000.0,1388-05-27
2009-08-30,1,0,1,0,4461,0,4461,0,2984409,0,2984409,0,669.0,669.0,,,0.0,1388-06-08
2009-09-02,2,0,1,0,21613,0,21613,0,14459097,0,14459097,0,669.0,669.0,,,0.0,1388-06-11
2010-03-28,1,0,2,0,2,0,2,0,1356,0,1356,0,678.0,678.0,,,0.0,1389-01-08
2010-04-03,1,0,1,0,205,0,205,0,138990,0,138990,0,678.0,678.0,,,0.0,1389-01-14
2010-04-04,1,0,1,0,100,0,100,0,67800,0,67800,0,678.0,678.0,,,0.0,1389-01-15
2010-04-06,2,0,1,0,24466,0,24466,0,16587948,0,16587948,0,678.0,678.0,,,0.0,1389-01-17
2010-04-07,3,0,1,0,20000,0,20000,0,13640000,0,13640000,0,682.0,682.0,,,0.0,1389-01-18
2010-04-10,1,0,1,0,10000,0,10000,0,6840000,0,6840000,0,684.0,684.0,,,0.0,1389-01-21
2010-04-11,1,0,1,0,6500,0,6500,0,4452500,0,4452500,0,685.0,685.0,,,0.0,1389-01-22
2010-04-12,1,0,2,0,1067,0,1067,0,731962,0,731962,0,686.0,686.0,,,0.0,1389-01-23
2010-04-13,1,0,2,0,6063,0,6063,0,4159218,0,4159218,0,686.0,686.0,,,0.0,1389-01-24
2010-04-14,2,0,2,0,26176,0,26176,0,17982912,0,17982912,0,687.0,687.0,,,0.0,1389-01-25
2010-04-17,9,0,4,0,110517,0,110517,0,76256730,0,76256730,0,690.0,690.0,,,0.0,1389-01-28
2010-04-18,8,0,3,1,200396,0,25396,175000,140878388,0,17853388,123025000,703.0,703.0,,703.0,175000.0,1389-01-29
2010-04-19,17,0,2,1,192713,0,27713,165000,140102351,0,20147351,119955000,727.0,727.0,,727.0,165000.0,1389-01-30
2010-04-20,13,0,7,1,243233,0,183233,60000,182911216,0,137791216,45120000,752.0,752.0,,752.0,60000.0,1389-01-31
2010-04-21,14,0,2,1,229579,0,29579,200000,178612462,0,23012462,155600000,778.0,778.0,,778.0,200000.0,1389-02-01
2010-04-24,5,0,3,0,67000,0,67000,0,53935000,0,53935000,0,805.0,805.0,,,0.0,1389-02-04
2010-04-25,5,0,4,1,174643,0,28440,146203,142159402,0,23150160,119009242,814.0,814.0,,814.0,146203.0,1389-02-05
2010-04-26,4,0,4,0,45989,0,45989,0,38630760,0,38630760,0,840.0,840.0,,,0.0,1389-02-06
2010-04-27,2,0,3,0,14124,0,14124,0,11963028,0,11963028,0,847.0,847.0,,,0.0,1389-02-07
2010-04-28,3,0,3,0,13795,0,13795,0,11711955,0,11711955,0,849.0,849.0,,,0.0,1389-02-08
