date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-12,2,0,3,0,197400,0,197400,0,117352600,0,117352600,0,594.4913880445795,594.4913880445795,,,0.0,1392-08-21
2013-12-11,2,0,3,0,66500,0,66500,0,37422000,0,37422000,0,562.7368421052631,562.7368421052631,,,0.0,1392-09-20
2013-12-22,7,0,5,0,144035,0,144035,0,96590529,0,96590529,0,670.6045683340855,670.6045683340855,,,0.0,1392-10-01
2013-12-25,6,0,9,0,128375,0,128375,0,95036260,0,95036260,0,740.3019279454722,740.3019279454722,,,0.0,1392-10-04
2014-01-01,8,1,7,1,288274,145000,418274,15000,228093956,116000000,332093956,12000000,791.2401257137307,793.9627038735374,800.0,800.0,-130000.0,1392-10-11
2014-01-04,4,0,2,1,265390,0,215390,50000,212312000,0,172312000,40000000,800.0,800.0,,800.0,50000.0,1392-10-14
2014-01-08,14,1,13,2,591645,48065,529799,109911,507436950,38452000,456960150,88928800,857.6713231752149,862.5160674142458,800.0,809.0982704187934,61846.0,1392-10-18
2014-01-13,7,0,10,1,232037,0,212037,20000,207838800,0,189838800,18000000,895.7140456047958,895.3097808401363,,900.0,20000.0,1392-10-23
2014-01-15,8,0,7,0,260110,0,260110,0,247863000,0,247863000,0,952.9160739687056,952.9160739687056,,,0.0,1392-10-25
2014-01-21,4,0,3,0,78818,0,78818,0,71701200,0,71701200,0,909.7059047425716,909.7059047425716,,,0.0,1392-11-01
2014-01-28,8,0,13,0,298256,0,298256,0,245918520,0,245918520,0,824.5216190118556,824.5216190118556,,,0.0,1392-11-08
2014-01-29,2,0,1,0,28,0,28,0,22960,0,22960,0,820.0,820.0,,,0.0,1392-11-09
2014-02-01,5,0,9,0,314179,0,314179,0,236242500,0,236242500,0,751.935998268503,751.935998268503,,,0.0,1392-11-12
2014-02-02,1,0,1,0,5000,0,5000,0,4350000,0,4350000,0,870.0,870.0,,,0.0,1392-11-13
2014-02-03,5,0,10,0,360418,0,360418,0,293384400,0,293384400,0,814.011508859158,814.011508859158,,,0.0,1392-11-14
2014-02-05,5,0,3,0,62156,0,62156,0,51443250,0,51443250,0,827.6473711307034,827.6473711307034,,,0.0,1392-11-16
2014-02-17,9,0,8,0,163739,0,163739,0,111732436,0,111732436,0,682.3813263791766,682.3813263791766,,,0.0,1392-11-28
2014-02-18,6,0,6,0,165614,0,165614,0,111719980,0,111719980,0,674.5805306314684,674.5805306314684,,,0.0,1392-11-29
2014-02-19,1,0,2,0,27000,0,27000,0,19223000,0,19223000,0,711.9629629629629,711.9629629629629,,,0.0,1392-11-30
2014-02-23,3,1,5,1,105550,19500,105050,20000,71999045,15385500,73704545,13680000,682.1321174798674,701.6139457401238,789.0,684.0,500.0,1392-12-04
2014-02-26,5,1,5,0,221284,137400,358684,0,151127272,96042600,247169872,0,682.9561649283274,689.1020285265024,699.0,,-137400.0,1392-12-07
2014-03-02,3,0,4,0,57701,0,57701,0,42730050,0,42730050,0,740.54262491118,740.54262491118,,,0.0,1392-12-11
2014-03-04,1,1,1,1,5,40000,5,40000,3750,29640000,3750,29640000,750.0,750.0,741.0,741.0,0.0,1392-12-13
2014-03-05,3,0,2,0,185720,0,185720,0,123822560,0,123822560,0,666.7163471893173,666.7163471893173,,,0.0,1392-12-14
2014-03-09,3,0,3,0,77853,0,77853,0,50922790,0,50922790,0,654.0889882213916,654.0889882213916,,,0.0,1392-12-18
2014-03-10,2,0,2,0,59995,0,59995,0,36056995,0,36056995,0,601.0,601.0,,,0.0,1392-12-19
2014-03-11,5,0,3,1,168710,0,58710,110000,86549575,0,30549020,56000555,513.0079722600913,520.3375915516948,,509.09595454545456,110000.0,1392-12-20
2014-03-25,6,0,7,0,228165,0,228165,0,119862450,0,119862450,0,525.3323252909079,525.3323252909079,,,0.0,1393-01-05
2014-03-26,1,0,1,0,11815,0,11815,0,5434900,0,5434900,0,460.0,460.0,,,0.0,1393-01-06
2014-03-29,1,0,3,0,163240,0,163240,0,91261160,0,91261160,0,559.0612594952217,559.0612594952217,,,0.0,1393-01-09
2014-03-30,3,0,3,0,124900,0,124900,0,71902351,0,71902351,0,575.679351481185,575.679351481185,,,0.0,1393-01-10
2014-03-31,2,0,2,0,30000,0,30000,0,18000000,0,18000000,0,600.0,600.0,,,0.0,1393-01-11
2014-04-05,4,0,3,0,90563,0,90563,0,52715280,0,52715280,0,582.0840740699845,582.0840740699845,,,0.0,1393-01-16
2014-04-06,1,0,1,0,9990,0,9990,0,5794200,0,5794200,0,580.0,580.0,,,0.0,1393-01-17
2014-04-07,6,0,3,0,174010,0,174010,0,98293960,0,98293960,0,564.8753519912649,564.8753519912649,,,0.0,1393-01-18
2014-04-08,1,0,1,0,5,0,5,0,2900,0,2900,0,580.0,580.0,,,0.0,1393-01-19
2014-04-09,10,0,9,0,386966,0,386966,0,206895315,0,206895315,0,534.6601897841153,534.6601897841153,,,0.0,1393-01-20
2014-04-12,1,0,1,0,235,0,235,0,111860,0,111860,0,476.0,476.0,,,0.0,1393-01-23
2014-04-13,1,0,3,0,65841,0,65841,0,33249705,0,33249705,0,505.0,505.0,,,0.0,1393-01-24
2014-04-14,2,0,2,0,147000,0,147000,0,74570000,0,74570000,0,507.2789115646258,507.2789115646258,,,0.0,1393-01-25
2014-04-15,4,0,5,0,89193,0,89193,0,45839623,0,45839623,0,513.9374502483379,513.9374502483379,,,0.0,1393-01-26
2014-04-19,2,0,2,0,45000,0,45000,0,23882000,0,23882000,0,530.7111111111111,530.7111111111111,,,0.0,1393-01-30
2014-04-20,5,0,2,0,76000,0,76000,0,39960000,0,39960000,0,525.7894736842105,525.7894736842105,,,0.0,1393-01-31
2014-04-21,2,0,2,0,38714,0,38714,0,20620134,0,20620134,0,532.6273182827917,532.6273182827917,,,0.0,1393-02-01
2014-04-26,6,0,4,0,36940,0,36940,0,19743886,0,19743886,0,534.4852734163509,534.4852734163509,,,0.0,1393-02-06
2014-04-27,5,0,5,0,58177,0,58177,0,31438864,0,31438864,0,540.4002268937896,540.4002268937896,,,0.0,1393-02-07
2014-04-28,1,0,1,0,4450,0,4450,0,2376300,0,2376300,0,534.0,534.0,,,0.0,1393-02-08
2014-04-29,1,0,1,0,7000,0,7000,0,3780000,0,3780000,0,540.0,540.0,,,0.0,1393-02-09
2014-05-04,1,0,1,0,5685,0,5685,0,3155175,0,3155175,0,555.0,555.0,,,0.0,1393-02-14
2014-05-05,3,0,2,0,37000,0,37000,0,20210000,0,20210000,0,546.2162162162163,546.2162162162163,,,0.0,1393-02-15
2014-05-06,3,0,8,0,196450,0,196450,0,114220550,0,114220550,0,581.4230083990838,581.4230083990838,,,0.0,1393-02-16
2014-05-07,1,0,1,0,1000,0,1000,0,595000,0,595000,0,595.0,595.0,,,0.0,1393-02-17
2014-05-10,3,0,3,0,245000,0,245000,0,146535000,0,146535000,0,598.1020408163265,598.1020408163265,,,0.0,1393-02-20
2014-05-11,5,0,5,0,64651,0,64651,0,38798266,0,38798266,0,600.1185751187144,600.1185751187144,,,0.0,1393-02-21
2014-05-12,7,0,7,0,120005,0,120005,0,74425350,0,74425350,0,620.1854089412941,620.1854089412941,,,0.0,1393-02-22
2014-05-14,3,0,3,0,74277,0,74277,0,46219610,0,46219610,0,622.2600535832088,622.2600535832088,,,0.0,1393-02-24
2014-05-17,5,0,7,0,72520,0,72520,0,47148000,0,47148000,0,650.1378929950358,650.1378929950358,,,0.0,1393-02-27
2014-05-18,7,0,8,0,137854,0,137854,0,88460310,0,88460310,0,641.6956345118749,641.6956345118749,,,0.0,1393-02-28
2014-05-19,6,0,9,0,133143,0,133143,0,95084810,0,95084810,0,714.1555320219613,714.1555320219613,,,0.0,1393-02-29
2014-05-20,5,0,8,0,77345,0,77345,0,60983125,0,60983125,0,788.4559441463572,788.4559441463572,,,0.0,1393-02-30
2014-05-21,17,0,7,0,477225,0,477225,0,392222800,0,392222800,0,821.8823406150138,821.8823406150138,,,0.0,1393-02-31
2014-05-24,8,0,4,0,376835,0,376835,0,295991300,0,295991300,0,785.4665835179853,785.4665835179853,,,0.0,1393-03-03
