date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,0,1,1,2135,0,1135,1000,6699630,0,3561630,3138000,3138.0,3138.0,,3138.0,1000.0,1387-09-06
2008-11-29,1,1,1,1,3424,10,3424,10,11066368,31410,11066368,31410,3232.0,3232.0,3141.0,3141.0,0.0,1387-09-09
2008-11-30,2,0,1,1,5112,0,4112,1000,16537320,0,13302320,3235000,3235.0,3235.0,,3235.0,1000.0,1387-09-10
2008-12-01,34,2,16,4,217946,58224,161992,114178,726154268,194002358,539731944,380424682,3331.808191019794,3331.843202133439,3331.999828249519,3331.8562420080925,55954.0,1387-09-11
2008-12-02,3,1,5,1,3895,10,3895,10,12655600,33280,12655600,33280,3249.191270860077,3249.191270860077,3328.0,3328.0,0.0,1387-09-12
2008-12-03,1,1,2,1,10000,10,10000,10,32290000,33200,32290000,33200,3229.0,3229.0,3320.0,3320.0,0.0,1387-09-13
2008-12-20,8,0,14,0,68543,0,68543,0,220777013,0,220777013,0,3221.0001458938186,3221.0001458938186,,,0.0,1387-09-30
2008-12-21,6,0,6,0,7577,0,7577,0,24929072,0,24929072,0,3290.097927939818,3290.097927939818,,,0.0,1387-10-01
2008-12-22,4,0,4,0,22227,0,22227,0,71176031,0,71176031,0,3202.2329149232914,3202.2329149232914,,,0.0,1387-10-02
2008-12-23,2,0,2,0,2140,0,2140,0,6843280,0,6843280,0,3197.7943925233644,3197.7943925233644,,,0.0,1387-10-03
2008-12-24,4,0,4,1,33169,0,23169,10000,111146319,0,77636319,33510000,3350.9095541017214,3350.870516638612,,3351.0,10000.0,1387-10-04
2008-12-27,3,0,3,1,9565,0,8080,1485,31989140,0,27029240,4959900,3344.3951907997907,3345.20297029703,,3340.0,1485.0,1387-10-07
2008-12-28,2,0,3,1,6031,0,4636,1395,20202912,0,15529662,4673250,3349.8444702371085,3349.797670405522,,3350.0,1395.0,1387-10-08
2008-12-29,2,0,2,1,25625,0,12020,13605,85610710,0,40083960,45526750,3340.905756097561,3334.7720465890184,,3346.324880558618,13605.0,1387-10-09
2008-12-30,1,0,1,0,909,0,909,0,2964249,0,2964249,0,3261.0,3261.0,,,0.0,1387-10-10
2008-12-31,1,0,2,0,2608,0,2608,0,8535208,0,8535208,0,3272.70245398773,3272.70245398773,,,0.0,1387-10-11
2009-01-03,2,0,2,0,12000,0,12000,0,38400000,0,38400000,0,3200.0,3200.0,,,0.0,1387-10-14
2009-01-21,14,0,7,2,88816,0,28814,60002,239364108,0,77888597,161475511,2695.056161052062,2703.1511418060663,,2691.168811039632,60002.0,1387-11-02
2009-01-24,2,1,4,0,13085,7031,20116,0,35170360,18386065,53556425,0,2687.8379824226213,2662.379449194671,2615.0,,-7031.0,1387-11-05
2009-01-26,1,0,1,0,10000,0,10000,0,26110000,0,26110000,0,2611.0,2611.0,,,0.0,1387-11-07
2009-01-27,1,0,1,0,100,0,100,0,260600,0,260600,0,2606.0,2606.0,,,0.0,1387-11-08
2009-03-17,2,1,19,2,20000,7106311,144786,6981525,52120000,18519046466,377312316,18193854150,2606.0,2606.0,2606.0,2606.0,-124786.0,1387-12-27
2009-04-05,1,0,1,0,500,0,500,0,1264000,0,1264000,0,2528.0,2528.0,,,0.0,1388-01-16
2009-04-06,1,0,1,0,2,0,2,0,5056,0,5056,0,2528.0,2528.0,,,0.0,1388-01-17
2009-04-08,2,0,2,0,8000,0,8000,0,20224000,0,20224000,0,2528.0,2528.0,,,0.0,1388-01-19
2009-04-22,1,0,1,0,1770,0,1770,0,4467480,0,4467480,0,2524.0,2524.0,,,0.0,1388-02-02
2009-04-26,3,0,10,1,103970,0,53660,50310,262316310,0,135384180,126932130,2523.0,2523.0,,2523.0,50310.0,1388-02-06
2009-04-27,21,2,8,3,140899,2150690,38999,2252590,350257328,5321405460,97914128,5573748660,2485.875187190825,2510.683043154953,2474.278236286959,2474.373348012732,101900.0,1388-02-07
2009-04-28,2,0,0,1,50000,0,0,50000,127450000,0,0,127450000,2549.0,,,2549.0,50000.0,1388-02-08
2009-04-29,5,0,3,1,11808,0,10915,893,30245631,0,27948835,2296796,2561.4524898373984,2560.5895556573523,,2572.0,893.0,1388-02-09
2009-05-02,1,0,2,0,10000,0,10000,0,25000000,0,25000000,0,2500.0,2500.0,,,0.0,1388-02-12
2009-05-04,7,0,2,1,23757,0,20000,3757,57699696,0,48577700,9121996,2428.7450435661067,2428.885,,2428.0,3757.0,1388-02-14
2009-05-06,1,0,1,0,3000,0,3000,0,7254000,0,7254000,0,2418.0,2418.0,,,0.0,1388-02-16
2009-05-10,1,0,1,0,148,0,148,0,357716,0,357716,0,2417.0,2417.0,,,0.0,1388-02-20
2009-05-24,1,0,3,0,10000,0,10000,0,20195990,0,20195990,0,2019.599,2019.599,,,0.0,1388-03-03
2009-05-25,1,0,4,0,9662,0,9662,0,18937520,0,18937520,0,1960.0,1960.0,,,0.0,1388-03-04
2009-05-26,2,0,5,0,81000,0,81000,0,158436000,0,158436000,0,1956.0,1956.0,,,0.0,1388-03-05
2009-05-27,2,0,9,0,51569,0,51569,0,99464465,0,99464465,0,1928.7646648180107,1928.7646648180107,,,0.0,1388-03-06
2009-05-30,2,0,3,0,9072,0,9072,0,17318448,0,17318448,0,1909.0,1909.0,,,0.0,1388-03-09
2009-05-31,3,0,0,1,1020000,0,0,1020000,1968600000,0,0,1968600000,1930.0,,,1930.0,1020000.0,1388-03-10
2009-06-02,2,0,6,0,36138,0,36138,0,67689461,0,67689461,0,1873.082655376612,1873.082655376612,,,0.0,1388-03-12
2009-06-03,1,0,0,1,340000,0,0,340000,656200000,0,0,656200000,1930.0,,,1930.0,340000.0,1388-03-13
