date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-12-25,1,0,1,0,50,0,50,0,50000,0,50000,0,1000.0,1000.0,,,0.0,1392-10-04
2014-01-29,1,0,1,0,11408,0,11408,0,27379200,0,27379200,0,2400.0,2400.0,,,0.0,1392-11-09
2014-02-17,1,0,1,0,810,0,810,0,2025810,0,2025810,0,2501.0,2501.0,,,0.0,1392-11-28
2014-02-18,1,0,1,0,1000,0,1000,0,2502000,0,2502000,0,2502.0,2502.0,,,0.0,1392-11-29
2014-02-23,1,0,1,0,1000,0,1000,0,2503000,0,2503000,0,2503.0,2503.0,,,0.0,1392-12-04
2014-02-26,2,0,2,0,2833,0,2833,0,7094832,0,7094832,0,2504.3529827038474,2504.3529827038474,,,0.0,1392-12-07
2014-03-02,2,0,2,0,6810,0,6810,0,18829050,0,18829050,0,2764.911894273128,2764.911894273128,,,0.0,1392-12-11
2014-03-29,2,0,3,0,18687,0,18687,0,50930935,0,50930935,0,2725.474126398031,2725.474126398031,,,0.0,1393-01-09
2014-04-07,1,0,1,0,240,0,240,0,602400,0,602400,0,2510.0,2510.0,,,0.0,1393-01-18
2014-04-08,1,0,1,0,26411,0,26411,0,66291610,0,66291610,0,2510.0,2510.0,,,0.0,1393-01-19
2014-05-19,1,0,1,0,12000,0,12000,0,30168000,0,30168000,0,2514.0,2514.0,,,0.0,1393-02-29
2014-06-25,1,0,1,0,7800,0,7800,0,19929000,0,19929000,0,2555.0,2555.0,,,0.0,1393-04-04
2014-06-30,2,0,1,0,10000,0,10000,0,25563000,0,25563000,0,2556.3,2556.3,,,0.0,1393-04-09
2014-07-20,1,0,1,0,1666,0,1666,0,4998000,0,4998000,0,3000.0,3000.0,,,0.0,1393-04-29
2014-07-27,1,0,1,0,24737,0,24737,0,74235737,0,74235737,0,3001.0,3001.0,,,0.0,1393-05-05
2014-08-02,1,0,1,0,2000,0,2000,0,6002000,0,6002000,0,3001.0,3001.0,,,0.0,1393-05-11
2014-08-04,2,0,2,0,4241,0,4241,0,12276241,0,12276241,0,2894.657156331054,2894.657156331054,,,0.0,1393-05-13
2014-08-19,9,0,4,0,36106,0,36106,0,108919986,0,108919986,0,3016.672741372625,3016.672741372625,,,0.0,1393-05-28
2014-08-31,2,0,5,1,7980,0,7930,50,23940000,0,23790000,150000,3000.0,3000.0,,3000.0,50.0,1393-06-09
2014-09-06,2,0,2,0,4210,0,4210,0,12630000,0,12630000,0,3000.0,3000.0,,,0.0,1393-06-15
2014-09-08,1,0,1,0,3000,0,3000,0,9900000,0,9900000,0,3300.0,3300.0,,,0.0,1393-06-17
2014-09-13,2,0,5,0,416,0,416,0,1331200,0,1331200,0,3200.0,3200.0,,,0.0,1393-06-22
2014-09-14,1,0,1,0,400,0,400,0,1200000,0,1200000,0,3000.0,3000.0,,,0.0,1393-06-23
2014-09-20,1,0,4,0,5332,0,5332,0,15996000,0,15996000,0,3000.0,3000.0,,,0.0,1393-06-29
2014-09-22,1,0,1,0,3006,0,3006,0,9018000,0,9018000,0,3000.0,3000.0,,,0.0,1393-06-31
2014-09-23,2,0,2,0,1097,0,1097,0,3783000,0,3783000,0,3448.4958979033727,3448.4958979033727,,,0.0,1393-07-01
2014-09-29,2,0,3,0,5996,0,5996,0,22703000,0,22703000,0,3786.357571714476,3786.357571714476,,,0.0,1393-07-07
2014-10-04,1,0,1,0,100,0,100,0,311100,0,311100,0,3111.0,3111.0,,,0.0,1393-07-12
2014-10-15,1,0,1,0,2998,0,2998,0,9326778,0,9326778,0,3111.0,3111.0,,,0.0,1393-07-23
2014-10-28,2,0,1,0,1388,0,1388,0,4431668,0,4431668,0,3192.844380403458,3192.844380403458,,,0.0,1393-08-06
2014-11-12,2,0,1,0,34822,0,34822,0,111430400,0,111430400,0,3200.0,3200.0,,,0.0,1393-08-21
2014-11-19,1,0,1,0,485,0,485,0,1552000,0,1552000,0,3200.0,3200.0,,,0.0,1393-08-28
2014-11-25,2,0,3,0,5582,0,5582,0,22462400,0,22462400,0,4024.077391615908,4024.077391615908,,,0.0,1393-09-04
2014-12-10,1,0,1,0,100,0,100,0,320000,0,320000,0,3200.0,3200.0,,,0.0,1393-09-19
2014-12-15,1,0,3,0,542,0,542,0,1734400,0,1734400,0,3200.0,3200.0,,,0.0,1393-09-24
2014-12-17,2,0,1,0,2928,0,2928,0,9134907,0,9134907,0,3119.845286885246,3119.845286885246,,,0.0,1393-09-26
2014-12-27,1,0,1,0,9998,0,9998,0,30993800,0,30993800,0,3100.0,3100.0,,,0.0,1393-10-06
2014-12-29,1,0,1,0,450,0,450,0,1399950,0,1399950,0,3111.0,3111.0,,,0.0,1393-10-08
2015-02-18,1,0,2,0,2000,0,2000,0,7111000,0,7111000,0,3555.5,3555.5,,,0.0,1393-11-29
2015-03-01,1,0,1,0,4200,0,4200,0,14931000,0,14931000,0,3555.0,3555.0,,,0.0,1393-12-10
2015-03-14,1,0,1,0,73,0,73,0,85410,0,85410,0,1170.0,1170.0,,,0.0,1393-12-23
2015-04-15,1,0,1,0,10500,0,10500,0,31500000,0,31500000,0,3000.0,3000.0,,,0.0,1394-01-26
2015-04-18,1,0,1,0,3124,0,3124,0,9372000,0,9372000,0,3000.0,3000.0,,,0.0,1394-01-29
2015-04-19,1,0,1,0,6530,0,6530,0,19590000,0,19590000,0,3000.0,3000.0,,,0.0,1394-01-30
2015-04-20,1,0,1,0,1000,0,1000,0,3000000,0,3000000,0,3000.0,3000.0,,,0.0,1394-01-31
2015-06-14,1,0,1,0,345,0,345,0,993600,0,993600,0,2880.0,2880.0,,,0.0,1394-03-24
2015-06-21,1,0,1,0,135997,0,135997,0,380791600,0,380791600,0,2800.0,2800.0,,,0.0,1394-03-31
2015-06-23,1,0,2,0,145995,0,145995,0,408786000,0,408786000,0,2800.0,2800.0,,,0.0,1394-04-02
2015-06-24,1,0,1,0,350,0,350,0,1008000,0,1008000,0,2880.0,2880.0,,,0.0,1394-04-03
2015-10-25,1,0,3,0,2120,0,2120,0,3289601,0,3289601,0,1551.6985849056605,1551.6985849056605,,,0.0,1394-08-03
2015-10-26,1,0,1,0,138,0,138,0,215004,0,215004,0,1558.0,1558.0,,,0.0,1394-08-04
2015-10-27,1,0,1,0,10345,0,10345,0,15517500,0,15517500,0,1500.0,1500.0,,,0.0,1394-08-05
2015-12-23,1,0,3,0,9950,0,9950,0,17910000,0,17910000,0,1800.0,1800.0,,,0.0,1394-10-02
2015-12-28,1,0,2,0,30187,0,30187,0,54338657,0,54338657,0,1800.068141915394,1800.068141915394,,,0.0,1394-10-07
2016-01-05,1,0,1,0,849,0,849,0,1553670,0,1553670,0,1830.0,1830.0,,,0.0,1394-10-15
2016-01-10,1,0,1,0,490,0,490,0,896700,0,896700,0,1830.0,1830.0,,,0.0,1394-10-20
2016-01-12,1,0,3,0,4400,0,4400,0,8052000,0,8052000,0,1830.0,1830.0,,,0.0,1394-10-22
2016-01-25,1,0,1,0,81,0,81,0,148230,0,148230,0,1830.0,1830.0,,,0.0,1394-11-05
2016-01-26,1,0,1,0,277,0,277,0,509680,0,509680,0,1840.0,1840.0,,,0.0,1394-11-06
2016-03-01,1,0,1,0,5833,0,5833,0,11082700,0,11082700,0,1900.0,1900.0,,,0.0,1394-12-11
2016-03-02,1,0,1,0,100,0,100,0,191000,0,191000,0,1910.0,1910.0,,,0.0,1394-12-12
2016-03-06,2,0,3,0,83368,0,83368,0,166211030,0,166211030,0,1993.7029795605029,1993.7029795605029,,,0.0,1394-12-16
2016-03-14,2,0,1,0,26460,0,26460,0,52920100,0,52920100,0,2000.0037792894937,2000.0037792894937,,,0.0,1394-12-24
2016-03-26,2,0,1,0,5009,0,5009,0,9622289,0,9622289,0,1921.0,1921.0,,,0.0,1395-01-07
2016-04-11,3,0,1,0,25545,0,25545,0,48811945,0,48811945,0,1910.8218829516536,1910.8218829516536,,,0.0,1395-01-23
2016-04-17,3,0,1,0,5381,0,5381,0,9700260,0,9700260,0,1802.6872328563463,1802.6872328563463,,,0.0,1395-01-29
2016-04-27,2,0,1,0,14500,0,14500,0,24650000,0,24650000,0,1700.0,1700.0,,,0.0,1395-02-08
2016-05-01,3,0,1,0,8000,0,8000,0,14400000,0,14400000,0,1800.0,1800.0,,,0.0,1395-02-12
2016-05-03,2,0,1,0,7314,0,7314,0,12441780,0,12441780,0,1701.0910582444626,1701.0910582444626,,,0.0,1395-02-14
2016-05-08,1,0,1,0,266,0,266,0,457520,0,457520,0,1720.0,1720.0,,,0.0,1395-02-19
2016-05-09,1,0,1,0,466,0,466,0,801520,0,801520,0,1720.0,1720.0,,,0.0,1395-02-20
2016-05-21,6,0,1,0,30000,0,30000,0,51990700,0,51990700,0,1733.0233333333333,1733.0233333333333,,,0.0,1395-03-01
2016-05-30,2,0,2,0,23234,0,23234,0,41834870,0,41834870,0,1800.5883618834466,1800.5883618834466,,,0.0,1395-03-10
2016-06-05,1,0,1,0,166,0,166,0,290500,0,290500,0,1750.0,1750.0,,,0.0,1395-03-16
2016-06-06,1,0,1,0,19834,0,19834,0,34709500,0,34709500,0,1750.0,1750.0,,,0.0,1395-03-17
2016-06-07,1,0,1,0,1160,0,1160,0,1977800,0,1977800,0,1705.0,1705.0,,,0.0,1395-03-18
2016-06-12,2,0,3,1,105916,0,15880,90036,201130400,0,30062000,171068400,1898.961441142037,1893.073047858942,,1900.0,90036.0,1395-03-23
2016-06-13,3,0,5,0,49180,0,49180,0,93442000,0,93442000,0,1900.0,1900.0,,,0.0,1395-03-24
2016-06-15,1,0,1,0,113555,0,113555,0,215754500,0,215754500,0,1900.0,1900.0,,,0.0,1395-03-26
2016-06-20,6,0,3,0,693,0,693,0,1316700,0,1316700,0,1900.0,1900.0,,,0.0,1395-03-31
2016-07-02,1,0,1,0,20,0,20,0,38000,0,38000,0,1900.0,1900.0,,,0.0,1395-04-12
2016-07-05,3,0,1,0,60,0,60,0,114000,0,114000,0,1900.0,1900.0,,,0.0,1395-04-15
2016-07-17,1,0,1,0,5,0,5,0,9500,0,9500,0,1900.0,1900.0,,,0.0,1395-04-27
2016-08-03,2,0,2,0,25,0,25,0,49000,0,49000,0,1960.0,1960.0,,,0.0,1395-05-13
2016-08-10,1,0,3,0,4991,0,4991,0,8983800,0,8983800,0,1800.0,1800.0,,,0.0,1395-05-20
2016-08-16,1,0,2,0,1378,0,1378,0,2411500,0,2411500,0,1750.0,1750.0,,,0.0,1395-05-26
2016-08-29,1,0,1,0,300,0,300,0,525000,0,525000,0,1750.0,1750.0,,,0.0,1395-06-08
2016-08-31,1,0,1,0,275,0,275,0,481250,0,481250,0,1750.0,1750.0,,,0.0,1395-06-10
2016-10-09,1,0,2,0,3999,0,3999,0,6998250,0,6998250,0,1750.0,1750.0,,,0.0,1395-07-18
2016-10-31,1,0,1,0,3320,0,3320,0,5810000,0,5810000,0,1750.0,1750.0,,,0.0,1395-08-10
2016-11-01,1,0,1,0,200,0,200,0,350000,0,350000,0,1750.0,1750.0,,,0.0,1395-08-11
2016-12-05,1,0,0,1,200,0,0,200,350000,0,0,350000,1750.0,,,1750.0,200.0,1395-09-15
2016-12-21,1,1,5,1,47361,100,47453,8,85939420,175000,86100420,14000,1814.5609256561304,1814.435757486355,1750.0,1750.0,-92.0,1395-10-01
2017-02-08,1,0,2,0,21500,0,21500,0,40815000,0,40815000,0,1898.372093023256,1898.372093023256,,,0.0,1395-11-20
2017-03-06,1,0,1,0,448,0,448,0,846720,0,846720,0,1890.0,1890.0,,,0.0,1395-12-16
2017-03-14,1,0,1,0,1389,0,1389,0,2882175,0,2882175,0,2075.0,2075.0,,,0.0,1395-12-24
2017-04-10,1,0,1,0,90,0,90,0,186750,0,186750,0,2075.0,2075.0,,,0.0,1396-01-21
2017-04-12,4,0,1,0,80,0,80,0,182560,0,182560,0,2282.0,2282.0,,,0.0,1396-01-23
2017-04-15,4,0,2,0,6531,0,6531,0,16367500,0,16367500,0,2506.1246363497166,2506.1246363497166,,,0.0,1396-01-26
2017-04-18,1,0,3,0,5931,0,5931,0,16325043,0,16325043,0,2752.494183105716,2752.494183105716,,,0.0,1396-01-29
2017-04-24,1,0,2,0,4931,0,4931,0,12331669,0,12331669,0,2500.845467450821,2500.845467450821,,,0.0,1396-02-04
2017-06-17,8,0,5,0,29730,0,29730,0,81010606,0,81010606,0,2724.87743020518,2724.87743020518,,,0.0,1396-03-27
2017-06-20,9,1,4,0,136640,10000,146640,0,409510080,29970000,439480080,0,2997.0,2997.0,2997.0,,-10000.0,1396-03-30
2017-06-21,23,0,6,0,129856,0,129856,0,428005376,0,428005376,0,3296.0,3296.0,,,0.0,1396-03-31
2017-06-24,15,0,12,1,60831,0,55831,5000,220512375,0,202387375,18125000,3625.0,3625.0,,3625.0,5000.0,1396-04-03
2017-06-28,2,0,13,0,54686,0,54686,0,218033082,0,218033082,0,3987.0,3987.0,,,0.0,1396-04-07
2017-07-01,25,0,17,1,118171,0,113171,5000,492179996,0,472384996,19795000,4164.981222127256,4174.0816640305375,,3959.0,5000.0,1396-04-10
2017-07-02,4,0,7,0,11620,0,11620,0,43761540,0,43761540,0,3766.053356282272,3766.053356282272,,,0.0,1396-04-11
2017-07-03,4,0,5,0,34365,0,34365,0,135115900,0,135115900,0,3931.788156554634,3931.788156554634,,,0.0,1396-04-12
2017-07-04,8,0,9,0,35819,0,35819,0,133801139,0,133801139,0,3735.479466205087,3735.479466205087,,,0.0,1396-04-13
2017-07-08,4,0,5,0,8056,0,8056,0,27306563,0,27306563,0,3389.5932224429,3389.5932224429,,,0.0,1396-04-17
2017-07-09,5,0,7,0,34459,0,34459,0,128471707,0,128471707,0,3728.248266055312,3728.248266055312,,,0.0,1396-04-18
2017-07-12,8,0,7,0,41035,0,41035,0,137743573,0,137743573,0,3356.7338369684417,3356.7338369684417,,,0.0,1396-04-21
2017-07-16,5,0,3,0,28363,0,28363,0,85726354,0,85726354,0,3022.471318266756,3022.471318266756,,,0.0,1396-04-25
2017-07-18,3,0,4,0,943,0,943,0,3099743,0,3099743,0,3287.1081654294803,3287.1081654294803,,,0.0,1396-04-27
2017-07-26,2,0,2,0,5525,0,5525,0,20188350,0,20188350,0,3654.0,3654.0,,,0.0,1396-05-04
2017-07-29,9,0,4,0,56006,0,56006,0,167161433,0,167161433,0,2984.705799378638,2984.705799378638,,,0.0,1396-05-07
