date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,1,1,3277,10,3277,10,5407050,16050,5407050,16050,1650.0,1650.0,1605.0,1605.0,0.0,1387-09-06
2008-11-29,5,1,4,1,48600,10,48600,10,80335800,16440,80335800,16440,1653.0,1653.0,1644.0,1644.0,0.0,1387-09-09
2008-11-30,6,2,1,1,18000,2010,20000,10,30474000,3402610,33860000,16610,1693.0,1693.0,1692.8407960199006,1661.0,-2000.0,1387-09-10
2008-12-01,4,1,1,2,10715,10,10000,725,18322650,16700,17100000,1239350,1710.0,1710.0,1670.0,1709.448275862069,715.0,1387-09-11
2008-12-02,2,1,2,1,20000,10,20000,10,34400000,16870,34400000,16870,1720.0,1720.0,1687.0,1687.0,0.0,1387-09-12
2008-12-03,2,2,2,1,10000,3010,13000,10,17370000,5227980,22581000,16980,1737.0,1737.0,1736.8704318936875,1698.0,-3000.0,1387-09-13
2008-12-06,1,0,2,0,9514,0,9514,0,16630472,0,16630472,0,1748.0,1748.0,,,0.0,1387-09-16
2008-12-16,1,0,3,0,3559,0,3559,0,6253163,0,6253163,0,1757.0,1757.0,,,0.0,1387-09-26
2008-12-21,1,0,1,0,10000,0,10000,0,17600000,0,17600000,0,1760.0,1760.0,,,0.0,1387-10-01
2008-12-22,1,0,2,0,6780,0,6780,0,11993820,0,11993820,0,1769.0,1769.0,,,0.0,1387-10-02
2008-12-28,1,0,1,0,1712,0,1712,0,3038800,0,3038800,0,1775.0,1775.0,,,0.0,1387-10-08
2009-01-03,2,0,12,0,69201,0,69201,0,122900976,0,122900976,0,1776.0,1776.0,,,0.0,1387-10-14
2009-01-04,11,0,4,0,96632,0,96632,0,176739928,0,176739928,0,1829.0,1829.0,,,0.0,1387-10-15
2009-01-05,1,0,1,0,798,0,798,0,1502634,0,1502634,0,1883.0,1883.0,,,0.0,1387-10-16
2009-01-10,1,0,2,0,7668,0,7668,0,14446512,0,14446512,0,1884.0,1884.0,,,0.0,1387-10-21
2009-01-12,1,0,3,0,5729,0,5729,0,10839268,0,10839268,0,1892.0,1892.0,,,0.0,1387-10-23
2009-01-13,1,0,1,0,1040,0,1040,0,1972880,0,1972880,0,1897.0,1897.0,,,0.0,1387-10-24
2009-01-14,1,0,1,0,3536,0,3536,0,6711328,0,6711328,0,1898.0,1898.0,,,0.0,1387-10-25
2009-01-17,1,0,1,0,568,0,568,0,1079768,0,1079768,0,1901.0,1901.0,,,0.0,1387-10-28
2009-01-18,1,0,1,0,5000,0,5000,0,9510000,0,9510000,0,1902.0,1902.0,,,0.0,1387-10-29
2009-01-19,1,0,1,0,1303,0,1303,0,2484821,0,2484821,0,1907.0,1907.0,,,0.0,1387-10-30
