date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-01-23,359086,994,0,4,498578813,6794749,0,505373562,1022086566650,13929235450,0,1036015802100,2050.0,,2050.0,2050.0,498578813.0,1397-11-03
2019-01-26,4,0,209,0,242265,0,242265,0,521354280,0,521354280,0,2152.0,2152.0,,,0.0,1397-11-06
2019-01-27,46,0,771,2,1888345,0,886906,1001439,4088266925,0,1920151490,2168115435,2165.0,2165.0,,2165.0,1001439.0,1397-11-07
2019-01-29,47,0,828,6,2404198,0,986798,1417400,5447912668,0,2236084268,3211828400,2266.0,2266.0,,2266.0,1417400.0,1397-11-09
2019-01-30,64,4,3663,19,6535364,400000,4913780,2021584,15547630956,951600000,11689882620,4809348336,2379.0,2379.0,2379.0,2379.0,1621584.0,1397-11-10
2019-02-02,6104,15,76665,309,134772948,5855191,124884966,15743173,329562767616,13933488402,304204743174,39291512844,2445.3183855264483,2435.879617199079,2379.68127803175,2495.7810502368234,9887982.0,1397-11-13
2019-02-03,2716,14,37790,110,49215974,17129996,65592238,753732,114282589232,39773410520,152306247326,1749752426,2322.0629389961887,2322.016323425342,2321.857548594874,2321.451691051992,-16376264.0,1397-11-14
2019-02-04,4722,19,58940,145,95422610,17955175,113172761,205024,216774255362,41050648897,257360554207,464350052,2271.728423295066,2274.050327419334,2286.285090343035,2264.857050881848,-17750151.0,1397-11-15
2019-02-05,1822,10,18371,30,31862115,8346271,40138803,69583,71845736396,18835399139,90524046450,157089085,2254.8953952366314,2255.2751872047606,2256.744256087539,2257.578503370076,-8276688.0,1397-11-16
2019-02-06,1268,7,10892,22,19454967,11587949,29744679,1298237,43725628742,25966746803,66778492480,2913883065,2247.530347494293,2245.05675384831,2240.840618387257,2244.4923885238213,-10289712.0,1397-11-17
2019-02-10,1063,6,14857,6,21704866,13315337,35003010,17193,48975410369,29939583883,78876276978,38717274,2256.4253734162653,2253.4141200428194,2248.5036528178,2251.920781713488,-13298144.0,1397-11-21
2019-02-12,1769,6,17615,44,40618870,9739748,47201016,3157602,93408012817,22121520296,108342768666,7186764447,2299.6211567923974,2295.348232885496,2271.2620794706395,2276.0197285788395,-6582146.0,1397-11-23
2019-02-13,1331,6,25603,31,23672659,23435504,45969994,1138169,54382242557,53760460076,105529424060,2613278573,2297.259575149543,2295.615354224323,2293.9749909368284,2296.037383727724,-22297335.0,1397-11-24
2019-02-16,749,15,16546,74,11913718,25002156,36815257,100617,27387700967,57513671748,84669548317,231824398,2298.837438237165,2299.8494433163946,2300.3484878664062,2304.028126459744,-24901539.0,1397-11-27
2019-02-17,572,9,4947,9,9735688,15019140,24708319,46509,22417830456,34568737655,56879429596,107138515,2302.6447084171145,2302.0355855046228,2301.645610534292,2303.608226364789,-14972631.0,1397-11-28
2019-02-18,513,6,4486,12,4043886,16059683,20086302,17267,9259219989,36766777123,45986477268,39519844,2289.6837321823614,2289.4446806584906,2289.3837395794176,2288.7498696936354,-16042416.0,1397-11-29
2019-02-19,404,5,4636,7,2886981,14233363,16111080,1009264,6566957184,32515707036,36780506824,2302157396,2274.679737760657,2282.9324181867387,2284.4711426245503,2281.0259714009417,-13224099.0,1397-11-30
2019-02-20,378,5,4218,8,5900689,14473800,19365856,1008633,13377243281,32807584253,43899005237,2285822297,2267.064622622884,2266.82493337759,2266.6876876148626,2266.257694324893,-13465167.0,1397-12-01
2019-02-23,819,7,4903,6,12427148,9600000,21216833,810315,27800618688,21544514398,47537747505,1807385581,2237.0875995039246,2240.567548653468,2244.2202497916664,2230.4728173611497,-8789685.0,1397-12-04
2019-02-24,760,5,3487,7,9412100,7087746,16489215,10631,20993074963,15864935164,36834218970,23791157,2230.4347555805825,2233.837024382301,2238.36113258009,2237.90396011664,-7077115.0,1397-12-05
2019-02-25,633,4,3035,6,6122002,5310000,11424806,7196,13592123486,11829060675,25405192717,15991444,2220.208926099665,2223.687012015784,2227.6950423728813,2222.268482490272,-5302804.0,1397-12-06
2019-02-26,525,5,2394,6,6008140,5470000,11461187,16953,13235755888,12112729657,25310982291,37503254,2202.970617861768,2208.4084563841425,2214.392990310786,2212.189818911107,-5453047.0,1397-12-07
2019-02-27,481,5,2678,8,6076423,9542013,15109946,508490,13745672113,21621856343,34225282624,1142245832,2262.132197347025,2265.0830535066107,2265.963832055144,2246.3486636905345,-9033523.0,1397-12-08
2019-03-02,334,4,4195,7,3573092,19092377,20958274,1707195,8258549016,44215444496,48513817671,3960175841,2311.317205378423,2314.781153782034,2315.86902437554,2319.6974223799857,-17385182.0,1397-12-11
2019-03-03,392,5,3884,17,5715126,19603311,24431115,887322,13389750148,45938738512,57246747494,2081741166,2342.8617580784744,2343.190128407975,2343.4173192477538,2346.0943896353297,-18715989.0,1397-12-12
2019-03-04,547,3,2510,43,10629952,3700482,14017869,312565,24937148981,8631964758,32839550313,729563426,2345.9324163458123,2342.692053478314,2332.659571915226,2334.1174667669125,-3387917.0,1397-12-13
2019-03-05,296,7,1724,9,3969759,3356118,7311270,14607,9046865728,7675950734,16689252321,33564141,2278.9458322281025,2282.674873312024,2287.151623989383,2297.8120764017253,-3341511.0,1397-12-14
2019-03-06,239,4,1334,6,3023304,1971287,4897396,97195,6908180691,4511989555,11195839744,224330502,2284.977194155798,2286.080142181682,2288.8547202918703,2308.0457019394003,-1874092.0,1397-12-15
2019-03-09,187,3,1801,12,5301243,1817055,5986648,1131650,12220177114,4228968788,13836972507,2612173395,2305.1531714354537,2311.3055096942394,2327.375224195195,2308.287363584147,-685405.0,1397-12-18
2019-03-10,198,4,2139,3,5240188,16529329,8227414,13542103,12072183232,38272417056,18985433527,31359166761,2303.76910752057,2307.582130545515,2315.424725105296,2315.6792383723564,-2987226.0,1397-12-19
2019-03-11,323,2,4927,14,8408506,29350218,32191472,5567252,19592526480,69299872203,75988029937,12904368746,2330.0841409877094,2360.501872576687,2361.136540893836,2317.9063469733364,-23782966.0,1397-12-20
2019-03-18,422,2,399,3,4614767,500730,4856961,258536,9469130395,1026427731,9963873966,531684160,2051.9194999444176,2051.4626257036034,2049.8626625127317,2056.518860042702,-242194.0,1397-12-27
2019-03-19,877,3,963,5,11387040,1130862,10861056,1656846,23439805033,2316465212,22336974311,3419295934,2058.4633963699084,2056.611650929707,2048.406624327283,2063.7379297774205,525984.0,1397-12-28
2019-03-25,538,1,566,4,6585836,100000,3938309,2747527,13561922490,204800000,8109431580,5657290910,2059.256029151045,2059.1151126028963,2048.0,2059.0483405622585,2647527.0,1398-01-05
2019-03-26,507,0,914,3,6293720,0,5092017,1201703,12899439616,0,10435613090,2463826526,2049.573164360664,2049.4065691453898,,2050.2790839333848,1201703.0,1398-01-06
2019-03-27,400,0,813,2,4610586,0,4552163,58423,9502113981,0,9382151720,119962261,2060.9341157501453,2061.031584325957,,2053.339626516954,58423.0,1398-01-07
2019-03-30,495,1,806,1,7701133,300000,7897678,103455,15987575437,622334134,16395688856,214220715,2076.0030292945207,2076.0138430561487,2074.447113333333,2070.6656517326373,-196545.0,1398-01-10
2019-03-31,455,2,716,3,6341796,700000,6241796,800000,13340848024,1469511005,13124551990,1685807039,2103.638783713636,2102.688391289943,2099.3014357142856,2107.25879875,100000.0,1398-01-11
2019-04-06,427,2,929,1,5741313,2000000,7543210,198103,12050735035,4193125595,15825020393,418840237,2098.9510648522387,2097.915926111032,2096.5627975,2114.25489265685,-1801897.0,1398-01-17
2019-04-07,442,3,1038,3,8184411,3210000,11092973,301438,17327828163,6810568585,23498281484,640115264,2117.174731694193,2118.303315441225,2121.6724563862927,2123.5387177462694,-2908562.0,1398-01-18
2019-04-08,411,4,838,2,8115589,7100000,10470036,4745553,17027418434,14960762803,21975064407,10013116830,2098.112464049128,2098.852803084918,2107.1496905633803,2110.0,-2354447.0,1398-01-19
2019-04-09,559,2,723,2,7261037,316643,5573118,2004562,15104073708,656472454,11598061264,4162484898,2080.1538000701557,2081.0722586530555,2073.2258537216994,2076.505938953248,1687919.0,1398-01-20
2019-04-10,343,2,1051,1,4942949,1376529,6318039,1439,10370419354,2890393306,13257790760,3021900,2098.022729751005,2098.402805047579,2099.769279107088,2100.0,-1375090.0,1398-01-21
2019-04-13,441,2,916,1,6631192,1100000,7431192,300000,13775263969,2278176379,15432293841,621146507,2077.3435558795463,2076.6915780133254,2071.0694354545453,2070.4883566666667,-800000.0,1398-01-24
2019-04-14,456,3,936,4,5706822,1009000,6512952,202870,11841644578,2092429167,13514978364,419095381,2074.998059865894,2075.0925792175344,2073.765279484638,2065.832212747079,-806130.0,1398-01-25
2019-04-15,487,2,1145,2,7974070,860699,8333331,501438,16725586792,1814608050,17485395374,1054799468,2097.496860699743,2098.248032389449,2108.295757285648,2103.549128705842,-359261.0,1398-01-26
2019-04-16,346,3,785,0,4438909,2760266,7199175,0,9211355646,5742634373,14953990019,0,2075.1395547869984,2077.181068525213,2080.464119400087,,-2760266.0,1398-01-27
2019-04-17,276,4,696,3,4077450,7491720,11564893,4277,8486853389,15581454074,24059395556,8911907,2081.412007259439,2080.382028264334,2079.823334828317,2083.681786298808,-7487443.0,1398-01-28
2019-04-20,326,0,791,2,7240219,0,7224441,15778,15268246901,0,15234885659,33361242,2108.810092761006,2108.797851487748,,2114.4151349980984,15778.0,1398-01-31
2019-04-22,488,2,574,3,7200165,1200000,6297287,2102878,14941010968,2485129821,13082962487,4343178302,2075.092858010893,2077.555380118454,2070.9415175,2065.349631314798,902878.0,1398-02-02
2019-04-23,218,2,670,3,3658545,1067493,4673160,52878,7604032782,2224662079,9718525816,110169045,2078.4308466890525,2079.647565244931,2084.006245474209,2083.457108816521,-1014615.0,1398-02-03
2019-04-24,198,0,666,0,6442228,0,6442228,0,13508646022,0,13508646022,0,2096.890395993436,2096.890395993436,,,0.0,1398-02-04
2019-04-27,272,1,1258,4,5392638,100000,5379722,112916,11293827332,209100000,11266017038,236910294,2094.304741390021,2094.1634229426727,2091.0,2098.1109320202627,12916.0,1398-02-07
2019-04-28,491,2,1466,2,7770857,600000,8367980,2877,16132510018,1245815671,17372348724,5976965,2076.027138062121,2076.050459489626,2076.3594516666667,2077.499131039277,-597123.0,1398-02-08
2019-04-29,543,2,2826,3,9423544,600000,10019228,4316,19505662025,1239705393,20736420345,8947073,2069.886024302534,2069.6624874690942,2066.175655,2073.001158480074,-595684.0,1398-02-09
2019-04-30,597,2,1307,4,13521002,135560,13072067,584495,28960209871,286356312,27983061604,1263504579,2141.868618242938,2140.676115261649,2112.3953378577758,2161.7029726516053,448935.0,1398-02-10
2019-05-01,454,1,1051,2,10840172,97721,10785949,151944,24056958358,214986200,23931738054,340206504,2219.2413882362757,2218.7883564070253,2200.0,2239.0255883746645,54223.0,1398-02-11
2019-05-04,483,0,742,2,11200962,0,11117014,83948,25322495844,0,25133284948,189210896,2260.742947257566,2260.79457559377,,2253.905941773479,83948.0,1398-02-14
2019-05-05,469,2,755,4,9502703,315000,9613388,204315,21378748179,705850000,21622865704,461732475,2249.754430818263,2249.2450844592977,2240.7936507936506,2259.904926216871,-110685.0,1398-02-15
2019-05-06,333,1,689,3,10415234,300000,10612357,102877,22505381160,648100000,22928115799,225365361,2160.81378104419,2160.5111662753147,2160.333333333333,2190.6292076946256,-197123.0,1398-02-16
2019-05-07,332,2,555,1,3903553,2100000,6003552,1,8105932999,4366863894,12472794793,2100,2076.5525660853077,2077.56921119364,2079.458997142857,2100.0,-2099999.0,1398-02-17
2019-05-08,317,1,534,1,5040067,160000,5041999,158068,10673674511,339740000,10678194215,335220296,2117.764408885834,2117.849332179558,2123.375,2120.7347217653164,-1932.0,1398-02-18
2019-05-11,315,1,596,2,5285618,683920,5884180,85358,11389216477,1479966268,12684756259,184426486,2154.7558822828287,2155.7389914992405,2163.9464674230903,2160.623327631856,-598562.0,1398-02-21
2019-05-12,189,1,422,1,2912596,600000,3511158,1438,6090534471,1265000000,7352527239,3007232,2091.10170823554,2094.046248844398,2108.333333333333,2091.260083449235,-598562.0,1398-02-22
2019-05-13,235,1,335,1,2514457,100000,2613018,1439,5313029220,211000000,5520984296,3044924,2112.9926739649954,2112.876488413015,2110.0,2116.0,-98561.0,1398-02-23
2019-05-14,372,1,471,2,7376098,200000,7569099,6999,15702314719,424000000,16111523805,14790914,2128.810479334737,2128.592029910033,2120.0,2113.2896128018288,-193001.0,1398-02-24
2019-05-15,203,2,322,2,2879902,1003360,3880384,2878,6069933060,2115086240,8178965527,6053773,2107.6873657506403,2107.7722016687007,2108.003348748206,2103.465253648367,-1000482.0,1398-02-25
2019-05-18,287,0,412,2,4523228,0,4411956,111272,9525192549,0,9291170469,234022080,2105.839579388879,2105.90732749828,,2103.15335394349,111272.0,1398-02-28
2019-05-19,216,2,398,1,3427359,1435913,4861833,1439,7180101262,3006689367,10183757217,3033412,2094.9370235216097,2094.633282755701,2093.9216839738897,2108.0,-1434474.0,1398-02-29
2019-05-20,240,2,444,0,3232197,2030000,5262197,0,6784872100,4243464758,11028336858,0,2099.151784374529,2095.766627133116,2090.376728078818,,-2030000.0,1398-02-30
