date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-12-02,1,0,3,0,46248,0,46248,0,25436400,0,25436400,0,550.0,550.0,,,0.0,1392-09-11
2013-12-10,2,0,2,0,200000,0,200000,0,156000000,0,156000000,0,780.0,780.0,,,0.0,1392-09-19
2013-12-22,5,0,5,0,236143,0,236143,0,218843300,0,218843300,0,926.7405766844666,926.7405766844666,,,0.0,1392-10-01
2013-12-30,9,0,12,1,496577,0,486577,10000,666943970,0,656943970,10000000,1343.0826840550408,1350.1336273601096,,1000.0,10000.0,1392-10-09
2014-01-01,1,0,1,0,45000,0,45000,0,44550000,0,44550000,0,990.0,990.0,,,0.0,1392-10-11
2014-01-04,4,0,4,0,134238,0,134238,0,184142100,0,184142100,0,1371.758369463192,1371.758369463192,,,0.0,1392-10-14
2014-01-08,12,0,14,2,628184,0,205684,422500,896825030,0,283704030,613121000,1427.6470429046267,1379.3198790377471,,1451.1739644970414,422500.0,1392-10-18
2014-01-13,6,1,8,0,247959,19078,267037,0,386695868,27243384,413939252,0,1559.5153553611683,1550.1194665907722,1428.0,,-19078.0,1392-10-23
2014-01-15,5,0,8,2,383100,0,109600,273500,554461000,0,157711000,396750000,1447.3009658052729,1438.9689781021898,,1450.6398537477148,273500.0,1392-10-25
2014-01-21,2,0,11,1,170084,0,169084,1000,261107150,0,259457150,1650000,1535.165859222502,1534.4867048331007,,1650.0,1000.0,1392-11-01
2014-01-27,5,0,8,2,210545,0,199822,10723,337810459,0,322370759,15439700,1604.457284665986,1613.2896227642602,,1439.8675743728434,10723.0,1392-11-07
2014-01-29,1,0,2,0,9997,0,9997,0,11396580,0,11396580,0,1140.0,1140.0,,,0.0,1392-11-09
2014-02-01,1,0,1,0,500,0,500,0,650000,0,650000,0,1300.0,1300.0,,,0.0,1392-11-12
2014-02-03,3,0,8,0,124757,0,124757,0,160508980,0,160508980,0,1286.572937791066,1286.572937791066,,,0.0,1392-11-14
2014-02-05,2,0,2,0,10129,0,10129,0,13229000,0,13229000,0,1306.0519301016882,1306.0519301016882,,,0.0,1392-11-16
2014-02-08,4,0,4,0,106129,0,106129,0,126987550,0,126987550,0,1196.5395886138567,1196.5395886138567,,,0.0,1392-11-19
2014-02-17,4,0,1,0,28229,0,28229,0,32429450,0,32429450,0,1148.7991073010026,1148.7991073010026,,,0.0,1392-11-28
