date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-04-28,49524,916,0,2,643844056,350657315,0,989101371,1867147762400,1016906213500,0,2868393975900,2900.0,,2900.0,2900.0,638444056.0,1394-02-08
2015-04-29,401,6,122,9,11498596,610000,913496,11195100,34679765536,1839760000,2755103936,33764421600,3016.0,3016.0,3016.0,3016.0,10585100.0,1394-02-09
2015-05-04,672,32,172,2,42989773,2720948,1141431,44569290,134815928128,8532892928,3579527616,139769293440,3136.0,3136.0,3136.0,3136.0,41848342.0,1394-02-14
2015-05-05,1615,47,479,3,82569698,4320000,4533698,82356000,269259785178,14087520000,14784389178,268562916000,3261.0,3261.0,3261.0,3261.0,78036000.0,1394-02-15
2015-05-06,3497,104,6497,95,141595586,14636948,121820378,34412156,479966879040,49624685900,412900163944,116691400996,3389.702268261385,3389.417852110096,3390.3711279154645,3390.9936069103023,19775208.0,1394-02-16
2015-05-09,4993,116,19160,186,269195541,117262454,366641094,19816901,932067631120,406277750025,1269304657900,69040723245,3462.418536568553,3461.98142726467,3464.6874269320683,3483.931379835828,-97445553.0,1394-02-19
2015-05-10,1516,43,8704,68,68223824,131812943,190239019,9797748,228099409917,438641348899,634117847500,32622911316,3343.398193525476,3333.2691202534006,3327.756280344943,3329.63363785229,-122015195.0,1394-02-20
2015-05-11,1219,13,2372,20,34953060,7027277,38359837,3620500,118047542256,23750455456,129575066189,12222931523,3377.316385346519,3377.883649218843,3379.752279012198,3376.034117663306,-3406777.0,1394-02-21
2015-05-12,915,18,1397,21,16497007,16345055,31065764,1776298,55615470355,55023775194,104673178310,5966067239,3371.2460905787334,3369.406215472441,3366.386665202411,3358.708526947618,-14568757.0,1394-02-22
2015-05-13,545,14,1775,18,10538972,25859840,34433590,1965222,35507872874,87342995322,116218339563,6632528633,3369.197002705767,3375.1444320211745,3377.553585869054,3374.95134544596,-23894618.0,1394-02-23
2015-05-17,605,21,916,6,11299929,14963900,24886132,1377697,37048973920,49140743900,81688124296,4501593524,3278.6908590310613,3282.475729695559,3283.952973489532,3267.477191283715,-13586203.0,1394-02-27
2015-05-18,395,16,847,8,7080090,14313391,19864405,1529076,23029771178,46488805828,64537501797,4981075209,3252.751190733451,3248.9018320458126,3247.9239774837424,3257.5720297748444,-12784315.0,1394-02-28
2015-05-19,254,13,1043,17,5670439,15550248,19560687,1660000,18815295086,51474250517,64785659167,5503886436,3318.137288135892,3312.0339365892414,3310.1883980885705,3315.5942385542166,-13890248.0,1394-02-29
2015-05-20,207,9,529,3,4662871,5970248,9928117,705002,15338794233,19668036398,32680598951,2326231680,3289.560065676276,3291.7217787622767,3294.3416082548,3299.61004365945,-5265246.0,1394-02-30
2015-05-23,178,8,1104,6,2543455,31106355,32697160,952650,8288017868,102545519287,107649276101,3184261054,3258.566740123179,3292.312729943518,3296.609946327688,3342.529842019629,-30153705.0,1394-03-02
2015-05-24,176,3,503,10,5014331,3073899,7101687,986543,16675916613,10235113468,23624535606,3286494475,3325.651340727208,3326.608960096383,3329.684374145019,3331.3241034602647,-2087356.0,1394-03-03
2015-05-25,150,7,457,2,1924537,6822880,8587417,160000,6386587628,22694324988,28546626020,534286596,3318.506024046303,3324.238944027057,3326.209018479,3339.291225,-6662880.0,1394-03-04
