date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-01,4846,4,0,1,22546434,1001900,0,23548334,225464340000,10019000000,0,235483340000,10000.0,,10000.0,10000.0,22546434.0,1399-05-11
2020-08-02,105442,7,0,1,169673101,1024802,0,170697903,1696731010000,10248020000,0,1706979030000,10000.0,,10000.0,10000.0,169673101.0,1399-05-12
2020-08-03,14076,9,0,1,74589648,45610400,0,120200048,745896480000,456104000000,0,1202000480000,10000.0,,10000.0,10000.0,74589648.0,1399-05-13
2020-08-04,9633,10,0,1,54471547,21082168,0,75553715,544715470000,210821680000,0,755537150000,10000.0,,10000.0,10000.0,54471547.0,1399-05-14
2020-09-20,811,4,1517,4,10079720,3048850,12048080,1080490,104907610542,31812917172,125377701453,11342826261,10407.790151115309,10406.44662493941,10434.39892812044,10497.853993095723,-1968360.0,1399-06-30
2020-09-21,2129,2,2965,5,25701418,13583901,29457639,9827680,273653808738,144502642001,312541790187,105614660552,10647.420649631084,10609.872372561833,10637.786744838617,10746.652368819496,-3756221.0,1399-06-31
2020-09-22,524,0,940,2,9911466,0,9367560,543906,115624849239,0,109256797791,6368051448,11665.766622112207,11663.314437377505,,11708.0,543906.0,1399-07-01
2020-09-23,60,0,549,2,4806490,0,2806490,2000000,61676879680,0,36012879680,25664000000,12832.0,12832.0,,12832.0,2000000.0,1399-07-02
2020-09-26,5853,10,3390,9,66029828,651500,44647577,22033751,927260508064,9186472500,625611941927,310835038637,14043.055027555123,14012.226059367118,14100.495011511895,14107.222988813844,21382251.0,1399-07-05
2020-09-27,7327,3,5752,14,62369774,201500,57219774,5351500,913077418041,2877225000,837084862869,78869780172,14639.74228992717,14629.293412955458,14279.032258064515,14737.882868728391,5150000.0,1399-07-06
