date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-10-01,1437,67,252,13,75373875,48331509,14444034,109261350,162676027441,105074623187,31759230125,235991420503,2158.2547990401185,2198.778410864998,2174.039779867001,2159.8801452023063,60929841.0,1390-07-09
2011-10-02,233,5,279,7,9678984,1028757,9737741,970000,21191448741,2243975832,21302125170,2133299403,2189.429049681248,2187.5838728920803,2181.2496362114666,2199.277735051546,-58757.0,1390-07-10
2011-10-03,110,12,201,10,4306043,7038666,7807842,3536867,9375591419,15312138984,16993772159,7693958244,2177.310217060071,2176.5005181969614,2175.4319616813755,2175.3597870657845,-3501799.0,1390-07-11
2011-10-04,66,6,163,4,1344858,11550000,9857358,3037500,2895667572,24846135912,21210795416,6531008068,2153.140013295084,2151.7728600300406,2151.1805984415582,2150.1261129218105,-8512500.0,1390-07-12
2011-10-05,62,6,128,3,752828,6147871,6689699,211000,1621197383,13232167541,14399101924,454263000,2153.4764687285806,2152.4289693751543,2152.31704455087,2152.905213270142,-5936871.0,1390-07-13
2011-10-08,41,3,111,5,425777,10819737,5425514,5820000,913650542,23312055368,11705432162,12520273748,2145.842875495858,2157.478934161814,2154.586139016133,2151.249784879725,-4999737.0,1390-07-16
2011-10-09,30,5,83,3,321206,5592115,5228319,685002,692777670,12054049310,11270113368,1476713612,2156.8017720715056,2155.5902323481027,2155.5438881353475,2155.780000642334,-4907113.0,1390-07-17
2011-10-10,21,6,101,4,237293,7046473,5683766,1600000,509082065,15101102128,12174220193,3435964000,2145.373293776049,2141.928466618788,2143.072446030801,2147.4775,-5446473.0,1390-07-18
2011-10-11,125,8,107,5,4860958,13599469,8892741,9567686,10353094880,28986403339,18945305839,20394192380,2129.846602254124,2130.423661163639,2131.4364067449987,2131.569992995172,-4031783.0,1390-07-19
2011-10-12,23,5,83,5,478293,6825056,3763807,3539542,1016172195,14512655145,8009784422,7519042918,2124.580947243636,2128.107105916961,2126.3789110301805,2124.298261752509,-3285514.0,1390-07-20
2011-10-15,29,4,77,3,3441691,2039030,5137143,343578,7158735453,4244440461,10688205516,714970398,2080.005280253225,2080.5738746225284,2081.5978484867805,2080.9551193615425,-1695452.0,1390-07-23
2011-10-16,21,8,107,7,580110,13426126,4181513,9824723,1196047111,27695412888,8689197574,20202262425,2061.759168088811,2078.003242845353,2062.800013049185,2056.2678891812016,-3601403.0,1390-07-24
2011-10-17,20,6,51,5,76972,5549653,3665929,1960696,157908577,11376695000,7515172577,4019431000,2051.5067427116355,2050.004944722061,2049.983125071063,2050.00214209648,-3588957.0,1390-07-25
2011-10-18,21,3,37,0,179337,2829186,3008523,0,367931491,5799831300,6167762791,0,2051.620641585395,2050.09660587604,2050.0,,-2829186.0,1390-07-26
2011-10-19,33,7,31,2,547282,5249355,682605,5114032,1124043795,10778106534,1402565514,10499584815,2053.865822373109,2054.724934625442,2053.2249264909688,2053.093296052899,-135323.0,1390-07-27
2011-10-22,18,6,28,5,472978,54609015,1219993,53862000,972147471,112998961538,2511500013,111459608996,2055.375664407224,2058.618379777589,2069.2363987521107,2069.355185399725,-747015.0,1390-07-30
2011-10-23,24,7,42,2,339674,34504128,2343802,32500000,696951815,71394687725,4816799290,67274840250,2051.825618092642,2055.122100757658,2069.1636584758785,2069.9950846153847,-2004128.0,1390-08-01
2011-10-24,6,4,37,2,253000,2373308,1336308,1290000,519977000,4876417243,2746140330,2650253913,2055.245059288537,2055.0204967717023,2054.692118764189,2054.460397674419,-1083308.0,1390-08-02
2011-10-25,12,3,20,0,69995,1116280,1186275,0,144334276,2301055296,2445389572,0,2062.0655189656404,2061.401927883501,2061.360318199735,,-1116280.0,1390-08-03
2011-10-26,11,3,28,1,46860,1024021,1020881,50000,96718420,2107742578,2101510998,102950000,2063.986769099445,2058.5268978460763,2058.300150094578,2059.0,-974021.0,1390-08-04
2011-10-29,19,4,23,0,299899,1337634,1637533,0,618485072,2757813661,3376298733,0,2062.311218110097,2061.8202704922587,2061.710199501508,,-1337634.0,1390-08-07
2011-10-30,11,2,24,0,185917,395400,581317,0,384011453,816682000,1200693453,0,2065.499405648757,2065.471082043016,2065.4577642893278,,-395400.0,1390-08-08
2011-10-31,19,0,35,0,820012,0,820012,0,1714175972,0,1714175972,0,2090.4279108110613,2090.4279108110613,,,0.0,1390-08-09
2011-11-01,35,5,66,7,1300413,1305627,2045940,560100,2838161282,2852614643,4465027425,1225748500,2182.5076202714063,2182.384344115663,2184.861865601738,2188.4458132476343,-745527.0,1390-08-10
2011-11-02,73,7,68,9,1959620,2444005,1921420,2482205,4386770349,5425971556,4274792196,5537949709,2238.582148069524,2224.808837214144,2220.114752629393,2231.060572756884,38200.0,1390-08-11
2011-11-05,22,2,100,8,439208,2637276,2319197,757287,979767775,5880985970,5171841834,1688911911,2230.7603117429558,2230.0140238194517,2229.947100720592,2230.2137908085047,-1879989.0,1390-08-14
2011-11-06,8,4,153,8,14512,8970673,7235075,1750110,31872720,19805626916,15987508626,3849991010,2196.3009922822494,2209.722584216473,2207.8195154365785,2199.8565861574416,-7220563.0,1390-08-15
2011-11-08,6,3,65,6,24827,4157624,3026510,1155941,53676740,9126304623,6647282863,2532698500,2162.030853506263,2196.352519238331,2195.0769533271887,2191.0274832366013,-3001683.0,1390-08-17
2011-11-09,16,4,52,4,819644,5078829,2715334,3183139,1800623284,11151478796,5957430470,6994671610,2196.8358018847207,2193.995460595271,2195.6791213092624,2197.4131855379237,-1895690.0,1390-08-18
2011-11-12,13,3,20,3,417654,50570394,473819,50514229,919648152,111755249090,1043031290,111631865952,2201.937852863854,2201.3285452883906,2209.8947674799606,2209.909329745486,-56165.0,1390-08-21
2011-11-13,9,3,66,5,309248,4141711,3626088,824871,683658764,9146734116,8008358206,1822034674,2210.713614962748,2208.5393972788306,2208.443350103375,2208.8722648753564,-3316840.0,1390-08-22
2011-11-14,3,2,31,1,115588,822178,737766,200000,255688110,1816191202,1630079312,441800000,2212.064487663079,2209.480122423641,2209.0,2209.0,-622178.0,1390-08-23
2011-11-16,10,3,26,3,544154,512521,505308,551367,1203472466,1132120559,1116795799,1218797226,2211.6394733843726,2210.1288699169613,2208.925212820548,2210.500856960972,38846.0,1390-08-25
2011-11-19,17,4,57,7,1056322,4729457,2365212,3420567,2347145600,10562847222,5278625211,7631367611,2221.998216452938,2231.776775612503,2233.4164835413453,2231.024157983165,-1308890.0,1390-08-28
2011-11-20,12,2,42,7,691892,5615191,1547083,4760000,1549513434,12597931994,3493272796,10654172632,2239.53078515144,2257.9737454293013,2243.5446975890936,2238.271561344538,-855191.0,1390-08-29
2011-11-21,9,2,27,5,148710,2742800,2094437,797073,333563490,6149478271,4696240241,1786801520,2243.046802501513,2242.244689623035,2242.0439955519905,2241.7037335350715,-1945727.0,1390-08-30
2011-11-22,10,4,49,5,801369,2850852,1541721,2110500,1749241727,6277657167,3403006994,4623891900,2182.816813477936,2207.2780963611444,2202.0284346574285,2190.898791755508,-740352.0,1390-09-01
2011-11-23,8,3,29,1,139599,1653512,1293111,500000,300259097,3555051800,2780308650,1075002247,2150.8685377402417,2150.092799458051,2150.000604773355,2150.004494,-1153512.0,1390-09-02
2011-11-26,5,3,34,3,110084,8740667,1350751,7500000,236000920,18935602230,2899182041,16272421109,2143.8258057483376,2146.3482470122176,2166.379548608819,2169.6561478666667,-1240667.0,1390-09-05
2011-11-27,4,4,31,5,6530,29208157,2518054,26696633,13977730,63771979860,5446737780,58339219810,2140.540581929556,2163.0742549603783,2183.3619923365927,2185.265078558783,-2511524.0,1390-09-06
2011-11-28,4,5,40,3,37300,24999875,2537175,22500000,79995000,54888047845,5518042845,49450000000,2144.638069705094,2174.876721156404,2195.5328914644574,2197.777777777778,-2499875.0,1390-09-07
2011-11-29,9,0,17,1,862420,0,857420,5000,1871135122,0,1860310122,10825000,2169.633266853737,2169.660285507686,,2165.0,5000.0,1390-09-08
2011-11-30,9,1,9,0,75979,209826,285805,0,161358363,449027640,610386003,0,2123.723173508469,2135.672934343346,2140.0,,-209826.0,1390-09-09
2011-12-03,9,1,9,1,130153,176350,206503,100000,278851300,377335950,442089750,214097500,2142.4884558942167,2140.839358265981,2139.699177771477,2140.975,-76350.0,1390-09-12
2011-12-04,26,4,25,1,501616,563257,1017141,47732,1080804721,1215923811,2193247466,103481066,2154.6456273324616,2156.28655810748,2158.7371501818884,2167.95998491578,-515525.0,1390-09-13
2011-12-07,15,4,14,1,198012,8912266,660278,8450000,429290987,19334650735,1427439722,18336502000,2168.004903743208,2161.876848842457,2169.442736000025,2170.0002366863905,-462266.0,1390-09-16
2011-12-10,9,3,24,1,177694,1902773,993999,1086468,388726003,4124836622,2159226220,2354336405,2187.614680293088,2172.2619640462417,2167.8027920303684,2166.9634126361752,-816305.0,1390-09-19
2011-12-11,16,2,22,2,127880,1264817,845236,547461,269599274,2690352940,1808025273,1151926941,2108.2207851110416,2139.077456473695,2127.0689277579286,2104.1260308953515,-717356.0,1390-09-20
2011-12-12,14,3,22,2,351126,261695,355425,257396,742189431,554099504,749674979,546613956,2113.7410245894634,2109.235363297461,2117.348455262806,2123.6303439058884,-4299.0,1390-09-21
2011-12-13,12,6,12,1,149175,877203,417900,608478,311894275,1857053400,878823079,1290124596,2090.794536618066,2102.9506556592487,2117.0166996692897,2120.2485480165265,-268725.0,1390-09-22
2011-12-14,13,4,11,1,67099,1542700,1394639,215160,139843209,3214329600,2901566809,452606000,2084.1325355072354,2080.5146055717646,2083.573993647501,2103.5787321063394,-1327540.0,1390-09-23
2011-12-17,7,4,19,2,55971,775581,570762,260790,116858086,1626807070,1196747956,546917200,2087.832734809097,2096.754787459572,2097.5334233303806,2097.1555657808967,-514791.0,1390-09-26
2011-12-18,16,2,19,2,150507,1563735,800941,913301,312654111,3279835022,1676885454,1915603679,2077.3393330542767,2093.644168546747,2097.436600191209,2097.4505436871304,-650434.0,1390-09-27
2011-12-19,14,1,17,1,361748,992517,1344265,10000,752419240,2066378190,2797817430,20980000,2079.954111702069,2081.2990221422115,2081.9574778064257,2098.0,-982517.0,1390-09-28
2011-12-20,11,1,21,0,69986,718328,788314,0,145660810,1497001890,1642662700,0,2081.2849712799703,2083.767001474032,2084.008823267365,,-718328.0,1390-09-29
2011-12-21,11,2,24,1,305508,1744753,1930261,120000,635328144,3628711343,4014768937,249270550,2079.579402176048,2079.9098862796272,2079.7851288979014,2077.2545833333334,-1624753.0,1390-09-30
2011-12-24,5,2,26,2,41809,1034597,849786,226620,86695751,2160014454,1774917115,471793090,2073.6145566744003,2088.6636341384774,2087.78341131861,2081.868722972377,-807977.0,1390-10-03
