,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1727,2012-06-11,164,3,41,2,3917095,444843,2361938,2000000,5220300939,593483470,3144309409,2669475000,1332.6970469186988,1331.2412980357656,1334.1414161850362,1334.7375,1555157.0,1391-03-22
1726,2012-06-12,30,0,21,0,288120,0,288120,0,367264070,0,367264070,0,1274.6913438844929,1274.6913438844929,,,0.0,1391-03-23
1725,2012-06-13,7,3,21,1,63749,75381,129130,10000,82681041,97541490,167302531,12920000,1296.977850632951,1295.6131882598931,1293.9797827038644,1292.0,-65381.0,1391-03-24
1724,2012-06-16,4,2,7,0,64800,10716,75516,0,83850200,13594070,97444270,0,1293.9845679012346,1290.3791249536523,1268.5768943635685,,-10716.0,1391-03-27
1723,2012-06-17,4,1,3,0,13635,10000,23635,0,17053871,12500000,29553871,0,1250.742280894756,1250.4282208588957,1250.0,,-10000.0,1391-03-28
1722,2012-06-19,2,1,4,1,11000,10000,11000,10000,13452000,12200000,13451000,12201000,1222.909090909091,1222.8181818181818,1220.0,1220.1,0.0,1391-03-30
1721,2012-06-23,1,1,6,1,2270,110000,82270,30000,2635470,127710000,95515470,34830000,1161.0,1161.0,1161.0,1161.0,-80000.0,1391-04-03
1720,2012-06-24,4,1,5,0,19614,40000,59614,0,21726606,44345432,66072038,0,1107.709085347201,1108.3308954272486,1108.6358,,-40000.0,1391-04-04
1719,2012-06-25,2,1,13,0,20050,71953,92003,0,21736500,82350080,104086580,0,1084.1147132169576,1131.3389780768018,1144.4982141119897,,-71953.0,1391-04-05
1718,2012-06-26,11,1,13,0,72417,275000,347417,0,85780279,326145040,411925319,0,1184.5323473769972,1185.6797997795156,1185.9819636363636,,-275000.0,1391-04-06
1717,2012-06-27,4,0,1,0,322,0,322,0,398263,0,398263,0,1236.8416149068323,1236.8416149068323,,,0.0,1391-04-07
1716,2012-06-30,5,1,6,0,26856,13585,40441,0,31990312,15975960,47966272,0,1191.179326779863,1186.0802650775204,1176.0,,-13585.0,1391-04-10
1715,2012-07-01,1,1,4,0,1,70804,70805,0,1198,82238624,82239822,0,1198.0,1161.497380128522,1161.4968645839217,,-70804.0,1391-04-11
1714,2012-07-02,5,1,12,0,50210,76445,126655,0,61174408,92949915,154124323,0,1218.3710017924716,1216.883052386404,1215.9057492314737,,-76445.0,1391-04-12
