date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-11-01,1,0,3,0,26337,0,26337,0,14854068,0,14854068,0,564.0,564.0,,,0.0,1394-08-10
2015-11-04,1,0,3,0,5040,0,5040,0,2842560,0,2842560,0,564.0,564.0,,,0.0,1394-08-13
2015-11-23,1,0,4,0,8247,0,8247,0,4651308,0,4651308,0,564.0,564.0,,,0.0,1394-09-02
2015-11-25,1,0,2,0,9222,0,9222,0,5201208,0,5201208,0,564.0,564.0,,,0.0,1394-09-04
2016-01-31,1,0,13,0,55834,0,55834,0,31490376,0,31490376,0,564.0,564.0,,,0.0,1394-11-11
2016-02-16,1,0,1,0,5593,0,5593,0,3154452,0,3154452,0,564.0,564.0,,,0.0,1394-11-27
2016-02-21,1,0,1,0,6881,0,6881,0,3880884,0,3880884,0,564.0,564.0,,,0.0,1394-12-02
2016-03-01,1,0,0,1,245,0,0,245,138425,0,0,138425,565.0,,,565.0,245.0,1394-12-11
2016-04-26,1,0,1,0,245,0,245,0,139895,0,139895,0,571.0,571.0,,,0.0,1395-02-07
2016-08-24,1,0,0,1,63,0,0,63,35784,0,0,35784,568.0,,,568.0,63.0,1395-06-03
2016-08-31,1,0,1,0,220,0,220,0,124960,0,124960,0,568.0,568.0,,,0.0,1395-06-10
2016-11-14,1,0,0,1,780,0,0,780,443040,0,0,443040,568.0,,,568.0,780.0,1395-08-24
2016-11-16,3,0,0,1,3861,0,0,3861,2193048,0,0,2193048,568.0,,,568.0,3861.0,1395-08-26
2016-11-19,2,0,0,1,2817,0,0,2817,1600056,0,0,1600056,568.0,,,568.0,2817.0,1395-08-29
2017-03-25,1,0,2,0,1694,0,1694,0,1057056,0,1057056,0,624.0,624.0,,,0.0,1396-01-05
