,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1587,2008-12-01,1,1,1,1,50,10,50,10,213250,42650,213250,42650,4265.0,4265.0,4265.0,4265.0,0.0,1387-09-11
1586,2008-12-02,2,0,2,1,86636,0,31992,54644,358499768,0,132382896,226116872,4138.0,4138.0,,4138.0,54644.0,1387-09-12
1585,2008-12-03,1,1,1,1,10000,10,10000,10,40140000,41140,40140000,41140,4014.0,4014.0,4114.0,4114.0,0.0,1387-09-13
1584,2008-12-20,1,0,1,0,200,0,200,0,798200,0,798200,0,3991.0,3991.0,,,0.0,1387-09-30
1583,2009-03-07,1,0,1,0,30,0,30,0,119730,0,119730,0,3991.0,3991.0,,,0.0,1387-12-17
1582,2009-03-08,1,0,0,1,30,0,0,30,116160,0,0,116160,3872.0,,,3872.0,30.0,1387-12-18
1581,2009-03-09,1,0,0,1,30,0,0,30,112680,0,0,112680,3756.0,,,3756.0,30.0,1387-12-19
1580,2009-03-10,1,0,1,0,4644,0,4644,0,16922736,0,16922736,0,3644.0,3644.0,,,0.0,1387-12-20
1579,2009-03-11,1,0,1,0,30,0,30,0,106050,0,106050,0,3535.0,3535.0,,,0.0,1387-12-21
1578,2009-04-27,2,0,2,0,261736,0,261736,0,523472000,0,523472000,0,2000.0,2000.0,,,0.0,1388-02-07
1577,2009-05-02,1,0,1,0,102,0,102,0,210120,0,210120,0,2060.0,2060.0,,,0.0,1388-02-12
1576,2009-05-03,1,0,2,0,1824,0,1824,0,3757440,0,3757440,0,2060.0,2060.0,,,0.0,1388-02-13
1575,2009-05-05,5,0,2,0,22276,0,22276,0,45933112,0,45933112,0,2062.0,2062.0,,,0.0,1388-02-15
1574,2009-05-06,1,0,1,0,150000,0,150000,0,313200000,0,313200000,0,2088.0,2088.0,,,0.0,1388-02-16
1573,2009-07-22,5,0,3,1,379389,0,379289,100,801941998,0,801599098,342900,2113.7724024681797,2113.4256411338056,,3429.0,100.0,1388-04-31
1572,2009-07-26,4,0,5,1,370083,0,352698,17385,785386462,0,747539317,37847145,2122.1900546634133,2119.4883923356524,,2177.0,17385.0,1388-05-04
1571,2009-07-27,1,0,2,0,6835,0,6835,0,14105100,0,14105100,0,2063.6576444769566,2063.6576444769566,,,0.0,1388-05-05
1570,2009-07-28,2,1,1,0,133,5000,5133,0,276394,10395000,10671394,0,2078.1503759398497,2078.9779855834795,2079.0,,-5000.0,1388-05-06
1569,2009-07-29,0,1,2,1,0,1525,1015,510,0,3158275,2102065,1056210,,2071.0,2071.0,2071.0,-1015.0,1388-05-07
1568,2009-08-01,1,0,1,0,15000,0,15000,0,31650000,0,31650000,0,2110.0,2110.0,,,0.0,1388-05-10
1567,2009-08-02,2,1,6,0,72272,10000,82272,0,151193076,21130000,172323076,0,2092.000719504096,2094.553140801245,2113.0,,-10000.0,1388-05-11
1566,2009-08-03,1,0,1,0,1133,0,1133,0,2399694,0,2399694,0,2118.0,2118.0,,,0.0,1388-05-12
1565,2009-08-05,1,0,1,0,4035,0,4035,0,8707530,0,8707530,0,2158.0,2158.0,,,0.0,1388-05-14
1564,2009-08-10,2,0,1,0,1978,0,1978,0,4280392,0,4280392,0,2164.0,2164.0,,,0.0,1388-05-19
1563,2009-08-11,1,0,1,0,2240,0,2240,0,4851840,0,4851840,0,2166.0,2166.0,,,0.0,1388-05-20
1562,2009-08-17,4,0,1,0,23500,0,23500,0,50971500,0,50971500,0,2169.0,2169.0,,,0.0,1388-05-26
