date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-10-08,74,6,5,2,22655931,21400000,2037756,42018175,29430054369,27798600000,2647045044,54581609325,1299.0,1299.0,1299.0,1299.0,20618175.0,1397-07-16
2018-10-09,181,3,26,4,39419136,1120000,10194498,30344638,53728282368,1526560000,13895100774,41359741594,1363.0,1363.0,1363.0,1363.0,29224638.0,1397-07-17
2018-10-10,289,0,97,6,64676417,0,16786417,47890000,92315190985,0,23926805526,68388385459,1427.339287904585,1425.367040864051,,1428.0306005220295,47890000.0,1397-07-18
2018-10-13,25,1,3,0,428288,600000,1028288,0,580758528,813600000,1394358528,0,1356.0,1356.0,1356.0,,-600000.0,1397-07-21
2018-10-14,7,1,10,2,179507,600000,529507,250000,231384523,773400000,682534523,322250000,1289.0,1289.0,1289.0,1289.0,-350000.0,1397-07-22
2018-10-15,380,3,254,2,29719962,16538441,42163241,4095162,36610330274,20271289685,51862353267,5019266692,1231.8431051156797,1230.037161208741,1225.707410087807,1225.6576643366002,-12443279.0,1397-07-23
2018-10-16,268,6,125,4,29662091,9621939,13404030,25880000,38154081765,12385879661,17129041426,33410920000,1286.2910360904766,1277.9023492188544,1287.2540203175265,1290.9938176197836,16258061.0,1397-07-24
2018-10-17,259,2,171,6,23727010,12022103,20148454,15600659,31636772899,15681288776,26970617742,20347443933,1333.3653460339085,1338.594898745085,1304.3715210225698,1304.2682320663505,3578556.0,1397-07-25
2018-10-20,279,7,136,4,22302386,3627305,10092891,15836800,29836092344,4993961748,13767649204,21062404888,1337.7982223067972,1364.093717449242,1376.7691848355737,1329.9659582743989,12209495.0,1397-07-28
2018-10-21,137,4,136,3,9140890,2929580,10830470,1240000,12162295079,3873005088,14384010977,1651289190,1330.5372976810793,1328.1058880177868,1322.0342465472866,1331.6848306451614,-1689580.0,1397-07-29
2018-10-22,221,3,127,1,8379190,2971986,10701176,650000,11088203626,3879815519,14104389145,863630000,1323.3025657611297,1318.0223505341842,1305.462246120944,1328.6615384615384,-2321986.0,1397-07-30
2018-10-23,131,1,161,3,20128452,2000000,16333090,5795362,27759228026,2768000000,22506807018,8020421008,1379.103968154133,1377.9883058257806,1384.0,1383.9378813609917,3795362.0,1397-08-01
2018-10-24,234,4,293,1,16317845,24890567,40858412,350000,23288812533,35821723961,58603736494,506800000,1427.1990286094765,1434.312632953038,1439.1686601996653,1448.0,-24540567.0,1397-08-02
2018-10-27,68,1,148,4,4484449,2247286,5242735,1489000,6204164007,3114916899,7267709146,2051371760,1383.4841263664723,1386.2438490596987,1386.0794304774738,1377.684190732035,-758286.0,1397-08-05
2018-10-28,66,1,59,3,2668475,1548538,3565013,652000,3664883908,2162207801,4921443714,905647995,1373.4001285378354,1380.4840863132897,1396.2897914032462,1389.0306671779142,-896538.0,1397-08-06
2018-10-29,99,2,85,3,3637140,210000,3631972,215168,4936441750,284479764,4928574518,292346996,1357.2317122794284,1356.9968375306858,1354.6655428571428,1358.6917943188578,5168.0,1397-08-07
2018-10-31,90,4,73,1,2012911,1890881,3778081,125711,2779796346,2638594743,5242395689,175995400,1380.983235721798,1387.581602670774,1395.4314116012588,1400.0,-1765170.0,1397-08-09
2018-11-03,37,3,56,1,1306737,1100000,2406736,1,1762132997,1481418166,3243549832,1331,1348.4985861730402,1347.6965616503014,1346.743787272727,1331.0,-1099999.0,1397-08-12
2018-11-04,20,3,49,1,530846,927621,1455086,3381,710662475,1237042831,1943147718,4557588,1338.7356691017733,1335.417781491953,1333.564926839733,1348.0,-924240.0,1397-08-13
2018-11-05,36,3,41,0,915340,383381,1298721,0,1237902919,516934076,1754836995,0,1352.3968350558262,1351.203988385496,1348.3560113829324,,-383381.0,1397-08-14
2018-11-06,45,2,73,1,1250727,1226901,2477428,200,1693614154,1657434080,3350778034,270200,1354.1037764436203,1352.5228721076858,1350.9110189004657,1351.0,-1226701.0,1397-08-15
2018-11-10,38,3,37,0,953124,1408900,2362024,0,1284809164,1887824832,3172633996,0,1347.9979142273198,1343.1844875411934,1339.9281936262332,,-1408900.0,1397-08-19
