date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-09-08,1,0,1,0,12610,0,12610,0,7566000,0,7566000,0,600.0,600.0,,,0.0,1393-06-17
2014-09-15,3,0,2,0,12710,0,12710,0,5246320,0,5246320,0,412.7710464201416,412.7710464201416,,,0.0,1393-06-24
2014-09-17,1,0,1,0,500,0,500,0,205000,0,205000,0,410.0,410.0,,,0.0,1393-06-26
2014-09-20,1,0,1,0,2500,0,2500,0,1025000,0,1025000,0,410.0,410.0,,,0.0,1393-06-29
2014-09-21,1,0,1,0,2490,0,2490,0,1025880,0,1025880,0,412.0,412.0,,,0.0,1393-06-30
2014-09-24,1,0,1,0,200,0,200,0,82000,0,82000,0,410.0,410.0,,,0.0,1393-07-02
2014-10-04,1,0,1,0,50,0,50,0,20500,0,20500,0,410.0,410.0,,,0.0,1393-07-12
2014-10-06,1,0,1,0,200000,0,200000,0,82000000,0,82000000,0,410.0,410.0,,,0.0,1393-07-14
2014-10-07,1,0,1,0,96650,0,96650,0,39626500,0,39626500,0,410.0,410.0,,,0.0,1393-07-15
2014-10-11,3,0,2,0,309999,0,309999,0,128989401,0,128989401,0,416.09618418123927,416.09618418123927,,,0.0,1393-07-19
2014-10-18,1,0,1,0,12610,0,12610,0,8890050,0,8890050,0,705.0,705.0,,,0.0,1393-07-26
2014-10-21,2,0,1,0,36000,0,36000,0,25380000,0,25380000,0,705.0,705.0,,,0.0,1393-07-29
2014-10-22,4,0,2,0,260000,0,260000,0,156620000,0,156620000,0,602.3846153846154,602.3846153846154,,,0.0,1393-07-30
2014-10-28,1,0,1,0,50000,0,50000,0,25500000,0,25500000,0,510.0,510.0,,,0.0,1393-08-06
2014-10-29,3,0,1,0,16000,0,16000,0,7521000,0,7521000,0,470.0625,470.0625,,,0.0,1393-08-07
2014-11-12,2,0,2,0,40390,0,40390,0,18661300,0,18661300,0,462.02772963604855,462.02772963604855,,,0.0,1393-08-21
2014-11-23,4,0,2,0,63610,0,63610,0,31805000,0,31805000,0,500.0,500.0,,,0.0,1393-09-02
2014-11-24,2,0,1,0,50000,0,50000,0,25000000,0,25000000,0,500.0,500.0,,,0.0,1393-09-03
2014-11-25,1,0,1,0,1340,0,1340,0,978200,0,978200,0,730.0,730.0,,,0.0,1393-09-04
2014-12-09,2,0,1,0,13610,0,13610,0,7085500,0,7085500,0,520.6098457016899,520.6098457016899,,,0.0,1393-09-18
2014-12-15,4,0,1,0,234790,0,234790,0,106483500,0,106483500,0,453.5265556454704,453.5265556454704,,,0.0,1393-09-24
2014-12-16,2,0,1,0,150000,0,150000,0,64250000,0,64250000,0,428.3333333333333,428.3333333333333,,,0.0,1393-09-25
2014-12-20,1,0,1,0,50000,0,50000,0,22500000,0,22500000,0,450.0,450.0,,,0.0,1393-09-29
2014-12-27,2,0,3,0,521000,0,521000,0,226090000,0,226090000,0,433.9539347408829,433.9539347408829,,,0.0,1393-10-06
2014-12-28,1,0,1,0,27303,0,27303,0,13378470,0,13378470,0,490.0,490.0,,,0.0,1393-10-07
2014-12-31,2,0,1,0,21000,0,21000,0,9031000,0,9031000,0,430.04761904761904,430.04761904761904,,,0.0,1393-10-10
2015-01-03,1,0,1,0,12000,0,12000,0,5400000,0,5400000,0,450.0,450.0,,,0.0,1393-10-13
2015-01-10,3,0,1,0,265210,0,265210,0,110705580,0,110705580,0,417.4261151540289,417.4261151540289,,,0.0,1393-10-20
2015-01-11,1,0,1,0,610,0,610,0,274500,0,274500,0,450.0,450.0,,,0.0,1393-10-21
2015-01-13,1,0,1,0,50000,0,50000,0,20650000,0,20650000,0,413.0,413.0,,,0.0,1393-10-23
2015-01-20,5,0,2,0,86597,0,86597,0,35785740,0,35785740,0,413.2445696733144,413.2445696733144,,,0.0,1393-10-30
2015-01-26,1,0,1,0,50000,0,50000,0,20500000,0,20500000,0,410.0,410.0,,,0.0,1393-11-06
2015-02-09,1,0,1,0,13000,0,13000,0,4771000,0,4771000,0,367.0,367.0,,,0.0,1393-11-20
2015-04-12,1,0,1,0,16500,0,16500,0,6105000,0,6105000,0,370.0,370.0,,,0.0,1394-01-23
2015-10-10,2,0,1,0,300000,0,300000,0,109000000,0,109000000,0,363.3333333333333,363.3333333333333,,,0.0,1394-07-18
2015-10-28,1,0,1,0,50000,0,50000,0,22500000,0,22500000,0,450.0,450.0,,,0.0,1394-08-06
