date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-03-15,16,0,33,0,820828,0,820828,0,1087431200,0,1087431200,0,1324.7978870116517,1324.7978870116517,,,0.0,1392-12-24
2014-03-16,13,1,15,1,279500,6526192,6787692,18000,399485200,7831430400,8204239600,26676000,1429.285152057245,1208.6935588709682,1200.0,1482.0,-6508192.0,1392-12-25
2014-03-17,9,3,31,4,117199,35509134,35283380,342953,151179780,46574709420,46246025000,479864200,1289.9408698026434,1310.7028011488694,1311.6261697624054,1399.2127201103358,-35166181.0,1392-12-26
2014-03-18,6,2,10,1,59758,116886,175846,798,76095564,147508800,222566964,1037400,1273.395428227183,1265.6925036679822,1261.9886042810945,1300.0,-116088.0,1392-12-27
2014-03-19,2,2,8,1,14340,339140,153480,200000,17775400,431325000,199100400,250000000,1239.5676429567643,1297.2400312744332,1271.8198973875096,1250.0,-139140.0,1392-12-28
2014-03-26,5,0,3,0,90000,0,90000,0,110558800,0,110558800,0,1228.431111111111,1228.431111111111,,,0.0,1393-01-06
2014-04-05,11,1,15,0,960239,200000,1160239,0,1153066965,240000000,1393066965,0,1200.8124696039215,1200.6724174932924,1200.0,,-200000.0,1393-01-16
2014-04-06,4,1,14,0,139204,162986,302190,0,167165820,195959200,363125020,0,1200.8693715697823,1201.6447268274926,1202.3069466089112,,-162986.0,1393-01-17
2014-04-07,6,1,11,0,150237,186546,336783,0,179273585,223971200,403244785,0,1193.2718637885475,1197.3430517573631,1200.6218305404566,,-186546.0,1393-01-18
2014-04-08,2,0,5,0,54847,0,54847,0,64769460,0,64769460,0,1180.9116268893467,1180.9116268893467,,,0.0,1393-01-19
2014-04-09,3,1,36,1,75000,1286624,937422,424202,89877800,1542334214,1121048604,511163410,1198.3706666666667,1195.8846752049772,1198.7450988012038,1205.0,-862422.0,1393-01-20
2014-04-12,6,2,9,2,52420,322008,282428,92000,59105200,381449456,332568796,107985860,1127.5314765356734,1177.5347911680144,1184.5962087898438,1173.759347826087,-230008.0,1393-01-23
2014-04-13,2,1,21,2,90000,535151,596151,29000,103440000,636153180,704898180,34695000,1149.3333333333333,1182.4154954030105,1188.73585212398,1196.3793103448277,-506151.0,1393-01-24
2014-04-14,1,1,20,1,10000,370080,350080,30000,11800000,437005970,413435970,35370000,1180.0,1180.9756912705668,1180.8418990488542,1179.0,-340080.0,1393-01-25
2014-04-15,2,1,15,0,37500,516797,554297,0,43837500,609496009,653333509,0,1169.0,1178.6704762970032,1179.372188693046,,-516797.0,1393-01-26
2014-04-16,4,1,13,0,19282,251645,270927,0,22549412,298503479,321052891,0,1169.4539985478684,1185.0162257729942,1186.2086629974765,,-251645.0,1393-01-27
2014-04-19,2,0,3,0,147500,0,147500,0,168052500,0,168052500,0,1139.3389830508474,1139.3389830508474,,,0.0,1393-01-30
2014-04-20,6,1,10,2,812850,170050,272900,710000,925908000,200388500,317546500,808750000,1139.0883926923786,1163.6002198607548,1178.4092913848867,1139.0845070422536,539950.0,1393-01-31
2014-04-21,3,1,6,0,40000,1675010,1715010,0,45962000,1920011430,1965973430,0,1149.05,1146.3335082594272,1146.268637202166,,-1675010.0,1393-02-01
2014-04-22,1,3,17,1,100,1065449,864614,200935,114300,1273645120,1032637420,241122000,1143.0,1194.3334482208245,1195.406931725498,1200.0,-864514.0,1393-02-02
2014-04-23,4,2,4,2,6000,4100000,3206000,900000,6947000,4904000000,3830947000,1080000000,1157.8333333333333,1194.9304429195258,1196.0975609756097,1200.0,-3200000.0,1393-02-03
2014-04-26,3,2,7,1,73450,1606970,1677420,3000,88100000,1920364000,2004894000,3570000,1199.4554118447925,1195.2248095289194,1195.0216867769775,1190.0,-1603970.0,1393-02-06
2014-04-27,3,2,12,1,121173,293822,412995,2000,145184235,352586400,495370635,2400000,1198.156643806789,1199.4591581011878,1200.0,1200.0,-291822.0,1393-02-07
2014-04-28,3,3,17,0,247816,3861180,4108996,0,297384377,4633416000,4930800377,0,1200.0208904994029,1200.0012599184813,1200.0,,-3861180.0,1393-02-08
2014-04-29,2,1,11,0,181284,145077,326361,0,216740800,172406430,389147230,0,1195.587034707972,1192.3827601949988,1188.37879195186,,-145077.0,1393-02-09
2014-04-30,0,1,3,0,0,79900,79900,0,0,95215500,95215500,0,,1191.683354192741,1191.683354192741,,-79900.0,1393-02-10
2014-05-03,1,1,2,0,2857,5000,7857,0,3314120,6000000,9314120,0,1160.0,1185.4550082728776,1200.0,,-5000.0,1393-02-13
2014-05-04,3,0,3,0,42000,0,42000,0,48681028,0,48681028,0,1159.0720952380952,1159.0720952380952,,,0.0,1393-02-14
2014-05-05,2,1,3,0,6000,20000,26000,0,6936000,23000000,29936000,0,1156.0,1151.3846153846157,1150.0,,-20000.0,1393-02-15
2014-05-06,2,1,5,0,14200,10000,24200,0,16442552,11500000,27942552,0,1157.9261971830986,1154.6509090909092,1150.0,,-10000.0,1393-02-16
2014-05-07,1,1,2,0,12000,4680,16680,0,14160000,5382000,19542000,0,1180.0,1171.5827338129495,1150.0,,-4680.0,1393-02-17
2014-05-10,2,0,3,0,47000,0,47000,0,54184000,0,54184000,0,1152.851063829787,1152.851063829787,,,0.0,1393-02-20
2014-05-12,6,1,8,0,118384,65320,183704,0,135034104,75118000,210152104,0,1140.6448844438437,1143.9713016591909,1150.0,,-65320.0,1393-02-22
2014-05-14,3,0,5,0,165767,0,165767,0,187985914,0,187985914,0,1134.0370158113496,1134.0370158113496,,,0.0,1393-02-24
2014-05-17,3,1,5,0,56748,8100,64848,0,64333811,9234000,73567811,0,1133.6753894410376,1134.4653805822848,1140.0,,-8100.0,1393-02-27
2014-05-18,5,1,4,0,136117,900,137017,0,154221802,1026000,155247802,0,1133.009117156564,1133.0550369662158,1140.0,,-900.0,1393-02-28
2014-05-19,5,0,4,0,45500,0,45500,0,51278500,0,51278500,0,1127.0,1127.0,,,0.0,1393-02-29
2014-05-21,10,1,15,1,763259,95322,412384,446197,845520967,106284030,460347880,491457117,1107.7772643362214,1116.3087801660588,1115.0,1101.435278587709,350875.0,1393-02-31
2014-05-24,4,1,11,0,126105,4678,130783,0,141484312,5234682,146718994,0,1121.9564014115222,1121.8506533723803,1119.0,,-4678.0,1393-03-03
