date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-06-23,2,1,2,1,20000,2000000,20000,2000000,20200000,2400000000,20200000,2400000000,1010.0,1010.0,1200.0,1200.0,0.0,1394-04-02
2015-06-24,5,0,5,0,140000,0,140000,0,173250000,0,173250000,0,1237.5,1237.5,,,0.0,1394-04-03
2015-06-27,32,0,10,3,1735200,0,230100,1505100,2285978800,0,304373800,1981605000,1317.4151682803135,1322.7892220773576,,1316.593581821806,1505100.0,1394-04-06
2015-06-28,23,0,9,1,771375,0,439365,332010,992712450,0,561099450,431613000,1286.9388429752066,1277.069065583285,,1300.0,332010.0,1394-04-07
2015-06-29,11,0,7,0,156811,0,156811,0,191878750,0,191878750,0,1223.630676419384,1223.630676419384,,,0.0,1394-04-08
2015-06-30,20,1,14,1,584144,500000,1079144,5000,719290240,600000000,1313290240,6000000,1231.3577474047495,1216.9740460957944,1200.0,1200.0,-495000.0,1394-04-09
2015-07-01,8,1,10,0,310740,750000,1060740,0,373771547,900000000,1273771547,0,1202.8433642273285,1200.8329534098837,1200.0,,-750000.0,1394-04-10
2015-07-04,11,1,17,0,391960,12000,403960,0,481933800,14400000,496333800,0,1229.5484233085008,1228.670660461432,1200.0,,-12000.0,1394-04-13
2015-07-05,11,0,13,0,420550,0,420550,0,516578800,0,516578800,0,1228.340982047319,1228.340982047319,,,0.0,1394-04-14
2015-07-07,37,1,30,3,3614185,925000,2376485,2162700,4405492320,1110000000,2884141820,2631350500,1218.9448852230862,1213.6166733642333,1200.0,1216.6969528829704,1237700.0,1394-04-16
2015-07-11,14,1,13,1,667101,30629,366500,331230,811189851,36754800,445500201,402444450,1215.9925573488872,1215.5530723055936,1200.0,1215.0,300601.0,1394-04-20
2015-07-12,5,1,7,1,384441,5000,348500,40941,466063315,6000000,422320000,49743315,1212.3142822955929,1211.822094691535,1200.0,1215.0,35941.0,1394-04-21
2015-07-13,24,2,21,3,1887614,859270,712800,2034084,2284043624,1031134000,859977949,2455199675,1210.0162554420554,1206.4786040965207,1200.0116377855622,1207.0296384023472,1174814.0,1394-04-22
2015-07-14,14,1,25,2,1042379,1760201,2091935,710645,1263174213,2112241200,2514484288,860931125,1211.8185544797043,1201.989683235856,1200.0,1211.4784808167228,-1049556.0,1394-04-23
2015-07-15,7,1,13,1,356000,953480,941190,368290,427200000,1144176000,1129428000,441948000,1200.0,1200.0,1200.0,1200.0,-585190.0,1394-04-24
2015-07-20,16,1,34,1,936750,3346210,4122960,160000,1133659500,4015452000,4952311500,196800000,1210.204963971177,1201.1543890796904,1200.0,1230.0,-3186210.0,1394-04-29
2015-08-09,3,1,8,0,6100,1310000,1316100,0,6309000,1637500000,1643809000,0,1034.2622950819673,1249.0000759820682,1250.0,,-1310000.0,1394-05-18
2015-08-10,26,1,83,0,897261,5602989,6500250,0,1034583180,7003736250,8038319430,0,1153.0459699017342,1236.6169655013268,1250.0,,-5602989.0,1394-05-19
2015-08-12,10,2,45,0,40855,1537599,1578454,0,49067895,1921988750,1971056645,0,1201.0254558805532,1248.726060436351,1249.9934963537307,,-1537599.0,1394-05-21
2015-08-15,0,1,26,0,0,1285557,1285557,0,0,1606946250,1606946250,0,,1250.0,1250.0,,-1285557.0,1394-05-24
2015-08-16,8,1,45,0,197000,1401400,1598400,0,239892800,1747494410,1987387210,0,1217.729949238579,1243.3603666166166,1246.963329527615,,-1401400.0,1394-05-25
2015-08-17,9,1,35,0,310000,1387620,1697620,0,351123000,1725224800,2076347800,0,1132.6548387096775,1223.093389568926,1243.297732808694,,-1387620.0,1394-05-26
2015-08-18,1,1,17,0,100,1632400,1632500,0,120000,1975054000,1975174000,0,1200.0,1209.907503828484,1209.9081107571674,,-1632400.0,1394-05-27
2015-08-19,2,1,8,0,65000,290000,355000,0,78000000,348780000,426780000,0,1200.0,1202.1971830985915,1202.6896551724135,,-290000.0,1394-05-28
2015-08-22,9,0,8,0,1250700,0,1250700,0,1525493000,0,1525493000,0,1219.711361637483,1219.711361637483,,,0.0,1394-05-31
2015-08-23,5,1,7,0,355000,49000,404000,0,398090000,54880000,452970000,0,1121.380281690141,1121.2128712871288,1120.0,,-49000.0,1394-06-01
2015-08-24,8,1,185,3,442600,11985183,12117783,310000,519009900,14373009645,14520019545,372000000,1172.6387257117035,1198.2405977231974,1199.231554912428,1200.0,-11675183.0,1394-06-02
2015-08-25,1,1,47,0,1240,35293400,35294640,0,1490480,42352080000,42353570480,0,1202.0,1200.0000702656268,1200.0,,-35293400.0,1394-06-03
2015-08-26,0,1,6,0,0,146900,146900,0,0,176280000,176280000,0,,1200.0,1200.0,,-146900.0,1394-06-04
2015-08-29,6,1,19,0,94760,978876,1073636,0,113712000,1174651200,1288363200,0,1200.0,1200.0,1200.0,,-978876.0,1394-06-07
2015-08-30,1,1,8,0,202500,20615000,20817500,0,243000000,24738000000,24981000000,0,1200.0,1200.0,1200.0,,-20615000.0,1394-06-08
2015-08-31,3,1,16,0,28100,604999,633099,0,33720000,725998800,759718800,0,1200.0,1200.0,1200.0,,-604999.0,1394-06-09
2015-09-01,3,1,18,0,30308,1115500,1145808,0,36266520,1338600000,1374866520,0,1196.5989177774843,1199.9100372837331,1200.0,,-1115500.0,1394-06-10
2015-09-02,1,1,18,0,20000,3270800,3290800,0,23800000,3924960000,3948760000,0,1190.0,1199.9392245046795,1200.0,,-3270800.0,1394-06-11
2015-09-05,0,1,12,0,0,2175760,2175760,0,0,2610912000,2610912000,0,,1200.0,1200.0,,-2175760.0,1394-06-14
