date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-19,1,0,1,0,300,0,300,0,242100,0,242100,0,807.0,807.0,,,0.0,1387-10-30
2009-03-16,1,0,1,0,184,0,184,0,148488,0,148488,0,807.0,807.0,,,0.0,1387-12-26
2009-05-24,1,0,1,0,100,0,100,0,80700,0,80700,0,807.0,807.0,,,0.0,1388-03-03
2009-06-09,1,0,1,0,1212,0,1212,0,978084,0,978084,0,807.0,807.0,,,0.0,1388-03-19
2009-08-09,2,1,22,1,12010,263790,137990,137810,9620000,211032000,110393000,110259000,800.9991673605329,800.0072469019494,800.0,800.0798200420869,-125980.0,1388-05-18
2009-08-10,0,1,8,2,0,150000,42367,107633,0,120000000,33893600,86106400,,800.0,800.0,800.0,-42367.0,1388-05-19
2009-08-11,1,1,7,1,10000,226460,33659,202801,8010000,181253628,27012828,162250800,801.0,802.543985263971,800.3781153404575,800.0493094215511,-23659.0,1388-05-20
2009-08-12,1,1,4,1,10000,137923,9873,138050,8240000,113112488,8087338,113265150,824.0,819.1368378405753,820.1133096002842,820.4646867077146,127.0,1388-05-21
2009-08-15,0,1,7,2,0,389820,137915,251905,0,315742480,112045230,203697250,,812.422361599536,809.9699348417219,808.6272602766916,-137915.0,1388-05-24
2009-08-16,0,1,1,2,0,230799,1764,229035,0,186947190,1428840,185518350,,810.0,810.0,810.0,-1764.0,1388-05-25
2009-08-17,0,1,2,1,0,23857,10645,13212,0,19514170,8812450,10701720,,827.8487552841709,817.964119545626,810.0,-10645.0,1388-05-26
2009-08-18,0,1,7,0,0,41387,41387,0,0,33523470,33523470,0,,810.0,810.0,,-41387.0,1388-05-27
2009-08-19,2,1,7,0,2668,40607,43275,0,2187160,32742070,34929230,0,819.7751124437781,807.145696129405,806.3159061245598,,-40607.0,1388-05-28
2009-08-22,1,1,4,0,2766,8030,10796,0,2268120,6504300,8772420,0,820.0,812.5620600222304,810.0,,-8030.0,1388-05-31
2009-08-23,0,1,1,1,0,80811,40204,40607,0,66792911,32967280,33825631,,820.0,826.5324151415031,833.0,-40204.0,1388-06-01
2009-08-24,2,1,8,1,21500,34191,30691,25000,17330000,27763092,24788092,20305000,806.046511627907,807.6664820305627,812.0,812.2,-9191.0,1388-06-02
2009-08-25,1,1,2,0,1420,1500,2920,0,1157300,1218000,2375300,0,815.0,813.4589041095891,812.0,,-1500.0,1388-06-03
2009-08-26,1,1,4,0,18580,5872,24452,0,15142700,4768064,19910764,0,815.0,814.279568133486,812.0,,-5872.0,1388-06-04
2009-08-29,0,1,2,0,0,6000,6000,0,0,4872000,4872000,0,,812.0,812.0,,-6000.0,1388-06-07
2009-09-14,1,0,1,0,10,0,10,0,7880,0,7880,0,788.0,788.0,,,0.0,1388-06-23
2009-09-15,2,0,4,0,7553,0,7553,0,5951764,0,5951764,0,788.0,788.0,,,0.0,1388-06-24
2010-03-29,0,1,1,0,0,20000,20000,0,0,16900000,16900000,0,,845.0,845.0,,-20000.0,1389-01-09
2010-03-30,1,0,1,0,4528,0,4528,0,3830688,0,3830688,0,846.0,846.0,,,0.0,1389-01-10
2010-04-04,1,0,2,0,3638,0,3638,0,3077748,0,3077748,0,846.0,846.0,,,0.0,1389-01-15
2010-04-07,1,0,3,0,76927,0,76927,0,65080242,0,65080242,0,846.0,846.0,,,0.0,1389-01-18
2010-04-10,2,0,2,0,2780,0,2780,0,2351920,0,2351920,0,846.0143884892086,846.0143884892086,,,0.0,1389-01-21
2010-04-11,2,0,4,0,8506,0,8506,0,7442750,0,7442750,0,875.0,875.0,,,0.0,1389-01-22
2010-04-12,6,0,7,0,258218,0,258218,0,219124648,0,219124648,0,848.603304184836,848.603304184836,,,0.0,1389-01-23
2010-04-13,6,0,5,0,33327,0,33327,0,29049662,0,29049662,0,871.6554745401627,871.6554745401627,,,0.0,1389-01-24
2010-04-14,2,1,2,0,12000,14093,26093,0,10150000,11908585,22058585,0,845.8333333333334,845.3832445483463,845.0,,-14093.0,1389-01-25
2010-04-18,1,0,2,0,3000,0,3000,0,2463000,0,2463000,0,821.0,821.0,,,0.0,1389-01-29
2010-04-20,1,0,3,0,3000,0,3000,0,2463000,0,2463000,0,821.0,821.0,,,0.0,1389-01-31
2010-04-24,4,0,5,0,9526,0,9526,0,7811320,0,7811320,0,820.0,820.0,,,0.0,1389-02-04
2010-04-25,1,0,2,0,13612,0,13612,0,11175452,0,11175452,0,821.0,821.0,,,0.0,1389-02-05
2010-04-26,1,0,2,0,15578,0,15578,0,12789538,0,12789538,0,821.0,821.0,,,0.0,1389-02-06
2010-04-28,1,0,1,0,4095,0,4095,0,3464370,0,3464370,0,846.0,846.0,,,0.0,1389-02-08
2010-05-01,1,0,1,0,2220,0,2220,0,1878120,0,1878120,0,846.0,846.0,,,0.0,1389-02-11
2010-05-02,2,0,4,0,5814,0,5814,0,4767766,0,4767766,0,820.0491916064672,820.0491916064672,,,0.0,1389-02-12
2010-05-03,1,0,3,0,14182,0,14182,0,11629240,0,11629240,0,820.0,820.0,,,0.0,1389-02-13
2010-05-04,1,0,2,0,18270,0,18270,0,14981400,0,14981400,0,820.0,820.0,,,0.0,1389-02-14
2010-05-05,2,0,2,0,3170,0,3170,0,2603650,0,2603650,0,821.3406940063091,821.3406940063091,,,0.0,1389-02-15
2010-05-08,1,0,1,0,733,0,733,0,601060,0,601060,0,820.0,820.0,,,0.0,1389-02-18
2010-05-10,1,0,3,0,17124,0,17124,0,14041680,0,14041680,0,820.0,820.0,,,0.0,1389-02-20
2010-05-11,2,0,4,0,146343,0,146343,0,120001260,0,120001260,0,820.0,820.0,,,0.0,1389-02-21
2010-05-19,1,0,1,0,54,0,54,0,43578,0,43578,0,807.0,807.0,,,0.0,1389-02-29
2010-05-22,2,0,2,0,1966,0,1966,0,1586562,0,1586562,0,807.0,807.0,,,0.0,1389-03-01
2010-05-29,1,0,1,0,100,0,100,0,80700,0,80700,0,807.0,807.0,,,0.0,1389-03-08
2010-05-30,1,0,1,0,100,0,100,0,80700,0,80700,0,807.0,807.0,,,0.0,1389-03-09
2010-05-31,0,1,1,0,0,550,550,0,0,443850,443850,0,,807.0,807.0,,-550.0,1389-03-10
2010-06-14,2,1,15,0,69713,50,69763,0,56258391,40350,56298741,0,807.0,807.0,807.0,,-50.0,1389-03-24
2010-06-15,1,0,4,0,12648,0,12648,0,10156344,0,10156344,0,803.0,803.0,,,0.0,1389-03-25
2010-06-16,2,0,1,1,44537,0,4537,40000,35731074,0,3647748,32083326,802.2784201899544,804.0,,802.08315,40000.0,1389-03-26
2010-06-23,0,1,3,0,0,150647,150647,0,0,135582300,135582300,0,,900.0,900.0,,-150647.0,1389-04-02
2010-06-27,2,1,6,0,6647,36200,42847,0,6005535,32580000,38585535,0,903.4955619076276,900.542278339207,900.0,,-36200.0,1389-04-06
2010-06-28,0,1,5,0,0,133884,133884,0,0,120495600,120495600,0,,900.0,900.0,,-133884.0,1389-04-07
