date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-10-20,2,1,23,1,56648,2200000,56648,2200000,70810000,2750000000,70810000,2750000000,1250.0,1250.0,1250.0,1250.0,0.0,1392-07-28
2013-11-11,1,0,17,0,54508,0,54508,0,68135000,0,68135000,0,1250.0,1250.0,,,0.0,1392-08-20
2013-11-12,1,0,1,0,660,0,660,0,825000,0,825000,0,1250.0,1250.0,,,0.0,1392-08-21
2013-12-11,1,0,3,0,9456,0,9456,0,11820000,0,11820000,0,1250.0,1250.0,,,0.0,1392-09-20
2013-12-25,2,0,4,0,5940,0,5940,0,7425000,0,7425000,0,1250.0,1250.0,,,0.0,1392-10-04
2013-12-30,3,0,6,0,15014,0,15014,0,18797308,0,18797308,0,1251.985347009458,1251.985347009458,,,0.0,1392-10-09
2014-01-04,2,0,2,0,2251,0,2251,0,2877670,0,2877670,0,1278.3962683251889,1278.3962683251889,,,0.0,1392-10-14
2014-01-05,1,0,1,0,2404,0,2404,0,3125200,0,3125200,0,1300.0,1300.0,,,0.0,1392-10-15
2014-01-13,3,1,23,0,34458,5346,39804,0,43925500,6682500,50608000,0,1274.7547739276802,1271.4300070344689,1250.0,,-5346.0,1392-10-23
2014-01-21,4,1,9,0,26948,5848,32796,0,33958786,7310000,41268786,0,1260.15978922369,1258.348152213685,1250.0,,-5848.0,1392-11-01
2014-01-29,2,0,3,0,7267,0,7267,0,9121865,0,9121865,0,1255.244942892528,1255.244942892528,,,0.0,1392-11-09
2014-02-01,1,0,1,0,3464,0,3464,0,5196000,0,5196000,0,1500.0,1500.0,,,0.0,1392-11-12
2014-02-02,1,0,1,0,5500,0,5500,0,7040000,0,7040000,0,1280.0,1280.0,,,0.0,1392-11-13
2014-02-03,2,0,2,0,2112,0,2112,0,2684352,0,2684352,0,1271.0,1271.0,,,0.0,1392-11-14
2014-02-08,2,0,4,0,4224,0,4224,0,5378868,0,5378868,0,1273.40625,1273.40625,,,0.0,1392-11-19
2014-02-18,4,0,12,0,28183,0,28183,0,36000490,0,36000490,0,1277.3831742539828,1277.3831742539828,,,0.0,1392-11-29
2014-02-23,2,0,3,0,11550,0,11550,0,15378000,0,15378000,0,1331.428571428571,1331.428571428571,,,0.0,1392-12-04
2014-03-02,4,0,7,0,17300,0,17300,0,22186920,0,22186920,0,1282.4809248554914,1282.4809248554914,,,0.0,1392-12-11
2014-03-04,1,0,1,0,924,0,924,0,1193808,0,1193808,0,1292.0,1292.0,,,0.0,1392-12-13
2014-03-05,2,0,2,0,4620,0,4620,0,5969040,0,5969040,0,1292.0,1292.0,,,0.0,1392-12-14
2014-03-09,1,0,4,0,5412,0,5412,0,6992304,0,6992304,0,1292.0,1292.0,,,0.0,1392-12-18
2014-03-10,1,0,1,0,7920,0,7920,0,10240560,0,10240560,0,1293.0,1293.0,,,0.0,1392-12-19
2014-03-11,1,0,1,0,6610,0,6610,0,8540120,0,8540120,0,1292.0,1292.0,,,0.0,1392-12-20
2014-03-18,2,0,5,0,9394,0,9394,0,12063128,0,12063128,0,1284.1311475409836,1284.1311475409836,,,0.0,1392-12-27
2014-03-30,1,0,2,0,16500,0,16500,0,21450000,0,21450000,0,1300.0,1300.0,,,0.0,1393-01-10
