date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,2,7,2,2640,44010,46563,87,4279440,71671280,75810470,140250,1621.0,1628.1268389064278,1628.5226084980686,1612.0689655172414,-43923.0,1387-09-06
2008-11-29,0,2,13,2,0,131734,121724,10010,0,214270942,197984672,16286270,,1626.5048141697612,1626.542441586834,1627.0,-121724.0,1387-09-09
2008-11-30,1,2,9,5,10,181017,132395,48632,16270,295994941,216158669,79852542,1627.0,1632.680003021262,1635.1775855306407,1641.975283763777,-132385.0,1387-09-10
2008-12-01,1,2,4,2,543,28010,27860,693,884547,45611168,45367491,1128224,1629.0,1628.409583632448,1628.3887183148877,1628.02886002886,-27317.0,1387-09-11
2008-12-02,1,5,12,4,10000,143376,104049,49327,16180000,231175364,167009630,80345734,1618.0,1605.105575257811,1612.371415020645,1628.8388509335657,-94049.0,1387-09-12
2008-12-03,1,4,8,2,10,75627,35627,40010,16300,124168278,58168308,66016270,1630.0,1632.702950009824,1641.8511642667302,1649.9942514371407,-35617.0,1387-09-13
2008-12-06,0,1,2,0,0,5326,5326,0,0,8665402,8665402,0,,1627.0,1627.0,,-5326.0,1387-09-16
2008-12-07,0,1,3,0,0,13457,13457,0,0,21894539,21894539,0,,1627.0,1627.0,,-13457.0,1387-09-17
2008-12-08,0,1,6,0,0,33750,33750,0,0,54917500,54917500,0,,1627.1851851851852,1627.1851851851852,,-33750.0,1387-09-18
2008-12-10,0,1,3,0,0,12500,12500,0,0,20341500,20341500,0,,1627.32,1627.32,,-12500.0,1387-09-20
2008-12-13,0,1,3,0,0,56200,56200,0,0,91447400,91447400,0,,1627.1779359430604,1627.1779359430604,,-56200.0,1387-09-23
2008-12-14,0,2,5,0,0,47523,47523,0,0,77367444,77367444,0,,1628.0,1628.0,,-47523.0,1387-09-24
2008-12-15,1,1,3,0,2000,30000,32000,0,3254000,48825000,52079000,0,1627.0,1627.46875,1627.5,,-30000.0,1387-09-25
2008-12-16,1,0,1,0,3000,0,3000,0,4737000,0,4737000,0,1579.0,1579.0,,,0.0,1387-09-26
2008-12-21,1,0,1,0,2000,0,2000,0,3158000,0,3158000,0,1579.0,1579.0,,,0.0,1387-10-01
2008-12-27,1,0,2,0,1157,0,1157,0,1826903,0,1826903,0,1579.0,1579.0,,,0.0,1387-10-07
2008-12-28,1,1,10,0,4894,71000,75894,0,7729638,112109000,119838638,0,1579.4111156518186,1579.026510659604,1579.0,,-71000.0,1387-10-08
2008-12-29,2,0,2,0,13000,0,13000,0,20441000,0,20441000,0,1572.3846153846157,1572.3846153846157,,,0.0,1387-10-09
2008-12-30,1,0,1,0,5000,0,5000,0,7860000,0,7860000,0,1572.0,1572.0,,,0.0,1387-10-10
2009-01-03,1,0,1,0,2311,0,2311,0,3630581,0,3630581,0,1571.0,1571.0,,,0.0,1387-10-14
2009-01-11,1,0,4,0,10000,0,10000,0,15710000,0,15710000,0,1571.0,1571.0,,,0.0,1387-10-22
2009-01-12,2,0,3,0,38000,0,38000,0,59660000,0,59660000,0,1570.0,1570.0,,,0.0,1387-10-23
2009-01-13,2,0,11,0,98000,0,98000,0,153477870,0,153477870,0,1566.1007142857145,1566.1007142857145,,,0.0,1387-10-24
2009-01-14,1,0,1,0,949,0,949,0,1476644,0,1476644,0,1556.0,1556.0,,,0.0,1387-10-25
2009-01-18,1,1,5,0,6500,50000,56500,0,10114000,77800000,87914000,0,1556.0,1556.0,1556.0,,-50000.0,1387-10-29
2009-01-19,0,1,3,0,0,12175,12175,0,0,20025875,20025875,0,,1644.835728952772,1644.835728952772,,-12175.0,1387-10-30
2009-01-20,1,1,1,0,1202,1098,2300,0,1935220,1767780,3703000,0,1610.0,1610.0,1610.0,,-1098.0,1387-11-01
2009-01-24,2,0,1,1,6600,0,1600,5000,10338200,0,2483200,7855000,1566.3939393939395,1552.0,,1571.0,5000.0,1387-11-05
2009-01-25,2,1,3,0,9445,2500,11945,0,15015760,3998000,19013760,0,1589.8104817363685,1591.7756383424028,1599.2,,-2500.0,1387-11-06
2009-01-27,2,0,3,0,5026,0,5026,0,7806378,0,7806378,0,1553.1989653800238,1553.1989653800238,,,0.0,1387-11-08
2009-01-31,6,0,3,2,37186,0,25686,11500,59611374,0,41372374,18239000,1603.0595923196902,1610.697422720548,,1586.0,11500.0,1387-11-12
2009-02-01,6,1,4,0,16128,2000,18128,0,25135430,3284000,28419430,0,1558.4964037698412,1567.7090688437777,1642.0,,-2000.0,1387-11-13
2009-02-02,2,1,3,1,7000,2000,4678,4322,11245526,3254000,7584326,6915200,1606.5037142857143,1621.2753313381786,1627.0,1600.0,2322.0,1387-11-14
2009-02-03,3,0,3,0,11700,0,11700,0,18220430,0,18220430,0,1557.301709401709,1557.301709401709,,,0.0,1387-11-15
2009-02-04,0,1,2,0,0,4467,4467,0,0,7127860,7127860,0,,1595.6704723528094,1595.6704723528094,,-4467.0,1387-11-16
2009-02-07,2,1,3,1,11636,2762,14255,143,18685498,4429200,22885040,229658,1605.83516672396,1605.4044195019292,1603.62056480811,1606.0,-2619.0,1387-11-19
2009-02-08,3,1,2,1,1220,2000,1220,2000,1941300,3232000,1941300,3232000,1591.229508196721,1591.229508196721,1616.0,1616.0,0.0,1387-11-20
2009-02-09,1,1,4,1,50,20550,12600,8000,80500,33212438,20396938,12896000,1610.0,1618.8046031746032,1616.1770316301704,1612.0,-12550.0,1387-11-21
2009-02-11,1,0,1,0,9617,0,9617,0,15396817,0,15396817,0,1601.0,1601.0,,,0.0,1387-11-23
2009-02-14,0,1,1,0,0,2000,2000,0,0,3258000,3258000,0,,1629.0,1629.0,,-2000.0,1387-11-26
