date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-06-09,4748,196,0,2,618131083,364368417,0,982499500,618751434083,364737165417,0,983488599500,1001.0035914712284,,1001.0120208003648,1001.0067175606704,618131083.0,1388-03-19
2009-06-10,533,21,229,24,36089552,17671260,27879857,25880955,36868672132,18025025335,28481188747,26412508720,1021.588523237972,1021.5686811808253,1020.0192479200692,1020.5384121258276,8209695.0,1388-03-20
2009-06-13,238,7,704,29,73498448,47201775,68890777,51809446,75185793355,48274281100,70460772096,52999302359,1022.9575644236731,1022.7896267739876,1022.7217323924788,1022.9660120086982,4607671.0,1388-03-23
2009-06-14,215,4,361,12,37170423,2720000,23587276,16303147,38069247228,2785184600,24155963006,16698468822,1024.1811675912325,1024.109905950988,1023.9649264705882,1024.2481909780977,13583147.0,1388-03-24
2009-06-15,42,3,270,9,8287205,26382351,27719578,6949978,8496616893,27041909775,28414349218,7124177450,1025.269302859046,1025.064278323429,1025.0,1025.064748406398,-19432373.0,1388-03-25
2009-06-16,46,3,210,9,10996883,13400000,14873883,9523000,11273297555,13735000000,15247222555,9761075000,1025.1357184576757,1025.1003423248658,1025.0,1025.0,-3877000.0,1388-03-26
2009-06-17,563,1,70,2,2424117,816334,3127087,113364,2488076200,837558684,3209322759,116312125,1026.3845350698832,1026.2978801037516,1026.0,1026.005830775202,-702970.0,1388-03-27
2009-06-20,57,1,61,1,1630916,946391,2477307,100000,1673755222,970997166,2542152388,102600000,1026.2669702179635,1026.1757577885987,1026.0,1026.0,-846391.0,1388-03-30
2009-06-21,71,10,61,3,4221501,1314963,4036464,1500000,4335978501,1350467001,4145545502,1540900000,1027.1177244776206,1027.0240244927245,1027.0,1027.2666666666669,185037.0,1388-03-31
2009-06-22,25,5,39,1,10394756,13863609,24158365,100000,10675579809,14237926443,24810806252,102700000,1027.015911580801,1027.0068463656378,1027.0,1027.0,-13763609.0,1388-04-01
