date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-13,1,1,10,2,1000,300000,199581,101419,869000,312000000,207564240,105304760,869.0,1040.0,1040.0,1038.313925398594,-198581.0,1387-09-23
2008-12-14,0,1,18,2,0,19049,17049,2000,0,19791911,17713911,2078000,,1039.0,1039.0,1039.0,-17049.0,1387-09-24
2008-12-15,0,1,18,3,0,20080,17080,3000,0,20863120,17746120,3117000,,1039.0,1039.0,1039.0,-17080.0,1387-09-25
2008-12-16,0,1,18,3,0,20488,17488,3000,0,21287032,18170032,3117000,,1039.0,1039.0,1039.0,-17488.0,1387-09-26
2008-12-20,0,1,20,3,0,23000,20000,3000,0,23897000,20780000,3117000,,1039.0,1039.0,1039.0,-20000.0,1387-09-30
2008-12-21,0,1,21,2,0,23000,21000,2000,0,23897000,21819000,2078000,,1039.0,1039.0,1039.0,-21000.0,1387-10-01
2008-12-22,0,1,24,3,0,26962,23962,3000,0,28013518,24896518,3117000,,1039.0,1039.0,1039.0,-23962.0,1387-10-02
2008-12-23,1,1,36,3,10,39000,36010,3000,10400,40521000,37414400,3117000,1040.0,1039.000277700639,1039.0,1039.0,-36000.0,1387-10-03
2008-12-24,0,1,32,3,0,33490,30490,3000,0,34796110,31679110,3117000,,1039.0,1039.0,1039.0,-30490.0,1387-10-04
2008-12-27,0,1,38,3,0,39312,36312,3000,0,40845168,37728168,3117000,,1039.0,1039.0,1039.0,-36312.0,1387-10-07
2008-12-28,1,1,38,4,935,39687,35687,4935,971465,41234793,37078793,5127465,1039.0,1039.0,1039.0,1039.0,-34752.0,1387-10-08
2008-12-29,0,1,35,4,0,36198,32198,4000,0,37609722,33453722,4156000,,1039.0,1039.0,1039.0,-32198.0,1387-10-09
2008-12-30,0,1,34,3,0,36156,33156,3000,0,37566084,34449084,3117000,,1039.0,1039.0,1039.0,-33156.0,1387-10-10
2008-12-31,0,1,33,3,0,34043,31043,3000,0,35370677,32253677,3117000,,1039.0,1039.0,1039.0,-31043.0,1387-10-11
2009-01-03,0,1,30,3,0,32427,29427,3000,0,33691653,30574653,3117000,,1039.0,1039.0,1039.0,-29427.0,1387-10-14
2009-01-04,0,1,35,3,0,36893,33893,3000,0,38331827,35214827,3117000,,1039.0,1039.0,1039.0,-33893.0,1387-10-15
2009-01-05,0,1,34,3,0,36125,33125,3000,0,37533875,34416875,3117000,,1039.0,1039.0,1039.0,-33125.0,1387-10-16
2009-01-10,0,1,35,4,0,37720,33720,4000,0,39191080,35035080,4156000,,1039.0,1039.0,1039.0,-33720.0,1387-10-21
2009-01-11,1,1,37,4,2000,40275,38275,4000,2078000,41845725,39767725,4156000,1039.0,1039.0,1039.0,1039.0,-36275.0,1387-10-22
2009-01-12,0,1,37,3,0,34794,31794,3000,0,36150966,33033966,3117000,,1039.0,1039.0,1039.0,-31794.0,1387-10-23
2009-01-13,2,1,35,3,3494,37500,37994,3000,3632760,38962500,39478260,3117000,1039.713795077275,1039.0656419434647,1039.0,1039.0,-34500.0,1387-10-24
2009-01-14,1,1,46,3,957,44597,42554,3000,994323,46336283,44213606,3117000,1039.0,1039.0,1039.0,1039.0,-41597.0,1387-10-25
2009-01-17,1,1,50,4,1000,52029,49029,4000,1039000,54058131,50941131,4156000,1039.0,1039.0,1039.0,1039.0,-48029.0,1387-10-28
2009-01-18,1,1,48,4,2500,50265,48765,4000,2600000,52225335,50669335,4156000,1040.0,1039.051266277043,1039.0,1039.0,-46265.0,1387-10-29
2009-01-19,0,1,43,3,0,44848,41848,3000,0,46597072,43480072,3117000,,1039.0,1039.0,1039.0,-41848.0,1387-10-30
2009-01-20,0,1,46,4,0,49105,45105,4000,0,51020095,46864095,4156000,,1039.0,1039.0,1039.0,-45105.0,1387-11-01
2009-01-21,0,1,52,4,0,54524,50524,4000,0,56629836,52473836,4156000,,1038.5922729791782,1038.6221847259922,1039.0,-50524.0,1387-11-02
2009-01-24,0,1,51,3,0,53097,50097,3000,0,55167783,52050783,3117000,,1039.0,1039.0,1039.0,-50097.0,1387-11-05
2009-01-25,0,1,55,4,0,56252,52252,4000,0,58445828,54289828,4156000,,1039.0,1039.0,1039.0,-52252.0,1387-11-06
2009-01-26,0,1,58,4,0,58780,54780,4000,0,61072420,56916420,4156000,,1039.0,1039.0,1039.0,-54780.0,1387-11-07
2009-01-27,0,1,46,4,0,48665,44665,4000,0,50562935,46406935,4156000,,1039.0,1039.0,1039.0,-44665.0,1387-11-08
2009-01-28,0,1,46,4,0,48482,44482,4000,0,50372798,46216798,4156000,,1039.0,1039.0,1039.0,-44482.0,1387-11-09
2009-01-31,0,1,61,4,0,62141,58141,4000,0,64564499,60408499,4156000,,1039.0,1039.0,1039.0,-58141.0,1387-11-12
2009-02-01,1,1,56,5,1909,57483,54392,5000,2042630,61506810,58199440,5350000,1070.0,1070.0,1070.0,1070.0,-52483.0,1387-11-13
2009-02-02,0,1,62,5,0,63510,58510,5000,0,68082720,62722720,5360000,,1072.0,1072.0,1072.0,-58510.0,1387-11-14
2009-02-03,0,1,57,5,0,59597,54597,5000,0,64007178,58637178,5370000,,1074.0,1074.0,1074.0,-54597.0,1387-11-15
2009-02-04,0,1,59,5,0,61590,56590,5000,0,66270840,60890840,5380000,,1076.0,1076.0,1076.0,-56590.0,1387-11-16
2009-02-07,0,1,56,5,0,56107,51107,5000,0,60483346,55093346,5390000,,1078.0,1078.0,1078.0,-51107.0,1387-11-19
2009-02-08,2,1,55,5,6526,52867,54393,5000,7048080,57096360,58744440,5400000,1080.0,1080.0,1080.0,1080.0,-47867.0,1387-11-20
2009-02-09,1,1,57,6,1000,56148,52048,5100,1051000,59011548,54702448,5360100,1051.0,1051.0,1051.0,1051.0,-51048.0,1387-11-21
2009-02-11,1,1,48,5,1000,50164,46164,5000,1051000,52722364,48518364,5255000,1051.0,1051.0,1051.0,1051.0,-45164.0,1387-11-23
2009-02-14,2,1,50,5,1010,48243,44253,5000,1061520,50703393,46509913,5255000,1051.009900990099,1051.0002259733803,1051.0,1051.0,-43243.0,1387-11-26
2009-02-15,2,1,45,5,11000,48600,54600,5000,11561000,51078600,57384600,5255000,1051.0,1051.0,1051.0,1051.0,-43600.0,1387-11-27
2009-02-17,0,1,50,5,0,52424,47424,5000,0,55097624,49842624,5255000,,1051.0,1051.0,1051.0,-47424.0,1387-11-29
2009-02-18,0,1,45,5,0,47686,42686,5000,0,50117986,44862986,5255000,,1051.0,1051.0,1051.0,-42686.0,1387-11-30
2009-02-21,1,1,41,5,1,44597,39598,5000,1052,46871447,41617499,5255000,1052.0,1051.000025253801,1051.0,1051.0,-39597.0,1387-12-03
2009-02-22,0,1,49,4,0,50908,46908,4000,0,53504308,49300308,4204000,,1051.0,1051.0,1051.0,-46908.0,1387-12-04
2009-02-23,0,1,49,3,0,50887,47887,3000,0,53482237,50329237,3153000,,1051.0,1051.0,1051.0,-47887.0,1387-12-05
