date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,2,1,2,10,10010,1865,8155,7440,7447670,1387560,6067550,744.0,744.0,744.022977022977,744.0282035561006,-1855.0,1387-09-06
2008-11-29,0,2,1,1,0,10010,10000,10,0,7447670,7440000,7670,,744.0,744.022977022977,767.0,-10000.0,1387-09-09
2008-11-30,0,2,1,1,0,10010,10000,10,0,7447670,7440000,7670,,744.0,744.022977022977,767.0,-10000.0,1387-09-10
2008-12-01,0,2,2,1,0,10010,10000,10,0,7447670,7440000,7670,,744.0,744.022977022977,767.0,-10000.0,1387-09-11
2008-12-02,0,2,1,2,0,10010,7501,2509,0,7447670,5580744,1866926,,744.0,744.022977022977,744.091669988043,-7501.0,1387-09-12
2008-12-03,0,2,0,2,0,10010,0,10010,0,7447670,0,7447670,,,744.022977022977,744.022977022977,0.0,1387-09-13
2008-12-06,0,1,3,0,0,10000,10000,0,0,7440000,7440000,0,,744.0,744.0,,-10000.0,1387-09-16
2008-12-07,0,1,2,0,0,1438,1438,0,0,1069872,1069872,0,,744.0,744.0,,-1438.0,1387-09-17
2008-12-08,1,1,1,0,100,736,836,0,74400,547584,621984,0,744.0,744.0,744.0,,-736.0,1387-09-18
2008-12-14,1,1,1,0,50,10000,10050,0,37200,7440000,7477200,0,744.0,744.0,744.0,,-10000.0,1387-09-24
2008-12-15,0,1,1,0,0,10000,10000,0,0,7440000,7440000,0,,744.0,744.0,,-10000.0,1387-09-25
2008-12-24,0,1,5,0,0,51505,51505,0,0,38113263,38113263,0,,739.9915153868557,739.9915153868557,,-51505.0,1387-10-04
2008-12-31,0,1,3,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-11
2009-01-03,0,1,2,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-14
2009-01-04,0,1,1,0,0,10009,10009,0,0,7186462,7186462,0,,718.0,718.0,,-10009.0,1387-10-15
2009-01-05,0,1,4,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-16
2009-01-11,0,1,2,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-22
2009-01-13,1,0,4,0,10000,0,10000,0,7180000,0,7180000,0,718.0,718.0,,,0.0,1387-10-24
2009-01-14,0,1,2,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-25
2009-01-17,0,1,1,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-10-28
2009-01-19,1,0,3,0,2166,0,2166,0,1555188,0,1555188,0,718.0,718.0,,,0.0,1387-10-30
2009-01-20,0,1,2,0,0,10000,10000,0,0,7180000,7180000,0,,718.0,718.0,,-10000.0,1387-11-01
2009-01-25,0,1,1,0,0,4420,4420,0,0,3173560,3173560,0,,718.0,718.0,,-4420.0,1387-11-06
2009-03-14,1,0,1,0,936,0,936,0,672048,0,672048,0,718.0,718.0,,,0.0,1387-12-24
2009-04-18,1,0,0,1,10,0,0,10,6970,0,0,6970,697.0,,,697.0,10.0,1388-01-29
2009-04-27,1,0,0,1,713,0,0,713,496961,0,0,496961,697.0,,,697.0,713.0,1388-02-07
2009-04-29,3,1,8,1,15092,16747,22562,9277,10519124,11672659,15725714,6466069,697.0,697.0,697.0,697.0,-7470.0,1388-02-09
2009-05-02,1,0,1,0,50,0,50,0,34800,0,34800,0,696.0,696.0,,,0.0,1388-02-12
2009-05-03,2,0,4,0,10376,0,10376,0,7221696,0,7221696,0,696.0,696.0,,,0.0,1388-02-13
2009-05-04,1,0,2,0,8573,0,8573,0,5966808,0,5966808,0,696.0,696.0,,,0.0,1388-02-14
2009-05-09,14,1,33,2,321698,76125,377399,20424,224511988,52989832,263286716,14215104,697.8967478815536,697.6349062928094,696.0897471264368,696.0,-55701.0,1388-02-19
2009-05-10,2,0,1,0,7235,0,7235,0,5191561,0,5191561,0,717.5619903248099,717.5619903248099,,,0.0,1388-02-20
2009-05-11,6,1,2,1,16311,66757,73068,10000,11166165,45728545,50051012,6843698,684.5788118447673,684.992226419226,685.0,684.3698,-56757.0,1388-02-21
2009-05-12,2,0,1,0,3499,0,3499,0,2379320,0,2379320,0,680.0,680.0,,,0.0,1388-02-22
2009-05-16,6,0,0,1,12235,0,0,12235,8319800,0,0,8319800,680.0,,,680.0,12235.0,1388-02-26
2009-05-18,1,0,4,0,19750,0,19750,0,13430000,0,13430000,0,680.0,680.0,,,0.0,1388-02-28
2009-05-19,1,0,1,0,62,0,62,0,42098,0,42098,0,679.0,679.0,,,0.0,1388-02-29
2009-05-20,1,0,1,0,1000,0,1000,0,679000,0,679000,0,679.0,679.0,,,0.0,1388-02-30
2009-05-24,1,0,1,0,600,0,600,0,407400,0,407400,0,679.0,679.0,,,0.0,1388-03-03
2009-05-26,1,0,1,0,1150,0,1150,0,780850,0,780850,0,679.0,679.0,,,0.0,1388-03-05
2009-05-27,1,0,1,0,1862,0,1862,0,1264298,0,1264298,0,679.0,679.0,,,0.0,1388-03-06
2009-05-31,9,0,24,1,268524,0,248524,20000,187075498,0,172655498,14420000,696.6807361725581,694.7236403727608,,721.0,20000.0,1388-03-10
2009-06-01,7,0,10,0,84050,0,84050,0,60121874,0,60121874,0,715.3108149910768,715.3108149910768,,,0.0,1388-03-11
2009-06-02,7,0,2,0,45074,0,45074,0,30879894,0,30879894,0,685.0932688467852,685.0932688467852,,,0.0,1388-03-12
2009-06-03,4,0,6,1,75362,0,34262,41100,54181167,0,24548067,29633100,718.9454499615191,716.480853423618,,721.0,41100.0,1388-03-13
2009-06-06,1,0,2,0,10120,0,10120,0,6911960,0,6911960,0,683.0,683.0,,,0.0,1388-03-16
2009-06-07,2,0,2,0,4022,0,4022,0,2738982,0,2738982,0,681.0,681.0,,,0.0,1388-03-17
2009-06-08,2,0,4,0,74342,0,74342,0,51948040,0,51948040,0,698.7710849856071,698.7710849856071,,,0.0,1388-03-18
2009-06-09,1,0,2,1,14026,0,13526,500,9832226,0,9481726,350500,701.0,701.0,,701.0,500.0,1388-03-19
2009-06-10,1,0,1,0,5028,0,5028,0,3524628,0,3524628,0,701.0,701.0,,,0.0,1388-03-20
2009-06-13,1,1,1,0,4854,561,5415,0,3397800,392700,3790500,0,700.0,700.0,700.0,,-561.0,1388-03-23
2009-06-29,0,1,10,1,0,100037,90037,10000,0,68125197,61315197,6810000,,681.0,681.0,681.0,-90037.0,1388-04-08
2009-06-30,1,1,1,1,2000,31927,548,33379,1356000,21646506,371544,22630962,678.0,678.0,678.0,678.0,1452.0,1388-04-09
