date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-01-14,1463,1,2692,3,68801923,1730000,68443892,2088031,249449877149,6464465880,248311848790,7602494239,3625.623620272939,3627.962138535313,3736.685479768786,3640.987245400093,358031.0,1398-10-24
2020-01-15,1148,1,1861,4,43094308,320000,42114893,1299415,157425422385,1201600000,153915634813,4711387572,3653.044443479635,3654.660473980072,3755.0,3625.775885302232,979415.0,1398-10-25
2020-01-18,1000,2,1883,0,41485742,35359,41521101,0,153548749112,131699157,153680448269,0,3701.2414798317936,3701.2613964403295,3724.629005345174,,-35359.0,1398-10-28
2020-01-19,1079,0,1288,2,36577777,0,35565303,1012474,131216269864,0,127554903345,3661366519,3587.32215640114,3586.498429241556,,3616.257325126373,1012474.0,1398-10-29
2020-01-20,1509,2,1820,4,48352488,1650000,49939353,63135,163072039298,5616480047,168477149793,211369552,3372.56770112843,3373.635012712319,3403.927301212121,3347.8981864259126,-1586865.0,1398-10-30
2020-01-21,1066,2,1329,1,30864395,450000,31264395,50000,97296699950,1458024782,98597024732,157700000,3152.392909370166,3153.6520931238238,3240.055071111111,3154.0,-400000.0,1398-11-01
2020-01-22,632,0,943,2,18161712,0,18105519,56193,60241694099,0,60059763769,181930330,3316.961203822635,3317.207519375722,,3237.597743491182,56193.0,1398-11-02
2020-01-25,567,1,809,1,16410656,300000,16708607,2049,57024087846,1032231296,58049239847,7079295,3474.820741230576,3474.211814725189,3440.770986666667,3455.0,-297951.0,1398-11-05
2020-01-26,870,1,681,2,20665573,2000,20629907,37666,68494497267,6600000,68378360429,122736838,3314.4252650047497,3314.525869118072,3300.0,3258.5577974831413,35666.0,1398-11-06
2020-01-27,413,1,569,1,11142921,1600,11039915,104606,36060644890,5065600,35721909589,343800901,3236.193175021164,3235.705128979707,3166.0,3286.626971684225,103006.0,1398-11-07
2020-01-28,534,1,825,0,16420075,300000,16720075,0,52887838506,965711690,53853550196,0,3220.925513799419,3220.891664421362,3219.0389666666665,,-300000.0,1398-11-08
2020-02-01,700,3,658,1,15097920,881547,15978467,1000,46892418110,2697531662,49586772772,3177000,3105.8859836321826,3103.349825236676,3059.997552030692,3177.0,-880547.0,1398-11-12
2020-02-02,695,1,671,0,14065697,450000,14515697,0,42246257826,1362995142,43609252968,0,3003.495512948985,3004.2823963602987,3028.8780933333333,,-450000.0,1398-11-13
2020-02-03,427,1,613,1,15113900,9000,15122557,343,47139177510,27942000,47166039060,1080450,3118.928768219983,3118.9195755717765,3104.6666666666665,3150.0,-8657.0,1398-11-14
2020-02-04,541,0,449,2,14572729,0,14461579,111150,43816247857,0,43488036427,328211430,3006.729066120697,3007.1430254607744,,2952.8693657219974,111150.0,1398-11-15
2020-02-05,487,0,693,0,10056467,0,10056467,0,29970914183,0,29970914183,0,2980.26276852497,2980.26276852497,,,0.0,1398-11-16
2020-02-08,558,0,567,0,16749606,0,16749606,0,48717446963,0,48717446963,0,2908.57271287456,2908.57271287456,,,0.0,1398-11-19
2020-02-09,445,0,715,0,14381983,0,14381983,0,42493032933,0,42493032933,0,2954.601805119641,2954.601805119641,,,0.0,1398-11-20
2020-02-10,338,1,407,0,7900044,12435,7912479,0,22834094004,35576640,22869670644,0,2890.375547781759,2890.329395376594,2861.0084439083234,,-12435.0,1398-11-21
2020-02-12,266,0,569,1,13039724,0,12939724,100000,38970641507,0,38672590750,298050757,2988.6093836802065,2988.671995631437,,2980.50757,100000.0,1398-11-23
2020-02-15,294,1,306,0,5987389,2000,5989389,0,17442132825,5790000,17447922825,0,2913.14508294016,2913.1390238637027,2895.0,,-2000.0,1398-11-26
2020-02-16,392,1,428,1,10166382,4363,10070745,100000,29387051713,12626522,29114965716,284712519,2890.6106137857105,2891.043881659202,2894.0,2847.12519,95637.0,1398-11-27
2020-02-17,425,0,360,1,11084476,0,10884476,200000,31069326417,0,30516721622,552604795,2802.958517569978,2803.6923065474166,,2763.023975,200000.0,1398-11-28
2020-02-18,396,0,375,1,8339662,0,7839662,500000,22369754570,0,21005775388,1363979182,2682.333477064178,2679.4236011705607,,2727.958364,500000.0,1398-11-29
2020-02-19,364,0,422,0,8913885,0,8913885,0,24157096540,0,24157096540,0,2710.0525236751428,2710.0525236751428,,,0.0,1398-11-30
2020-02-22,361,0,367,0,8954668,0,8954668,0,23932725822,0,23932725822,0,2672.653617308872,2672.653617308872,,,0.0,1398-12-03
2020-02-23,604,1,731,2,21432327,800000,20971912,1260415,61875666170,2273909381,60445038611,3704536940,2887.0251079129207,2882.1901699282357,2842.38672625,2939.140632252076,460415.0,1398-12-04
2020-02-24,475,1,436,0,10498723,500000,10998723,0,30836264792,1507000000,32343264792,0,2937.144335744452,2940.6381806324243,3014.0,,-500000.0,1398-12-05
2020-02-25,466,0,472,0,11442716,0,11442716,0,33078274375,0,33078274375,0,2890.7712447813965,2890.7712447813965,,,0.0,1398-12-06
2020-02-26,424,0,398,0,12173281,0,12173281,0,34389419164,0,34389419164,0,2824.99181313567,2824.99181313567,,,0.0,1398-12-07
2020-02-29,611,0,346,0,16263114,0,16263114,0,43090567450,0,43090567450,0,2649.5889686317146,2649.5889686317146,,,0.0,1398-12-10
2020-03-01,398,0,704,0,18986562,0,18986562,0,54611721486,0,54611721486,0,2876.3354569405456,2876.3354569405456,,,0.0,1398-12-11
2020-03-02,538,0,769,0,25195521,0,25195521,0,78259750244,0,78259750244,0,3106.097716494928,3106.097716494928,,,0.0,1398-12-12
2020-03-03,638,1,705,0,23069879,15000,23084879,0,76569500555,50250000,76619750555,0,3319.0248009103125,3319.044927850824,3350.0,,-15000.0,1398-12-13
2020-03-04,508,0,794,0,21201454,0,21201454,0,71571665756,0,71571665756,0,3375.790441353692,3375.790441353692,,,0.0,1398-12-14
2020-03-07,857,0,743,0,28427072,0,28427072,0,87867438054,0,87867438054,0,3090.9774335534803,3090.9774335534803,,,0.0,1398-12-17
2020-03-09,880,0,480,0,29503960,0,29503960,0,82445074065,0,82445074065,0,2794.373164314214,2794.373164314214,,,0.0,1398-12-19
2020-03-10,662,2,747,0,30379596,1113538,31493134,0,84730456203,3081118455,87811574658,0,2789.058031021874,2788.276792585965,2766.9630088959693,,-1113538.0,1398-12-20
2020-03-11,1516,1,1791,1,70745058,1900000,72630058,15000,199114478880,5409976950,204483955830,40500000,2814.535523880693,2815.417768632375,2847.356289473684,2700.0,-1885000.0,1398-12-21
2020-06-09,47,0,0,1,641110,0,0,641110,4975230180,0,0,4975230180,7760.337820342843,,,7760.337820342843,641110.0,1399-03-20
2020-06-10,124,0,0,1,1499548,0,0,1499548,11831201145,0,0,11831201145,7889.844903264184,,,7889.844903264184,1499548.0,1399-03-21
