date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-05-18,8939,439,0,1,382886950,229435092,0,612322042,460770126998,276543489802,0,737313616800,1203.4103721685997,,1205.3234201941525,1204.1271850867,382886950.0,1388-02-28
2009-05-19,2119,157,122,57,69946610,76035007,6880619,139100998,86733796400,94283408680,8531967560,172485237520,1240.0,1240.0,1240.0,1240.0,63065991.0,1388-02-29
2009-05-20,1323,56,1133,37,38183180,65608422,72410347,31381255,48507117742,83447589901,92040383614,39914324029,1270.379202098935,1271.0943591252228,1271.903626961185,1271.916117726968,-34227167.0,1388-02-30
2009-05-23,336,12,360,11,8240523,5401268,12125651,1516140,10463263347,6850841304,15393680975,1920423676,1269.7329219274068,1269.513774971752,1268.376481966827,1266.6532615721503,-3885128.0,1388-03-02
2009-05-24,243,16,1312,50,6406063,120057237,89640512,36822788,8037692228,150786952266,112581462473,46243182021,1254.70077768514,1255.9216805120434,1255.958874565804,1255.830547676075,-83234449.0,1388-03-03
2009-05-25,158,11,311,13,2768868,26567444,17480416,11855896,3486833194,33358654162,21963604361,14881882995,1259.2991771366494,1256.4692030784622,1255.621510371867,1255.2305616547244,-14711548.0,1388-03-04
2009-05-26,272,14,338,11,3495106,18443692,17136694,4802104,4394990961,23170262257,21530567828,6034685390,1257.4700054876732,1256.4014872413547,1256.2702878035482,1256.6752802521562,-13641588.0,1388-03-05
2009-05-27,305,8,162,5,3146003,2106027,4601030,651000,3978727154,2661990802,5816232680,824485276,1264.692739962422,1264.1153567788083,1263.987024857706,1266.4904393241168,-1455027.0,1388-03-06
2009-05-30,61,7,204,7,1988730,6902874,7836004,1055600,2518170365,8747466597,9926831762,1338805200,1266.2203340825552,1266.8232126987173,1267.2209570970006,1268.288366805608,-5847274.0,1388-03-09
2009-05-31,376,6,267,7,3205047,21779340,13692387,11292000,4042926409,27467271546,17262658805,14247539150,1261.4249990717765,1260.7486777141196,1261.1617958119944,1261.73743800921,-10487340.0,1388-03-10
2009-06-01,1074,5,253,8,9319077,6440051,13395628,2363500,11560504155,7983779290,16613536564,2930746881,1240.5202956258436,1240.220806669161,1239.7074634967953,1240.002911360271,-4076551.0,1388-03-11
2009-06-02,912,8,195,5,9684358,7204800,8747783,8141375,12010152250,8932720751,10847318001,10095555000,1240.1598794674876,1240.007668342939,1239.8291071230292,1240.030707343661,936575.0,1388-03-12
