date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,2,5,2,25085,22460,26085,21460,18312050,16392970,19039050,15665970,730.0,729.884991374353,729.8739982190561,730.0079217148183,-1000.0,1387-09-06
2008-11-29,1,2,8,2,660,56841,53898,3603,478500,41209925,39076050,2612375,725.0,725.0,725.0035185869355,725.0555092978074,-53238.0,1387-09-09
2008-11-30,0,2,20,2,0,110709,90843,19866,0,80720732,66357424,14363308,,730.4627103904538,729.1252924333162,723.0095640793315,-90843.0,1387-09-10
2008-12-01,2,2,10,2,17560,26018,42389,1189,13170120,19513430,31791870,891680,750.0068337129841,750.0028309231168,749.9973095549235,749.9411269974769,-24829.0,1387-09-11
2008-12-02,0,2,17,3,0,209739,193171,16568,0,157304200,144878250,12425950,,750.0,749.9997616084753,749.9969821342347,-193171.0,1387-09-12
2008-12-03,1,3,9,2,20,113438,102622,10836,15020,85208470,77096530,8126960,751.0,751.2670772349009,751.1457359967559,749.9963086009598,-102602.0,1387-09-13
2008-12-06,0,1,5,0,0,28297,28297,0,0,21222750,21222750,0,,750.0,750.0,,-28297.0,1387-09-16
2008-12-07,0,1,2,0,0,13832,13832,0,0,10374000,10374000,0,,750.0,750.0,,-13832.0,1387-09-17
2008-12-10,3,1,7,1,31072,284473,265545,50000,22496128,205958452,192254580,36200000,724.0,724.0,724.0,724.0,-234473.0,1387-09-20
2008-12-13,0,1,3,0,0,7274,7274,0,0,5186362,5186362,0,,713.0,713.0,,-7274.0,1387-09-23
2008-12-14,1,1,11,0,13266,622020,635286,0,9949500,466476195,476425695,0,750.0,749.9389172750541,749.937614546156,,-622020.0,1387-09-24
2008-12-15,0,1,10,0,0,257835,257835,0,0,193351080,193351080,0,,749.9023794287044,749.9023794287044,,-257835.0,1387-09-25
2008-12-16,1,1,14,0,10,84822,84832,0,7510,63616500,63624010,0,751.0,750.0001178800453,750.0,,-84822.0,1387-09-26
2008-12-20,1,1,9,0,1072,46696,47768,0,814720,35020505,35835225,0,760.0,750.1931209177692,749.9679844097996,,-46696.0,1387-09-30
2008-12-21,2,1,11,1,2890,98413,100703,600,2168572,73809750,75528322,450000,750.3709342560553,750.0106451644936,750.0,750.0,-97813.0,1387-10-01
