date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,3,1,6,2,93168,10,60835,32343,130320200,13950,85054000,45280150,1398.7656706165208,1398.109640831758,1395.0,1399.9984540704324,32333.0,1387-09-06
2008-11-29,5,2,7,2,28004,20010,31895,16119,38002416,27147918,43228264,21922070,1357.0352806741894,1355.330427966766,1356.7175412293852,1360.0142688752403,-3891.0,1387-09-09
2008-11-30,3,2,8,1,21094,50010,71094,10,28417620,67113650,95517620,13650,1347.189722195885,1343.5398205193126,1342.004599080184,1365.0,-50000.0,1387-09-10
2008-12-01,1,2,20,1,405,180000,170050,10355,536625,238500000,225316250,13720375,1325.0,1325.0,1325.0,1325.0,-169645.0,1387-09-11
2008-12-02,2,2,3,1,11000,50010,61000,10,14146000,64318100,78451000,13100,1286.0,1286.0819672131147,1286.1047790441912,1310.0,-50000.0,1387-09-12
2008-12-03,4,7,4,3,43635,55047,19827,78855,55641043,69964897,25205755,100400185,1275.1470837630343,1271.2843597115043,1271.0029066070813,1273.2253503265488,23808.0,1387-09-13
2008-12-08,1,0,1,0,15930,0,15930,0,19896570,0,19896570,0,1249.0,1249.0,,,0.0,1387-09-18
2008-12-15,1,0,1,0,39960,0,39960,0,49750200,0,49750200,0,1245.0,1245.0,,,0.0,1387-09-25
2008-12-22,1,2,3,0,52,24058,24110,0,64272,29735688,29799960,0,1236.0,1236.0,1236.0,,-24058.0,1387-10-02
2008-12-23,21,1,19,1,156967,10000,146967,20000,190025450,12110000,177915450,24220000,1210.6076436448425,1210.5809467431463,1211.0,1211.0,10000.0,1387-10-03
2008-12-24,16,3,6,2,198140,71000,125037,144103,233462924,83613648,147400339,169676233,1178.272554759261,1178.8537712837,1177.657014084507,1177.4649590917606,73103.0,1387-10-04
2008-12-27,4,1,7,0,25848,18500,44348,0,30082920,21412500,51495420,0,1163.8393686165273,1161.1666816992874,1157.4324324324325,,-18500.0,1387-10-07
2008-12-28,1,0,1,0,1333,0,1333,0,1544947,0,1544947,0,1159.0,1159.0,,,0.0,1387-10-08
2008-12-29,4,2,11,0,28733,29500,58233,0,32831985,33571000,66402985,0,1142.6577454494832,1140.298198615905,1138.0,,-29500.0,1387-10-09
2008-12-30,4,0,6,0,13793,0,13793,0,15544711,0,15544711,0,1127.0,1127.0,,,0.0,1387-10-10
2008-12-31,2,1,2,0,4287,7696,11983,0,4837068,8650304,13487372,0,1128.3107067879637,1125.5421847617458,1124.0,,-7696.0,1387-10-11
2009-01-03,5,1,3,0,39300,11000,50300,0,44401500,12434000,56835500,0,1129.8091603053435,1129.9304174950298,1130.3636363636365,,-11000.0,1387-10-14
2009-01-04,3,1,1,0,15000,17921,32921,0,16955000,20268651,37223651,0,1130.3333333333333,1130.696242519972,1131.0,,-17921.0,1387-10-15
2009-01-05,5,1,8,0,17948,15546,33494,0,21050419,18026440,39076859,0,1172.855972810341,1166.6823610198842,1159.5548694197864,,-15546.0,1387-10-16
2009-01-10,3,1,2,0,13000,4000,17000,0,15106000,4704000,19810000,0,1162.0,1165.2941176470588,1176.0,,-4000.0,1387-10-21
2009-01-11,1,0,1,0,618,0,618,0,726150,0,726150,0,1175.0,1175.0,,,0.0,1387-10-22
2009-01-12,7,0,5,0,39691,0,39691,0,46560086,0,46560086,0,1173.0640699402886,1173.0640699402886,,,0.0,1387-10-23
2009-01-13,5,1,4,1,19965,31000,47380,3585,22860500,36170660,54944260,4086900,1145.0288004007011,1159.6509075559309,1166.7954838709677,1140.0,-27415.0,1387-10-24
2009-01-17,5,0,2,0,23000,0,23000,0,26446625,0,26446625,0,1149.8532608695652,1149.8532608695652,,,0.0,1387-10-28
2009-01-18,10,1,1,1,77053,10000,10000,77053,87345450,11250000,11450000,87145450,1133.576239731094,1145.0,1125.0,1130.980623726526,67053.0,1387-10-29
2009-01-19,11,1,8,1,142743,30000,99796,72947,167937239,35310000,117388620,85858619,1176.5006970569484,1176.2858230790814,1177.0,1177.0,42947.0,1387-10-30
2009-01-20,1,1,4,0,9596,60000,69596,0,11630352,72720000,84350352,0,1212.0,1212.0,1212.0,,-60000.0,1387-11-01
2009-01-21,21,1,13,3,440797,20000,118777,342020,540846923,24540000,145738383,419648540,1226.9750542766851,1226.991614538168,1227.0,1226.970761943746,322020.0,1387-11-02
2009-01-24,13,0,4,1,124701,0,74701,50000,153195054,0,93125054,60070000,1228.4990016118556,1246.6373140921808,,1201.4,50000.0,1387-11-05
2009-01-25,2,0,1,0,2833,0,2833,0,3376936,0,3376936,0,1192.0,1192.0,,,0.0,1387-11-06
2009-01-26,3,0,10,1,133600,0,118200,15400,159117600,0,140776200,18341400,1191.0,1191.0,,1191.0,15400.0,1387-11-07
2009-01-27,3,1,3,1,17100,100000,117000,100,19870200,116200000,135954000,116200,1162.0,1162.0,1162.0,1162.0,-99900.0,1387-11-08
2009-01-28,8,0,4,1,59123,0,49123,10000,68931974,0,57151426,11780548,1165.9079207753327,1163.435172933249,,1178.0548,10000.0,1387-11-09
2009-01-31,3,0,4,0,3778,0,3778,0,4343184,0,4343184,0,1149.5987294865008,1149.5987294865008,,,0.0,1387-11-12
2009-02-01,7,0,4,0,81379,0,81379,0,93138283,0,93138283,0,1144.500215043193,1144.500215043193,,,0.0,1387-11-13
2009-02-02,11,0,6,1,211808,0,91808,120000,240160690,0,104861690,135299000,1133.860335775797,1142.1846680027884,,1127.4916666666666,120000.0,1387-11-14
2009-02-03,1,0,1,0,5709,0,5709,0,6376953,0,6376953,0,1117.0,1117.0,,,0.0,1387-11-15
2009-02-04,11,0,3,2,151355,0,20300,131055,170299423,0,22722536,147576887,1125.165491724753,1119.336748768473,,1126.0683453511883,131055.0,1387-11-16
2009-02-07,4,0,4,1,20449,0,10449,10000,22926150,0,11804150,11122000,1121.1379529561348,1129.6918365393817,,1112.2,10000.0,1387-11-19
2009-02-08,2,0,1,0,10000,0,10000,0,11337000,0,11337000,0,1133.7,1133.7,,,0.0,1387-11-20
2009-02-09,7,2,5,0,48496,60000,108496,0,54844512,68063741,122908253,0,1130.9079511712307,1132.836722091137,1134.3956833333334,,-60000.0,1387-11-21
2009-02-11,2,1,2,0,6531,8569,15100,0,7301658,9585242,16886900,0,1118.0,1118.3377483443708,1118.595168631112,,-8569.0,1387-11-23
2009-02-14,12,3,6,0,94187,80000,174187,0,103689283,88788920,192478203,0,1100.8874154607324,1105.0090018198832,1109.8615,,-80000.0,1387-11-26
2009-02-15,2,0,1,1,41748,0,31748,10000,47509224,0,36129224,11380000,1138.0,1138.0,,1138.0,10000.0,1387-11-27
2009-02-17,3,0,2,0,98000,0,98000,0,108476209,0,108476209,0,1106.9000918367346,1106.9000918367346,,,0.0,1387-11-29
2009-02-18,0,1,2,0,0,2000,2000,0,0,2276000,2276000,0,,1138.0,1138.0,,-2000.0,1387-11-30
2009-02-21,1,1,7,0,22400,80887,103287,0,24864000,91774909,116638909,0,1110.0,1129.2699855741769,1134.6064138860386,,-80887.0,1387-12-03
2009-02-22,6,0,4,0,18679,0,18679,0,20358506,0,20358506,0,1089.9141281653194,1089.9141281653194,,,0.0,1387-12-04
2009-02-23,2,0,1,1,22000,0,2000,20000,23880000,0,2170000,21710000,1085.4545454545455,1085.0,,1085.5,20000.0,1387-12-05
2009-02-25,2,0,0,1,50000,0,0,50000,54050000,0,0,54050000,1081.0,,,1081.0,50000.0,1387-12-07
2009-02-28,4,0,1,0,28600,0,28600,0,30943600,0,30943600,0,1081.944055944056,1081.944055944056,,,0.0,1387-12-10
2009-03-01,4,1,3,0,31433,15000,46433,0,34015928,16235000,50250928,0,1082.172493875863,1082.2244524368446,1082.3333333333333,,-15000.0,1387-12-11
2009-03-02,1,1,2,0,935,10000,10935,0,993905,10630000,11623905,0,1063.0,1063.0,1063.0,,-10000.0,1387-12-12
2009-03-03,1,0,1,0,300,0,300,0,318300,0,318300,0,1061.0,1061.0,,,0.0,1387-12-13
2009-03-04,1,0,1,0,300,0,300,0,318300,0,318300,0,1061.0,1061.0,,,0.0,1387-12-14
2009-03-08,1,0,7,1,50000,0,46125,3875,53050000,0,48938625,4111375,1061.0,1061.0,,1061.0,3875.0,1387-12-18
2009-03-17,4,0,1,1,50702,0,12000,38702,53287802,0,12612000,40675802,1051.0,1051.0,,1051.0,38702.0,1387-12-27
2009-03-18,1,0,1,0,300,0,300,0,306000,0,306000,0,1020.0,1020.0,,,0.0,1387-12-28
2009-03-28,11,2,9,2,201311,30000,81311,150000,206312220,30600000,83712220,153200000,1024.8432524799937,1029.5313057273925,1020.0,1021.3333333333334,120000.0,1388-01-08
