date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-11-17,1,0,2,0,1461,0,1461,0,1475610,0,1475610,0,1010.0,1010.0,,,0.0,1394-08-26
2015-11-22,1,0,1,0,310,0,310,0,313100,0,313100,0,1010.0,1010.0,,,0.0,1394-09-01
2015-12-09,1,0,1,0,1699,0,1699,0,1699000,0,1699000,0,1000.0,1000.0,,,0.0,1394-09-18
2015-12-16,1,0,1,0,1400,0,1400,0,1400000,0,1400000,0,1000.0,1000.0,,,0.0,1394-09-25
2016-01-16,1,0,1,0,1400,0,1400,0,1260000,0,1260000,0,900.0,900.0,,,0.0,1394-10-26
2016-01-31,1,0,2,0,1346,0,1346,0,1211400,0,1211400,0,900.0,900.0,,,0.0,1394-11-11
2016-02-13,1,0,1,0,5254,0,5254,0,4728600,0,4728600,0,900.0,900.0,,,0.0,1394-11-24
2016-02-14,1,0,1,0,200000,0,200000,0,150000000,0,150000000,0,750.0,750.0,,,0.0,1394-11-25
2016-02-17,2,0,2,0,9319,0,9319,0,6989250,0,6989250,0,750.0,750.0,,,0.0,1394-11-28
2016-03-07,3,0,3,0,28539,0,28539,0,25688656,0,25688656,0,900.1246014226147,900.1246014226147,,,0.0,1394-12-17
2016-03-15,2,0,2,0,27153,0,27153,0,24504159,0,24504159,0,902.4475748536072,902.4475748536072,,,0.0,1394-12-25
2016-04-09,2,0,2,0,57910,0,57910,0,46667550,0,46667550,0,805.8634087376964,805.8634087376964,,,0.0,1395-01-21
2016-04-10,1,0,1,0,1018,0,1018,0,832724,0,832724,0,818.0,818.0,,,0.0,1395-01-22
2016-04-20,1,0,1,0,1283,0,1283,0,1049494,0,1049494,0,818.0,818.0,,,0.0,1395-02-01
2016-05-02,1,0,1,0,755,0,755,0,619855,0,619855,0,821.0,821.0,,,0.0,1395-02-13
2016-05-07,1,0,1,0,54,0,54,0,44334,0,44334,0,821.0,821.0,,,0.0,1395-02-18
2016-05-15,3,0,2,0,88917,0,88917,0,89476419,0,89476419,0,1006.291474071325,1006.291474071325,,,0.0,1395-02-26
2016-05-18,3,0,1,0,41,0,41,0,45100,0,45100,0,1100.0,1100.0,,,0.0,1395-02-29
2016-05-30,4,0,10,0,6609,0,6609,0,7504402,0,7504402,0,1135.4822212134968,1135.4822212134968,,,0.0,1395-03-10
2016-06-06,1,0,5,0,10178,0,10178,0,11422565,0,11422565,0,1122.2799174690508,1122.2799174690508,,,0.0,1395-03-17
2016-06-12,3,0,2,0,50901,0,50901,0,54682914,0,54682914,0,1074.2994047268226,1074.2994047268226,,,0.0,1395-03-23
2016-07-03,4,0,4,0,92223,0,92223,0,96183189,0,96183189,0,1042.9414462769591,1042.9414462769591,,,0.0,1395-04-13
2016-07-05,1,0,1,0,7977,0,7977,0,8320011,0,8320011,0,1043.0,1043.0,,,0.0,1395-04-15
2016-07-18,1,0,1,0,100,0,100,0,105000,0,105000,0,1050.0,1050.0,,,0.0,1395-04-28
2016-07-19,1,0,1,0,10,0,10,0,10500,0,10500,0,1050.0,1050.0,,,0.0,1395-04-29
2016-08-17,1,0,1,0,338,0,338,0,338000,0,338000,0,1000.0,1000.0,,,0.0,1395-05-27
2016-08-21,1,0,6,0,5920,0,5920,0,5920000,0,5920000,0,1000.0,1000.0,,,0.0,1395-05-31
2016-08-22,1,0,1,0,427,0,427,0,427000,0,427000,0,1000.0,1000.0,,,0.0,1395-06-01
