date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-10-20,0,1,4,0,0,155738,155738,0,0,155738000,155738000,0,,1000.0,1000.0,,-155738.0,1392-07-28
2013-11-12,0,1,2,0,0,33000,33000,0,0,33000000,33000000,0,,1000.0,1000.0,,-33000.0,1392-08-21
2013-12-11,1,0,1,0,22800,0,22800,0,34200000,0,34200000,0,1500.0,1500.0,,,0.0,1392-09-20
2013-12-30,1,0,1,0,30039,0,30039,0,54040161,0,54040161,0,1799.0,1799.0,,,0.0,1392-10-09
2014-01-04,1,0,1,0,30000,0,30000,0,53970000,0,53970000,0,1799.0,1799.0,,,0.0,1392-10-14
2014-01-15,1,0,1,0,2000,0,2000,0,3600000,0,3600000,0,1800.0,1800.0,,,0.0,1392-10-25
2014-01-27,1,0,1,0,9346,0,9346,0,14953600,0,14953600,0,1600.0,1600.0,,,0.0,1392-11-07
2014-02-08,1,1,7,0,104161,46396,150557,0,156241500,69594000,225835500,0,1500.0,1500.0,1500.0,,-46396.0,1392-11-19
2014-03-02,1,0,1,0,14214,0,14214,0,21321000,0,21321000,0,1500.0,1500.0,,,0.0,1392-12-11
2014-05-03,1,0,1,0,10,0,10,0,14640,0,14640,0,1464.0,1464.0,,,0.0,1393-02-13
2014-05-05,2,0,2,0,200,0,200,0,280000,0,280000,0,1400.0,1400.0,,,0.0,1393-02-15
2014-05-24,0,1,6,0,0,290483,290483,0,0,435724500,435724500,0,,1500.0,1500.0,,-290483.0,1393-03-03
2014-08-17,0,1,4,0,0,91387,91387,0,0,118803100,118803100,0,,1300.0,1300.0,,-91387.0,1393-05-26
2014-08-18,0,1,2,0,0,22500,22500,0,0,29250000,29250000,0,,1300.0,1300.0,,-22500.0,1393-05-27
2014-08-20,2,0,1,0,10039,0,10039,0,13050700,0,13050700,0,1300.0,1300.0,,,0.0,1393-05-29
2014-08-31,1,0,1,0,1923,0,1923,0,2499900,0,2499900,0,1300.0,1300.0,,,0.0,1393-06-09
2014-10-07,1,0,1,0,100000,0,100000,0,128000000,0,128000000,0,1280.0,1280.0,,,0.0,1393-07-15
2014-10-15,3,0,2,0,22810,0,22810,0,23769000,0,23769000,0,1042.0429636124506,1042.0429636124506,,,0.0,1393-07-23
2014-10-19,1,0,1,0,13077,0,13077,0,13639311,0,13639311,0,1043.0,1043.0,,,0.0,1393-07-27
2014-10-20,1,0,5,1,165595,0,119199,46396,212501804,0,152233400,60268404,1283.2621999456503,1277.136553159003,,1299.0,46396.0,1393-07-28
2014-10-21,2,0,4,0,104405,0,104405,0,138917000,0,138917000,0,1330.5588812796325,1330.5588812796325,,,0.0,1393-07-29
2014-10-22,1,0,1,0,80000,0,80000,0,104610000,0,104610000,0,1307.625,1307.625,,,0.0,1393-07-30
2014-10-25,1,0,3,0,94640,0,94640,0,127406770,0,127406770,0,1346.225380388842,1346.225380388842,,,0.0,1393-08-03
2014-10-26,2,0,3,0,12015,0,12015,0,16440550,0,16440550,0,1368.3354140657511,1368.3354140657511,,,0.0,1393-08-04
2014-11-02,2,1,6,0,90933,63256,154189,0,120064396,82232800,202297196,0,1320.361101030429,1312.0079642516653,1300.0,,-63256.0,1393-08-11
2014-11-05,0,1,1,0,0,72000,72000,0,0,93600000,93600000,0,,1300.0,1300.0,,-72000.0,1393-08-14
2014-11-08,3,0,1,0,70000,0,70000,0,91278000,0,91278000,0,1303.9714285714283,1303.9714285714283,,,0.0,1393-08-17
2014-11-09,3,0,3,0,194640,0,194640,0,265013400,0,265013400,0,1361.5567200986436,1361.5567200986436,,,0.0,1393-08-18
2014-11-10,3,0,5,0,290711,0,290711,0,416022334,0,416022334,0,1431.0512295716364,1431.0512295716364,,,0.0,1393-08-19
2014-11-11,13,0,13,1,1199991,0,999061,200930,1880658500,0,1579263500,301395000,1567.2271708704482,1580.7478222050506,,1500.0,200930.0,1393-08-20
2014-11-12,5,0,4,0,134420,0,134420,0,235316050,0,235316050,0,1750.6029608689182,1750.6029608689182,,,0.0,1393-08-21
2014-11-15,14,0,5,0,564003,0,564003,0,973260140,0,973260140,0,1725.629367219678,1725.629367219678,,,0.0,1393-08-24
2014-11-16,8,0,5,0,147999,0,147999,0,253078500,0,253078500,0,1710.0014189285064,1710.0014189285064,,,0.0,1393-08-25
2014-11-17,3,1,2,0,210100,100000,310100,0,350901000,166000000,516901000,0,1670.1618277010948,1666.884875846501,1660.0,,-100000.0,1393-08-26
2014-11-18,2,0,1,0,45000,0,45000,0,73400000,0,73400000,0,1631.111111111111,1631.111111111111,,,0.0,1393-08-27
2014-11-19,1,0,1,0,10000,0,10000,0,16990000,0,16990000,0,1699.0,1699.0,,,0.0,1393-08-28
2014-11-22,3,0,2,0,50250,0,50250,0,85425000,0,85425000,0,1700.0,1700.0,,,0.0,1393-09-01
2014-11-23,3,0,5,0,191750,0,191750,0,325335500,0,325335500,0,1696.6649282920469,1696.6649282920469,,,0.0,1393-09-02
2014-11-24,2,1,4,0,45385,100000,145385,0,79066050,172200000,251266050,0,1742.1185413682936,1728.280427829556,1722.0,,-100000.0,1393-09-03
2014-11-25,2,0,2,0,120000,0,120000,0,214800000,0,214800000,0,1790.0,1790.0,,,0.0,1393-09-04
2014-11-26,3,0,4,0,55365,0,55365,0,95756450,0,95756450,0,1729.5484511875734,1729.5484511875734,,,0.0,1393-09-05
2014-11-30,7,0,3,0,260001,0,260001,0,403668704,0,403668704,0,1552.5659670539728,1552.5659670539728,,,0.0,1393-09-09
2014-12-01,4,0,3,0,72900,0,72900,0,109940800,0,109940800,0,1508.1042524005486,1508.1042524005486,,,0.0,1393-09-10
2014-12-16,0,1,1,0,0,25026,25026,0,0,31282500,31282500,0,,1250.0,1250.0,,-25026.0,1393-09-25
2014-12-24,0,1,0,1,0,2400000,0,2400000,0,3000000000,0,3000000000,,,1250.0,1250.0,0.0,1393-10-03
2014-12-28,1,0,1,0,75026,0,75026,0,93782500,0,93782500,0,1250.0,1250.0,,,0.0,1393-10-07
2014-12-30,2,1,2,1,10974,2500000,10974,2500000,16558400,3125000000,16558400,3125000000,1508.875523965737,1508.875523965737,1250.0,1250.0,0.0,1393-10-09
2014-12-31,3,0,3,0,105000,0,105000,0,153300000,0,153300000,0,1460.0,1460.0,,,0.0,1393-10-10
2015-01-11,2,1,2,1,120000,2500000,120000,2500000,135040000,3125000000,135040000,3125000000,1125.3333333333333,1125.3333333333333,1250.0,1250.0,0.0,1393-10-21
2015-01-17,0,1,0,1,0,2500000,0,2500000,0,3125000000,0,3125000000,,,1250.0,1250.0,0.0,1393-10-27
2015-01-25,0,1,0,1,0,2500000,0,2500000,0,3125000000,0,3125000000,,,1250.0,1250.0,0.0,1393-11-05
2015-01-27,0,1,0,1,0,2590000,0,2590000,0,3237500000,0,3237500000,,,1250.0,1250.0,0.0,1393-11-07
2015-02-09,2,0,1,0,23000,0,23000,0,23466000,0,23466000,0,1020.2608695652174,1020.2608695652174,,,0.0,1393-11-20
