date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-01-14,0,1,0,2,0,38734681,0,38734681,0,61975489600,0,61975489600,,,1600.0,1600.0,0.0,1392-10-24
2014-02-08,0,1,2,0,0,1440,1440,0,0,2016000,2016000,0,,1400.0,1400.0,,-1440.0,1392-11-19
2014-03-03,0,1,0,1,0,12000000,0,12000000,0,19200000000,0,19200000000,,,1600.0,1600.0,0.0,1392-12-12
2014-03-04,0,5,0,1,0,500,0,500,0,700000,0,700000,,,1400.0,1400.0,0.0,1392-12-13
2014-06-01,0,1,1,0,0,3105,3105,0,0,3105000,3105000,0,,1000.0,1000.0,,-3105.0,1393-03-11
2014-12-02,0,1,1,0,0,1480,1480,0,0,1554000,1554000,0,,1050.0,1050.0,,-1480.0,1393-09-11
2015-01-12,0,1,2,0,0,11405,11405,0,0,14166750,14166750,0,,1242.1525646646207,1242.1525646646207,,-11405.0,1393-10-22
2015-01-14,0,1,1,0,0,7358,7358,0,0,9933300,9933300,0,,1350.0,1350.0,,-7358.0,1393-10-24
2015-01-17,0,1,9,0,0,39844,39844,0,0,53789400,53789400,0,,1350.0,1350.0,,-39844.0,1393-10-27
2015-01-18,1,1,6,0,1468,6322,7790,0,1981800,8534700,10516500,0,1350.0,1350.0,1350.0,,-6322.0,1393-10-28
2015-01-19,1,1,6,0,92,14876,14968,0,124200,20082600,20206800,0,1350.0,1350.0,1350.0,,-14876.0,1393-10-29
2015-01-20,0,1,2,0,0,4784,4784,0,0,6458400,6458400,0,,1350.0,1350.0,,-4784.0,1393-10-30
2015-01-21,0,1,2,0,0,6855,6855,0,0,9254250,9254250,0,,1350.0,1350.0,,-6855.0,1393-11-01
2015-01-24,0,1,4,0,0,16669,16669,0,0,22503150,22503150,0,,1350.0,1350.0,,-16669.0,1393-11-04
2015-01-25,0,1,1,0,0,2000,2000,0,0,2700000,2700000,0,,1350.0,1350.0,,-2000.0,1393-11-05
2015-01-27,1,1,2,0,500,2152,2652,0,675000,2905200,3580200,0,1350.0,1350.0,1350.0,,-2152.0,1393-11-07
2015-01-28,0,1,7,0,0,15455,15455,0,0,20864250,20864250,0,,1350.0,1350.0,,-15455.0,1393-11-08
2015-01-31,0,1,4,0,0,8832,8832,0,0,11923200,11923200,0,,1350.0,1350.0,,-8832.0,1393-11-11
2015-02-01,1,1,8,0,100,17608,17708,0,145000,23770800,23915800,0,1450.0,1350.5647165123107,1350.0,,-17608.0,1393-11-12
2015-02-02,0,4,6,0,0,14255,14255,0,0,19244250,19244250,0,,1350.0,1350.0,,-14255.0,1393-11-13
2015-02-03,0,1,6,0,0,17710,17710,0,0,23908500,23908500,0,,1350.0,1350.0,,-17710.0,1393-11-14
2015-02-04,0,1,3,0,0,19320,19320,0,0,26082000,26082000,0,,1350.0,1350.0,,-19320.0,1393-11-15
2015-02-07,0,1,4,0,0,9198,9198,0,0,12417300,12417300,0,,1350.0,1350.0,,-9198.0,1393-11-18
2015-02-08,0,1,3,0,0,9134,9134,0,0,12330900,12330900,0,,1350.0,1350.0,,-9134.0,1393-11-19
2015-02-09,0,1,5,0,0,17191,17191,0,0,23207850,23207850,0,,1350.0,1350.0,,-17191.0,1393-11-20
2015-02-10,0,1,4,0,0,11230,11230,0,0,15160500,15160500,0,,1350.0,1350.0,,-11230.0,1393-11-21
2015-02-14,0,1,1,0,0,1332,1332,0,0,1798200,1798200,0,,1350.0,1350.0,,-1332.0,1393-11-25
2015-02-15,0,1,3,0,0,6900,6900,0,0,9315000,9315000,0,,1350.0,1350.0,,-6900.0,1393-11-26
2015-02-16,0,1,1,0,0,2680,2680,0,0,3618000,3618000,0,,1350.0,1350.0,,-2680.0,1393-11-27
2015-02-17,1,0,2,0,5840,0,5840,0,7942400,0,7942400,0,1360.0,1360.0,,,0.0,1393-11-28
