date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-03-16,2,1,0,1,210000,990000,0,1200000,272150000,1283040000,0,1555190000,1295.952380952381,,1296.0,1295.9916666666666,210000.0,1394-12-26
2016-04-09,1,0,1,0,2340,0,2340,0,3042000,0,3042000,0,1300.0,1300.0,,,0.0,1395-01-21
2016-04-23,2,4,0,1,100000,100723,0,200723,130120000,130939900,0,261059900,1301.2,,1300.0,1300.597838812692,100000.0,1395-02-04
2016-04-24,2,1,1,0,2330,10,2340,0,3029000,13000,3042000,0,1300.0,1300.0,1300.0,,-10.0,1395-02-05
2016-04-26,2,0,0,1,80000,0,0,80000,104000000,0,0,104000000,1300.0,,,1300.0,80000.0,1395-02-07
2016-04-30,1,0,1,0,80,0,80,0,104000,0,104000,0,1300.0,1300.0,,,0.0,1395-02-11
2016-05-02,5,0,2,1,102164,0,2164,100000,132813200,0,2813200,130000000,1300.0,1300.0,,1300.0,100000.0,1395-02-13
2016-05-18,2,0,2,0,1795,0,1795,0,2423250,0,2423250,0,1350.0,1350.0,,,0.0,1395-02-29
2016-06-12,1,0,1,0,803,0,803,0,1035870,0,1035870,0,1290.0,1290.0,,,0.0,1395-03-23
2016-07-16,1,0,3,0,7020,0,7020,0,7020000,0,7020000,0,1000.0,1000.0,,,0.0,1395-04-26
2016-07-27,2,0,2,1,10530,0,4680,5850,9603360,0,4268160,5335200,912.0,912.0,,912.0,5850.0,1395-05-06
2016-08-06,2,0,2,0,3537,0,3537,0,3285577,0,3285577,0,928.9163132598248,928.9163132598248,,,0.0,1395-05-16
2016-08-14,0,1,3,0,0,6740,6740,0,0,6740000,6740000,0,,1000.0,1000.0,,-6740.0,1395-05-24
2016-08-16,1,0,1,0,2400,0,2400,0,2402400,0,2402400,0,1001.0,1001.0,,,0.0,1395-05-26
2016-08-20,1,0,2,0,17761,0,17761,0,17778761,0,17778761,0,1001.0,1001.0,,,0.0,1395-05-30
2016-08-21,1,0,1,0,2340,0,2340,0,2342340,0,2342340,0,1001.0,1001.0,,,0.0,1395-05-31
2016-08-29,2,1,2,0,6417,50000,56417,0,6421680,50000000,56421680,0,1000.7293127629732,1000.0829537196236,1000.0,,-50000.0,1395-06-08
2016-09-03,1,1,1,0,23695,30417,54112,0,23695000,30417000,54112000,0,1000.0,1000.0,1000.0,,-30417.0,1395-06-13
2016-09-10,1,0,2,0,4740,0,4740,0,4749480,0,4749480,0,1002.0,1002.0,,,0.0,1395-06-20
2016-09-24,1,1,2,0,920,3760,4680,0,921840,3760000,4681840,0,1002.0,1000.3931623931624,1000.0,,-3760.0,1395-07-03
2016-09-27,0,1,1,0,0,2340,2340,0,0,2340000,2340000,0,,1000.0,1000.0,,-2340.0,1395-07-06
2016-10-02,0,1,1,0,0,2000,2000,0,0,2000000,2000000,0,,1000.0,1000.0,,-2000.0,1395-07-11
2016-10-04,0,1,1,0,0,1200,1200,0,0,1200000,1200000,0,,1000.0,1000.0,,-1200.0,1395-07-13
2016-10-22,0,1,1,0,0,2400,2400,0,0,2400000,2400000,0,,1000.0,1000.0,,-2400.0,1395-08-01
2016-10-26,0,1,1,0,0,5000,5000,0,0,5000000,5000000,0,,1000.0,1000.0,,-5000.0,1395-08-05
2016-10-30,0,1,1,0,0,2883,2883,0,0,2883000,2883000,0,,1000.0,1000.0,,-2883.0,1395-08-09
2016-11-14,1,0,1,0,2340,0,2340,0,2232360,0,2232360,0,954.0,954.0,,,0.0,1395-08-24
2016-11-15,1,0,1,0,1000,0,1000,0,954000,0,954000,0,954.0,954.0,,,0.0,1395-08-25
2016-11-23,1,0,1,0,2340,0,2340,0,2108340,0,2108340,0,901.0,901.0,,,0.0,1395-09-03
2016-11-27,1,0,2,0,4740,0,4740,0,4280220,0,4280220,0,903.0,903.0,,,0.0,1395-09-07
2016-12-07,1,0,1,0,2340,0,2340,0,2106000,0,2106000,0,900.0,900.0,,,0.0,1395-09-17
2016-12-28,1,0,1,0,1800,0,1800,0,1656000,0,1656000,0,920.0,920.0,,,0.0,1395-10-08
2016-12-31,1,0,1,0,9420,0,9420,0,8666400,0,8666400,0,920.0,920.0,,,0.0,1395-10-11
2017-01-24,2,1,5,0,1171,13680,14851,0,960300,13361260,14321560,0,820.0683176771989,964.349875429264,976.7002923976607,,-13680.0,1395-11-05
2017-01-31,1,0,1,0,2400,0,2400,0,2304000,0,2304000,0,960.0,960.0,,,0.0,1395-11-12
2017-02-11,1,0,1,0,2340,0,2340,0,2199600,0,2199600,0,940.0,940.0,,,0.0,1395-11-23
2017-02-12,1,0,1,0,339,0,339,0,318660,0,318660,0,940.0,940.0,,,0.0,1395-11-24
2017-02-13,1,0,2,0,6846,0,6846,0,6435240,0,6435240,0,940.0,940.0,,,0.0,1395-11-25
2017-02-25,0,1,4,0,0,15678,15678,0,0,15678000,15678000,0,,1000.0,1000.0,,-15678.0,1395-12-07
2017-02-26,0,1,1,0,0,340,340,0,0,340000,340000,0,,1000.0,1000.0,,-340.0,1395-12-08
2017-03-13,0,1,1,1,0,7228,90,7138,0,7950800,99000,7851800,,1100.0,1100.0,1100.0,-90.0,1395-12-23
2017-03-14,0,1,1,0,0,5000,5000,0,0,6050000,6050000,0,,1210.0,1210.0,,-5000.0,1395-12-24
2017-03-15,1,1,4,0,12700,7170,19870,0,16073000,8604000,24677000,0,1265.5905511811025,1241.9224962254657,1200.0,,-7170.0,1395-12-25
2017-04-12,1,0,3,0,36434,0,36434,0,49766504,0,49766504,0,1365.9357742767745,1365.9357742767745,,,0.0,1396-01-23
2017-04-15,6,0,1,2,145838,0,2340,143498,190481038,0,2929680,187551358,1306.1138934982653,1252.0,,1306.9963205062093,143498.0,1396-01-26
2017-04-18,1,0,2,0,3566,0,3566,0,4684310,0,4684310,0,1313.603477285474,1313.603477285474,,,0.0,1396-01-29
2017-04-19,2,0,1,1,80200,0,12700,67500,103998100,0,15024100,88974000,1296.7344139650872,1183.0,,1318.1333333333334,67500.0,1396-01-30
2017-04-22,5,0,1,1,6680,0,3000,3680,8992000,0,4044000,4948000,1346.1077844311378,1348.0,,1344.5652173913045,3680.0,1396-02-02
2017-04-23,1,0,4,0,36900,0,36900,0,44722800,0,44722800,0,1212.0,1212.0,,,0.0,1396-02-03
2017-04-24,0,1,1,0,0,2680,2680,0,0,3248160,3248160,0,,1212.0,1212.0,,-2680.0,1396-02-04
2017-04-26,2,1,1,0,10001,12320,22321,0,11181214,14931840,26113054,0,1118.009599040096,1169.887281035796,1212.0,,-12320.0,1396-02-06
2017-04-30,4,0,3,0,29721,0,29721,0,32352206,0,32352206,0,1088.5301975034488,1088.5301975034488,,,0.0,1396-02-10
2017-05-02,10,1,1,0,203000,20000,223000,0,199977544,21000000,220977544,0,985.1110541871922,990.9306905829596,1050.0,,-20000.0,1396-02-12
2017-05-03,6,0,3,0,82410,0,82410,0,79731700,0,79731700,0,967.5003033612426,967.5003033612426,,,0.0,1396-02-13
2017-05-06,3,0,3,0,27510,0,27510,0,27667250,0,27667250,0,1005.7161032351872,1005.7161032351872,,,0.0,1396-02-16
2017-05-07,2,0,4,0,9200,0,9200,0,9795160,0,9795160,0,1064.6913043478262,1064.6913043478262,,,0.0,1396-02-17
2017-05-08,2,0,2,0,6175,0,6175,0,6092654,0,6092654,0,986.6646153846152,986.6646153846152,,,0.0,1396-02-18
2017-05-09,5,0,3,0,21769,0,21769,0,22987129,0,22987129,0,1055.957049014654,1055.957049014654,,,0.0,1396-02-19
2017-05-10,11,1,14,0,110336,1180,111516,0,122119514,1290920,123410434,0,1106.7966393561485,1106.661232468883,1094.0,,-1180.0,1396-02-20
2017-05-13,11,0,8,1,167803,0,128703,39100,201825172,0,154240472,47584700,1202.7506778782265,1198.4217306511891,,1217.0,39100.0,1396-02-23
2017-05-14,3,0,3,1,96020,0,27764,68256,125266740,0,36602772,88663968,1304.590085398875,1318.3536954329347,,1298.9915611814347,68256.0,1396-02-24
2017-05-15,14,0,7,1,289827,0,61684,228143,412641817,0,87006612,325635205,1423.7521590466038,1410.5215615070358,,1427.329372367331,228143.0,1396-02-25
2017-05-16,6,0,3,1,56148,0,36148,20000,75321434,0,46841434,28480000,1341.4802664386978,1295.8236693593008,,1424.0,20000.0,1396-02-26
2017-05-17,9,0,5,1,74629,0,19629,55000,105469057,0,25669057,79800000,1413.2449449945732,1307.7108869529775,,1450.909090909091,55000.0,1396-02-27
2017-05-20,19,0,4,1,249197,0,18943,230254,374361343,0,26564340,347797003,1502.2706653771916,1402.330148339756,,1510.492773198294,230254.0,1396-02-30
2017-05-21,9,0,1,1,139600,0,37677,101923,193175500,0,51049304,142126196,1383.7786532951288,1354.9195530429706,,1394.4467490164143,101923.0,1396-02-31
2017-05-22,9,0,4,0,62180,0,62180,0,77686320,0,77686320,0,1249.37793502734,1249.37793502734,,,0.0,1396-03-01
2017-05-23,6,0,2,1,61984,0,14560,47424,85072352,0,19959200,65113152,1372.4889003613837,1370.824175824176,,1373.0,47424.0,1396-03-02
2017-05-24,37,0,8,1,5176986,0,176986,5000000,7804680252,0,265580252,7539100000,1507.5722151846653,1500.572090447832,,1507.82,5000000.0,1396-03-03
2017-05-27,55,0,28,1,2262628,0,1262628,1000000,3464529890,0,1951112890,1513417000,1531.197302428857,1545.2792825757072,,1513.417,1000000.0,1396-03-06
2017-05-28,41,0,25,0,1244576,0,1244576,0,1935938325,0,1935938325,0,1555.5002868446763,1555.5002868446763,,,0.0,1396-03-07
2017-05-29,36,0,25,0,708182,0,708182,0,1011624883,0,1011624883,0,1428.4814962820292,1428.4814962820292,,,0.0,1396-03-08
2017-05-30,33,0,34,0,1051788,0,1051788,0,1604345039,0,1604345039,0,1525.3502027024458,1525.3502027024458,,,0.0,1396-03-09
2017-05-31,68,0,65,0,1577558,0,1577558,0,2629183067,0,2629183067,0,1666.6157865511125,1666.6157865511125,,,0.0,1396-03-10
2017-06-03,99,1,72,3,5291376,600000,2756862,3134514,9612270993,1075200000,4970867101,5716603892,1816.5919399793167,1803.088838324153,1792.0,1823.7608420316517,2534514.0,1396-03-13
2017-06-06,86,0,49,1,1673506,0,1248020,425486,3135402445,0,2314299169,821103276,1873.5531542761123,1854.3766678418613,,1929.8009241197128,425486.0,1396-03-16
2017-06-07,61,1,45,1,1126587,72581,1157509,41659,1951202692,123947376,2004775918,70374150,1731.959175811544,1731.9743673699295,1707.71105385707,1689.2904294390169,-30922.0,1396-03-17
2017-06-10,60,0,27,0,1260326,0,1260326,0,2059208418,0,2059208418,0,1633.869663880615,1633.869663880615,,,0.0,1396-03-20
2017-06-12,63,0,55,1,1755177,0,1732596,22581,3296102206,0,3253288630,42813576,1877.9315168783544,1877.696029541797,,1896.0,22581.0,1396-03-22
2017-06-13,62,1,42,0,685111,14000,699111,0,1178377371,23884000,1202261371,0,1719.980223642592,1719.7002636205125,1706.0,,-14000.0,1396-03-23
2017-06-14,76,2,30,1,1722355,30830,1728042,25143,2755179454,48985568,2763433362,40731660,1599.6582899576451,1599.1702528063554,1588.8928965293546,1620.0,-5687.0,1396-03-24
2017-06-17,39,1,32,1,475564,13433,470564,18433,781842597,20834583,772440132,30237048,1644.0323426499904,1641.5198187706667,1551.0,1640.3758476645148,5000.0,1396-03-27
2017-06-18,38,0,25,0,537858,0,537858,0,872071565,0,872071565,0,1621.3788118797154,1621.3788118797154,,,0.0,1396-03-28
2017-06-19,41,1,47,0,928507,60000,988507,0,1565041567,104460000,1669501567,0,1685.5463308300314,1688.912235320539,1741.0,,-60000.0,1396-03-29
2017-06-20,58,0,23,0,667961,0,667961,0,1050517850,0,1050517850,0,1572.7233326496607,1572.7233326496607,,,0.0,1396-03-30
2017-06-21,28,0,24,0,309317,0,309317,0,478816857,0,478816857,0,1547.9810582670852,1547.9810582670852,,,0.0,1396-03-31
2017-06-24,13,0,13,0,120341,0,120341,0,187050609,0,187050609,0,1554.33816405049,1554.33816405049,,,0.0,1396-04-03
2017-06-25,27,0,33,0,383561,0,383561,0,621047565,0,621047565,0,1619.1624409155258,1619.1624409155258,,,0.0,1396-04-04
2017-06-28,21,0,26,0,261661,0,261661,0,436869621,0,436869621,0,1669.6015875503035,1669.6015875503035,,,0.0,1396-04-07
2017-07-01,46,0,23,0,685518,0,685518,0,1150047580,0,1150047580,0,1677.6329432633424,1677.6329432633424,,,0.0,1396-04-10
2017-07-02,35,0,34,0,760047,0,760047,0,1257251775,0,1257251775,0,1654.1763535676084,1654.1763535676084,,,0.0,1396-04-11
2017-07-03,43,1,15,0,528253,25000,553253,0,835793512,38825000,874618512,0,1582.1841276812436,1580.8653762383574,1553.0,,-25000.0,1396-04-12
2017-07-04,27,0,32,0,455050,0,455050,0,726276558,0,726276558,0,1596.0368267223382,1596.0368267223382,,,0.0,1396-04-13
2017-07-05,67,0,94,1,2567382,0,2564798,2584,4449071897,0,4444536977,4534920,1732.9216676754763,1732.8994240482095,,1755.0,2584.0,1396-04-14
2017-07-08,57,0,61,1,1089986,0,1052883,37103,1879534122,0,1818597432,60936690,1724.365379004868,1727.2550055419265,,1642.3655769075276,37103.0,1396-04-17
2017-07-09,24,0,28,0,316039,0,316039,0,531337088,0,531337088,0,1681.238986327637,1681.238986327637,,,0.0,1396-04-18
2017-07-10,47,1,25,0,683638,40000,723638,0,1076284859,61720000,1138004859,0,1574.3490838718735,1572.6162238577851,1543.0,,-40000.0,1396-04-19
2017-07-11,41,0,38,1,754873,0,704873,50000,1182154672,0,1103654672,78500000,1566.0312025996425,1565.7496768921494,,1570.0,50000.0,1396-04-20
2017-07-12,40,0,26,1,661474,0,611474,50000,1022554015,0,943651439,78902576,1545.8718180911117,1543.2404959164248,,1578.05152,50000.0,1396-04-21
2017-07-15,13,1,17,0,166346,23653,189999,0,254507436,36159396,290666832,0,1529.9883135152031,1529.8334833341228,1528.744598993785,,-23653.0,1396-04-24
2017-07-16,18,1,23,0,288111,76347,364458,0,434704404,116959191,551663595,0,1508.8087716192715,1513.6547832672077,1531.9421981217336,,-76347.0,1396-04-25
2017-07-17,28,0,35,1,651907,0,591907,60000,969846122,0,878226122,91620000,1487.7062556468943,1483.7231558336025,,1527.0,60000.0,1396-04-26
2017-07-18,27,0,69,1,1322728,0,1282728,40000,2132604546,0,2067164546,65440000,1612.2774644522533,1611.537711814196,,1636.0,40000.0,1396-04-27
2017-07-19,49,0,61,1,2264044,0,1064044,1200000,3899372540,0,1835839547,2063532993,1722.3042220027526,1725.3417593633346,,1719.6108275,1200000.0,1396-04-28
2017-07-22,90,0,97,1,5889691,0,2089691,3800000,10989095585,0,3895591561,7093504024,1865.818696600552,1864.195022613391,,1866.711585263158,3800000.0,1396-04-31
2017-07-23,166,1,83,3,5628480,500000,2759684,3368796,11523655314,1026000000,5636885922,6912769392,2047.383185869009,2042.5838327866525,2052.0,2052.0,2868796.0,1396-05-01
2017-07-24,168,1,108,1,5151003,300000,4262458,1188545,11447063603,675360000,9467757680,2654665923,2222.297987984088,2221.196708565809,2251.2,2233.54262817142,888545.0,1396-05-02
2017-07-25,156,1,127,1,3749684,200000,3648684,301000,8722199969,475920150,8471972454,726147665,2326.11600577542,2321.9255090328456,2379.60075,2412.450714285714,101000.0,1396-05-03
2017-07-26,143,0,55,0,2423111,0,2423111,0,5191666199,0,5191666199,0,2142.5622676798544,2142.5622676798544,,,0.0,1396-05-04
2017-07-29,145,0,151,0,3870290,0,3870290,0,8397038712,0,8397038712,0,2169.614864002439,2169.614864002439,,,0.0,1396-05-07
2017-07-30,86,0,111,0,2459883,0,2459883,0,5371309447,0,5371309447,0,2183.562977182248,2183.562977182248,,,0.0,1396-05-08
2017-07-31,81,0,86,0,1917600,0,1917600,0,4288596620,0,4288596620,0,2236.4396224447228,2236.4396224447228,,,0.0,1396-05-09
2017-08-01,181,0,67,0,4358561,0,4358561,0,9332329506,0,9332329506,0,2141.149224709715,2141.149224709715,,,0.0,1396-05-10
