date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-08-03,0,5,0,5,0,2028330,0,2028330,0,6389239500,0,6389239500,,,3150.0,3150.0,0.0,1393-05-12
2014-11-18,6,0,0,1,6000,0,0,6000,18900000,0,0,18900000,3150.0,,,3150.0,6000.0,1393-08-27
2014-11-23,1,0,0,1,1000,0,0,1000,3150000,0,0,3150000,3150.0,,,3150.0,1000.0,1393-09-02
2016-02-03,2,0,0,1,2000,0,0,2000,6260000,0,0,6260000,3130.0,,,3130.0,2000.0,1394-11-14
2016-04-20,2,0,1,0,1325,0,1325,0,4147250,0,4147250,0,3130.0,3130.0,,,0.0,1395-02-01
2016-05-02,1,0,1,0,100,0,100,0,312000,0,312000,0,3120.0,3120.0,,,0.0,1395-02-13
2016-05-07,8,0,2,0,84285,0,84285,0,263809950,0,263809950,0,3129.975084534615,3129.975084534615,,,0.0,1395-02-18
2016-05-10,1,0,1,0,1200,0,1200,0,3960000,0,3960000,0,3300.0,3300.0,,,0.0,1395-02-21
2016-05-15,1,0,1,0,2000,0,2000,0,6900000,0,6900000,0,3450.0,3450.0,,,0.0,1395-02-26
2016-05-25,1,0,1,0,13800,0,13800,0,49930000,0,49930000,0,3618.1159420289855,3618.1159420289855,,,0.0,1395-03-05
2016-06-01,1,0,1,0,1657,0,1657,0,6299914,0,6299914,0,3802.0,3802.0,,,0.0,1395-03-12
2016-06-07,2,0,1,0,3500,0,3500,0,13875000,0,13875000,0,3964.285714285714,3964.285714285714,,,0.0,1395-03-18
2016-06-12,2,0,1,1,10500,0,1500,9000,44319000,0,6330000,37989000,4220.857142857143,4220.0,,4221.0,9000.0,1395-03-23
2016-06-13,3,0,1,0,4600,0,4600,0,19455300,0,19455300,0,4229.413043478261,4229.413043478261,,,0.0,1395-03-24
2016-06-15,0,1,6,0,0,374131,374131,0,0,1580784820,1580784820,0,,4225.21742384352,4225.21742384352,,-374131.0,1395-03-26
2016-06-18,1,1,2,0,1400,305000,306400,0,6020000,1288625000,1294645000,0,4300.0,4225.342689295039,4225.0,,-305000.0,1395-03-29
2016-07-11,1,0,2,0,9000,0,9000,0,42400000,0,42400000,0,4711.111111111111,4711.111111111111,,,0.0,1395-04-21
2016-07-12,1,0,1,0,1057,0,1057,0,4978470,0,4978470,0,4710.0,4710.0,,,0.0,1395-04-22
2016-07-13,3,0,2,0,2221,0,2221,0,11082900,0,11082900,0,4990.049527239982,4990.049527239982,,,0.0,1395-04-23
2016-10-02,3,0,3,0,22589,0,22589,0,113474670,0,113474670,0,5023.448138474479,5023.448138474479,,,0.0,1395-07-11
2016-10-15,1,0,1,0,1200,0,1200,0,6084000,0,6084000,0,5070.0,5070.0,,,0.0,1395-07-24
2016-11-01,2,0,1,0,8443,0,8443,0,42404910,0,42404910,0,5022.493189624541,5022.493189624541,,,0.0,1395-08-11
2016-11-07,1,0,1,0,3500,0,3500,0,17850000,0,17850000,0,5100.0,5100.0,,,0.0,1395-08-17
2016-11-23,1,1,0,1,50,10,0,60,255000,51000,0,306000,5100.0,,5100.0,5100.0,50.0,1395-09-03
2016-12-05,1,0,0,1,5,0,0,5,25400,0,0,25400,5080.0,,,5080.0,5.0,1395-09-15
2017-02-20,3,0,1,1,15935,0,15000,935,79675000,0,75000000,4675000,5000.0,5000.0,,5000.0,935.0,1395-12-02
2017-04-04,3,0,1,0,262,0,262,0,1336200,0,1336200,0,5100.0,5100.0,,,0.0,1396-01-15
2017-04-22,1,0,1,0,90,0,90,0,234000,0,234000,0,2600.0,2600.0,,,0.0,1396-02-02
2017-05-28,1,0,1,0,2500,0,2500,0,6750000,0,6750000,0,2700.0,2700.0,,,0.0,1396-03-07
2017-06-12,3,0,1,0,8940,0,8940,0,25032000,0,25032000,0,2800.0,2800.0,,,0.0,1396-03-22
2017-06-17,1,0,0,1,60,0,0,60,168000,0,0,168000,2800.0,,,2800.0,60.0,1396-03-27
2017-07-03,2,0,1,0,2380,0,2380,0,6426000,0,6426000,0,2700.0,2700.0,,,0.0,1396-04-12
2017-07-04,2,0,3,0,39670,0,39670,0,107371534,0,107371534,0,2706.6179480715905,2706.6179480715905,,,0.0,1396-04-13
2017-07-08,8,0,10,0,69561,0,69561,0,206178804,0,206178804,0,2964.0,2964.0,,,0.0,1396-04-17
2017-07-09,17,0,4,0,49227,0,49227,0,160480020,0,160480020,0,3260.0,3260.0,,,0.0,1396-04-18
2017-07-10,11,0,6,0,42934,0,42934,0,153961324,0,153961324,0,3586.0,3586.0,,,0.0,1396-04-19
2017-07-11,7,0,11,0,32291,0,32291,0,126317497,0,126317497,0,3911.848409773621,3911.848409773621,,,0.0,1396-04-20
2017-07-12,9,0,6,0,21097,0,21097,0,90780391,0,90780391,0,4303.0,4303.0,,,0.0,1396-04-21
2017-07-15,8,0,10,0,40342,0,40342,0,190475707,0,190475707,0,4721.523647811214,4721.523647811214,,,0.0,1396-04-24
2017-07-17,3,0,12,1,27090,0,26730,360,117885820,0,116063420,1822400,4351.636028054632,4342.065843621399,,5062.222222222223,360.0,1396-04-26
