date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-10-21,2581,69,0,3,6184332,1111668,0,7296000,9276498000,1667502000,0,10944000000,1500.0,,1500.0,1500.0,6184332.0,1388-07-29
2009-10-21,2581,69,0,3,6184332,1111668,0,7296000,9276498000,1667502000,0,10944000000,1500.0,,1500.0,1500.0,6184332.0,1388-07-29
2009-10-24,503,16,1,3,1263160,216840,1000,1479000,1989477000,341523000,1575000,2329425000,1575.0,1575.0,1575.0,1575.0,1262160.0,1388-08-02
2009-10-24,503,16,1,3,1263160,216840,1000,1479000,1989477000,341523000,1575000,2329425000,1575.0,1575.0,1575.0,1575.0,1262160.0,1388-08-02
2009-10-25,501,11,6,3,1810500,247500,13000,2045000,2992756500,409117500,21489000,3380385000,1653.0,1653.0,1653.0,1653.0,1797500.0,1388-08-03
2009-10-25,501,11,6,3,1810500,247500,13000,2045000,2992756500,409117500,21489000,3380385000,1653.0,1653.0,1653.0,1653.0,1797500.0,1388-08-03
2009-10-26,411,13,11,6,1391501,158800,64300,1486001,2414254235,275518000,111560500,2578211735,1735.0,1735.0,1735.0,1735.0,1327201.0,1388-08-04
2009-10-26,411,13,11,6,1391501,158800,64300,1486001,2414254235,275518000,111560500,2578211735,1735.0,1735.0,1735.0,1735.0,1327201.0,1388-08-04
2009-10-27,292,7,72,4,1556310,332500,397810,1491000,2834040510,605482500,724412010,2715111000,1821.0,1821.0,1821.0,1821.0,1158500.0,1388-08-05
2009-10-27,292,7,72,4,1556310,332500,397810,1491000,2834040510,605482500,724412010,2715111000,1821.0,1821.0,1821.0,1821.0,1158500.0,1388-08-05
2009-10-28,349,23,1116,24,7491500,10734012,6255433,11970079,14130562598,20033421035,11813781629,22350202004,1886.2127208169256,1888.5633702734888,1866.3497893425124,1867.1724726294624,1236067.0,1388-08-06
2009-10-28,349,23,1116,24,7491500,10734012,6255433,11970079,14130562598,20033421035,11813781629,22350202004,1886.2127208169256,1888.5633702734888,1866.3497893425124,1867.1724726294624,1236067.0,1388-08-06
2009-10-31,33,3,140,3,671076,470010,1066086,75000,1198178796,839997820,1904057616,134119000,1785.4591670690056,1786.0262830578397,1787.1913789068317,1788.253333333333,-395010.0,1388-08-09
2009-10-31,33,3,140,3,671076,470010,1066086,75000,1198178796,839997820,1904057616,134119000,1785.4591670690056,1786.0262830578397,1787.1913789068317,1788.253333333333,-395010.0,1388-08-09
2009-11-01,79,9,301,7,1549647,1438491,2786139,201999,2796004804,2661779527,5087913674,369870657,1804.2849784499308,1826.1521316775647,1850.3970667873489,1831.051921049114,-1236492.0,1388-08-10
2009-11-01,79,9,301,7,1549647,1438491,2786139,201999,2796004804,2661779527,5087913674,369870657,1804.2849784499308,1826.1521316775647,1850.3970667873489,1831.051921049114,-1236492.0,1388-08-10
2009-11-02,44,5,140,7,1039790,543242,1383904,199128,1892021849,996523043,2526475396,362069496,1819.619200992508,1825.614635119199,1834.399849422541,1818.275159696276,-344114.0,1388-08-11
2009-11-02,44,5,140,7,1039790,543242,1383904,199128,1892021849,996523043,2526475396,362069496,1819.619200992508,1825.614635119199,1834.399849422541,1818.275159696276,-344114.0,1388-08-11
2009-11-03,7,4,5,0,100100,160000,260100,0,173685800,277460000,451145800,0,1735.122877122877,1734.5090349865436,1734.125,,-160000.0,1388-08-12
2009-11-03,7,4,5,0,100100,160000,260100,0,173685800,277460000,451145800,0,1735.122877122877,1734.5090349865436,1734.125,,-160000.0,1388-08-12
2009-11-04,43,3,56,2,729035,15060000,786035,15003000,1240681071,26383330000,1338965071,26285046000,1701.8127675626,1703.4420490181735,1751.8811420982736,1751.98600279944,-57000.0,1388-08-13
2009-11-04,43,3,56,2,729035,15060000,786035,15003000,1240681071,26383330000,1338965071,26285046000,1701.8127675626,1703.4420490181735,1751.8811420982736,1751.98600279944,-57000.0,1388-08-13
2009-11-07,32,4,43,5,436543,15146603,543246,15039900,745940856,26203195932,930828383,26018308405,1708.7454294307777,1713.4564874844914,1729.971791826854,1729.9522207594466,-106703.0,1388-08-16
2009-11-07,32,4,43,5,436543,15146603,543246,15039900,745940856,26203195932,930828383,26018308405,1708.7454294307777,1713.4564874844914,1729.971791826854,1729.9522207594466,-106703.0,1388-08-16
2009-11-08,32,3,59,1,416690,344200,749447,11443,687014366,565962600,1233912928,19064038,1648.7421488396649,1646.431205942515,1644.2841371295758,1666.0,-332757.0,1388-08-17
2009-11-08,32,3,59,1,416690,344200,749447,11443,687014366,565962600,1233912928,19064038,1648.7421488396649,1646.431205942515,1644.2841371295758,1666.0,-332757.0,1388-08-17
2009-11-09,9,3,63,1,152110,368966,485076,36000,255755128,630807105,826552233,60010000,1681.382736177766,1703.9643952700196,1709.6618794143633,1666.9444444444443,-332966.0,1388-08-18
2009-11-09,9,3,63,1,152110,368966,485076,36000,255755128,630807105,826552233,60010000,1681.382736177766,1703.9643952700196,1709.6618794143633,1666.9444444444443,-332966.0,1388-08-18
2009-11-10,22,5,28,2,249150,370000,588794,30356,403118747,600067356,954130807,49055296,1617.9761067629945,1620.483236921572,1621.803664864865,1616.0,-339644.0,1388-08-19
2009-11-10,22,5,28,2,249150,370000,588794,30356,403118747,600067356,954130807,49055296,1617.9761067629945,1620.483236921572,1621.803664864865,1616.0,-339644.0,1388-08-19
2009-11-11,12,2,88,3,453870,447577,599097,302350,766881415,751244610,1011848525,506277500,1689.649932800141,1688.9560872446366,1678.4700956483466,1674.474946254341,-145227.0,1388-08-20
2009-11-11,12,2,88,3,453870,447577,599097,302350,766881415,751244610,1011848525,506277500,1689.649932800141,1688.9560872446366,1678.4700956483466,1674.474946254341,-145227.0,1388-08-20
2009-11-14,15,3,15,1,311732,158468,320200,150000,502986440,255183216,515833000,242336656,1613.52199966638,1610.9712679575266,1610.3138551631876,1615.5777066666667,-8468.0,1388-08-23
2009-11-14,15,3,15,1,311732,158468,320200,150000,502986440,255183216,515833000,242336656,1613.52199966638,1610.9712679575266,1610.3138551631876,1615.5777066666667,-8468.0,1388-08-23
2009-11-15,12,3,30,0,260000,322964,582964,0,412953000,509113372,922066372,0,1588.2807692307692,1581.6866427429482,1576.378085483212,,-322964.0,1388-08-24
2009-11-15,12,3,30,0,260000,322964,582964,0,412953000,509113372,922066372,0,1588.2807692307692,1581.6866427429482,1576.378085483212,,-322964.0,1388-08-24
2009-11-16,16,4,34,0,212712,124000,336712,0,332610140,195239500,527849640,0,1563.6642032419422,1567.6591270878378,1574.5120967741937,,-124000.0,1388-08-25
2009-11-16,16,4,34,0,212712,124000,336712,0,332610140,195239500,527849640,0,1563.6642032419422,1567.6591270878378,1574.5120967741937,,-124000.0,1388-08-25
2009-11-17,29,3,19,1,408990,167500,575990,500,616180651,254027564,869413215,795000,1506.590994889851,1509.4241479886805,1516.582471641791,1590.0,-167000.0,1388-08-26
2009-11-17,29,3,19,1,408990,167500,575990,500,616180651,254027564,869413215,795000,1506.590994889851,1509.4241479886805,1516.582471641791,1590.0,-167000.0,1388-08-26
2009-11-18,23,3,27,1,209019,258305,197324,270000,319710628,392814314,301282843,411242099,1529.5768710021578,1526.843379416594,1520.738328719924,1523.1188851851853,11695.0,1388-08-27
2009-11-18,23,3,27,1,209019,258305,197324,270000,319710628,392814314,301282843,411242099,1529.5768710021578,1526.843379416594,1520.738328719924,1523.1188851851853,11695.0,1388-08-27
2009-11-21,9,2,11,1,163021,237000,250021,150000,237450500,345735000,365834429,217351071,1456.5638782733513,1463.2148059562996,1458.7974683544303,1449.00714,-87000.0,1388-08-30
2009-11-21,9,2,11,1,163021,237000,250021,150000,237450500,345735000,365834429,217351071,1456.5638782733513,1463.2148059562996,1458.7974683544303,1449.00714,-87000.0,1388-08-30
2009-11-22,18,3,19,0,262300,220000,482300,0,364512200,304970000,669482200,0,1389.6767060617613,1388.1032552353306,1386.2272727272727,,-220000.0,1388-09-01
2009-11-22,18,3,19,0,262300,220000,482300,0,364512200,304970000,669482200,0,1389.6767060617613,1388.1032552353306,1386.2272727272727,,-220000.0,1388-09-01
2009-11-23,17,1,21,1,292567,8879,209108,92338,416189863,12567244,296943241,131813866,1422.545478471598,1420.047253094095,1415.3895708976236,1427.5148476250297,83459.0,1388-09-02
2009-11-23,17,1,21,1,292567,8879,209108,92338,416189863,12567244,296943241,131813866,1422.545478471598,1420.047253094095,1415.3895708976236,1427.5148476250297,83459.0,1388-09-02
2009-11-24,70,6,25,5,1068678,15217000,501110,15784568,1559256414,20870307400,740741790,21688822024,1459.051663831388,1478.201971622997,1371.5126108957088,1374.052303743758,567568.0,1388-09-03
2009-11-24,70,6,25,5,1068678,15217000,501110,15784568,1559256414,20870307400,740741790,21688822024,1459.051663831388,1478.201971622997,1371.5126108957088,1374.052303743758,567568.0,1388-09-03
2009-11-25,11,2,4,1,180000,62722,42722,200000,260100000,90633290,61733290,289000000,1445.0,1445.0,1445.0,1445.0,137278.0,1388-09-04
2009-11-25,11,2,4,1,180000,62722,42722,200000,260100000,90633290,61733290,289000000,1445.0,1445.0,1445.0,1445.0,137278.0,1388-09-04
2009-11-29,14,1,14,1,193660,150000,343401,259,267682088,215550000,482869747,362341,1382.2270370752865,1406.1396064659102,1437.0,1399.0,-149741.0,1388-09-08
2009-11-29,14,1,14,1,193660,150000,343401,259,267682088,215550000,482869747,362341,1382.2270370752865,1406.1396064659102,1437.0,1399.0,-149741.0,1388-09-08
2009-11-30,11,3,10,0,161188,23000,184188,0,218700966,31300000,250000966,0,1356.8067474005509,1357.3140812647946,1360.8695652173913,,-23000.0,1388-09-09
2009-11-30,11,3,10,0,161188,23000,184188,0,218700966,31300000,250000966,0,1356.8067474005509,1357.3140812647946,1360.8695652173913,,-23000.0,1388-09-09
2009-12-01,3,3,23,1,16000,314820,330720,100,22088000,447333868,469279468,142400,1380.5,1418.9630745041122,1420.9194714439998,1424.0,-314720.0,1388-09-10
2009-12-01,3,3,23,1,16000,314820,330720,100,22088000,447333868,469279468,142400,1380.5,1418.9630745041122,1420.9194714439998,1424.0,-314720.0,1388-09-10
2009-12-02,7,6,37,2,399678,822000,521678,700000,562255120,1182905735,771903942,973256913,1406.7702500512912,1479.655921852177,1439.0580717761557,1390.3670185714286,-122000.0,1388-09-11
2009-12-02,7,6,37,2,399678,822000,521678,700000,562255120,1182905735,771903942,973256913,1406.7702500512912,1479.655921852177,1439.0580717761557,1390.3670185714286,-122000.0,1388-09-11
2009-12-05,4,1,8,2,66500,16800,29700,53600,98268000,24024000,42979000,79313000,1477.7142857142858,1447.1043771043771,1430.0,1479.7201492537313,36800.0,1388-09-14
2009-12-05,4,1,8,2,66500,16800,29700,53600,98268000,24024000,42979000,79313000,1477.7142857142858,1447.1043771043771,1430.0,1479.7201492537313,36800.0,1388-09-14
2009-12-07,5,4,7,1,50000,86600,121600,15000,74300000,128179700,179994700,22485000,1486.0,1480.219572368421,1480.135103926097,1499.0,-71600.0,1388-09-16
2009-12-07,5,4,7,1,50000,86600,121600,15000,74300000,128179700,179994700,22485000,1486.0,1480.219572368421,1480.135103926097,1499.0,-71600.0,1388-09-16
2009-12-08,13,1,7,0,244900,52300,297200,0,347265000,79920000,427185000,0,1417.9869334422212,1437.3654104979812,1528.1070745697896,,-52300.0,1388-09-17
2009-12-08,13,1,7,0,244900,52300,297200,0,347265000,79920000,427185000,0,1417.9869334422212,1437.3654104979812,1528.1070745697896,,-52300.0,1388-09-17
2009-12-09,10,2,9,0,115700,10500,126200,0,158619100,14500000,173119100,0,1370.9515989628349,1371.783676703645,1380.952380952381,,-10500.0,1388-09-18
2009-12-09,10,2,9,0,115700,10500,126200,0,158619100,14500000,173119100,0,1370.9515989628349,1371.783676703645,1380.952380952381,,-10500.0,1388-09-18
2009-12-12,16,3,19,1,202740,10070000,272740,10000000,266902604,13791590000,358492604,13700000000,1316.4772812469173,1314.411542128034,1369.5719960278054,1370.0,-70000.0,1388-09-21
2009-12-12,16,3,19,1,202740,10070000,272740,10000000,266902604,13791590000,358492604,13700000000,1316.4772812469173,1314.411542128034,1369.5719960278054,1370.0,-70000.0,1388-09-21
2009-12-13,10,3,15,1,114200,74500,175700,13000,152066256,99037000,232903256,18200000,1331.5784238178635,1325.573454752419,1329.3557046979863,1400.0,-61500.0,1388-09-22
2009-12-13,10,3,15,1,114200,74500,175700,13000,152066256,99037000,232903256,18200000,1331.5784238178635,1325.573454752419,1329.3557046979863,1400.0,-61500.0,1388-09-22
2009-12-14,3,2,14,1,99000,51300,119300,31000,136468000,69847018,163225018,43090000,1378.4646464646464,1368.189589270746,1361.5403118908382,1390.0,-20300.0,1388-09-23
2009-12-14,3,2,14,1,99000,51300,119300,31000,136468000,69847018,163225018,43090000,1378.4646464646464,1368.189589270746,1361.5403118908382,1390.0,-20300.0,1388-09-23
2009-12-15,27,4,29,1,461768,161000,400368,222400,606019080,210545000,525659080,290905000,1312.388645380364,1312.9397953882428,1307.7329192546583,1308.026079136691,61400.0,1388-09-24
2009-12-15,27,4,29,1,461768,161000,400368,222400,606019080,210545000,525659080,290905000,1312.388645380364,1312.9397953882428,1307.7329192546583,1308.026079136691,61400.0,1388-09-24
2009-12-16,16,1,4,1,246916,2500,38500,210916,308416952,3330000,48188016,263558936,1249.0764146511365,1251.636779220779,1332.0,1249.591951298147,208416.0,1388-09-25
