date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-02-22,1,0,1,0,1998,0,1998,0,999000,0,999000,0,500.0,500.0,,,0.0,1392-12-03
2014-08-13,3,0,3,0,109284,0,109284,0,131920132,0,131920132,0,1207.1312543464735,1207.1312543464735,,,0.0,1393-05-22
2014-09-03,2,0,1,0,14984,0,14984,0,17980800,0,17980800,0,1200.0,1200.0,,,0.0,1393-06-12
2014-09-07,1,0,2,0,35916,0,35916,0,37527600,0,37527600,0,1044.8713665218845,1044.8713665218845,,,0.0,1393-06-16
2014-09-17,1,0,1,0,100,0,100,0,100000,0,100000,0,1000.0,1000.0,,,0.0,1393-06-26
2014-09-20,1,0,1,0,200,0,200,0,200000,0,200000,0,1000.0,1000.0,,,0.0,1393-06-29
2014-09-24,2,0,4,0,245105,0,245105,0,245105000,0,245105000,0,1000.0,1000.0,,,0.0,1393-07-02
2014-10-04,1,0,1,1,78450,0,78227,223,78461150,0,78227000,234150,1000.1421287444232,1000.0,,1050.0,223.0,1393-07-12
2014-10-08,3,0,6,0,1587818,0,1587818,0,1587827700,0,1587827700,0,1000.006109012494,1000.006109012494,,,0.0,1393-07-16
2014-10-12,2,0,1,0,1380,0,1380,0,1647720,0,1647720,0,1194.0,1194.0,,,0.0,1393-07-20
2014-10-15,3,0,1,0,1242,0,1242,0,1482948,0,1482948,0,1194.0,1194.0,,,0.0,1393-07-23
2014-10-21,3,0,6,0,5677,0,5677,0,5891790,0,5891790,0,1037.835124185309,1037.835124185309,,,0.0,1393-07-29
2014-10-22,1,0,1,0,2467,0,2467,0,2713700,0,2713700,0,1100.0,1100.0,,,0.0,1393-07-30
2014-12-01,4,0,1,0,21879,0,21879,0,21045190,0,21045190,0,961.8899401252344,961.8899401252344,,,0.0,1393-09-10
2014-12-09,1,0,1,0,5000,0,5000,0,4810000,0,4810000,0,962.0,962.0,,,0.0,1393-09-18
2014-12-15,1,0,1,0,50000,0,50000,0,42000000,0,42000000,0,840.0,840.0,,,0.0,1393-09-24
2014-12-24,1,0,1,0,30000,0,30000,0,25530000,0,25530000,0,851.0,851.0,,,0.0,1393-10-03
2015-01-05,1,0,1,0,30000,0,30000,0,25230000,0,25230000,0,841.0,841.0,,,0.0,1393-10-15
2015-01-11,1,0,1,0,55000,0,55000,0,45980000,0,45980000,0,836.0,836.0,,,0.0,1393-10-21
2015-01-18,2,0,3,0,99580,0,99580,0,80796380,0,80796380,0,811.3715605543282,811.3715605543282,,,0.0,1393-10-28
2015-01-21,1,0,1,0,20000,0,20000,0,16400000,0,16400000,0,820.0,820.0,,,0.0,1393-11-01
2015-01-24,3,0,1,0,28168,0,28168,0,22856698,0,22856698,0,811.4419909116729,811.4419909116729,,,0.0,1393-11-04
2015-01-25,1,0,1,0,37000,0,37000,0,30007000,0,30007000,0,811.0,811.0,,,0.0,1393-11-05
2015-01-26,1,0,1,0,55000,0,55000,0,55000000,0,55000000,0,1000.0,1000.0,,,0.0,1393-11-06
2015-01-27,1,0,1,0,20000,0,20000,0,16220000,0,16220000,0,811.0,811.0,,,0.0,1393-11-07
2015-01-31,1,0,1,0,20000,0,20000,0,20000000,0,20000000,0,1000.0,1000.0,,,0.0,1393-11-11
2015-02-01,1,0,1,0,17500,0,17500,0,17500000,0,17500000,0,1000.0,1000.0,,,0.0,1393-11-12
2015-02-09,1,0,1,0,100000,0,100000,0,100000000,0,100000000,0,1000.0,1000.0,,,0.0,1393-11-20
2015-02-14,1,0,1,0,32500,0,32500,0,32500000,0,32500000,0,1000.0,1000.0,,,0.0,1393-11-25
2015-02-15,1,0,2,0,200000,0,200000,0,200000000,0,200000000,0,1000.0,1000.0,,,0.0,1393-11-26
2015-03-07,1,0,1,0,100,0,100,0,100000,0,100000,0,1000.0,1000.0,,,0.0,1393-12-16
2015-03-09,1,0,1,0,4470,0,4470,0,4335900,0,4335900,0,970.0,970.0,,,0.0,1393-12-18
2015-03-16,1,0,2,0,76110,0,76110,0,73826700,0,73826700,0,970.0,970.0,,,0.0,1393-12-25
2015-04-06,2,0,2,0,9700,0,9700,0,9448500,0,9448500,0,974.0721649484536,974.0721649484536,,,0.0,1394-01-17
2015-04-14,1,0,1,0,1000,0,1000,0,1000000,0,1000000,0,1000.0,1000.0,,,0.0,1394-01-25
2015-04-27,1,0,1,0,30000,0,30000,0,30000000,0,30000000,0,1000.0,1000.0,,,0.0,1394-02-07
2015-04-29,1,0,1,0,4737,0,4737,0,4973850,0,4973850,0,1050.0,1050.0,,,0.0,1394-02-09
2015-05-11,1,0,1,0,375,0,375,0,363750,0,363750,0,970.0,970.0,,,0.0,1394-02-21
2015-05-18,2,0,1,0,14528,0,14528,0,14092373,0,14092373,0,970.0146613436124,970.0146613436124,,,0.0,1394-02-28
2015-05-26,1,0,1,0,21519,0,21519,0,20658240,0,20658240,0,960.0,960.0,,,0.0,1394-03-05
2015-06-10,1,0,1,0,4737,0,4737,0,4552257,0,4552257,0,961.0,961.0,,,0.0,1394-03-20
2015-06-24,1,0,1,0,1200,0,1200,0,1152000,0,1152000,0,960.0,960.0,,,0.0,1394-04-03
2015-07-12,2,0,1,0,1500,0,1500,0,1440000,0,1440000,0,960.0,960.0,,,0.0,1394-04-21
2015-07-15,1,0,1,0,5,0,5,0,4800,0,4800,0,960.0,960.0,,,0.0,1394-04-24
2015-11-16,1,0,1,0,4530,0,4530,0,2731590,0,2731590,0,603.0,603.0,,,0.0,1394-08-25
2015-11-17,1,1,1,1,50,1000,50,1000,30150,615000,30150,615000,603.0,603.0,615.0,615.0,0.0,1394-08-26
2015-12-19,1,0,2,0,104520,0,104520,0,103474800,0,103474800,0,990.0,990.0,,,0.0,1394-09-28
2015-12-27,1,0,1,0,10000,0,10000,0,10000000,0,10000000,0,1000.0,1000.0,,,0.0,1394-10-06
2016-01-06,1,0,1,0,137000,0,137000,0,137000000,0,137000000,0,1000.0,1000.0,,,0.0,1394-10-16
