date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,5,2,7,1,5878,62138,68006,10,5955214,64559779,70504773,10220,1013.1361007145288,1036.743419698262,1038.9742025813512,1022.0,-62128.0,1387-09-06
2008-11-29,3,2,7,3,5707,51866,38872,18701,5822952,53627516,40145092,19305376,1020.3175048186438,1032.750874665569,1033.9628272856978,1032.3178439655633,-33165.0,1387-09-09
2008-11-30,14,2,14,2,140123,53769,189576,4316,144642711,55884584,196099079,4428216,1032.25531140498,1034.4087806473394,1039.3457940448957,1026.0,-49453.0,1387-09-10
2008-12-01,11,2,9,2,64420,53596,105239,12777,66082518,55581046,108726692,12936872,1025.807482148401,1033.1406797860109,1037.0372042689753,1012.5124833685528,-40819.0,1387-09-11
2008-12-02,15,2,24,5,350272,2423384,502913,2270743,351426915,2440216595,509442971,2282200539,1003.2971947515074,1012.9842954944494,1006.9459049824544,1005.0457224793824,-152641.0,1387-09-12
2008-12-03,6,4,7,5,75939,1684069,231476,1528532,76420719,1695694473,232930025,1539185167,1006.3434993876664,1006.2815367467902,1006.9032046786682,1006.9695413638708,-155537.0,1387-09-13
2008-12-06,1,1,1,1,50000,100000,20000,130000,50260000,100700000,20140000,130820000,1005.2,1007.0,1007.0,1006.3076923076924,30000.0,1387-09-16
2008-12-07,10,1,2,1,127050,300000,14050,413000,127702400,301940000,13820900,415821500,1005.1349862258952,983.693950177936,1006.4666666666668,1006.8317191283292,113000.0,1387-09-17
2008-12-08,6,1,3,2,57950,349228,37950,369228,56859200,351612596,38177700,370294096,981.176876617774,1006.0,1006.8281924702486,1002.8873649885708,20000.0,1387-09-18
2008-12-10,8,2,5,2,79190,141300,70300,150190,77264840,144178700,72305700,149137840,975.6893547165046,1028.5305832147938,1020.37296532201,992.9944736666888,8890.0,1387-09-20
2008-12-13,0,1,7,3,0,20000,14000,6000,0,20200000,14140000,6060000,,1010.0,1010.0,1010.0,-14000.0,1387-09-23
2008-12-14,0,1,6,1,0,28876,26876,2000,0,29193636,27171636,2022000,,1011.0,1011.0,1011.0,-26876.0,1387-09-24
2008-12-15,4,1,15,2,51637,22668,57595,16710,52243717,22917348,58254545,16906520,1011.7496562542364,1011.4514280753538,1011.0,1011.7606223818073,-5958.0,1387-09-25
2008-12-16,1,1,9,1,100,18001,16101,2000,101200,18199011,16278211,2022000,1012.0,1011.0062107943606,1011.0,1011.0,-16001.0,1387-09-26
2008-12-20,1,1,13,1,1443,26957,26400,2000,1460316,27280484,26716800,2024000,1012.0,1012.0,1012.0,1012.0,-24957.0,1387-09-30
2008-12-21,2,1,14,3,4935,31465,30400,6000,4999155,31842580,30769735,6072000,1013.0,1012.1623355263158,1012.0,1012.0,-25465.0,1387-10-01
2008-12-22,0,1,9,3,0,22441,16441,6000,0,22710292,16638292,6072000,,1012.0,1012.0,1012.0,-16441.0,1387-10-02
2008-12-23,1,1,11,3,7002,24000,25002,6000,7086024,24288000,25302024,6072000,1012.0,1012.0,1012.0,1012.0,-18000.0,1387-10-03
2008-12-24,3,1,12,3,1470,29019,24489,6000,1487640,29367228,24782868,6072000,1012.0,1012.0,1012.0,1012.0,-23019.0,1387-10-04
2008-12-27,2,1,12,2,6455,28000,30455,4000,6558280,28420000,30918280,4060000,1016.0,1015.211952060417,1015.0,1015.0,-24000.0,1387-10-07
2008-12-28,1,1,18,1,6607,32189,36796,2000,6706105,32671835,37347940,2030000,1015.0,1015.0,1015.0,1015.0,-30189.0,1387-10-08
2008-12-29,4,1,17,3,32000,37573,63573,6000,32510000,38136595,64556595,6090000,1015.9375,1015.471898447454,1015.0,1015.0,-31573.0,1387-10-09
2008-12-30,2,1,18,3,1230,40770,36000,6000,1248450,41381550,36540000,6090000,1015.0,1015.0,1015.0,1015.0,-34770.0,1387-10-10
2008-12-31,1,1,21,3,1998,46750,42748,6000,2029968,47451250,43391218,6090000,1016.0,1015.0467390287264,1015.0,1015.0,-40750.0,1387-10-11
2009-01-03,1,1,16,1,3000,31200,32200,2000,3051000,31730400,32747400,2034000,1017.0,1017.0,1017.0,1017.0,-29200.0,1387-10-14
2009-01-04,0,1,12,2,0,28000,24000,4000,0,28476000,24408000,4068000,,1017.0,1017.0,1017.0,-24000.0,1387-10-15
2009-01-05,0,2,12,2,0,36000,32000,4000,0,36612000,32544000,4068000,,1017.0,1017.0,1017.0,-32000.0,1387-10-16
2009-01-10,1,1,10,3,9753,18547,22300,6000,9948060,18917940,22746000,6120000,1020.0,1020.0,1020.0,1020.0,-12547.0,1387-10-21
2009-01-11,1,2,12,3,1000,33829,28829,6000,1020000,34505580,29405580,6120000,1020.0,1020.0,1020.0,1020.0,-27829.0,1387-10-22
2009-01-12,2,1,9,2,9000,22000,27000,4000,9184000,22440000,27544000,4080000,1020.4444444444443,1020.1481481481482,1020.0,1020.0,-18000.0,1387-10-23
2009-01-13,0,1,11,3,0,25422,19422,6000,0,25930440,19810440,6120000,,1020.0,1020.0,1020.0,-19422.0,1387-10-24
2009-01-14,3,1,12,2,8268,26552,30820,4000,8440180,27083040,31443220,4080000,1020.8248669569424,1020.221284879948,1020.0,1020.0,-22552.0,1387-10-25
2009-01-17,1,1,10,4,5038,25480,22518,8000,5163950,26117000,23080950,8200000,1025.0,1025.0,1025.0,1025.0,-17480.0,1387-10-28
2009-01-18,1,1,13,2,5000,30000,31000,4000,5125000,30750000,31775000,4100000,1025.0,1025.0,1025.0,1025.0,-26000.0,1387-10-29
2009-01-19,0,2,16,2,0,39872,35872,4000,0,41068160,36948160,4120000,,1030.0,1030.0,1030.0,-35872.0,1387-10-30
2009-01-20,7,2,13,2,7000,37121,34121,10000,7245000,38420235,35315235,10350000,1035.0,1035.0,1035.0,1035.0,-27121.0,1387-11-01
2009-01-21,4,2,10,4,13500,34200,38200,9500,14040000,35568000,39728000,9880000,1040.0,1040.0,1040.0,1040.0,-24700.0,1387-11-02
2009-01-24,1,1,16,2,4496,31186,31682,4000,4689328,32526998,33044326,4172000,1043.0,1043.0,1043.0,1043.0,-27186.0,1387-11-05
2009-01-25,3,1,17,4,3517,40457,36089,7885,3673641,42237108,37678809,8231940,1044.5382428205858,1044.0524536562386,1044.0,1044.0,-32572.0,1387-11-06
2009-01-26,1,1,17,4,1,35862,27862,8001,1048,37547514,29171514,8377048,1048.0,1047.0,1047.0,1047.000124984377,-27861.0,1387-11-07
2009-01-27,0,1,16,4,0,36207,28207,8000,0,37944936,29560936,8384000,,1048.0,1048.0,1048.0,-28207.0,1387-11-08
2009-01-28,0,1,14,4,0,34009,26009,8000,0,35675441,27283441,8392000,,1049.0,1049.0,1049.0,-26009.0,1387-11-09
2009-01-31,1,1,17,3,1500,35801,31301,6000,1575000,37591050,32866050,6300000,1050.0,1050.0,1050.0,1050.0,-29801.0,1387-11-12
2009-02-01,1,1,15,3,20,33112,27132,6000,21040,34800712,28515752,6306000,1052.0,1051.00073713696,1051.0,1051.0,-27112.0,1387-11-13
2009-02-02,0,1,14,3,0,30300,24300,6000,0,31875600,25563600,6312000,,1052.0,1052.0,1052.0,-24300.0,1387-11-14
2009-02-03,1,1,15,3,371,32933,27304,6000,390663,34678449,28751112,6318000,1053.0,1053.0,1053.0,1053.0,-26933.0,1387-11-15
2009-02-04,1,1,17,4,8955,40034,40989,8000,9447525,42195836,43211361,8432000,1055.0,1054.2184732489204,1054.0,1054.0,-32034.0,1387-11-16
2009-02-07,0,1,17,3,0,33605,27605,6000,0,35486880,29150880,6336000,,1056.0,1056.0,1056.0,-27605.0,1387-11-19
2009-02-08,4,1,22,4,210000,42932,236832,16100,222076000,45379124,250427424,17027700,1057.5047619047618,1057.4053506282935,1057.0,1057.6211180124224,-26832.0,1387-11-20
2009-02-09,2,1,14,3,1591,33800,29391,6000,1699188,36064600,31361788,6402000,1068.0,1067.054132217345,1067.0,1067.0,-27800.0,1387-11-21
2009-02-11,1,2,17,3,1863,56721,52584,6000,1989684,60578028,56159712,6408000,1068.0,1068.0,1068.0,1068.0,-50721.0,1387-11-23
2009-02-14,2,2,22,3,7717,94219,95936,6000,8261190,100814330,102655520,6420000,1070.5183361409877,1070.041694462975,1070.0,1070.0,-88219.0,1387-11-26
2009-02-15,4,1,22,3,9838,39677,43515,6000,10566012,42613098,46735110,6444000,1074.0,1074.0,1074.0,1074.0,-33677.0,1387-11-27
2009-02-17,3,2,21,3,206198,30699,105696,131201,221997320,33032124,113741667,141287777,1076.6220816884745,1076.1208276566758,1076.0,1076.8803362779247,100502.0,1387-11-29
2009-02-18,2,2,15,3,1216,42362,36362,7216,1319476,45962770,39452770,7829476,1085.095394736842,1085.0,1085.0,1085.0160753880266,-35146.0,1387-11-30
2009-02-21,11,1,13,3,28027,23900,21927,30000,30465349,25979300,23834649,32610000,1087.0,1087.0,1087.0,1087.0,6100.0,1387-12-03
2009-02-22,4,1,10,3,122400,20000,48000,94400,133363200,21780000,52304000,102839200,1089.5686274509803,1089.6666666666667,1089.0,1089.3983050847455,74400.0,1387-12-04
2009-02-23,0,1,12,1,0,25256,23256,2000,0,27630064,25442064,2188000,,1094.0,1094.0,1094.0,-23256.0,1387-12-05
2009-02-25,1,1,16,2,6000,32347,34347,4000,6576000,35419965,37615965,4380000,1096.0,1095.1746877456546,1095.0,1095.0,-28347.0,1387-12-07
2009-02-28,1,1,19,3,2000,41000,37000,6000,2192000,44936000,40552000,6576000,1096.0,1096.0,1096.0,1096.0,-35000.0,1387-12-10
2009-03-01,1,1,18,4,20000,31523,43523,8000,21980000,34643777,47831777,8792000,1099.0,1099.0,1099.0,1099.0,-23523.0,1387-12-11
2009-03-02,1,1,13,4,4518,34000,30518,8000,4974318,37400000,33574318,8800000,1101.0,1100.1480437774428,1100.0,1100.0,-26000.0,1387-12-12
2009-03-03,4,1,18,4,21075,33014,44089,10000,23227620,36381428,48589048,11020000,1102.140925266904,1102.0673637415227,1102.0,1102.0,-23014.0,1387-12-13
2009-03-04,1,1,10,6,1000,29285,18370,11915,1104000,32330640,20280480,13154160,1104.0,1104.0,1104.0,1104.0,-17370.0,1387-12-14
2009-03-07,1,1,11,4,1630,24331,19938,6023,1801150,26885755,22031490,6655415,1105.0,1105.0,1105.0,1105.0,-18308.0,1387-12-17
2009-03-08,0,1,12,3,0,26344,20344,6000,0,29136464,22500464,6636000,,1106.0,1106.0,1106.0,-20344.0,1387-12-18
2009-03-09,4,2,14,4,5516,456562,212578,249500,6067650,502349641,233941291,274476000,1100.0090645395214,1100.4962460837903,1100.2878929915323,1100.1042084168337,-207062.0,1387-12-19
2009-03-10,7,2,14,3,25000,222997,93997,154000,27875000,248739655,104873955,171740700,1115.0,1115.7159802972435,1115.4394677955308,1115.199350649351,-68997.0,1387-12-20
2009-03-11,1,1,9,1,3534,18000,19534,2000,3979284,20250000,21979284,2250000,1126.0,1125.180915327122,1125.0,1125.0,-16000.0,1387-12-21
2009-03-14,0,1,11,1,0,22881,20881,2000,0,25786887,23532887,2254000,,1127.0,1127.0,1127.0,-20881.0,1387-12-24
2009-03-16,2,1,12,1,3581,18733,20314,2000,4050111,21187023,22975134,2262000,1131.0,1131.0,1131.0,1131.0,-16733.0,1387-12-26
2009-03-17,2,1,9,1,10000,14100,22100,2000,11323466,15961200,25020666,2264000,1132.3466,1132.1568325791854,1132.0,1132.0,-12100.0,1387-12-27
2009-03-18,2,1,6,1,10000,11913,19913,2000,11345000,13509342,22586342,2268000,1134.5,1134.2510922512931,1134.0,1134.0,-9913.0,1387-12-28
2009-03-25,0,1,2,1,0,6000,4000,2000,0,6810000,4540000,2270000,,1135.0,1135.0,1135.0,-4000.0,1388-01-05
2009-03-28,0,1,1,1,0,4000,2000,2000,0,4540000,2270000,2270000,,1135.0,1135.0,1135.0,-2000.0,1388-01-08
2009-03-29,1,1,3,1,10000,4000,9000,5000,11350000,4540000,10215000,5675000,1135.0,1135.0,1135.0,1135.0,1000.0,1388-01-09
2009-03-31,2,1,5,0,842,7158,8000,0,956512,8131488,9088000,0,1136.0,1136.0,1136.0,,-7158.0,1388-01-11
2009-04-04,1,1,6,1,378,12302,10680,2000,429408,13975072,12132480,2272000,1136.0,1136.0,1136.0,1136.0,-10302.0,1388-01-15
2009-04-05,1,1,7,1,1624,12776,12400,2000,1846488,14526312,14098800,2274000,1137.0,1137.0,1137.0,1137.0,-10776.0,1388-01-16
2009-04-06,8,1,6,1,74013,4000,33007,45006,84276482,4552000,37580973,51247509,1138.671341521084,1138.57584754749,1138.0,1138.681709105453,41006.0,1388-01-17
2009-04-07,1,1,34,2,3521,67565,67086,4000,4020982,77087015,76543997,4564000,1142.0,1140.98317085532,1140.9311773847403,1141.0,-63565.0,1388-01-18
2009-04-08,0,1,36,2,0,70803,66803,4000,0,80998632,76422632,4576000,,1144.0,1144.0,1144.0,-66803.0,1388-01-19
2009-04-11,3,1,29,4,7853,53626,55180,6299,9013734,61509022,63297803,7224953,1147.807716796129,1147.114951069228,1147.0,1147.0,-47327.0,1388-01-22
2009-04-12,2,1,25,3,2333,51913,48246,6000,2682950,59648037,55436987,6894000,1150.0,1149.048356340422,1149.0,1149.0,-45913.0,1388-01-23
2009-04-13,0,1,22,3,0,45939,39939,6000,0,52875789,45969789,6906000,,1151.0,1151.0,1151.0,-39939.0,1388-01-24
2009-04-14,2,1,16,2,2532,34128,30128,6532,2919396,39349584,34737584,7531396,1153.0,1153.0,1153.0,1153.0,-27596.0,1388-01-25
2009-04-15,2,1,19,3,10431,42193,36193,16431,12037374,48690722,41766722,18961374,1154.0,1154.0,1154.0,1154.0,-25762.0,1388-01-26
2009-04-18,2,1,21,3,2440,41853,38293,6000,2820640,48382068,44266708,6936000,1156.0,1156.0,1156.0,1156.0,-35853.0,1388-01-29
2009-04-19,3,1,11,2,19553,21000,21926,18627,22660467,24318000,25393234,21585233,1158.92533115123,1158.1334488734835,1158.0,1158.8142481344285,-2373.0,1388-01-30
2009-04-20,11,1,9,2,96261,15000,25074,86187,111718796,17400000,29095840,100022956,1160.5821256791432,1160.398819494297,1160.0,1160.534140879715,71187.0,1388-01-31
2009-04-22,7,1,10,3,25819,21597,24596,22820,30100685,25160505,28659070,26602120,1165.8346566482048,1165.1923076923076,1165.0,1165.7370727432078,1223.0,1388-02-02
2009-04-25,2,1,8,3,3005,19911,16916,6000,3509840,23256048,19757888,7008000,1168.0,1168.0,1168.0,1168.0,-13911.0,1388-02-05
2009-04-26,2,1,27,3,29316,28822,52138,6000,34270404,33692918,60949322,7014000,1169.0,1169.0,1169.0,1169.0,-22822.0,1388-02-06
2009-04-27,7,1,13,3,19971,32000,28000,23971,23400426,37472000,32790000,28082426,1171.720294426919,1171.071428571429,1171.0,1171.516665971382,-8029.0,1388-02-07
