date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-11-03,27,0,4,2,5545400,0,45400,5500000,8351372400,0,68372400,8283000000,1506.0,1506.0,,1506.0,5500000.0,1397-08-12
2018-11-04,39,1,29,2,4639864,2100,4229864,412100,7683614784,3477600,7004654784,682437600,1656.0,1656.0,1656.0,1656.0,410000.0,1397-08-13
2018-11-05,130,0,54,1,6621940,0,3438409,3183531,12057240884,0,6260030933,5797209951,1820.8018924967607,1820.618470054028,,1821.0,3183531.0,1397-08-14
2018-11-06,146,0,139,0,6869741,0,6869741,0,12596549526,0,12596549526,0,1833.6280110123512,1833.6280110123512,,,0.0,1397-08-15
2018-11-10,94,0,63,0,1893978,0,1893978,0,3218035336,0,3218035336,0,1699.088023197735,1699.088023197735,,,0.0,1397-08-19
2018-11-11,80,0,57,0,2369896,0,2369896,0,3671769542,0,3671769542,0,1549.337836765833,1549.337836765833,,,0.0,1397-08-20
2018-11-12,51,0,50,0,1596576,0,1596576,0,2541326948,0,2541326948,0,1591.7356568055638,1591.7356568055638,,,0.0,1397-08-21
2018-11-13,46,0,39,0,1351670,0,1351670,0,2127256055,0,2127256055,0,1573.7983790422218,1573.7983790422218,,,0.0,1397-08-22
2018-11-14,40,0,33,1,1046514,0,952764,93750,1604855729,0,1457343229,147512500,1533.5253317203592,1529.5951872656815,,1573.4666666666667,93750.0,1397-08-23
2018-11-17,104,0,53,0,2631015,0,2631015,0,3713817519,0,3713817519,0,1411.5531530607009,1411.5531530607009,,,0.0,1397-08-26
2018-11-18,27,0,30,0,582763,0,582763,0,790807885,0,790807885,0,1356.997415759065,1356.997415759065,,,0.0,1397-08-27
2018-11-19,55,0,31,0,1610538,0,1610538,0,2156176919,0,2156176919,0,1338.79294931259,1338.79294931259,,,0.0,1397-08-28
2018-11-20,43,0,60,1,1597680,0,1397680,200000,2123171131,0,1852371131,270800000,1328.908874743378,1325.3184784786215,,1354.0,200000.0,1397-08-29
2018-11-21,46,0,40,1,961723,0,624383,337340,1358218281,0,890608034,467610247,1412.275968236176,1426.3809777011866,,1386.1689897432857,337340.0,1397-08-30
2018-11-24,21,0,23,1,625832,0,528389,97443,881491606,0,744144469,137347137,1408.5115590126425,1408.3269504096413,,1409.5126073704628,97443.0,1397-09-03
2018-11-26,18,0,19,1,244060,0,235060,9000,337423227,0,324742227,12681000,1382.5421084979102,1381.5290861907597,,1409.0,9000.0,1397-09-05
2018-11-27,32,0,15,3,425739,0,143367,282372,564798753,0,189880780,374917973,1326.6314643478752,1324.4385388548271,,1327.7448649299506,282372.0,1397-09-06
2018-11-28,33,0,25,1,947538,0,797538,150000,1215709685,0,1031209685,184500000,1283.0194514626326,1292.9912869355442,,1230.0,150000.0,1397-09-07
2018-12-01,27,1,28,0,484401,300000,784401,0,594789818,374276477,969066295,0,1227.887262825634,1235.4220545358814,1247.588256666667,,-300000.0,1397-09-10
2018-12-02,23,1,30,1,934679,1000,431480,504199,1218485792,1301000,564089525,655697267,1303.6409205727314,1307.3364350607212,1301.0,1300.4731603989694,503199.0,1397-09-11
2018-12-03,26,0,17,1,915427,0,565027,350400,1218896244,0,752006478,466889766,1331.50567330874,1330.9213152645802,,1332.447962328767,350400.0,1397-09-12
2018-12-04,11,0,19,1,211801,0,161801,50000,281019187,0,214419187,66600000,1326.8076496333822,1325.2031013405356,,1332.0,50000.0,1397-09-13
2018-12-05,19,0,17,1,659685,0,482005,177680,881854838,0,642892815,238962023,1336.7817033887386,1333.788684764681,,1344.9010749662314,177680.0,1397-09-14
2018-12-08,23,0,24,1,259698,0,243343,16355,341394148,0,319527513,21866635,1314.581352186001,1313.0746025157905,,1337.0,16355.0,1397-09-17
2018-12-09,42,1,47,1,1263435,1000,925173,339262,1690146894,1265000,1238932333,452479561,1337.7394911491292,1339.1358513488829,1265.0,1333.71718907511,338262.0,1397-09-18
2018-12-10,19,0,34,1,1538626,0,1278942,259684,2093853563,0,1744945635,348907928,1360.8593400865448,1364.3665115384435,,1343.5865436453537,259684.0,1397-09-19
2018-12-11,15,0,4,0,87050,0,87050,0,112405533,0,112405533,0,1291.2755083285467,1291.2755083285467,,,0.0,1397-09-20
2018-12-12,20,1,30,1,450414,3071679,522093,3000000,591446427,4160981558,687427985,4065000000,1313.117325393971,1316.677268226159,1354.6277322597837,1355.0,-71679.0,1397-09-21
2018-12-15,12,0,15,0,179721,0,179721,0,235991639,0,235991639,0,1313.099966058502,1313.099966058502,,,0.0,1397-09-24
2018-12-16,18,1,25,1,385166,3750000,420166,3715000,506526051,5025000000,553426051,4978100000,1315.0850568326384,1317.1604818095705,1340.0,1340.0,-35000.0,1397-09-25
2018-12-17,12,0,13,0,176447,0,176447,0,231896167,0,231896167,0,1314.253951611532,1314.253951611532,,,0.0,1397-09-26
2018-12-18,9,0,17,0,170742,0,170742,0,226204853,0,226204853,0,1324.8342704196975,1324.8342704196975,,,0.0,1397-09-27
2018-12-19,18,1,52,0,841852,600000,1441852,0,1175831910,870000000,2045831910,0,1396.7204568023833,1418.8917517193163,1450.0,,-600000.0,1397-09-28
2018-12-22,41,0,51,1,1516722,0,1163689,353033,2258839537,0,1740704551,518134986,1489.290415118921,1495.850309661774,,1467.6672888936728,353033.0,1397-10-01
2018-12-23,37,0,34,1,1332876,0,1250878,81998,1959353394,0,1837086314,122267080,1470.0192621069027,1468.6374802338837,,1491.0983194712069,81998.0,1397-10-02
2018-12-24,34,0,48,1,1338408,0,1294273,44135,1973936478,0,1909940728,63995750,1474.8391208062117,1475.6861404046906,,1450.0,44135.0,1397-10-03
2018-12-25,36,0,45,2,1532623,0,1094474,438149,2284388145,0,1642596149,641791996,1490.5088498606638,1500.80874374357,,1464.7802368600635,438149.0,1397-10-04
2018-12-26,20,1,19,2,471619,2000000,471619,2000000,668404782,2867400000,668404782,2867400000,1417.255839989483,1417.255839989483,1433.7,1433.7,0.0,1397-10-05
2018-12-29,16,0,14,0,385598,0,385598,0,544086549,0,544086549,0,1411.0201531128273,1411.0201531128273,,,0.0,1397-10-08
2018-12-30,14,0,12,0,410298,0,410298,0,592956951,0,592956951,0,1445.1860623254315,1445.1860623254315,,,0.0,1397-10-09
2018-12-31,8,0,16,0,77672,0,77672,0,109974710,0,109974710,0,1415.886162323617,1415.886162323617,,,0.0,1397-10-10
2019-01-01,33,0,37,0,1460066,0,1460066,0,2129239012,0,2129239012,0,1458.3169610140912,1458.3169610140912,,,0.0,1397-10-11
2019-01-02,24,0,22,1,807786,0,742786,65000,1163417470,0,1071627476,91789994,1440.25455999485,1442.7136160347663,,1412.153753846154,65000.0,1397-10-12
2019-01-05,17,0,15,1,356042,0,293732,62310,500420978,0,411979228,88441750,1405.5110857707798,1402.5684229161277,,1419.3829240892312,62310.0,1397-10-15
2019-01-06,36,0,14,2,740914,0,319949,420965,1041583630,0,452059690,589523940,1405.8090817557772,1412.9117140544274,,1400.4108180014966,420965.0,1397-10-16
