date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-03-07,1,0,0,1,20,0,0,20,19400,0,0,19400,970.0,,,970.0,20.0,1387-12-17
2009-03-10,1,0,0,1,20,0,0,20,19400,0,0,19400,970.0,,,970.0,20.0,1387-12-20
2009-04-13,1,0,1,1,100,0,25,75,97000,0,24250,72750,970.0,970.0,,970.0,75.0,1388-01-24
2009-04-18,1,0,1,0,10,0,10,0,9700,0,9700,0,970.0,970.0,,,0.0,1388-01-29
2009-04-20,1,0,1,0,36,0,36,0,34920,0,34920,0,970.0,970.0,,,0.0,1388-01-31
2009-04-26,6,0,1,0,5800,0,5800,0,5626000,0,5626000,0,970.0,970.0,,,0.0,1388-02-06
2009-04-28,2,0,1,0,2538,0,2538,0,2461860,0,2461860,0,970.0,970.0,,,0.0,1388-02-08
2009-06-03,1,0,1,0,1979,0,1979,0,1919630,0,1919630,0,970.0,970.0,,,0.0,1388-03-13
2009-06-10,1,0,1,0,25,0,25,0,24250,0,24250,0,970.0,970.0,,,0.0,1388-03-20
2009-06-21,0,1,0,1,0,30000,0,30000,0,29850000,0,29850000,,,995.0,995.0,0.0,1388-03-31
2009-08-09,1,0,1,0,1132,0,1132,0,1093512,0,1093512,0,966.0,966.0,,,0.0,1388-05-18
2009-08-31,1,0,1,0,1000,0,1000,0,966000,0,966000,0,966.0,966.0,,,0.0,1388-06-09
2010-03-27,0,2,4,1,0,232000,32000,200000,0,268267000,36867000,231400000,,1152.09375,1156.323275862069,1157.0,-32000.0,1389-01-07
2010-03-28,18,3,4,2,550000,350000,33072,866928,641850000,408450000,38595024,1011704976,1167.0,1167.0,1167.0,1167.0,516928.0,1389-01-08
2010-03-29,5,3,1,3,425000,450000,14697,860303,512975000,543150000,17739279,1038385721,1207.0,1207.0,1207.0,1207.0,410303.0,1389-01-09
2010-03-30,1,0,1,0,1000,0,1000,0,1249000,0,1249000,0,1249.0,1249.0,,,0.0,1389-01-10
2010-05-08,18,3,27,3,502572,260000,454572,308000,652871383,334056800,593008973,393919210,1299.06039930597,1304.543555256373,1284.8338461538465,1278.958474025974,48000.0,1389-02-18
2010-05-09,13,2,13,2,287508,64650,113129,239029,375819229,83825250,148525642,311118837,1307.1609450867454,1312.8874293947615,1296.600928074246,1301.5945220036062,174379.0,1389-02-19
2010-05-10,2,2,4,1,30000,130200,160000,200,38629800,167457200,205829500,257500,1287.66,1286.434375,1286.1536098310291,1287.5,-130000.0,1389-02-20
2010-05-11,6,1,15,2,122270,822116,302386,642000,154415245,1044504239,384891484,814028000,1262.9037785229411,1272.848227100461,1270.507129164254,1267.9563862928348,-180116.0,1389-02-21
2010-05-12,3,0,4,2,106000,0,37362,68638,135974802,0,47788610,88186192,1282.781150943396,1279.0699106043571,,1284.8013053993416,68638.0,1389-02-22
2010-05-15,1,0,1,1,4525,0,3825,700,5931950,0,5010750,921200,1310.9281767955802,1310.0,,1316.0,700.0,1389-02-25
2010-05-16,4,2,6,2,72006,502888,179794,395100,94279299,644223536,233373219,505129616,1309.3255978668444,1298.003376085965,1281.047740252303,1278.4854872184258,-107788.0,1389-02-26
2010-05-18,5,0,5,1,125030,0,25030,100000,161109300,0,32209300,128900000,1288.5651443653524,1286.8278066320415,,1289.0,100000.0,1389-02-28
2010-05-19,3,0,2,1,99060,0,49060,50000,123327710,0,61027710,62300000,1244.9799111649506,1243.9402772115775,,1246.0,50000.0,1389-02-29
2010-05-22,3,0,3,1,45535,0,7395,38140,58768855,0,9339415,49429440,1290.630394202262,1262.9364435429345,,1296.0,38140.0,1389-03-01
2010-05-23,3,0,3,0,37903,0,37903,0,47749877,0,47749877,0,1259.791494076986,1259.791494076986,,,0.0,1389-03-02
2010-05-24,6,3,5,1,199275,151457,288872,61860,255110815,194352929,370468524,78995220,1280.1947810814202,1282.4660195519125,1283.221831939098,1277.0,-89597.0,1389-03-03
2010-05-25,6,2,6,0,90574,25627,116201,0,117610759,32986830,150597589,0,1298.5046370923224,1296.0094061152658,1287.190463183361,,-25627.0,1389-03-04
