date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-01-27,29477,259,0,1,91388350,39451650,0,130000000,136168641500,58782958500,0,193700000000,1490.0,,1490.0,1490.0,90548350.0,1394-11-07
2016-01-30,2,1,71,0,100000,49044,149044,0,156400000,76704816,233104816,0,1564.0,1564.0,1564.0,,-49044.0,1394-11-10
2016-01-31,15,0,216,0,645571,0,645571,0,1060027582,0,1060027582,0,1642.0,1642.0,,,0.0,1394-11-11
2016-02-01,2248,22,14346,167,70388732,7511676,57784272,20116136,119490372350,12830182366,98096724606,34223830110,1697.5781343809404,1697.6371114617486,1708.0319180433237,1701.3123250906635,12604460.0,1394-11-12
2016-02-02,875,7,3103,31,18428639,1913500,17145154,3196985,31089104553,3226395772,28914229825,5401270500,1686.9994877538163,1686.4374519470632,1686.122692448393,1689.488846522583,1283485.0,1394-11-13
2016-02-03,490,3,1536,6,10560529,150000,9700959,1009570,17372807837,246338131,15955497120,1663648848,1645.0698480161363,1644.7340020713416,1642.2542066666667,1647.8786493259506,859570.0,1394-11-14
2016-02-06,510,6,1708,9,11187486,1516158,11510074,1193570,18801256269,2569745254,19372253147,1998748376,1680.5613226242249,1683.0693831334186,1694.9059754985958,1674.5966939517582,-322588.0,1394-11-17
2016-02-07,364,1,953,11,11788253,50000,11070302,767951,20253911860,85300000,19015895559,1323316301,1718.1436350237818,1717.7395484784429,1706.0,1723.1780426094897,717951.0,1394-11-18
2016-02-08,643,5,958,10,14501355,352000,12473509,2379846,24570451328,599342220,21154553774,4015239774,1694.3555500848024,1695.9585128771705,1702.6767613636364,1687.1847060692162,2027846.0,1394-11-19
2016-02-09,742,4,1083,13,19487812,802626,18641528,1648910,33194514128,1355755876,31752198602,2798071402,1703.3474116026982,1703.3045039011824,1689.1502094375214,1696.9218465531776,846284.0,1394-11-20
2016-02-10,363,4,372,9,9691588,153000,7083512,2761076,15877259749,251796400,11622236270,4506819879,1638.2516207870165,1640.7449115636423,1645.7281045751631,1632.2694047537989,2608076.0,1394-11-21
2016-02-13,290,2,345,4,6576821,160000,6324846,411975,10448108895,256488150,10045087603,659509442,1588.626008675012,1588.1948118578698,1603.0509375,1600.848211663329,251975.0,1394-11-24
2016-02-14,195,2,265,2,3193326,101200,3049163,245363,5029513890,161872000,4804192117,387193773,1575.0079666153722,1575.5773361410984,1599.5256916996047,1578.044664435958,144163.0,1394-11-25
2016-02-15,317,2,304,5,6192669,30000,5321669,901000,9842066824,48000000,8456673151,1433393673,1589.3093630549283,1589.101680506623,1600.0,1590.8919789123197,871000.0,1394-11-26
2016-02-16,227,2,453,6,5648986,165457,5532737,281706,8773988705,255958350,8591004478,438942577,1553.197105639844,1552.7585131915723,1546.978066808899,1558.158424030727,116249.0,1394-11-27
2016-02-17,261,3,655,4,5991164,3813461,8737715,1066910,9267134865,5923925277,13530526963,1660533179,1546.8003988874282,1548.5200607939262,1553.4249011593406,1556.394802748123,-2746551.0,1394-11-28
