date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-16,11,0,13,0,216340,0,216340,0,364018000,0,364018000,0,1682.61995007858,1682.61995007858,,,0.0,1399-05-26
2020-08-17,19,0,11,0,340174,0,340174,0,598706240,0,598706240,0,1760.0,1760.0,,,0.0,1399-05-27
2020-08-18,7,0,18,0,442529,0,442529,0,778851040,0,778851040,0,1760.0,1760.0,,,0.0,1399-05-28
2020-08-19,30,0,23,0,1078799,0,1078799,0,1898686240,0,1898686240,0,1760.0,1760.0,,,0.0,1399-05-29
2020-08-22,40,0,28,0,1149760,0,1149760,0,2023577600,0,2023577600,0,1760.0,1760.0,,,0.0,1399-06-01
2020-08-23,85,1,35,0,2445336,360000,2805336,0,4303791360,633600000,4937391360,0,1760.0,1760.0,1760.0,,-360000.0,1399-06-02
2020-08-24,16,0,30,0,2279668,0,2279668,0,4035012360,0,4035012360,0,1770.0,1770.0,,,0.0,1399-06-03
2020-08-25,12,0,25,0,1465337,0,1465337,0,2608299860,0,2608299860,0,1780.0,1780.0,,,0.0,1399-06-04
2020-08-26,69,0,52,0,3012720,0,3012720,0,5362641600,0,5362641600,0,1780.0,1780.0,,,0.0,1399-06-05
2020-08-31,10,2,58,0,2618322,800000,3418322,0,4686796380,1432000000,6118796380,0,1790.0,1790.0,1790.0,,-800000.0,1399-06-10
2020-09-01,11,1,49,0,2947000,58398,3005398,0,5304600000,105116400,5409716400,0,1800.0,1800.0,1800.0,,-58398.0,1399-06-11
2020-09-02,9,0,44,0,3186652,0,3186652,0,5767840120,0,5767840120,0,1810.0,1810.0,,,0.0,1399-06-12
2020-09-05,17,1,64,0,4953561,400000,5353561,0,9015481020,728000000,9743481020,0,1820.0,1820.0,1820.0,,-400000.0,1399-06-15
2020-09-06,23,0,63,0,6150882,0,6150882,0,11256114060,0,11256114060,0,1830.0,1830.0,,,0.0,1399-06-16
2020-09-07,28,0,81,0,7916572,0,7916572,0,14645658200,0,14645658200,0,1850.0,1850.0,,,0.0,1399-06-17
2020-09-08,41,0,103,0,11104893,0,11104893,0,20766149910,0,20766149910,0,1870.0,1870.0,,,0.0,1399-06-18
2020-09-09,23,0,90,0,3936028,0,3936028,0,7517813480,0,7517813480,0,1910.0,1910.0,,,0.0,1399-06-19
2020-09-12,39,0,101,0,8456002,0,8456002,0,16235523840,0,16235523840,0,1920.0,1920.0,,,0.0,1399-06-22
2020-09-13,37,0,119,0,9775977,0,9775977,0,18965395380,0,18965395380,0,1940.0,1940.0,,,0.0,1399-06-23
2020-09-14,36,0,128,0,10460829,0,10460829,0,20607833130,0,20607833130,0,1970.0,1970.0,,,0.0,1399-06-24
2020-09-15,29,1,120,0,8145638,400000,8545638,0,16291276000,800000000,17091276000,0,2000.0,2000.0,2000.0,,-400000.0,1399-06-25
2020-09-16,29,0,102,0,6179376,0,6179376,0,12544133280,0,12544133280,0,2030.0,2030.0,,,0.0,1399-06-26
2020-09-19,19,0,122,0,6042273,0,6042273,0,12386659650,0,12386659650,0,2050.0,2050.0,,,0.0,1399-06-29
2020-09-20,54,0,289,0,15223233,0,15223233,0,31512092310,0,31512092310,0,2070.0,2070.0,,,0.0,1399-06-30
2020-09-21,39,0,158,0,11344674,0,11344674,0,24164155620,0,24164155620,0,2130.0,2130.0,,,0.0,1399-06-31
2020-09-22,46,0,211,1,15180847,0,14780847,400000,32942437990,0,32074437990,868000000,2170.0,2170.0,,2170.0,400000.0,1399-07-01
2020-09-23,40,0,137,0,10713631,0,10713631,0,23891397130,0,23891397130,0,2230.0,2230.0,,,0.0,1399-07-02
2020-09-26,44,0,182,0,12166651,0,12166651,0,27618297770,0,27618297770,0,2270.0,2270.0,,,0.0,1399-07-05
2020-09-27,72,0,250,0,23120849,0,23120849,0,53871578170,0,53871578170,0,2330.0,2330.0,,,0.0,1399-07-06
2020-09-28,1858,0,192,1,87947800,0,87547800,400000,209471294780,0,208587294780,884000000,2381.76844423624,2382.55324268571,,2210.0,400000.0,1399-07-07
2020-09-29,271,0,13,1,5092681,0,5034283,58398,11560385870,0,11427822410,132563460,2270.0,2270.0,,2270.0,58398.0,1399-07-08
2020-09-30,163,0,44,0,10976165,0,10976165,0,24696371250,0,24696371250,0,2250.0,2250.0,,,0.0,1399-07-09
2020-10-03,167,0,18,0,4193777,0,4193777,0,9226309400,0,9226309400,0,2200.0,2200.0,,,0.0,1399-07-12
2020-10-05,46,0,3,0,393076,0,393076,0,856905680,0,856905680,0,2180.0,2180.0,,,0.0,1399-07-14
2020-10-06,107,0,5,0,1132829,0,1132829,0,2469567220,0,2469567220,0,2180.0,2180.0,,,0.0,1399-07-15
2020-10-07,107,0,10,0,1195477,0,1195477,0,2594185090,0,2594185090,0,2170.0,2170.0,,,0.0,1399-07-16
2020-10-10,73,0,3,0,566075,0,566075,0,1222722000,0,1222722000,0,2160.0,2160.0,,,0.0,1399-07-19
2020-10-11,102,0,8,0,1881512,0,1881512,0,4064065920,0,4064065920,0,2160.0,2160.0,,,0.0,1399-07-20
2020-10-12,39,0,3,0,484696,0,484696,0,1042096400,0,1042096400,0,2150.0,2150.0,,,0.0,1399-07-21
2020-10-13,37,0,4,0,704727,0,704727,0,1515163050,0,1515163050,0,2150.0,2150.0,,,0.0,1399-07-22
2020-10-14,16,0,1,0,61283,0,61283,0,131758450,0,131758450,0,2150.0,2150.0,,,0.0,1399-07-23
2020-10-18,8,0,1,0,35497,0,35497,0,76318550,0,76318550,0,2150.0,2150.0,,,0.0,1399-07-27
2020-10-19,8,0,1,0,80227,0,80227,0,172488050,0,172488050,0,2150.0,2150.0,,,0.0,1399-07-28
2020-10-20,63,0,4,0,589696,0,589696,0,1202979840,0,1202979840,0,2040.0,2040.0,,,0.0,1399-07-29
2020-10-21,19,0,3,0,283059,0,283059,0,605746260,0,605746260,0,2140.0,2140.0,,,0.0,1399-07-30
2020-10-24,6,0,2,0,69876,0,69876,0,149534640,0,149534640,0,2140.0,2140.0,,,0.0,1399-08-03
2020-10-26,5,0,1,0,39521,0,39521,0,84574940,0,84574940,0,2140.0,2140.0,,,0.0,1399-08-05
2020-10-27,6,0,1,0,25943,0,25943,0,55518020,0,55518020,0,2140.0,2140.0,,,0.0,1399-08-06
2020-10-28,8,0,1,0,132936,0,132936,0,284483040,0,284483040,0,2140.0,2140.0,,,0.0,1399-08-07
2020-10-31,11,0,1,0,137561,0,137561,0,294380540,0,294380540,0,2140.0,2140.0,,,0.0,1399-08-10
2020-11-01,6,0,2,0,34723,0,34723,0,74307220,0,74307220,0,2140.0,2140.0,,,0.0,1399-08-11
2020-11-02,6,0,1,0,83276,0,83276,0,178210640,0,178210640,0,2140.0,2140.0,,,0.0,1399-08-12
2020-11-04,5,0,2,0,31669,0,31669,0,67771660,0,67771660,0,2140.0,2140.0,,,0.0,1399-08-14
2020-11-07,1,0,1,0,4294,0,4294,0,9189160,0,9189160,0,2140.0,2140.0,,,0.0,1399-08-17
2020-11-08,22,0,5,0,229391,0,229391,0,465663730,0,465663730,0,2030.0,2030.0,,,0.0,1399-08-18
2020-11-09,8,0,1,0,38750,0,38750,0,82925000,0,82925000,0,2140.0,2140.0,,,0.0,1399-08-19
2020-11-10,3,0,1,0,7837,0,7837,0,16771180,0,16771180,0,2140.0,2140.0,,,0.0,1399-08-20
2020-11-11,4,0,1,0,10370,0,10370,0,22191800,0,22191800,0,2140.0,2140.0,,,0.0,1399-08-21
2020-11-14,15,0,3,0,112435,0,112435,0,240610900,0,240610900,0,2140.0,2140.0,,,0.0,1399-08-24
2020-11-15,5,0,2,0,15802,0,15802,0,33816280,0,33816280,0,2140.0,2140.0,,,0.0,1399-08-25
2020-11-16,6,0,1,0,18531,0,18531,0,39656340,0,39656340,0,2140.0,2140.0,,,0.0,1399-08-26
2020-11-17,6,0,2,0,59520,0,59520,0,127372800,0,127372800,0,2140.0,2140.0,,,0.0,1399-08-27
2020-11-18,130,0,15,1,1951510,0,1922926,28584,3961565300,0,3903539780,58025520,2030.0,2030.0,,2030.0,28584.0,1399-08-28
2020-11-21,8,0,3,0,621385,0,621385,0,1317336200,0,1317336200,0,2120.0,2120.0,,,0.0,1399-09-01
2020-11-22,8,0,1,0,45090,0,45090,0,95590800,0,95590800,0,2120.0,2120.0,,,0.0,1399-09-02
2020-11-23,3,0,1,0,41000,0,41000,0,86920000,0,86920000,0,2120.0,2120.0,,,0.0,1399-09-03
2020-11-24,4,0,1,0,12770,0,12770,0,27072400,0,27072400,0,2120.0,2120.0,,,0.0,1399-09-04
2020-11-25,4,0,1,0,28043,0,28043,0,59451160,0,59451160,0,2120.0,2120.0,,,0.0,1399-09-05
2020-11-28,8,0,1,0,36276,0,36276,0,76905120,0,76905120,0,2120.0,2120.0,,,0.0,1399-09-08
2020-11-29,22,0,4,0,1048111,0,1048111,0,2221995320,0,2221995320,0,2120.0,2120.0,,,0.0,1399-09-09
2020-11-30,26,0,3,0,462004,0,462004,0,979448480,0,979448480,0,2120.0,2120.0,,,0.0,1399-09-10
2020-12-01,16,0,4,0,110244,0,110244,0,233717280,0,233717280,0,2120.0,2120.0,,,0.0,1399-09-11
2020-12-09,37,0,3,0,318349,0,318349,0,674899880,0,674899880,0,2120.0,2120.0,,,0.0,1399-09-19
