date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-09-12,1,0,2,0,75616,0,75616,0,102081600,0,102081600,0,1350.0,1350.0,,,0.0,1399-06-22
2020-09-13,2,0,2,0,139282,0,139282,0,196387620,0,196387620,0,1410.0,1410.0,,,0.0,1399-06-23
2020-09-14,1,0,1,0,66643,0,66643,0,93966630,0,93966630,0,1410.0,1410.0,,,0.0,1399-06-24
2020-09-15,1,0,2,0,174000,0,174000,0,245340000,0,245340000,0,1410.0,1410.0,,,0.0,1399-06-25
2020-09-19,1,0,3,0,135000,0,135000,0,190350000,0,190350000,0,1410.0,1410.0,,,0.0,1399-06-29
2020-09-20,2,0,2,0,76308,0,76308,0,107594280,0,107594280,0,1410.0,1410.0,,,0.0,1399-06-30
2020-09-21,1,0,4,0,272613,0,272613,0,384384330,0,384384330,0,1410.0,1410.0,,,0.0,1399-06-31
2020-09-22,3,0,6,0,382443,0,382443,0,539244630,0,539244630,0,1410.0,1410.0,,,0.0,1399-07-01
2020-09-23,2,0,5,0,327937,0,327937,0,462391170,0,462391170,0,1410.0,1410.0,,,0.0,1399-07-02
2020-09-26,4,0,23,0,1668101,0,1668101,0,2352022410,0,2352022410,0,1410.0,1410.0,,,0.0,1399-07-05
2020-09-27,7,0,24,0,1525541,0,1525541,0,2151012810,0,2151012810,0,1410.0,1410.0,,,0.0,1399-07-06
2020-09-28,28,0,30,0,1881851,0,1881851,0,2653409910,0,2653409910,0,1410.0,1410.0,,,0.0,1399-07-07
2020-09-29,20,0,29,0,2006121,0,2006121,0,2828630610,0,2828630610,0,1410.0,1410.0,,,0.0,1399-07-08
2020-09-30,1,0,23,0,1425544,0,1425544,0,2010017040,0,2010017040,0,1410.0,1410.0,,,0.0,1399-07-09
2020-10-03,16,1,35,0,2091371,160000,2251371,0,2948833110,225600000,3174433110,0,1410.0,1410.0,1410.0,,-160000.0,1399-07-12
2020-10-05,113,1,68,0,6050978,100000,6150978,0,8592388760,142000000,8734388760,0,1420.0,1420.0,1420.0,,-100000.0,1399-07-14
2020-10-06,36,1,67,0,4987739,70000,5057739,0,7132466770,100100000,7232566770,0,1430.0,1430.0,1430.0,,-70000.0,1399-07-15
2020-10-07,332,1,134,0,12868186,100000,12968186,0,18481120120,144000000,18625120120,0,1436.186896894403,1436.2163004139516,1440.0,,-100000.0,1399-07-16
2020-10-10,519,1,191,1,12559111,5500,12398447,166164,18134599600,7700000,17901160160,241139440,1443.939750194102,1443.8227755460018,1400.0,1451.2134999157458,160664.0,1399-07-19
2020-10-11,379,0,274,0,12728611,0,12728611,0,17942222640,0,17942222640,0,1409.5978453579892,1409.5978453579892,,,0.0,1399-07-20
2020-10-12,199,0,176,0,8111869,0,8111869,0,10964306370,0,10964306370,0,1351.6375042545685,1351.6375042545685,,,0.0,1399-07-21
