date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-09-27,1,0,1,0,3650,0,3650,0,5219500,0,5219500,0,1430.0,1430.0,,,0.0,1399-07-06
2020-09-28,1,0,2,0,71658,0,71658,0,107487000,0,107487000,0,1500.0,1500.0,,,0.0,1399-07-07
2020-09-29,1,0,1,0,63984,0,63984,0,95976000,0,95976000,0,1500.0,1500.0,,,0.0,1399-07-08
2020-10-03,1,0,2,0,34646,0,34646,0,51969000,0,51969000,0,1500.0,1500.0,,,0.0,1399-07-12
2020-10-05,1,0,1,0,5000,0,5000,0,7500000,0,7500000,0,1500.0,1500.0,,,0.0,1399-07-14
2020-10-06,1,0,3,0,85620,0,85620,0,128430000,0,128430000,0,1500.0,1500.0,,,0.0,1399-07-15
2020-10-07,3,0,3,0,47168,0,47168,0,70752000,0,70752000,0,1500.0,1500.0,,,0.0,1399-07-16
2020-10-10,2,0,5,0,437744,0,437744,0,656616000,0,656616000,0,1500.0,1500.0,,,0.0,1399-07-19
2020-10-11,1,0,2,0,30650,0,30650,0,45975000,0,45975000,0,1500.0,1500.0,,,0.0,1399-07-20
2020-10-12,6,0,3,0,147788,0,147788,0,221682000,0,221682000,0,1500.0,1500.0,,,0.0,1399-07-21
2020-10-14,19,0,2,0,158321,0,158321,0,237481500,0,237481500,0,1500.0,1500.0,,,0.0,1399-07-23
2020-10-18,28,0,3,0,277332,0,277332,0,415998000,0,415998000,0,1500.0,1500.0,,,0.0,1399-07-27
2020-10-19,2,0,2,0,14018,0,14018,0,21027000,0,21027000,0,1500.0,1500.0,,,0.0,1399-07-28
2020-10-20,52,0,11,1,489301,0,431286,58015,733951500,0,646929000,87022500,1500.0,1500.0,,1500.0,58015.0,1399-07-29
2020-10-21,28,0,11,0,355641,0,355641,0,533461500,0,533461500,0,1500.0,1500.0,,,0.0,1399-07-30
2020-10-24,40,0,17,0,463559,0,463559,0,635710470,0,635710470,0,1371.3690598176283,1371.3690598176283,,,0.0,1399-08-03
2020-10-26,17,0,3,0,119578,0,119578,0,162626080,0,162626080,0,1360.0,1360.0,,,0.0,1399-08-05
2020-10-27,5,0,1,0,32247,0,32247,0,43855920,0,43855920,0,1360.0,1360.0,,,0.0,1399-08-06
2020-10-28,9,0,7,0,339295,0,339295,0,461441200,0,461441200,0,1360.0,1360.0,,,0.0,1399-08-07
2020-10-31,8,0,4,0,69041,0,69041,0,93895760,0,93895760,0,1360.0,1360.0,,,0.0,1399-08-10
2020-11-01,4,0,1,0,22554,0,22554,0,30673440,0,30673440,0,1360.0,1360.0,,,0.0,1399-08-11
2020-11-04,4,0,1,0,44422,0,44422,0,60413920,0,60413920,0,1360.0,1360.0,,,0.0,1399-08-14
2020-11-07,8,2,58,0,192711,2700000,2892711,0,262086960,3672000000,3934086960,0,1360.0,1360.0,1360.0,,-2700000.0,1399-08-17
2020-11-08,4,0,1,0,17274,0,17274,0,23319900,0,23319900,0,1350.0,1350.0,,,0.0,1399-08-18
2020-11-09,3,0,1,0,19058,0,19058,0,25728300,0,25728300,0,1350.0,1350.0,,,0.0,1399-08-19
2020-11-10,6,0,1,0,13700,0,13700,0,18495000,0,18495000,0,1350.0,1350.0,,,0.0,1399-08-20
