date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-03-17,1,0,1,0,25800,0,25800,0,51600000,0,51600000,0,2000.0,2000.0,,,0.0,1392-12-26
2014-03-26,1,0,1,0,25800,0,25800,0,129000000,0,129000000,0,5000.0,5000.0,,,0.0,1393-01-06
2014-04-08,3,0,1,0,20800,0,20800,0,124805830,0,124805830,0,6000.2802884615385,6000.2802884615385,,,0.0,1393-01-19
2014-04-13,1,0,1,0,1000,0,1000,0,8000000,0,8000000,0,8000.0,8000.0,,,0.0,1393-01-24
2014-04-14,2,0,1,0,4000,0,4000,0,40000000,0,40000000,0,10000.0,10000.0,,,0.0,1393-01-25
2014-04-15,5,0,3,0,6500,0,6500,0,79800000,0,79800000,0,12276.923076923076,12276.923076923076,,,0.0,1393-01-26
2014-04-16,3,0,3,0,16999,0,16999,0,192990000,0,192990000,0,11353.020765927407,11353.020765927407,,,0.0,1393-01-27
2014-04-19,1,0,2,0,1000,0,1000,0,12499500,0,12499500,0,12499.5,12499.5,,,0.0,1393-01-30
2014-04-20,1,0,1,0,10000,0,10000,0,121800000,0,121800000,0,12180.0,12180.0,,,0.0,1393-01-31
2014-04-28,3,0,2,0,15000,0,15000,0,90095000,0,90095000,0,6006.333333333333,6006.333333333333,,,0.0,1393-02-08
2014-04-30,3,0,2,1,15000,0,5000,10000,79900000,0,29900000,50000000,5326.666666666667,5980.0,,5000.0,10000.0,1393-02-10
2014-05-04,3,0,3,0,7701,0,7701,0,42735000,0,42735000,0,5549.279314374757,5549.279314374757,,,0.0,1393-02-14
2014-05-06,2,0,1,0,16600,0,16600,0,83000000,0,83000000,0,5000.0,5000.0,,,0.0,1393-02-16
2014-05-07,4,0,2,1,13399,0,3399,10000,62660000,0,16995000,45665000,4676.468393163669,5000.0,,4566.5,10000.0,1393-02-17
2014-05-10,1,0,1,0,1000,0,1000,0,4555000,0,4555000,0,4555.0,4555.0,,,0.0,1393-02-20
2014-05-12,1,0,1,0,15000,0,15000,0,69000000,0,69000000,0,4600.0,4600.0,,,0.0,1393-02-22
2014-05-21,2,0,2,0,6100,0,6100,0,28190000,0,28190000,0,4621.311475409836,4621.311475409836,,,0.0,1393-02-31
2014-05-24,4,0,2,0,26900,0,26900,0,123932250,0,123932250,0,4607.146840148699,4607.146840148699,,,0.0,1393-03-03
2014-06-08,2,0,2,0,5000,0,5000,0,18105000,0,18105000,0,3621.0,3621.0,,,0.0,1393-03-18
2014-06-09,4,0,1,0,6950,0,6950,0,23535000,0,23535000,0,3386.3309352517986,3386.3309352517986,,,0.0,1393-03-19
2014-06-11,1,0,1,0,100,0,100,0,440000,0,440000,0,4400.0,4400.0,,,0.0,1393-03-21
2014-06-15,1,0,1,0,5000,0,5000,0,16000000,0,16000000,0,3200.0,3200.0,,,0.0,1393-03-25
2014-06-28,3,0,1,0,23000,0,23000,0,75355000,0,75355000,0,3276.304347826087,3276.304347826087,,,0.0,1393-04-07
2014-07-02,2,0,2,0,10200,0,10200,0,34780000,0,34780000,0,3409.803921568628,3409.803921568628,,,0.0,1393-04-11
2014-07-09,2,0,4,0,36500,0,36500,0,160500000,0,160500000,0,4397.260273972603,4397.260273972603,,,0.0,1393-04-18
2014-07-13,2,0,3,0,3860,0,3860,0,15449000,0,15449000,0,4002.331606217616,4002.331606217616,,,0.0,1393-04-22
2014-07-15,1,0,1,0,4240,0,4240,0,14416000,0,14416000,0,3400.0,3400.0,,,0.0,1393-04-24
2014-07-26,2,0,1,0,17850,0,17850,0,55392500,0,55392500,0,3103.2212885154063,3103.2212885154063,,,0.0,1393-05-04
2014-08-02,2,0,2,0,5500,0,5500,0,22020000,0,22020000,0,4003.636363636364,4003.636363636364,,,0.0,1393-05-11
