date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-10-05,87,0,118,0,687732,0,687732,0,9078642302,0,9078642302,0,13200.84320927338,13200.84320927338,,,0.0,1399-07-14
2020-10-07,152,1,652,17,2526989,20000,2235580,311409,32561772987,259990800,28799703952,4022059835,12885.6013963654,12882.43048873223,12999.54,12915.6827034543,291409.0,1399-07-16
2020-10-10,59,2,485,22,785323,200000,912849,72474,9820933779,2500000000,11415008779,905925000,12505.59805201172,12504.815998045678,12500.0,12500.0,-127526.0,1399-07-19
2020-10-11,141,1,488,19,2078761,100000,1225020,953741,26354242639,1212900000,15473114315,12094028324,12677.860821421991,12630.907507632528,12129.0,12680.62117912515,853741.0,1399-07-20
2020-10-12,53,1,185,1,567981,44971,610459,2493,7004954480,554141044,7527933024,31162500,12333.078888202246,12331.594790149707,12322.186386782594,12500.0,-42478.0,1399-07-21
2020-10-13,49,1,199,5,891361,33129,614149,310341,10691341384,396554130,7363736410,3724159104,11994.40112816244,11990.146381415583,11970.0,12000.216226666797,277212.0,1399-07-22
2020-10-14,6,0,188,2,346029,0,345021,1008,4272794963,0,4260584591,12210372,12348.083435203407,12348.76888942992,,12113.464285714286,1008.0,1399-07-23
2020-10-18,2,0,143,1,236080,0,234980,1100,3002465440,0,2988475640,13989800,12718.0,12718.0,,12718.0,1100.0,1399-07-27
2020-10-19,71,16,190,3,1169704,2134000,2411929,891775,14884791381,27874961110,31292358231,11467394260,12725.263298236136,12973.996428170149,13062.306049671975,12859.066760113255,-1242225.0,1399-07-28
2020-10-20,29,1,143,6,1072868,3731,1003437,73162,13471406994,46973908,12599815384,918565518,12556.4440303933,12556.65814993866,12590.16563923881,12555.227003089036,69431.0,1399-07-29
2020-10-21,31,0,202,3,1610066,0,1593400,16666,20806475306,0,20590933928,215541378,12922.746835222904,12922.639593322456,,12933.0,16666.0,1399-07-30
2020-10-24,12,0,71,2,464447,0,459673,4774,5822690134,0,5762843270,59846864,12536.823650491877,12536.832204632425,,12536.0,4774.0,1399-08-03
2020-10-26,15,0,98,4,385639,0,371525,14114,4691612796,0,4519966772,171646024,12165.815169108932,12165.982832918377,,12161.401728779934,14114.0,1399-08-05
2020-10-27,10,0,57,2,369106,0,363834,5272,4358188665,0,4295968521,62220144,11807.417557557992,11807.496058642128,,11802.0,5272.0,1399-08-06
2020-10-28,21,0,85,2,602752,0,538720,64032,6905871684,0,6172513188,733358496,11457.235619292844,11457.739062964063,,11453.0,64032.0,1399-08-07
2020-10-31,34,0,70,4,346087,0,270513,75574,3854471970,0,3014170011,840301959,11137.291981495982,11142.422031473534,,11118.929248154129,75574.0,1399-08-10
2020-11-01,25,0,58,0,266417,0,266417,0,2939238547,0,2939238547,0,11032.473704756076,11032.473704756076,,,0.0,1399-08-11
2020-11-02,21,0,43,2,114551,0,108919,5632,1226603451,0,1166329787,60273664,10707.92442667458,10708.230767818288,,10702.0,5632.0,1399-08-12
2020-11-04,28,1,46,3,251948,667,216880,35735,2618320195,6928129,2254068879,371179445,10392.30394763999,10393.16155938768,10387.0,10387.0,35068.0,1399-08-14
2020-11-07,8,1,35,2,439866,500,430552,9814,4434289146,5040500,4340394712,98934934,10081.0,10081.0,10081.0,10081.0,9314.0,1399-08-17
2020-11-08,11,0,26,0,240463,0,240463,0,2351488470,0,2351488470,0,9779.003297804653,9779.003297804653,,,0.0,1399-08-18
2020-11-09,13,0,91,7,303878,0,234687,69191,2882728541,0,2226382715,656345826,9486.466743232482,9486.604349623116,,9486.0,69191.0,1399-08-19
2020-11-10,21,0,91,4,981071,0,926880,54191,9027985910,0,8529320328,498665582,9202.173858976568,9202.184023821854,,9202.0,54191.0,1399-08-20
2020-11-11,33,0,127,6,354940,0,337504,17436,3224433319,0,3066009597,158423722,9084.446157096974,9084.365213449322,,9086.01296168846,17436.0,1399-08-21
2020-11-14,19,0,103,2,185605,0,166707,18898,1700923368,0,1533090230,167833138,9164.210921042,9196.315871559083,,8881.0,18898.0,1399-08-24
2020-11-15,7,0,90,0,824054,0,824054,0,7777421652,0,7777421652,0,9438.0,9438.0,,,0.0,1399-08-25
2020-11-16,51,0,134,0,598570,0,598570,0,5679998236,0,5679998236,0,9489.279843627311,9489.279843627311,,,0.0,1399-08-26
2020-11-17,46,0,185,0,1298727,0,1298727,0,12637711719,0,12637711719,0,9730.84545019854,9730.84545019854,,,0.0,1399-08-27
2020-11-18,5,0,108,0,255303,0,255303,0,2556017524,0,2556017524,0,10011.701875810311,10011.701875810311,,,0.0,1399-08-28
2020-11-21,46,0,140,1,1122732,0,1107472,15260,11555434164,0,11398073044,157361120,10292.24620301194,10291.974012887007,,10312.0,15260.0,1399-09-01
2020-11-22,28,2,91,1,140579,684128,340579,484128,1406732729,6832193272,3404907921,4834018080,10006.706044288265,9997.410060514594,9986.717795500255,9985.0,-200000.0,1399-09-02
2020-11-23,50,1,124,1,686212,120000,785371,20841,6721456508,1227221988,7744391453,204287043,9795.014526123125,9860.80648890779,10226.8499,9802.170865121636,-99159.0,1399-09-03
2020-11-24,36,1,92,0,655458,1000000,1655458,0,6320667909,9564000000,15884667909,0,9643.131839110973,9595.331267238433,9564.0,,-1000000.0,1399-09-04
2020-11-25,47,1,200,3,1134365,2000000,2597542,536823,10567788926,18616000000,24187038951,4996749975,9316.0393048093,9311.510247380023,9308.0,9308.002777451786,-1463177.0,1399-09-05
2020-11-28,55,1,315,2,1732517,1000000,2687910,44607,16511754929,9535982209,25622198060,425539078,9530.500958432154,9532.386895394564,9535.982209,9539.73766449212,-955393.0,1399-09-08
2020-11-29,91,1,216,0,1790596,17409,1808005,0,17253057710,165959130,17419016840,0,9635.371524341615,9634.38532526182,9532.95019817336,,-17409.0,1399-09-09
2020-11-30,2,0,179,0,475444,0,475444,0,4717830812,0,4717830812,0,9923.0,9923.0,,,0.0,1399-09-10
2020-12-01,50,0,394,0,1752599,0,1752599,0,18247051065,0,18247051065,0,10411.423871062349,10411.423871062349,,,0.0,1399-09-11
2021-03-10,4,1,0,1,2406,3000,0,5406,33323100,41550000,0,74873100,13850.0,,13850.0,13850.0,2406.0,1399-12-20
2021-03-13,2,0,0,1,831,0,0,831,11344700,0,0,11344700,13651.865222623346,,,13651.865222623346,831.0,1399-12-23
2021-03-15,1,0,0,1,500,0,0,500,6750000,0,0,6750000,13500.0,,,13500.0,500.0,1399-12-25
2021-03-17,7,0,0,1,5677,0,0,5677,80488850,0,0,80488850,14178.060595384886,,,14178.060595384886,5677.0,1399-12-27
2021-03-27,3,1,0,1,128676,350,0,129026,1872472200,5232500,0,1877704700,14551.837172433088,,14950.0,14552.917241486211,128676.0,1400-01-07
2021-03-28,1,1,0,1,437,333,0,770,6511300,5136858,0,11648158,14900.0,,15426.0,15127.477922077922,437.0,1400-01-08
2021-03-30,4,0,0,1,3894,0,0,3894,60928644,0,0,60928644,15646.80123266564,,,15646.80123266564,3894.0,1400-01-10
2021-03-31,3,1,0,1,1214,1000,0,2214,18236708,16585000,0,34821708,15022.0,,16585.0,15727.962059620597,1214.0,1400-01-11
2021-04-03,2,0,0,1,1100,0,0,1100,17409900,0,0,17409900,15827.181818181818,,,15827.181818181818,1100.0,1400-01-14
2021-04-04,1,1,0,1,1000,20000,0,21000,15750000,303880000,0,319630000,15750.0,,15194.0,15220.47619047619,1000.0,1400-01-15
2021-04-05,3,1,0,1,2250,30000,0,32250,33800800,438360000,0,472160800,15022.577777777778,,14612.0,14640.64496124031,2250.0,1400-01-16
2021-04-06,1,1,0,1,400,20000,0,20400,5622400,281120000,0,286742400,14056.0,,14056.0,14056.0,400.0,1400-01-17
2021-04-07,4,0,0,1,7041,0,0,7041,95266152,0,0,95266152,13530.20195994887,,,13530.20195994887,7041.0,1400-01-18
2021-04-10,1,1,0,1,500,400,0,900,6675000,5460000,0,12135000,13350.0,,13650.0,13483.333333333334,500.0,1400-01-21
2021-04-11,0,2,0,1,0,100400,0,100400,0,1299960000,0,1299960000,,,12947.80876494024,12947.80876494024,0.0,1400-01-22
2021-04-12,1,1,0,1,2000,5000,0,7000,24862000,62155000,0,87017000,12431.0,,12431.0,12431.0,2000.0,1400-01-23
2021-04-13,1,1,0,1,6000,10000,0,16000,72175000,119340000,0,191515000,12029.166666666666,,11934.0,11969.6875,6000.0,1400-01-24
2021-04-14,5,0,0,1,12500,0,0,12500,144850000,0,0,144850000,11588.0,,,11588.0,12500.0,1400-01-25
2021-04-17,19,0,0,1,137119,0,0,137119,1525477041,0,0,1525477041,11125.205412816604,,,11125.205412816604,137119.0,1400-01-28
2021-04-18,4,0,0,1,19843,0,0,19843,211923240,0,0,211923240,10680.0,,,10680.0,19843.0,1400-01-29
2021-04-19,27,0,0,1,167363,0,0,167363,1718934401,0,0,1718934401,10270.6954404498,,,10270.6954404498,167363.0,1400-01-30
2021-04-20,103,4,0,1,6512616,11127135,0,17639751,72541905800,125526903250,0,198068809050,11138.673890799028,,11281.15217888522,11228.549033940446,6512616.0,1400-01-31
