date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,35,5,14,3,531851,131844,529147,134548,536677390,132926708,533411185,136192913,1009.0747032533548,1008.0586018629984,1008.2120384697066,1012.225473436989,2704.0,1387-09-06
2008-11-29,18,3,21,3,621663,513061,618876,515848,626239152,514699122,620971874,519966400,1007.3611458298144,1003.3865814799734,1003.1928406173924,1007.9837471503232,2787.0,1387-09-09
2008-11-30,12,2,9,1,125100,190010,315100,10,125503028,191060030,316553028,10030,1003.2216466826538,1004.6113233894002,1005.5261828324824,1003.0,-190000.0,1387-09-10
2008-12-01,9,2,13,3,58082,320010,285029,93063,58647820,323150554,287827382,93970992,1009.7417444302882,1009.8178851976464,1009.8139245648572,1009.7567454305148,-226947.0,1387-09-11
2008-12-02,12,2,17,2,97433,55763,151486,1710,98544599,56628461,153445990,1727070,1011.4088553159607,1012.9384233526532,1015.5203450316518,1009.9824561403508,-54053.0,1387-09-12
2008-12-03,21,4,9,4,400609,210110,76996,533723,408873791,214292440,78402138,544764093,1020.6305674610404,1018.2624811678528,1019.9059540240826,1020.686934983128,323613.0,1387-09-13
2008-12-06,2,1,5,1,12480,100000,72480,40000,12667200,101400000,73502200,40565000,1015.0,1014.1032008830022,1014.0,1014.125,-60000.0,1387-09-16
2008-12-07,2,2,11,0,8796,215820,224616,0,8952097,219128963,228081060,0,1017.7463619827196,1015.4265947216584,1015.3320498563618,,-215820.0,1387-09-17
2008-12-08,8,2,18,1,322360,806027,497151,631236,328817200,822150604,507062185,643905619,1020.0310212185136,1019.9359651293069,1020.0038013614928,1020.0711287062207,-174791.0,1387-09-18
2008-12-10,1,1,11,0,5950,193890,199840,0,6086850,198159630,204246480,0,1023.0,1022.0500400320255,1022.0208881324462,,-193890.0,1387-09-20
2008-12-13,5,2,16,1,67830,374815,372645,70000,69554900,385912450,383507350,71960000,1025.4297508477075,1029.1493244240496,1029.6078065178822,1028.0,-304815.0,1387-09-23
