date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-09-23,5454082,3565,0,6,5071258429,328727957,0,5399986386,51207788949806,3125132229700,0,54332921179506,10097.649265313354,,9506.7430778332,10061.677436885671,5071258429.0,1399-07-02
2020-09-26,216,1,10215,57,11827040,100000,8334639,3592401,124952677600,1056500000,88055461035,37953716565,10565.0,10565.0,10565.0,10565.0,3492401.0,1399-07-05
2020-09-27,234,0,18181,18,15610561,0,15593223,17338,173167953173,0,172975622739,192330434,11093.0,11093.0,,11093.0,17338.0,1399-07-06
2020-09-28,38750,53,289283,1543,648992730,17977924,352785210,314185444,7557589919453,209388880828,4107726649960,3659252150321,11645.1072101424,11643.704252681116,11647.0,11646.79083707328,296207520.0,1399-07-07
2020-09-29,41008,26,192187,112,381128328,21246422,327530989,74843761,4602011466314,256521816703,3945285003019,913248279998,12074.703264549782,12045.531981766158,12073.64782187796,12202.062908062571,53597339.0,1399-07-08
2020-09-30,1319,6,30667,19,55748749,903000,30217038,26434711,706782374193,11448234000,383091342135,335139266058,12677.99523524734,12677.99120929722,12678.0,12678.0,25531711.0,1399-07-09
2020-10-03,1170,2,27401,25,54039421,129000,23146266,31022155,719318732931,1717119000,308099946726,412935905205,13311.0,13311.0,13311.0,13311.0,30893155.0,1399-07-12
2020-10-04,32343,21,71604,46,375564543,13393918,350865709,38092752,5247085063963,187165797968,4901866559979,532384301952,13971.19393127322,13970.776950388732,13973.939363224412,13976.0,24698834.0,1399-07-13
2020-10-05,42244,18,167900,92,380357897,1333544,295200868,86490573,5567424693633,19500893330,4319301859253,1267623727710,14637.331675101252,14631.738343171131,14623.35950669794,14656.20684129356,85157029.0,1399-07-14
2020-10-07,4358,9,43017,9,70343722,2764431,58501872,14606281,1081042319696,42483775608,899056768896,224469326408,15368.0,15368.0,15368.0,15368.0,11841850.0,1399-07-16
2020-10-11,21416,6,84624,46,209048716,948400,180338715,29658401,3369544002826,15289472740,2906266543786,478566931780,16118.4630420117,16115.599713494688,16121.3335512442,16135.965380601603,28710001.0,1399-07-20
2020-10-12,100620,52,444934,109,683553634,257540007,935946664,5146977,10522818462182,3944109404844,14388049731020,78878136006,15394.283548175828,15372.723985712077,15314.550351953669,15325.1386213694,-252393030.0,1399-07-21
