,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
104,2020-10-03,1,0,1,0,40000,0,40000,0,52000000,0,52000000,0,1300.0,1300.0,,,0.0,1399-07-12
103,2020-10-05,30,0,13,0,1063191,0,1063191,0,1445939760,0,1445939760,0,1360.0,1360.0,,,0.0,1399-07-14
102,2020-10-06,13,0,7,0,290310,0,290310,0,394821600,0,394821600,0,1360.0,1360.0,,,0.0,1399-07-15
101,2020-10-07,13,0,14,0,617099,0,617099,0,839254640,0,839254640,0,1360.0,1360.0,,,0.0,1399-07-16
100,2020-10-10,14,0,17,0,1353902,0,1353902,0,1841306720,0,1841306720,0,1360.0,1360.0,,,0.0,1399-07-19
99,2020-10-11,46,0,22,0,1760683,0,1760683,0,2394528880,0,2394528880,0,1360.0,1360.0,,,0.0,1399-07-20
98,2020-10-12,118,0,34,0,2575349,0,2575349,0,3489068710,0,3489068710,0,1354.7945191117783,1354.7945191117783,,,0.0,1399-07-21
97,2020-10-13,110,0,45,0,2234343,0,2234343,0,2879243810,0,2879243810,0,1288.6310696253888,1288.6310696253888,,,0.0,1399-07-22
96,2020-10-14,73,0,63,0,3101576,0,3101576,0,3858671610,0,3858671610,0,1244.10029288336,1244.10029288336,,,0.0,1399-07-23
95,2020-10-18,25,0,10,0,284059,0,284059,0,352233160,0,352233160,0,1240.0,1240.0,,,0.0,1399-07-27
94,2020-10-19,8,0,1,0,94501,0,94501,0,117181240,0,117181240,0,1240.0,1240.0,,,0.0,1399-07-28
93,2020-10-20,9,0,3,0,144466,0,144466,0,179137840,0,179137840,0,1240.0,1240.0,,,0.0,1399-07-29
92,2020-10-21,19,0,12,0,677303,0,677303,0,839855720,0,839855720,0,1240.0,1240.0,,,0.0,1399-07-30
91,2020-10-24,6,0,2,0,47295,0,47295,0,58645800,0,58645800,0,1240.0,1240.0,,,0.0,1399-08-03
90,2020-10-26,4,0,3,0,61105,0,61105,0,75770200,0,75770200,0,1240.0,1240.0,,,0.0,1399-08-05
89,2020-10-27,4,0,2,0,46550,0,46550,0,57722000,0,57722000,0,1240.0,1240.0,,,0.0,1399-08-06
88,2020-10-28,5,0,2,0,87000,0,87000,0,107880000,0,107880000,0,1240.0,1240.0,,,0.0,1399-08-07
87,2020-10-31,7,0,3,0,126457,0,126457,0,156806680,0,156806680,0,1240.0,1240.0,,,0.0,1399-08-10
86,2020-11-01,1,0,1,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1399-08-11
85,2020-11-04,5,0,1,0,34715,0,34715,0,43046600,0,43046600,0,1240.0,1240.0,,,0.0,1399-08-14
84,2020-11-10,7,0,1,0,19797,0,19797,0,24548280,0,24548280,0,1240.0,1240.0,,,0.0,1399-08-20
83,2020-11-11,3,0,1,0,4200,0,4200,0,5208000,0,5208000,0,1240.0,1240.0,,,0.0,1399-08-21
82,2020-11-14,4,0,1,0,21163,0,21163,0,26242120,0,26242120,0,1240.0,1240.0,,,0.0,1399-08-24
81,2020-11-15,2,0,2,0,17007,0,17007,0,21088680,0,21088680,0,1240.0,1240.0,,,0.0,1399-08-25
80,2020-11-16,1,0,2,0,30000,0,30000,0,37200000,0,37200000,0,1240.0,1240.0,,,0.0,1399-08-26
79,2020-11-17,5,0,2,0,37384,0,37384,0,46356160,0,46356160,0,1240.0,1240.0,,,0.0,1399-08-27
78,2020-11-18,1,0,1,0,4667,0,4667,0,5787080,0,5787080,0,1240.0,1240.0,,,0.0,1399-08-28
77,2020-11-21,2,0,1,0,54134,0,54134,0,67126160,0,67126160,0,1240.0,1240.0,,,0.0,1399-09-01
76,2020-11-22,3,0,2,0,24351,0,24351,0,30195240,0,30195240,0,1240.0,1240.0,,,0.0,1399-09-02
75,2020-11-23,2,0,1,0,35135,0,35135,0,43567400,0,43567400,0,1240.0,1240.0,,,0.0,1399-09-03
74,2020-11-24,3,0,3,0,63267,0,63267,0,78451080,0,78451080,0,1240.0,1240.0,,,0.0,1399-09-04
73,2020-11-25,2,0,1,0,14150,0,14150,0,17546000,0,17546000,0,1240.0,1240.0,,,0.0,1399-09-05
72,2020-11-28,3,0,1,0,20263,0,20263,0,25126120,0,25126120,0,1240.0,1240.0,,,0.0,1399-09-08
71,2020-11-29,158,0,163,0,10669059,0,10669059,0,12482799030,0,12482799030,0,1170.0,1170.0,,,0.0,1399-09-09
70,2020-11-30,34,0,12,0,788752,0,788752,0,946502400,0,946502400,0,1200.0,1200.0,,,0.0,1399-09-10
69,2020-12-01,4,0,1,0,29000,0,29000,0,34800000,0,34800000,0,1200.0,1200.0,,,0.0,1399-09-11
68,2020-12-02,4,0,1,0,18602,0,18602,0,22322400,0,22322400,0,1200.0,1200.0,,,0.0,1399-09-12
67,2020-12-05,5,0,2,0,51202,0,51202,0,61442400,0,61442400,0,1200.0,1200.0,,,0.0,1399-09-15
66,2020-12-06,4,0,1,0,40366,0,40366,0,48439200,0,48439200,0,1200.0,1200.0,,,0.0,1399-09-16
65,2020-12-07,4,0,2,0,25231,0,25231,0,30277200,0,30277200,0,1200.0,1200.0,,,0.0,1399-09-17
64,2020-12-08,8,0,4,0,242191,0,242191,0,290629200,0,290629200,0,1200.0,1200.0,,,0.0,1399-09-18
63,2020-12-09,3,0,2,0,32586,0,32586,0,39103200,0,39103200,0,1200.0,1200.0,,,0.0,1399-09-19
62,2020-12-11,4,0,2,0,60864,0,60864,0,73036800,0,73036800,0,1200.0,1200.0,,,0.0,1399-09-21
61,2020-12-12,4,0,2,0,60864,0,60864,0,73036800,0,73036800,0,1200.0,1200.0,,,0.0,1399-09-22
60,2020-12-13,3,0,1,0,14667,0,14667,0,17600400,0,17600400,0,1200.0,1200.0,,,0.0,1399-09-23
59,2020-12-14,2,0,1,0,14177,0,14177,0,17012400,0,17012400,0,1200.0,1200.0,,,0.0,1399-09-24
58,2020-12-15,1,0,1,0,4500,0,4500,0,5400000,0,5400000,0,1200.0,1200.0,,,0.0,1399-09-25
57,2020-12-16,2,0,1,0,9488,0,9488,0,11385600,0,11385600,0,1200.0,1200.0,,,0.0,1399-09-26
56,2020-12-19,2,0,1,0,16000,0,16000,0,19200000,0,19200000,0,1200.0,1200.0,,,0.0,1399-09-29
55,2020-12-20,27,0,9,0,377792,0,377792,0,430682880,0,430682880,0,1140.0,1140.0,,,0.0,1399-09-30
54,2020-12-21,3,0,1,0,15000,0,15000,0,18000000,0,18000000,0,1200.0,1200.0,,,0.0,1399-10-01
53,2020-12-23,5,0,1,0,35370,0,35370,0,42444000,0,42444000,0,1200.0,1200.0,,,0.0,1399-10-03
52,2020-12-27,3,0,1,0,22180,0,22180,0,26616000,0,26616000,0,1200.0,1200.0,,,0.0,1399-10-07
51,2020-12-28,1,0,1,0,44000,0,44000,0,52800000,0,52800000,0,1200.0,1200.0,,,0.0,1399-10-08
50,2020-12-29,1,0,2,0,4234,0,4234,0,5080800,0,5080800,0,1200.0,1200.0,,,0.0,1399-10-09
49,2020-12-30,2,0,2,0,14500,0,14500,0,17400000,0,17400000,0,1200.0,1200.0,,,0.0,1399-10-10
48,2021-01-02,1,0,1,0,5000,0,5000,0,6000000,0,6000000,0,1200.0,1200.0,,,0.0,1399-10-13
47,2021-01-03,1,0,1,0,10000,0,10000,0,12000000,0,12000000,0,1200.0,1200.0,,,0.0,1399-10-14
46,2021-01-04,3,0,1,0,22872,0,22872,0,27446400,0,27446400,0,1200.0,1200.0,,,0.0,1399-10-15
45,2021-01-05,2,0,1,0,15000,0,15000,0,18000000,0,18000000,0,1200.0,1200.0,,,0.0,1399-10-16
44,2021-01-06,2,0,1,0,9315,0,9315,0,11178000,0,11178000,0,1200.0,1200.0,,,0.0,1399-10-17
43,2021-01-09,1,0,1,0,4234,0,4234,0,5080800,0,5080800,0,1200.0,1200.0,,,0.0,1399-10-20
42,2021-01-10,1,0,1,0,4192,0,4192,0,5030400,0,5030400,0,1200.0,1200.0,,,0.0,1399-10-21
41,2021-01-12,2,0,1,0,12469,0,12469,0,14962800,0,14962800,0,1200.0,1200.0,,,0.0,1399-10-23
40,2021-01-13,1,0,1,0,49815,0,49815,0,59778000,0,59778000,0,1200.0,1200.0,,,0.0,1399-10-24
39,2021-01-16,1,0,1,0,1660,0,1660,0,1992000,0,1992000,0,1200.0,1200.0,,,0.0,1399-10-27
38,2021-01-18,1,0,1,0,4263,0,4263,0,5115600,0,5115600,0,1200.0,1200.0,,,0.0,1399-10-29
37,2021-01-23,4,0,1,0,27673,0,27673,0,33207600,0,33207600,0,1200.0,1200.0,,,0.0,1399-11-04
36,2021-01-24,1,0,1,0,4566,0,4566,0,5479200,0,5479200,0,1200.0,1200.0,,,0.0,1399-11-05
35,2021-01-25,3,0,1,0,17500,0,17500,0,21000000,0,21000000,0,1200.0,1200.0,,,0.0,1399-11-06
34,2021-01-26,2,0,3,0,170250,0,170250,0,204300000,0,204300000,0,1200.0,1200.0,,,0.0,1399-11-07
33,2021-01-30,4,0,1,0,30660,0,30660,0,36792000,0,36792000,0,1200.0,1200.0,,,0.0,1399-11-11
32,2021-01-31,1,0,1,0,10000,0,10000,0,12000000,0,12000000,0,1200.0,1200.0,,,0.0,1399-11-12
31,2021-02-01,1,0,2,0,5000,0,5000,0,6000000,0,6000000,0,1200.0,1200.0,,,0.0,1399-11-13
30,2021-02-02,1,0,1,0,4800,0,4800,0,5760000,0,5760000,0,1200.0,1200.0,,,0.0,1399-11-14
29,2021-02-03,1,0,1,0,10000,0,10000,0,12000000,0,12000000,0,1200.0,1200.0,,,0.0,1399-11-15
28,2021-02-07,4,0,1,0,50000,0,50000,0,60000000,0,60000000,0,1200.0,1200.0,,,0.0,1399-11-19
27,2021-02-08,3,0,1,0,20300,0,20300,0,24360000,0,24360000,0,1200.0,1200.0,,,0.0,1399-11-20
26,2021-02-15,1,0,1,0,6190,0,6190,0,7675600,0,7675600,0,1240.0,1240.0,,,0.0,1399-11-27
25,2021-02-16,3,0,1,0,18279,0,18279,0,22665960,0,22665960,0,1240.0,1240.0,,,0.0,1399-11-28
24,2021-02-17,1,0,2,0,4617,0,4617,0,5725080,0,5725080,0,1240.0,1240.0,,,0.0,1399-11-29
23,2021-02-20,2,0,1,0,9000,0,9000,0,11160000,0,11160000,0,1240.0,1240.0,,,0.0,1399-12-02
22,2021-02-21,1,0,1,0,4200,0,4200,0,5208000,0,5208000,0,1240.0,1240.0,,,0.0,1399-12-03
21,2021-02-22,3,0,1,0,24020,0,24020,0,29784800,0,29784800,0,1240.0,1240.0,,,0.0,1399-12-04
20,2021-02-27,2,0,1,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1399-12-09
19,2021-02-28,1,0,1,0,5000,0,5000,0,6200000,0,6200000,0,1240.0,1240.0,,,0.0,1399-12-10
18,2021-03-01,1,0,1,0,4500,0,4500,0,5580000,0,5580000,0,1240.0,1240.0,,,0.0,1399-12-11
17,2021-03-07,1,0,1,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1399-12-17
16,2021-03-08,1,0,2,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1399-12-18
15,2021-03-10,1,0,1,0,4011,0,4011,0,4973640,0,4973640,0,1240.0,1240.0,,,0.0,1399-12-20
14,2021-04-05,2,0,1,0,6004,0,6004,0,7444960,0,7444960,0,1240.0,1240.0,,,0.0,1400-01-16
13,2021-04-06,2,0,1,0,10488,0,10488,0,13005120,0,13005120,0,1240.0,1240.0,,,0.0,1400-01-17
12,2021-04-10,2,0,1,0,16200,0,16200,0,20088000,0,20088000,0,1240.0,1240.0,,,0.0,1400-01-21
11,2021-04-11,1,0,1,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1400-01-22
10,2021-04-12,0,1,1,0,0,10000,10000,0,0,12400000,12400000,0,,1240.0,1240.0,,-10000.0,1400-01-23
9,2021-04-13,2,5,2,0,5001,50000,55001,0,6201240,62000000,68201240,0,1240.0,1240.0,1240.0,,-50000.0,1400-01-24
8,2021-04-14,2,7,3,0,4043,362495,366538,0,5013320,449493800,454507120,0,1240.0,1240.0,1240.0,,-362495.0,1400-01-25
7,2021-04-17,3,0,1,0,12243,0,12243,0,15181320,0,15181320,0,1240.0,1240.0,,,0.0,1400-01-28
6,2021-04-18,1,0,1,0,8255,0,8255,0,10236200,0,10236200,0,1240.0,1240.0,,,0.0,1400-01-29
5,2021-04-19,1,0,1,0,10000,0,10000,0,12400000,0,12400000,0,1240.0,1240.0,,,0.0,1400-01-30
4,2021-04-20,3,0,1,0,30,0,30,0,37200,0,37200,0,1240.0,1240.0,,,0.0,1400-01-31
3,2021-04-21,1,0,1,0,1,0,1,0,1230,0,1230,0,1230.0,1230.0,,,0.0,1400-02-01
2,2021-04-25,2,0,1,0,8866,0,8866,0,10905180,0,10905180,0,1230.0,1230.0,,,0.0,1400-02-05
1,2021-04-27,2,0,1,0,14100,0,14100,0,17343000,0,17343000,0,1230.0,1230.0,,,0.0,1400-02-07
0,2021-05-11,1,0,1,0,5000,0,5000,0,6115000,0,6115000,0,1223.0,1223.0,,,0.0,1400-02-21
