date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-11-13,184,1,64,1,11008362,100000,3590515,7517847,17033241087,156000000,5460827733,11728413354,1547.3002329501885,1520.9037514117056,1560.0,1560.0760901359126,7417847.0,1391-08-23
2012-11-14,28,1,71,0,1404320,2740000,4144320,0,2085558064,4027800000,6113358064,0,1485.1017317990202,1475.1172843795846,1470.0,,-2740000.0,1391-08-24
2012-11-17,3,1,29,0,40500,424737,465237,0,60231666,627674549,687906215,0,1487.2016296296297,1478.6145878337277,1477.7957865691003,,-424737.0,1391-08-27
2012-11-18,2,1,20,0,5010,320450,325460,0,7440000,474402350,481842350,0,1485.0299401197606,1480.4963743624407,1480.4254953970978,,-320450.0,1391-08-28
2012-11-19,1,1,25,0,500,540800,541300,0,745500,804782274,805527774,0,1491.0,1488.1355514502125,1488.1329031065088,,-540800.0,1391-08-29
2012-11-20,0,1,17,0,0,263924,263924,0,0,392885910,392885910,0,,1488.6327503372183,1488.6327503372183,,-263924.0,1391-08-30
2012-11-21,1,1,18,0,10,242219,242229,0,14840,360494091,360508931,0,1484.0,1488.2979783593212,1488.2981558011552,,-242219.0,1391-09-01
2012-11-27,4,0,1,0,52109,0,52109,0,73682126,0,73682126,0,1414.0,1414.0,,,0.0,1391-09-07
2012-11-28,3,0,3,0,64000,0,64000,0,86016000,0,86016000,0,1344.0,1344.0,,,0.0,1391-09-08
2012-12-01,10,0,11,0,177000,0,177000,0,226581330,0,226581330,0,1280.1205084745764,1280.1205084745764,,,0.0,1391-09-11
2012-12-02,6,0,11,0,58714,0,58714,0,71428524,0,71428524,0,1216.5501243315052,1216.5501243315052,,,0.0,1391-09-12
2012-12-03,6,0,5,0,28444,0,28444,0,34855857,0,34855857,0,1225.420369849529,1225.420369849529,,,0.0,1391-09-13
2012-12-04,3,0,2,0,9321,0,9321,0,11000852,0,11000852,0,1180.2222937453064,1180.2222937453064,,,0.0,1391-09-14
2012-12-05,3,0,6,0,38713,0,38713,0,46006704,0,46006704,0,1188.4045152791052,1188.4045152791052,,,0.0,1391-09-15
2012-12-08,2,0,4,0,25689,0,25689,0,30766800,0,30766800,0,1197.6643699637978,1197.6643699637978,,,0.0,1391-09-18
2012-12-09,3,0,2,0,9182,0,9182,0,11023400,0,11023400,0,1200.5445436724026,1200.5445436724026,,,0.0,1391-09-19
2012-12-10,6,0,6,0,61419,0,61419,0,72762216,0,72762216,0,1184.685781272896,1184.685781272896,,,0.0,1391-09-20
2012-12-11,3,0,1,0,7454,0,7454,0,8599474,0,8599474,0,1153.6723906627317,1153.6723906627317,,,0.0,1391-09-21
2012-12-12,6,1,10,0,144685,30000,174685,0,162984432,33600000,196584432,0,1126.4777413000656,1125.365268912614,1120.0,,-30000.0,1391-09-22
2012-12-15,2,1,4,0,15000,219839,234839,0,16594220,242002900,258597120,0,1106.2813333333334,1101.167693611368,1100.818781017017,,-219839.0,1391-09-25
2012-12-16,6,0,5,0,66597,0,66597,0,73366074,0,73366074,0,1101.6423262309113,1101.6423262309113,,,0.0,1391-09-26
2012-12-17,4,1,8,0,36690,17887,54577,0,40912580,19675700,60588280,0,1115.0880348868902,1110.1431005735017,1100.0,,-17887.0,1391-09-27
2012-12-18,3,0,2,0,11581,0,11581,0,12829410,0,12829410,0,1107.7981176064245,1107.7981176064245,,,0.0,1391-09-28
2012-12-19,4,0,4,0,40776,0,40776,0,45036724,0,45036724,0,1104.4909750833824,1104.4909750833824,,,0.0,1391-09-29
2012-12-22,4,1,4,0,21462,39871,61333,0,23615200,43858100,67473300,0,1100.3261578604045,1100.1141310550602,1100.0,,-39871.0,1391-10-02
2012-12-23,2,0,6,0,97728,0,97728,0,112001890,0,112001890,0,1146.057322364113,1146.057322364113,,,0.0,1391-10-03
2012-12-24,11,1,6,0,255210,209773,464983,0,287416479,230750300,518166779,0,1126.1959915363818,1114.3778998371984,1100.0,,-209773.0,1391-10-04
2012-12-25,3,1,6,0,18200,1320000,1338200,0,19918200,1452000000,1471918200,0,1094.4065934065934,1099.9239276640262,1100.0,,-1320000.0,1391-10-05
2012-12-26,2,1,6,0,16120,943584,959704,0,18508600,1037942400,1056451000,0,1148.1761786600496,1100.8092078390837,1100.0,,-943584.0,1391-10-06
2012-12-29,5,1,6,0,51562,117798,169360,0,57396630,129577800,186974430,0,1113.1575578914706,1104.005845536136,1100.0,,-117798.0,1391-10-09
2012-12-30,3,1,7,0,10164,46969,57133,0,11190564,51665900,62856464,0,1101.0,1100.1779006878687,1100.0,,-46969.0,1391-10-10
2012-12-31,1,1,4,0,919,15310,16229,0,1010900,16841000,17851900,0,1100.0,1100.0,1100.0,,-15310.0,1391-10-11
2013-01-01,4,0,8,0,48817,0,48817,0,54879187,0,54879187,0,1124.1818833603047,1124.1818833603047,,,0.0,1391-10-12
2013-01-02,4,0,5,0,24397,0,24397,0,27200297,0,27200297,0,1114.90334877239,1114.90334877239,,,0.0,1391-10-13
2013-01-09,9,0,1,0,20158,0,20158,0,23164750,0,23164750,0,1149.1591427721005,1149.1591427721005,,,0.0,1391-10-20
2013-01-13,3,0,3,0,21211,0,21211,0,23454327,0,23454327,0,1105.762434585828,1105.762434585828,,,0.0,1391-10-24
2013-01-14,3,0,3,0,55288,0,55288,0,60911160,0,60911160,0,1101.7066994646216,1101.7066994646216,,,0.0,1391-10-25
2013-01-15,4,0,7,0,52020,0,52020,0,56544000,0,56544000,0,1086.9665513264129,1086.9665513264129,,,0.0,1391-10-26
2013-01-16,5,0,3,0,20745,0,20745,0,21828995,0,21828995,0,1052.2533140515786,1052.2533140515786,,,0.0,1391-10-27
2013-01-19,6,0,6,0,77579,0,77579,0,80813246,0,80813246,0,1041.6897098441589,1041.6897098441589,,,0.0,1391-10-30
2013-01-20,1,0,3,0,17804,0,17804,0,18475298,0,18475298,0,1037.7048977757806,1037.7048977757806,,,0.0,1391-11-01
2013-01-21,8,0,7,0,56826,0,56826,0,59122307,0,59122307,0,1040.4094428606625,1040.4094428606625,,,0.0,1391-11-02
2013-01-23,8,0,6,0,62010,0,62010,0,62130800,0,62130800,0,1001.9480728914692,1001.9480728914692,,,0.0,1391-11-04
2013-01-26,3,0,5,0,16331,0,16331,0,16331000,0,16331000,0,1000.0,1000.0,,,0.0,1391-11-07
2013-01-27,2,0,1,0,5700,0,5700,0,5642200,0,5642200,0,989.859649122807,989.859649122807,,,0.0,1391-11-08
2013-01-28,2,0,4,0,20000,0,20000,0,18820000,0,18820000,0,941.0,941.0,,,0.0,1391-11-09
2013-01-30,2,0,4,0,14981,0,14981,0,14679278,0,14679278,0,979.8596889393232,979.8596889393232,,,0.0,1391-11-11
2013-02-02,3,0,3,0,21760,0,21760,0,20502260,0,20502260,0,942.1994485294116,942.1994485294116,,,0.0,1391-11-14
2013-02-03,2,1,7,0,18000,51995,69995,0,17802000,51423055,69225055,0,989.0,989.0,989.0,,-51995.0,1391-11-15
2013-02-04,0,1,6,0,0,67241,67241,0,0,67241000,67241000,0,,1000.0,1000.0,,-67241.0,1391-11-16
2013-02-05,0,1,4,0,0,17053,17053,0,0,17053000,17053000,0,,1000.0,1000.0,,-17053.0,1391-11-17
2013-02-06,3,1,4,0,13926,89000,102926,0,13279700,88950000,102229700,0,953.5904064340084,993.2349454948215,999.438202247191,,-89000.0,1391-11-18
2013-02-09,1,1,6,0,1492,92175,93667,0,1492000,92175000,93667000,0,1000.0,1000.0,1000.0,,-92175.0,1391-11-21
2013-02-11,1,1,4,0,2500,14463,16963,0,2500000,14463000,16963000,0,1000.0,1000.0,1000.0,,-14463.0,1391-11-23
2013-02-12,0,1,2,0,0,55000,55000,0,0,55000000,55000000,0,,1000.0,1000.0,,-55000.0,1391-11-24
2013-02-13,0,1,3,0,0,15759,15759,0,0,15759000,15759000,0,,1000.0,1000.0,,-15759.0,1391-11-25
2013-02-16,3,1,3,0,16073,5000,21073,0,16073177,5000000,21073177,0,1000.0110122565792,1000.008399373606,1000.0,,-5000.0,1391-11-28
2013-02-17,5,1,4,0,31487,26746,58233,0,31509531,26746000,58255531,0,1000.7155651538732,1000.3869112015524,1000.0,,-26746.0,1391-11-29
2013-02-18,1,1,6,0,50000,70448,120448,0,50000000,70448000,120448000,0,1000.0,1000.0,1000.0,,-70448.0,1391-11-30
2013-02-19,2,2,15,0,28792,32884,61676,0,28821870,33176840,61998710,0,1001.037440955821,1005.2323432129192,1008.905242671208,,-32884.0,1391-12-01
2013-02-20,3,1,5,0,15345,103173,118518,0,15345000,103153000,118498000,0,1000.0,999.8312492617156,999.806150834036,,-103173.0,1391-12-02
2013-02-23,1,2,8,0,42405,120152,162557,0,42405000,120347640,162752640,0,1000.0,1001.20351630505,1001.6282708569146,,-120152.0,1391-12-05
2013-02-24,1,1,3,0,6000,50000,56000,0,6000000,50000000,56000000,0,1000.0,1000.0,1000.0,,-50000.0,1391-12-06
2013-02-25,0,1,2,0,0,16356,16356,0,0,16356000,16356000,0,,1000.0,1000.0,,-16356.0,1391-12-07
