date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-11-11,37372,299,0,1,54124650,6029350,0,60000000,89305672500,9948427500,0,99000000000,1650.0,,1650.0,1650.0,53970650.0,1393-08-20
2014-11-12,7,0,46,0,38692,0,38692,0,67014544,0,67014544,0,1732.0,1732.0,,,0.0,1393-08-21
2014-11-15,11,0,58,1,73847,0,71847,2000,134253846,0,130617846,3636000,1818.0,1818.0,,1818.0,2000.0,1393-08-24
2014-11-16,26,2,234,0,282577,30000,312577,0,539156916,57240000,596396916,0,1908.0,1908.0,1908.0,,-30000.0,1393-08-25
2014-11-17,34,0,217,1,299139,0,277139,22000,599175417,0,555109417,44066000,2003.0,2003.0,,2003.0,22000.0,1393-08-26
2014-11-18,112,5,571,3,847185,64750,801435,110500,1781630055,136169250,1685417805,232381500,2103.0,2103.0,2103.0,2103.0,45750.0,1393-08-27
2014-11-19,150,7,2009,26,3865916,149999,3147365,868550,8535942528,331197792,6949381920,1917758400,2208.0,2208.0,2208.0,2208.0,718551.0,1393-08-28
2014-11-22,566,7,8702,51,16981537,4210000,16216387,4975150,39034513482,9749332912,37268943364,11514903030,2298.6443148226217,2298.2273032827843,2315.756036104513,2314.483589439514,765150.0,1393-09-01
2014-11-23,711,11,7749,53,20267376,4291083,17678660,6879799,48069712196,10282492841,41776176397,16576028640,2371.7777869221945,2363.0850074044074,2396.246551511588,2409.3768785977613,2588716.0,1393-09-02
2014-11-24,709,12,2209,23,16203469,4496085,13129522,7570032,40324860848,11201858432,32654973472,18871745808,2488.656030878326,2487.141075813727,2491.469452201193,2492.9545618829616,3073947.0,1393-09-03
2014-11-25,968,7,3775,29,20097670,1838484,20440669,1495485,48222215323,4462453282,49070831324,3613837281,2399.3933288286653,2400.6470298990703,2427.2461887076524,2416.4985145287314,-342999.0,1393-09-04
