date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-10-07,119299,608,0,1,29847814,152186,0,30000000,46861067980,238932020,0,47100000000,1570.0,,1570.0,1570.0,29847814.0,1396-07-15
2017-10-08,5,0,197,0,40281,0,40281,0,66383088,0,66383088,0,1648.0,1648.0,,,0.0,1396-07-16
2017-10-09,4,0,135,2,31469,0,30969,500,54441370,0,53576370,865000,1730.0,1730.0,,1730.0,500.0,1396-07-17
2017-10-10,289,2,262,2,3069737,20000,49486,3040251,5574642392,36320000,89866576,5521095816,1816.0,1816.0,1816.0,1816.0,3020251.0,1396-07-18
2017-10-11,285,2,917,5,3207743,20000,226743,3001000,6113958158,38120000,432172158,5719906000,1906.0,1906.0,1906.0,1906.0,2981000.0,1396-07-19
2017-10-14,723,6,8274,132,9011151,80000,2748712,6342439,18031313151,160080000,5500172712,12691220439,2001.0,2001.0,2001.0,2001.0,6262439.0,1396-07-22
2017-10-15,2756,5,65515,326,47290865,190500,37161550,10319815,101794114937,409848805,79621973317,22581990425,2152.5111654650427,2142.590212652594,2151.4372965879265,2188.216593514516,10129315.0,1396-07-23
2017-10-16,1359,2,13989,61,15056756,73047,14839510,290293,33170935122,157427191,32673266110,655096203,2203.05988368278,2201.775268186079,2155.1493011348857,2256.6724068441195,217246.0,1396-07-24
2017-10-17,760,3,8972,26,9155022,305517,9454915,5624,18870310075,638949183,19497635305,11623953,2061.197676532072,2062.169284969775,2091.370309999116,2066.847972972973,-299893.0,1396-07-25
2017-10-18,316,1,5273,17,4736692,100000,4832939,3753,9653775529,202640000,9848751091,7664438,2038.083862957524,2037.8388990632825,2026.4,2042.216360245137,-96247.0,1396-07-26
2017-10-21,477,1,2589,4,5033668,300000,5332915,753,9849112905,589127922,10436775982,1464845,1956.6473007357656,1957.0490026561456,1963.75974,1945.3452855245685,-299247.0,1396-07-29
2017-10-22,178,1,1652,6,1484697,2001200,3474647,11250,2902700493,3929191792,6809843535,22048750,1955.079381853671,1959.8662928924864,1963.4178452928245,1959.888888888889,-1989950.0,1396-07-30
2017-10-23,197,1,1592,9,2135373,2000000,4093621,41752,4091776110,3923209019,7933059250,81925879,1916.1879961955124,1937.907600630347,1961.6045095,1962.2025052692088,-1958248.0,1396-08-01
