date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-08,4509258,2960,0,1,334779303,2345698,0,337125001,1071293769600,7506233600,0,1078800003200,3200.0,,3200.0,3200.0,334779303.0,1399-04-18
2020-07-11,9,0,10582,5,776312,0,775940,372,2608408320,0,2607158400,1249920,3360.0,3360.0,,3360.0,372.0,1399-04-21
2020-07-12,37,0,10639,8,1281571,0,781048,500523,4318894270,0,2632131760,1686762510,3370.0,3370.0,,3370.0,500523.0,1399-04-22
2020-07-13,8,0,12547,27,1424348,0,922416,501932,4814296240,0,3117766080,1696530160,3380.0,3380.0,,3380.0,501932.0,1399-04-23
2020-07-14,11,0,8452,11,1535668,0,622281,913387,5205914520,0,2109532590,3096381930,3390.0,3390.0,,3390.0,913387.0,1399-04-24
2020-07-15,5,0,5670,6,1417914,0,417540,1000374,4835086740,0,1423811400,3411275340,3410.0,3410.0,,3410.0,1000374.0,1399-04-25
2020-07-18,70,0,9670,14,1218313,0,717342,500971,4166630460,0,2453309640,1713320820,3420.0,3420.0,,3420.0,500971.0,1399-04-28
2020-07-19,7,1,2863,1,110582,100000,210507,75,379296260,343000000,722039010,257250,3430.0,3430.0,3430.0,3430.0,-99925.0,1399-04-29
2020-07-20,54,0,11278,12,857309,0,853919,3390,2940569870,0,2928942170,11627700,3430.0,3430.0,,3430.0,3390.0,1399-04-30
2020-07-21,14,0,11321,8,845051,0,844457,594,2906975440,0,2904932080,2043360,3440.0,3440.0,,3440.0,594.0,1399-04-31
2020-07-22,9,0,7225,6,533037,0,532589,448,1838977650,0,1837432050,1545600,3450.0,3450.0,,3450.0,448.0,1399-05-01
2020-07-25,10,0,10392,11,812869,0,812051,818,2812526740,0,2809696460,2830280,3460.0,3460.0,,3460.0,818.0,1399-05-04
2020-07-26,21,0,7755,8,1204718,0,587123,617595,4180371460,0,2037316810,2143054650,3470.0,3470.0,,3470.0,617595.0,1399-05-05
2020-07-27,18,0,11746,10,874594,0,873850,744,3043587120,0,3040998000,2589120,3480.0,3480.0,,3480.0,744.0,1399-05-06
2020-07-28,12,0,17203,12,1307764,0,1269502,38262,4564096360,0,4430561980,133534380,3490.0,3490.0,,3490.0,38262.0,1399-05-07
2020-07-29,5,0,26718,15,1966541,0,1965473,1068,6882893500,0,6879155500,3738000,3500.0,3500.0,,3500.0,1068.0,1399-05-08
2020-08-01,8,0,18738,20,1444432,0,1440428,4004,5084400640,0,5070306560,14094080,3520.0,3520.0,,3520.0,4004.0,1399-05-11
2020-08-02,14,0,18309,19,1374675,0,1352012,22663,4852602750,0,4772602360,80000390,3530.0,3530.0,,3530.0,22663.0,1399-05-12
2020-08-03,25,0,18112,10,1452303,0,1351634,100669,5141152620,0,4784784360,356368260,3540.0,3540.0,,3540.0,100669.0,1399-05-13
