date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-12,1,0,1,0,1000,0,1000,0,2500000,0,2500000,0,2500.0,2500.0,,,0.0,1392-08-21
2013-12-25,2,0,1,0,44750,0,44750,0,71600000,0,71600000,0,1600.0,1600.0,,,0.0,1392-10-04
2014-06-09,1,0,1,0,100,0,100,0,140000,0,140000,0,1400.0,1400.0,,,0.0,1393-03-19
2014-06-11,1,0,1,0,50,0,50,0,70000,0,70000,0,1400.0,1400.0,,,0.0,1393-03-21
2014-06-14,2,0,1,0,120,0,120,0,168000,0,168000,0,1400.0,1400.0,,,0.0,1393-03-24
2014-06-17,1,0,1,0,50,0,50,0,70000,0,70000,0,1400.0,1400.0,,,0.0,1393-03-27
2014-06-21,1,0,1,0,10,0,10,0,14000,0,14000,0,1400.0,1400.0,,,0.0,1393-03-31
2014-06-22,1,0,1,0,20050,0,20050,0,26065000,0,26065000,0,1300.0,1300.0,,,0.0,1393-04-01
2014-08-06,1,0,2,0,31000,0,31000,0,43400000,0,43400000,0,1400.0,1400.0,,,0.0,1393-05-15
2014-08-17,1,0,1,0,9670,0,9670,0,13538000,0,13538000,0,1400.0,1400.0,,,0.0,1393-05-26
2014-09-06,1,0,1,0,5000,0,5000,0,6100000,0,6100000,0,1220.0,1220.0,,,0.0,1393-06-15
2014-09-27,2,0,2,0,1100,0,1100,0,1342000,0,1342000,0,1220.0,1220.0,,,0.0,1393-07-05
2014-12-08,1,0,1,0,10000,0,10000,0,12300000,0,12300000,0,1230.0,1230.0,,,0.0,1393-09-17
2014-12-24,1,0,1,0,4000,0,4000,0,4920000,0,4920000,0,1230.0,1230.0,,,0.0,1393-10-03
2015-01-04,1,0,1,0,4000,0,4000,0,4920000,0,4920000,0,1230.0,1230.0,,,0.0,1393-10-14
2016-01-09,1,0,1,0,4000,0,4000,0,5000000,0,5000000,0,1250.0,1250.0,,,0.0,1394-10-19
2016-04-30,1,0,1,0,160000,0,160000,0,120000000,0,120000000,0,750.0,750.0,,,0.0,1395-02-11
2016-07-09,1,0,1,0,100000,0,100000,0,100200000,0,100200000,0,1002.0,1002.0,,,0.0,1395-04-19
2016-07-25,1,0,1,0,10000,0,10000,0,10000000,0,10000000,0,1000.0,1000.0,,,0.0,1395-05-04
2017-03-13,0,1,1,0,0,10000,10000,0,0,10000000,10000000,0,,1000.0,1000.0,,-10000.0,1395-12-23
2019-04-08,2,0,2,0,20000,0,20000,0,56020000,0,56020000,0,2801.0,2801.0,,,0.0,1398-01-19
2019-05-01,1,0,1,0,10000,0,10000,0,30000000,0,30000000,0,3000.0,3000.0,,,0.0,1398-02-11
2019-05-06,4,0,3,0,89375,0,89375,0,390505625,0,390505625,0,4369.293706293706,4369.293706293706,,,0.0,1398-02-16
2019-06-08,24,0,17,0,831355,0,831355,0,4988130000,0,4988130000,0,6000.0,6000.0,,,0.0,1398-03-18
2019-06-12,69,0,30,0,1893346,0,1893346,0,13130958400,0,13130958400,0,6935.318953852069,6935.318953852069,,,0.0,1398-03-22
2019-06-17,49,0,74,0,1668710,0,1668710,0,16990946418,0,16990946418,0,10182.084615061936,10182.084615061936,,,0.0,1398-03-27
2019-06-19,111,0,42,0,1193712,0,1193712,0,14647756000,0,14647756000,0,12270.762126878177,12270.762126878177,,,0.0,1398-03-29
2019-06-22,101,0,68,0,1921534,0,1921534,0,22975486200,0,22975486200,0,11956.846040715389,11956.846040715389,,,0.0,1398-04-01
2019-06-24,64,0,65,0,977648,0,977648,0,13120212434,0,13120212434,0,13420.180304158552,13420.180304158552,,,0.0,1398-04-03
2019-06-26,201,0,65,0,1671957,0,1671957,0,25027574499,0,25027574499,0,14969.03000436016,14969.03000436016,,,0.0,1398-04-05
2019-07-01,110,0,41,0,974432,0,974432,0,11693184000,0,11693184000,0,12000.0,12000.0,,,0.0,1398-04-10
2019-07-03,64,0,56,0,664759,0,664759,0,8202705000,0,8202705000,0,12339.3665975188,12339.3665975188,,,0.0,1398-04-12
2019-07-06,57,0,57,0,389110,0,389110,0,5191031725,0,5191031725,0,13340.782105317265,13340.782105317265,,,0.0,1398-04-15
2019-07-08,130,0,25,1,654384,0,504938,149446,8778975360,0,6749498680,2029476680,13415.63265605516,13366.98501598216,,13580.0,149446.0,1398-04-17
2019-07-10,102,0,79,0,918730,0,918730,0,11126254105,0,11126254105,0,12110.472178986209,12110.472178986209,,,0.0,1398-04-19
2019-07-13,72,0,52,0,502518,0,502518,0,6044001286,0,6044001286,0,12027.43242232119,12027.43242232119,,,0.0,1398-04-22
2019-07-15,134,0,62,0,820313,0,820313,0,9844049830,0,9844049830,0,12000.358192543576,12000.358192543576,,,0.0,1398-04-24
2019-07-17,187,1,50,0,779067,25000,804067,0,8966323590,287500000,9253823590,0,11509.053252159314,11508.771769019248,11500.0,,-25000.0,1398-04-26
