date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-02-12,72,13,5,1,7585641,2906000,5491641,5000000,9863010187,3777800000,7139773358,6501036829,1300.221060685577,1300.1165513186313,1300.0,1300.2073658,2094000.0,1395-11-24
2017-02-13,67,5,34,0,1873049,2019706,3892755,0,2521899352,2722996071,5244895423,0,1346.4139763561975,1347.3479381569095,1348.21408214859,,-2019706.0,1395-11-25
2017-02-14,76,4,31,1,4739822,1084016,5323838,500000,6692233148,1509873260,7495106408,707000000,1411.9165546723063,1407.8389327398768,1392.8514523770866,1414.0,-584016.0,1395-11-26
2017-02-15,195,5,57,3,7653918,756821,7381697,1029042,11071164169,1095777124,10703153105,1463788188,1446.470182852756,1449.9583368160463,1447.8682858958723,1422.47662194546,272221.0,1395-11-27
2017-02-18,30,5,71,11,2825048,821616,3234224,412440,4028380934,1172250085,4610820866,589810153,1425.9513233049493,1425.634361132686,1426.761510243228,1430.0508025409756,-409176.0,1395-11-30
2017-02-19,29,6,35,0,1646532,516471,2163003,0,2339903782,735247559,3075151341,0,1421.1104199614706,1421.7046120601774,1423.5989223015426,,-516471.0,1395-12-01
2017-02-20,63,4,67,2,5162115,502284,4246186,1418213,7390726010,718985939,6071613185,2038098764,1431.7244017229373,1429.8980744131322,1431.4330916374004,1437.089325792388,915929.0,1395-12-02
2017-02-21,23,2,22,1,1497007,240000,1732183,4824,2146488980,345313100,2484860344,6941736,1433.8536693549197,1434.5253036197676,1438.8045833333333,1439.0,-235176.0,1395-12-03
2017-02-22,8,3,24,0,1192856,180500,1373356,0,1707912945,258182400,1966095345,0,1431.784678955381,1431.5991956928867,1430.373407202216,,-180500.0,1395-12-04
2017-02-25,19,2,23,0,869460,97204,966664,0,1217054670,135793336,1352848006,0,1399.7822441515425,1399.5017979359943,1396.9932924571006,,-97204.0,1395-12-07
2017-02-26,9,5,26,0,428480,2169058,2597538,0,590925211,2995689805,3586615016,0,1379.119704536968,1380.7748013696046,1381.101752465817,,-2169058.0,1395-12-08
2017-02-27,5,3,21,1,28200,926470,950023,4647,39208400,1280692524,1313474123,6426801,1390.3687943262412,1382.5708672316357,1382.3356654829622,1383.0,-921823.0,1395-12-09
2017-02-28,8,2,22,4,455366,674350,1024716,105000,629287239,931945500,1416017739,145215000,1381.9372526714774,1381.8635983043107,1381.990805961296,1383.0,-569350.0,1395-12-10
2017-03-01,3,2,27,2,180100,1692933,1709922,163111,248805000,2335455735,2359251660,225009075,1381.482509716824,1379.742268945601,1379.5322880468393,1379.4843695397612,-1529822.0,1395-12-11
2017-03-04,2,3,20,3,6000,1190200,1105200,91000,8330000,1647787900,1530041900,126076000,1388.3333333333333,1384.402732537097,1384.4630314232902,1385.4505494505495,-1099200.0,1395-12-14
2017-03-05,3,3,10,1,40300,354272,393472,1100,55725588,490285360,544487448,1523500,1382.7689330024814,1383.802273096942,1383.9235389757025,1385.0,-353172.0,1395-12-15
2017-03-06,3,2,12,1,29000,136116,139566,25550,40417000,190112184,195159984,35369200,1393.6896551724135,1398.3347233566917,1396.6924094154986,1384.3131115459882,-110566.0,1395-12-16
2017-03-07,4,2,16,1,12355,2130886,1829241,314000,16965000,2967197252,2545868202,438294050,1373.1282881424524,1391.762048849769,1392.4711373578878,1395.840923566879,-1816886.0,1395-12-17
2017-03-08,4,2,11,0,56500,1363500,1420000,0,77971300,1888717297,1966688597,0,1380.0230088495575,1384.9919697183095,1385.1978709204254,,-1363500.0,1395-12-18
2017-03-11,2,3,21,0,484937,1583972,2068909,0,668740523,2181820126,2850560649,0,1379.0255703318162,1377.8086174887344,1377.436044324016,,-1583972.0,1395-12-21
