date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-01,0,2,1,1,0,3210,3200,10,0,1990390,1984000,6390,,620.0,620.0591900311526,639.0,-3200.0,1387-09-11
2009-02-23,1,0,0,1,200,0,0,200,131400,0,0,131400,657.0,,,657.0,200.0,1387-12-05
2009-06-13,0,1,2,0,0,75200,75200,0,0,75200000,75200000,0,,1000.0,1000.0,,-75200.0,1388-03-23
2009-06-14,0,1,0,1,0,26820,0,26820,0,27624600,0,27624600,,,1030.0,1030.0,0.0,1388-03-24
2009-06-16,0,1,1,0,0,1450,1450,0,0,1499300,1499300,0,,1034.0,1034.0,,-1450.0,1388-03-26
2009-06-22,0,1,2,0,0,1819,1819,0,0,1880846,1880846,0,,1034.0,1034.0,,-1819.0,1388-04-01
2009-06-23,0,1,0,1,0,2449,0,2449,0,2532266,0,2532266,,,1034.0,1034.0,0.0,1388-04-02
2009-06-24,0,1,1,0,0,1,1,0,0,1034,1034,0,,1034.0,1034.0,,-1.0,1388-04-03
2009-06-28,0,1,1,0,0,204,204,0,0,210936,210936,0,,1034.0,1034.0,,-204.0,1388-04-07
2009-06-30,0,1,1,0,0,1091,1091,0,0,1161915,1161915,0,,1065.0,1065.0,,-1091.0,1388-04-09
2009-07-01,1,0,1,0,3200,0,3200,0,3507200,0,3507200,0,1096.0,1096.0,,,0.0,1388-04-10
2009-07-11,1,0,2,0,3888,0,3888,0,4385664,0,4385664,0,1128.0,1128.0,,,0.0,1388-04-20
2009-07-13,2,0,2,0,5362,0,5362,0,6053698,0,6053698,0,1129.0,1129.0,,,0.0,1388-04-22
2009-07-15,2,0,1,0,3888,0,3888,0,4393440,0,4393440,0,1130.0,1130.0,,,0.0,1388-04-24
2009-07-21,1,0,1,0,1937,0,1937,0,2190747,0,2190747,0,1131.0,1131.0,,,0.0,1388-04-30
2009-07-26,1,0,1,0,460,0,460,0,520260,0,520260,0,1131.0,1131.0,,,0.0,1388-05-04
2009-07-28,2,0,1,1,6450,0,6400,50,7507800,0,7449600,58200,1164.0,1164.0,,1164.0,50.0,1388-05-06
2009-07-29,3,0,1,1,37099,0,37049,50,44444602,0,44384702,59900,1198.0,1198.0,,1198.0,50.0,1388-05-07
