date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-02-10,1386618,1821,0,1,499328838,668205,0,499997043,2808724713750,3758653125,0,2812483366875,5625.0,,5625.0,5625.0,499328838.0,1398-11-21
2020-02-12,14,0,1849,1,606407,0,606037,370,3581439742,0,3579254522,2185220,5906.0,5906.0,,5906.0,370.0,1398-11-23
2020-02-15,25,0,2267,7,756882,0,754609,2273,4693425282,0,4679330409,14094873,6201.0,6201.0,,6201.0,2273.0,1398-11-26
2020-02-16,15,0,2228,8,755060,0,752103,2957,4916195660,0,4896942633,19253027,6511.0,6511.0,,6511.0,2957.0,1398-11-27
2020-02-17,19,0,2553,7,845725,0,843434,2291,5781376100,0,5765714824,15661276,6836.0,6836.0,,6836.0,2291.0,1398-11-28
2020-02-18,30,0,3336,11,1072619,0,1068554,4065,7698186563,0,7669012058,29174505,7177.0,7177.0,,7177.0,4065.0,1398-11-29
2020-02-19,380,4,4227,8,20534410,615833,1147770,20002473,154726779350,4640301655,8648446950,150718634055,7535.0,7535.0,7535.0,7535.0,19386640.0,1398-11-30
2020-02-22,478,14,4772,11,52582786,9845000,2424088,60003698,415982420046,77883795000,19176960168,474689254878,7911.0,7911.0,7911.0,7911.0,50158698.0,1398-12-03
2020-02-23,832,16,3943,2,63190021,8458000,1647652,70000369,524856314426,70252148000,13685397512,581423064914,8306.0,8306.0,8306.0,8306.0,61542369.0,1398-12-04
2020-02-24,41,0,1811,3,829015,0,827906,1109,7229839815,0,7220168226,9671589,8721.0,8721.0,,8721.0,1109.0,1398-12-05
2020-02-26,1933,19,18394,33,76029958,3662735,25381352,54311341,730717562416,35213534290,243782371145,522148725561,9610.91629717854,9604.78272177936,9614.0,9613.990668376242,50648606.0,1398-12-07
2020-02-29,15018,13,60552,205,130833913,6107486,124169652,12771747,1320081666820,61630640802,1252844448974,128867858648,10089.751476132951,10089.779819742103,10090.999930577,10090.072928002724,6664261.0,1398-12-10
2020-03-01,10729,13,9487,31,104131864,1118940,6239707,99011097,1103172967216,11854050360,66103455958,1048923561618,10594.0,10594.0,10594.0,10594.0,97892157.0,1398-12-11
2020-03-02,150,0,7242,10,3450869,0,3447624,3245,38384015887,0,38347921752,36094135,11123.0,11123.0,,11123.0,3245.0,1398-12-12
2020-03-03,8553,10,22727,14,105720964,4205000,10921259,99004705,1214945318288,48323860000,125507108428,1137762069860,11492.0,11492.0,11492.0,11492.0,94799705.0,1398-12-13
2020-03-04,16946,13,31525,146,124655870,2038473,27341431,99352912,1504097307252,24596215218,329901286278,1198792236192,12065.99662937654,12065.9846325527,12066.0,12066.0,97314439.0,1398-12-14
2020-03-07,34280,14,166202,159,187765715,1342535,177843302,11264948,2306868829105,15593941079,2184402308178,138060462006,12285.889514520795,12282.735889474206,11615.295749459046,12255.756707088218,9922413.0,1398-12-17
2020-03-09,46327,21,121820,101,155107581,2436447,155749196,1794832,1883949992659,29583578307,1891559383263,21974187703,12146.085836120415,12144.906245699014,12142.098025116082,12243.03316577819,-641615.0,1398-12-19
2020-03-10,13570,6,59760,32,62240951,248885,62272267,217569,728632884200,2894513131,729015114390,2512282941,11706.64767316939,11706.898584405157,11629.921976013018,11547.062959337038,-31316.0,1398-12-20
2020-03-11,11142,8,50388,38,66672515,810451,65136078,2346888,744479872318,9039386628,727380503316,26138755630,11166.218528249608,11167.090891103391,11153.526404434077,11137.623793721728,1536437.0,1398-12-21
2020-03-14,2699,0,49,0,2890026,0,2890026,0,30657395808,0,30657395808,0,10608.0,10608.0,,,0.0,1398-12-24
2020-03-15,1234,1,44,0,1912145,166,1912311,0,19630080570,1704156,19631784726,0,10266.0,10266.0,10266.0,,-166.0,1398-12-25
2020-03-16,10382,5,51795,64,53523406,20711774,72582970,1652210,544395893567,208108095950,735895379453,16608610064,10171.174337578592,10138.678252667258,10047.816085189032,10052.360210869076,-19059564.0,1398-12-26
2020-03-17,13734,14,47176,77,67939908,957385,68502894,394399,681914449886,9559300897,687573089854,3900660929,10037.023451459489,10037.13930471317,9984.80328916789,9890.138993760129,-562986.0,1398-12-27
2020-03-18,12785,9,31126,34,62820367,128639,61842091,1106915,634087744281,1293117477,624070502983,11310358775,10093.665073319296,10091.355141646163,10052.297335955658,10217.910837778873,978276.0,1398-12-28
2020-03-24,6250,6,20040,14,37774686,352570,37873194,254062,390123594624,3617761669,391132257784,2609098509,10327.646260884869,10327.416741878174,10261.11600249596,10269.534637214538,-98508.0,1399-01-05
2020-03-25,4018,0,5141,63,22807617,0,12194465,10613152,247237200871,0,132158793735,115078407136,10840.115425956164,10837.604908046396,,10843.0,10613152.0,1399-01-06
2020-03-28,4386,2,5872,6,22889938,32316,12884853,10037401,260510849258,367820712,146632971788,114245698182,11381.020309360383,11380.25957983378,11382.0,11382.0,10005085.0,1399-01-09
2020-03-29,12461,5,19081,10,65473631,664111,65696209,441533,754930139499,7814916820,757767183344,4977872975,11530.292851774177,11534.412637782494,11767.485887148385,11274.067793347269,-222578.0,1399-01-10
2020-03-30,14180,4,23435,21,76504090,41628,76489817,55901,843818909136,456290786,843658906418,616293504,11029.72284404664,11029.689173109147,10961.150811953492,11024.731292821238,14273.0,1399-01-11
2020-04-04,9973,4,32431,25,69476576,483481,69322948,637109,769000827482,5339239839,767295627617,7044439704,11068.490587129683,11068.421781730922,11043.329187703344,11056.883051408786,153628.0,1399-01-16
2020-04-05,12478,7,33209,26,71333112,450514,71293384,490242,754557276600,4748365179,754072980107,5232661672,10577.938567996303,10577.04008140503,10539.88373058329,10673.629905230478,39728.0,1399-01-17
2020-04-06,8008,6,48617,35,68142486,268700,68397617,13569,723251766204,2920637735,726027352673,145051266,10613.81538390014,10614.804791707877,10869.511481205804,10689.90095069644,-255131.0,1399-01-18
2020-04-07,2679,4,31221,17,31257739,397240,31640037,14942,347350044922,4415766887,351599367171,166444638,11112.449461619728,11112.48280686271,11116.118434699429,11139.38147503681,-382298.0,1399-01-19
2020-04-08,7778,7,34717,66,60641216,435802,60869621,207397,677123031260,4866387133,679664430058,2324988335,11166.05299042816,11165.905403912406,11166.50940794214,11210.327704836618,-228405.0,1399-01-20
2020-04-11,6855,5,19308,33,53618915,126756,53734112,11559,601563349217,1415996772,602850532532,128813457,11219.237636886162,11219.140134520136,11171.043358894254,11143.99662600571,-115197.0,1399-01-23
2020-04-12,7459,5,25292,20,80341621,902506,80566144,677983,925109841690,10268870861,927619048022,7759664529,11514.702220036112,11513.757540909492,11378.174617121658,11445.219908168789,-224523.0,1399-01-24
2020-04-13,7120,4,15351,26,60484040,820032,61035038,269034,721289747752,9799899880,727841583293,3248064339,11925.290502287877,11924.979604223396,11950.631048544446,12073.062657507971,-550998.0,1399-01-25
2020-04-14,5267,4,36372,18,51069606,193534,51238379,24761,581499014734,2194556873,583412524088,281047519,11386.401037321491,11386.240850593653,11339.386738247544,11350.410686159688,-168773.0,1399-01-26
2020-04-15,4852,5,35266,20,59434577,211176,58621810,1023943,690955371055,2455262228,681410677773,11999955510,11625.478062290238,11623.84235104648,11626.615846497709,11719.358899860636,812767.0,1399-01-27
2020-04-18,7054,7,12276,8,43890923,1694220,45332679,252464,532489974211,20543723029,549952214293,3081482947,12132.120671306002,12131.47394825265,12125.770578201178,12205.63306847709,-1441756.0,1399-01-30
2020-04-19,9221,6,12673,9,88780441,1628627,90215830,193238,1108279673563,20568984456,1126413227316,2435430703,12483.376530682022,12485.760285262577,12629.6472157222,12603.270076278992,-1435389.0,1399-01-31
2020-04-20,6207,5,12828,14,53378519,163791,53427876,114434,674572678095,2095114489,675214001531,1453791053,12637.530803261889,12637.859710743507,12791.389569634472,12704.18802978136,-49357.0,1399-02-01
2020-04-21,8762,13,13712,11,70589610,970003,70355737,1203876,862863916783,11837345547,860013534411,14687727919,12223.667431835933,12223.786873428671,12203.411275016677,12200.366083384002,233873.0,1399-02-02
2020-04-22,7525,8,13764,11,66933742,231530,66398838,766434,831101831238,2874837647,824396883595,9579785290,12416.78421681549,12415.83299386956,12416.696095538377,12499.165342351722,534904.0,1399-02-03
2020-04-25,2133,1,7929,10,27426888,6000000,32718520,708368,357437856105,78221919951,426424782440,9234993616,13032.388366664129,13033.131768796387,13036.9866585,13037.0,-5291632.0,1399-02-06
2020-04-26,7475,8,12513,7,100310965,2934100,103225419,19646,1345047146082,39792172605,1384574223539,265095148,13408.774864063964,13413.113135815898,13561.968782590911,13493.594014048662,-2914454.0,1399-02-07
2020-04-27,6094,4,9831,11,52375244,611938,51984231,1002951,730197869526,8611573988,724937198087,13872245427,13941.660482307252,13945.328884195673,14072.624984884087,13831.428880374016,391013.0,1399-02-08
2020-04-28,10625,9,8993,8,71265288,380223,71161695,483816,986321995161,5239140393,984840782135,6720353419,13840.146063269962,13839.478980018674,13779.125389574014,13890.308338293897,103593.0,1399-02-09
2020-04-29,9503,17,13678,10,60865476,5208415,65095268,978623,863175337295,72879805783,922150833232,13904309846,14181.690410093894,14166.17308084514,13992.703304748182,14208.0350104177,-4229792.0,1399-02-10
2020-05-02,3337,4,5500,5,21865675,3494085,25357913,1847,324998230955,51815049236,376785806066,27474125,14863.398040764809,14858.707262936032,14829.361402484485,14875.0,-3492238.0,1399-02-13
2020-05-03,1890,2,3040,6,12144941,9500,11947964,206477,189473224541,148209500,186400186364,3221247677,15601.0,15601.0,15601.0,15601.0,196977.0,1399-02-14
2020-05-04,11272,7,11028,11,67638696,3557257,70488550,707403,1044242310107,53740766341,1086928384090,11054692358,15438.534032456806,15419.92825912861,15107.361188972289,15627.149387265816,-2849854.0,1399-02-15
2020-05-05,6099,4,8175,9,55570420,3443231,56436649,2577002,829917048928,50453395371,842247310375,38123133924,14934.511002940051,14923.765413056328,14652.922029047715,14793.598888941491,-866229.0,1399-02-16
2020-05-06,7195,4,11318,6,55608050,4661692,59831133,438609,794927384363,66113200481,854788979487,6251605357,14295.18539785157,14286.692172234145,14182.232648789324,14253.253711164158,-4223083.0,1399-02-17
2020-05-09,3640,3,8446,9,33396898,201000,33588891,9007,499886085295,3005533672,502756520403,135098564,14968.039405785532,14967.94045397331,14952.90384079602,14999.28544465416,-191993.0,1399-02-20
2020-05-10,6994,10,10471,7,50440681,2969133,52225036,1184778,744717457118,43088984030,770064995397,17741445751,14764.22289219291,14745.130963566977,14512.311853325533,14974.48952546384,-1784355.0,1399-02-21
2020-05-11,3403,4,3396,5,23533771,600430,23536102,598099,331576380861,8482125590,331671711944,8386794507,14089.385881293738,14092.040897171502,14126.751811201972,14022.418541077648,-2331.0,1399-02-22
2020-05-12,3323,6,9550,5,31834712,15196164,47023593,7283,427932829449,203415851304,631250461215,98219538,13442.333935642326,13424.122253163428,13386.0,13486.137306055198,-15188881.0,1399-02-23
2020-05-13,6241,4,11842,20,50236070,780570,48729384,2287256,666189801990,10239908227,645175676932,31254033285,13261.184682440326,13239.971942432108,13118.500873720486,13664.422908935425,1506686.0,1399-02-24
2020-05-16,4841,9,10513,9,39584713,2255416,41836441,3688,507622725080,28572193224,536147815543,47102761,12823.706087751603,12815.330432696222,12668.258637874344,12771.898318872018,-2251728.0,1399-02-27
2020-05-17,4801,6,9164,11,36930903,142632,35428962,1644573,482348545500,1827030093,462355271438,21820304155,13060.838114356424,13050.206535489242,12809.398262661956,13268.066637966209,1501941.0,1399-02-28
2020-05-18,2692,1,4310,4,17726840,1500,15684403,2043937,242872790799,20569500,214864852218,28028508081,13700.850845328328,13699.268771530546,13713.0,13713.0,2042437.0,1399-02-29
2020-05-19,5820,2,8033,7,33065897,841110,30109601,3797406,469531777109,12100180710,427042335903,54589621916,14199.880230347297,14182.929089727892,14385.96700788244,14375.503150308396,2956296.0,1399-02-30
2020-05-20,3375,4,9834,6,28273978,6458746,34694865,37859,382245817578,87156048731,468890935492,510930817,13519.350463454415,13514.707017652325,13494.267885902307,13495.623682611797,-6420887.0,1399-02-31
2020-05-23,3373,3,8307,6,25460758,4977082,29855177,582663,328578461388,63980590854,384973151003,7585901239,12905.289834183255,12894.68660671481,12855.040534594367,13019.363232262904,-4394419.0,1399-03-03
2020-05-26,1870,2,4876,3,14415413,1600000,15175943,839470,179487080060,19636600000,188796634842,10327045218,12451.053609078006,12440.520819167548,12272.875,12301.863339964502,-760530.0,1399-03-06
2020-05-27,2764,1,7603,7,17709229,2000,17413175,298054,220962886916,25120500,217223916230,3764091186,12477.273116520206,12474.687484045844,12560.25,12628.890019929277,296054.0,1399-03-07
2020-05-30,1517,0,3782,6,13474480,0,12424466,1050014,175706311948,0,162141853164,13564458784,13039.93266886737,13050.206999962817,,12918.359930439025,1050014.0,1399-03-10
2020-05-31,2774,4,4356,7,21059700,1426411,21711263,774848,268271446412,18062104987,276273218200,10060333199,12738.616714008273,12724.88008643256,12662.623175928957,12983.62156061576,-651563.0,1399-03-11
2020-06-01,2210,6,6487,9,19960858,6241343,26096215,105986,261208329772,81114845180,340909677218,1413497734,13086.027152339844,13063.567924237288,12996.376770191928,13336.645726794104,-6135357.0,1399-03-12
2020-06-02,888,0,4044,4,10637019,0,10432280,204739,145461854698,0,142653645096,2808209602,13675.058275067478,13674.25386358495,,13716.046293085345,204739.0,1399-03-13
2020-06-06,3382,2,5140,2,23573047,402000,21684677,2290370,337074572466,5771899598,310078609241,32767862823,14299.151588931209,14299.434076929068,14357.959199004976,14306.798824207444,1888370.0,1399-03-17
2020-06-07,4523,4,5557,8,33289747,3925198,31172412,6042533,495507662770,58643790402,463599972097,90551481075,14884.692958765952,14872.123854163096,14940.339417782236,14985.682506822885,2117335.0,1399-03-18
2020-06-08,3327,41,6039,6,23025171,19076177,41270608,830740,332704977572,279575564843,600128516720,12152025695,14449.620268705065,14541.305442362274,14655.74390733531,14627.953023810098,-18245437.0,1399-03-19
2020-06-09,1907,14,4749,2,15478148,7893391,23301169,70370,222578353914,113723965230,335302877984,999441160,14380.167053190084,14389.959490186951,14407.491688933183,14202.659656103451,-7823021.0,1399-03-20
2020-06-10,399,9,5556,7,7432044,14532286,20683073,1281257,111692907460,219163308338,311498985042,19357230756,15028.558423496954,15060.575623457888,15081.130961639485,15108.0,-13251029.0,1399-03-21
2020-06-13,1447,6,4724,6,12932961,5931552,18710140,154373,204133391535,93758300655,295450128822,2441563368,15783.964053939388,15790.909572135752,15806.70634852396,15816.0,-5777179.0,1399-03-24
2020-06-14,4723,13,6684,8,33006407,7105897,39019066,1093238,526168989718,112366502688,621138769771,17396722635,15941.419789133668,15918.852844171104,15813.134174052902,15913.02409447897,-6012659.0,1399-03-25
2020-06-15,3536,8,6343,7,25632326,8127059,33635089,124296,406350293319,127968843697,532356623866,1962513150,15853.040154022698,15827.41832096832,15746.021247907762,15789.02901139216,-8002763.0,1399-03-26
2020-06-16,3263,18,7505,10,26774125,9268150,32959949,3082326,433179598718,150987649882,533727850332,50439398268,16179.038482788888,16193.224398860568,16291.023546446702,16364.069948473978,-6185824.0,1399-03-27
2020-06-20,1447,4,5010,7,17478530,2015000,18053670,1439860,296429416559,34290980033,306353066685,24367329907,16959.63084761705,16969.01885793858,17017.856095781637,16923.40221063159,-575140.0,1399-03-31
2020-06-21,1601,22,4298,2,18739135,6075887,23615022,1200000,333365773256,108215167218,420223284439,21357656035,17789.81651266187,17794.74456720811,17810.59575630686,17798.046695833335,-4875887.0,1399-04-01
2020-06-22,4125,14,7402,12,26061660,15730961,40545111,1247510,473956727214,288055270273,739037103946,22974893541,18185.97615094357,18227.52696239998,18311.35874489804,18416.600701397183,-14483451.0,1399-04-02
2020-06-23,50,1,836,1,299665,4083144,4382440,369,5736786760,78167708736,83897431360,7064136,19144.0,19144.0,19144.0,19144.0,-4082775.0,1399-04-03
2020-06-27,633,27,2510,1,7463531,4807772,12270933,370,149209411648,96426039891,245628014169,7437370,19991.79900880696,20017.06098216004,20056.283844367,20101.0,-4807402.0,1399-04-07
2020-06-28,4434,66,7440,10,35430466,22684019,57298619,815866,693244012083,444428651990,1121584866293,16087797780,19566.32498378655,19574.378682547307,19592.14775785543,19718.67657188803,-21868153.0,1399-04-08
2020-07-01,2034,7,4001,5,18145989,6289018,23898593,536414,379219691736,132510408596,500308063621,11422036711,20898.26527151537,20934.624210764207,21070.127100288155,21293.32327456032,-5752604.0,1399-04-11
2020-07-04,4681,35,10345,34,34556506,43969861,70110887,8415480,743709385026,958198669846,1518588940239,183319114633,21521.54459788267,21659.81640253674,21792.169637425053,21783.56013358715,-35554381.0,1399-04-14
2020-07-05,2480,23,4991,7,15893512,6588369,20373511,2108370,354745659870,146338096556,453566652436,47517103990,22320.155537051847,22262.566939787648,22211.581736845645,22537.36487902977,-4479999.0,1399-04-15
2020-07-06,2311,11,3894,8,15919076,9300000,19899687,5319389,372376544802,217638311085,465530517839,124484338048,23391.844149874025,23393.86131244175,23401.96893387097,23401.99937398825,-3980611.0,1399-04-16
2020-07-07,5274,28,5695,11,27101698,14485308,39875664,1711342,646485663942,345205750922,951299370796,40392044068,23854.064935045768,23856.64025045451,23831.440168341604,23602.55522741801,-12773966.0,1399-04-17
2020-07-08,3772,20,4395,3,19267095,8939680,27076405,1130370,440483195197,203982028546,618764699758,25700523985,22861.94131481679,22852.54263843372,22817.59845385965,22736.381879384626,-7809310.0,1399-04-18
2020-07-11,3071,12,5467,5,31450518,8021766,37334425,2137859,684950802920,174455678312,813002113778,46404367454,21778.68113078456,21776.20557375666,21747.78949074306,21706.0,-5883907.0,1399-04-21
2020-07-12,2560,21,4946,9,19953539,14203700,33275369,881870,451142314829,324438618543,755531888518,20049044854,22609.63906347641,22705.439826016656,22841.83829164232,22734.69429054169,-13321830.0,1399-04-22
2020-07-13,3059,22,4928,26,22307745,17459505,31955933,7811317,484264405615,379488946861,692152505304,171600847172,21708.35311301075,21659.5930810094,21735.37834325773,21968.234956025983,-9648188.0,1399-04-23
2020-07-14,3231,38,6940,36,25933526,24311153,42857298,7387381,546508665248,512389102636,905318157298,153579610586,21073.4423559681,21124.01386802313,21076.297888298428,20789.45306679052,-16923772.0,1399-04-24
2020-07-15,3247,13,6687,8,20566842,7613317,27364534,815625,425336623543,157701448537,565861365977,17176706103,20680.696800364392,20678.640680561195,20713.894947103872,21059.56303816092,-6797692.0,1399-04-25
2020-07-18,919,1,4213,6,13035950,1400000,14158843,277107,282415028710,30374451741,306770207983,6019272468,21664.32279273854,21666.333045927557,21696.036957857144,21721.834771405996,-1122893.0,1399-04-28
