date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,2,2,2,2144,3020,2154,3010,1762368,2476270,1770568,2468070,822.0,821.9907149489322,819.9569536423841,819.9568106312292,-10.0,1387-09-06
2008-11-29,2,1,1,2,2167,10,1762,415,1780607,8070,1447697,340980,821.6922011998154,821.6214528944381,807.0,821.6385542168674,405.0,1387-09-09
2008-11-30,2,2,2,3,11000,3450,2440,12010,9111000,2849530,2015440,9945090,828.2727272727273,826.0,825.9507246376811,828.067443796836,8560.0,1387-09-10
2008-12-01,2,2,3,2,1326,12478,7788,6016,1098402,10242827,6403704,4937525,828.3574660633484,822.2526964560863,820.8708927712775,820.7322140957447,-6462.0,1387-09-11
2008-12-02,1,2,5,2,1098,2560,2648,1010,908046,2114400,2187346,835100,827.0,826.0370090634441,825.9375,826.8316831683169,-1550.0,1387-09-12
2008-12-03,0,2,1,3,0,35162,29000,6162,0,28938240,23867000,5071240,,823.0,822.9975541778056,822.9860434923726,-29000.0,1387-09-13
2008-12-13,0,2,2,0,0,726,726,0,0,574376,574376,0,,791.1515151515151,791.1515151515151,,-726.0,1387-09-23
2008-12-22,1,0,2,0,7308,0,7308,0,5758704,0,5758704,0,788.0,788.0,,,0.0,1387-10-02
2008-12-23,0,1,2,0,0,2749,2749,0,0,2251431,2251431,0,,819.0,819.0,,-2749.0,1387-10-03
2008-12-24,1,0,0,1,3639,0,0,3639,2983980,0,0,2983980,820.0,,,820.0,3639.0,1387-10-04
2008-12-28,1,2,1,2,7851,40000,21490,26361,6437820,32860000,17621800,21676020,820.0,820.0,821.5,822.2760896779333,-13639.0,1387-10-08
2008-12-29,2,1,5,1,2574,16000,12574,6000,2038143,13408000,10418143,5028000,791.8193473193473,828.5464450453317,838.0,838.0,-10000.0,1387-10-09
2008-12-30,0,2,3,0,0,45076,45076,0,0,37786992,37786992,0,,838.2951459756855,838.2951459756855,,-45076.0,1387-10-10
