date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,9,2,17,4,83379,300010,160062,223327,55614705,207006850,108971915,153649640,667.0109380059728,680.8106546213343,689.9998333388887,688.0029732186435,-76683.0,1387-09-09
2008-11-30,3,2,5,1,26610,27148,53748,10,17695650,18080748,35769558,6840,665.0,665.5049118106721,666.0066303226757,684.0,-27138.0,1387-09-10
2008-12-01,4,2,8,2,12357,155679,115664,52372,8211500,103409556,76801696,34819360,664.522133203852,664.0069165859732,664.248588441601,664.8468647368823,-103307.0,1387-09-11
2008-12-02,2,3,3,2,2175,139342,37950,103567,1472475,94493975,25793436,70173014,677.0,679.6689328063242,678.1442422241679,677.5615205615688,-35775.0,1387-09-12
2008-12-03,2,2,3,2,3945,340196,122812,221329,2612395,225209902,81302349,146519948,662.2040557667934,662.006554734065,662.0004409222919,662.000677724112,-118867.0,1387-09-13
2008-12-06,0,1,1,0,0,490,490,0,0,321930,321930,0,,657.0,657.0,,-490.0,1387-09-16
2008-12-08,0,1,2,0,0,23171,23171,0,0,15223347,15223347,0,,657.0,657.0,,-23171.0,1387-09-18
2008-12-10,1,1,8,3,15000,679466,311241,383225,9900000,446409162,204528939,251780223,660.0,657.1400907978062,657.0,657.0036479874747,-296241.0,1387-09-20
2008-12-13,0,1,2,0,0,1819,1819,0,0,1176893,1176893,0,,647.0,647.0,,-1819.0,1387-09-23
2008-12-14,0,1,3,0,0,3412,3412,0,0,2207564,2207564,0,,647.0,647.0,,-3412.0,1387-09-24
2008-12-15,1,1,4,0,10000,45335,55335,0,6470000,29331745,35801745,0,647.0,647.0,647.0,,-45335.0,1387-09-25
2008-12-16,1,1,1,0,300,3000,3300,0,194100,1941000,2135100,0,647.0,647.0,647.0,,-3000.0,1387-09-26
2008-12-22,0,1,11,1,0,500000,99232,400768,0,323500000,64203104,259296896,,647.0,647.0,647.0,-99232.0,1387-10-02
2008-12-23,0,1,1,1,0,229000,20000,209000,0,146560000,12800000,133760000,,640.0,640.0,640.0,-20000.0,1387-10-03
2008-12-24,2,1,3,1,6753,293924,250000,50677,4301661,187229588,159250000,32281249,637.0,637.0,637.0,637.0,-243247.0,1387-10-04
2008-12-27,1,1,4,1,5000,300000,274063,30937,3165000,189900000,173481879,19583121,633.0,633.0,633.0,633.0,-269063.0,1387-10-07
2008-12-28,2,1,5,1,115000,400000,65911,449089,72335000,251600000,41458019,282476981,629.0,629.0,629.0,629.0,49089.0,1387-10-08
2008-12-29,6,2,11,1,83193,248326,118819,212700,51758285,154458772,73917657,132299400,622.1471157429111,622.1030054115924,622.0,622.0,-35626.0,1387-10-09
2008-12-30,4,1,9,2,69954,220000,212342,77612,43241572,135960000,131237356,47964216,618.1429510821397,618.047093839184,618.0,618.0,-142388.0,1387-10-10
2008-12-31,2,1,3,0,14263,10000,24263,0,8771745,6150000,14921745,0,615.0,615.0,615.0,,-10000.0,1387-10-11
2009-01-04,2,1,3,0,16833,10000,26833,0,10352295,6150000,16502295,0,615.0,615.0,615.0,,-10000.0,1387-10-15
2009-01-24,0,1,5,0,0,51657,51657,0,0,33174480,33174480,0,,642.2068645101342,642.2068645101342,,-51657.0,1387-11-05
2009-01-25,2,1,12,2,9984,500000,74173,435811,6220032,311500000,46209779,271510253,623.0,623.0,623.0,623.0,-64189.0,1387-11-06
2009-01-26,4,1,3,1,18987,1000000,44813,974174,11695992,616000000,27604808,600091184,616.0,616.0,616.0,616.0,-25826.0,1387-11-07
2009-01-27,0,1,1,1,0,50000,8784,41216,0,30200000,5305536,24894464,,604.0,604.0,604.0,-8784.0,1387-11-08
2009-01-28,3,2,1,1,12000,1550000,120000,1442000,7236000,934650000,72360000,869526000,603.0,603.0,603.0,603.0,-108000.0,1387-11-09
2009-01-31,10,1,9,2,253482,344524,122196,475810,148627302,201546540,71824992,278348850,586.3426278789026,587.7851320828833,585.0,585.0,131286.0,1387-11-12
2009-02-01,7,2,6,1,20730,3519632,23540,3516822,12363493,2076596930,14035443,2074924980,596.4058369512784,596.2380203908241,590.0039918946071,590.0,-2810.0,1387-11-13
2009-02-02,2,0,1,0,6603,0,6603,0,4008021,0,4008021,0,607.0,607.0,,,0.0,1387-11-14
2009-02-03,4,0,7,0,9679,0,9679,0,5721529,0,5721529,0,591.1281124083066,591.1281124083066,,,0.0,1387-11-15
2009-02-04,15,0,9,1,181869,0,181769,100,105718345,0,105661045,57300,581.288427384546,581.2929872530519,,573.0,100.0,1387-11-16
2009-02-07,4,1,6,0,68571,20000,88571,0,39226312,11440000,50666312,0,572.0539586705751,572.0417743956825,572.0,,-20000.0,1387-11-19
2009-02-08,3,0,3,0,81700,0,81700,0,46682700,0,46682700,0,571.391676866585,571.391676866585,,,0.0,1387-11-20
2009-02-09,5,1,3,0,39236,8608,47844,0,22375520,4906560,27282080,0,570.2803547762259,570.2299138867987,570.0,,-8608.0,1387-11-21
2009-02-11,6,0,4,0,45000,0,45000,0,25605166,0,25605166,0,569.0036888888889,569.0036888888889,,,0.0,1387-11-23
2009-02-14,3,1,3,1,14316,31834,36150,10000,8133208,18455380,20906868,5681720,568.120145291981,578.3365975103734,579.738015957781,568.172,-21834.0,1387-11-26
2009-02-15,3,0,7,0,11663,0,11663,0,6627784,0,6627784,0,568.2743719454686,568.2743719454686,,,0.0,1387-11-27
2009-02-17,2,1,2,0,9050,100,9150,0,5140400,58800,5199200,0,568.0,568.2185792349727,588.0,,-100.0,1387-11-29
2009-02-18,1,0,1,0,4000,0,4000,0,2272000,0,2272000,0,568.0,568.0,,,0.0,1387-11-30
2009-02-21,3,0,1,0,42383,0,42383,0,24073544,0,24073544,0,568.0,568.0,,,0.0,1387-12-03
2009-02-22,2,1,9,0,1003,168497,169500,0,569704,95706296,96276000,0,568.0,568.0,568.0,,-168497.0,1387-12-04
2009-02-23,5,0,3,0,50271,0,50271,0,28453386,0,28453386,0,566.0,566.0,,,0.0,1387-12-05
2009-02-25,0,1,2,0,0,37000,37000,0,0,20905000,20905000,0,,565.0,565.0,,-37000.0,1387-12-07
2009-02-28,5,0,3,0,17867,0,17867,0,10110100,0,10110100,0,565.8532490065484,565.8532490065484,,,0.0,1387-12-10
2009-03-01,6,1,6,2,28923,215000,232212,11711,17009909,127925000,137966864,6968045,588.1101199737234,594.1418359085663,595.0,595.0,-203289.0,1387-12-11
2009-03-02,1,0,4,1,31764,0,28475,3289,19041204,0,17084249,1956955,599.4586324140537,599.9736259877085,,595.0,3289.0,1387-12-12
2009-03-03,18,0,6,0,64459,0,64459,0,36666229,0,36666229,0,568.8302486852108,568.8302486852108,,,0.0,1387-12-13
2009-03-04,7,0,8,0,106461,0,106461,0,61659423,0,61659423,0,579.1738101276524,579.1738101276524,,,0.0,1387-12-14
2009-03-14,4,3,12,1,120000,410705,171712,358993,50320000,207073120,94896640,162496480,419.3333333333333,552.6500186358554,504.1894303697301,452.6452604925444,-51712.0,1387-12-24
2009-03-16,2,0,3,0,26890,0,26890,0,12901650,0,12901650,0,479.7936035701004,479.7936035701004,,,0.0,1387-12-26
2009-03-17,4,0,3,0,27220,0,27220,0,12825620,0,12825620,0,471.1836884643644,471.1836884643644,,,0.0,1387-12-27
2009-03-18,2,1,9,0,13135,47914,61049,0,6186585,22567494,28754079,0,471.0,471.0,471.0,,-47914.0,1387-12-28
2009-03-25,1,1,1,0,10000,6393,16393,0,4700000,3004710,7704710,0,470.0,470.0,470.0,,-6393.0,1388-01-05
2009-03-29,3,0,2,0,20000,0,20000,0,9405000,0,9405000,0,470.25,470.25,,,0.0,1388-01-09
2009-03-30,1,0,1,0,300,0,300,0,141000,0,141000,0,470.0,470.0,,,0.0,1388-01-10
2009-04-04,3,1,2,0,35000,10000,45000,0,16540000,4730000,21270000,0,472.57142857142856,472.6666666666667,473.0,,-10000.0,1388-01-15
2009-04-05,6,0,2,0,22411,0,22411,0,10754869,0,10754869,0,479.89241890143234,479.89241890143234,,,0.0,1388-01-16
2009-04-06,1,1,4,0,12902,12519,25421,0,6423696,5984082,12407778,0,497.8837389552007,488.0916565044648,478.0,,-12519.0,1388-01-17
2009-04-07,2,0,4,0,23613,0,23613,0,11759274,0,11759274,0,498.0,498.0,,,0.0,1388-01-18
2009-04-08,2,0,1,0,10000,0,10000,0,4980000,0,4980000,0,498.0,498.0,,,0.0,1388-01-19
2009-04-11,2,0,3,0,8149,0,8149,0,4058202,0,4058202,0,498.0,498.0,,,0.0,1388-01-22
2009-04-13,1,0,1,1,1490,0,1000,490,742020,0,498000,244020,498.0,498.0,,498.0,490.0,1388-01-24
2009-04-14,1,0,1,0,633,0,633,0,315234,0,315234,0,498.0,498.0,,,0.0,1388-01-25
2009-04-15,13,4,3,1,404714,7748924,34558,8119080,201547572,3858964152,17209884,4043301840,498.0,498.0,498.0,498.0,370156.0,1388-01-26
2009-04-18,0,1,2,0,0,1681,1681,0,0,860672,860672,0,,512.0,512.0,,-1681.0,1388-01-29
2009-04-20,0,1,2,0,0,18896,18896,0,0,9674752,9674752,0,,512.0,512.0,,-18896.0,1388-01-31
2009-04-22,0,1,2,0,0,1270,1270,0,0,650240,650240,0,,512.0,512.0,,-1270.0,1388-02-02
2009-04-25,0,1,1,0,0,8235,8235,0,0,4216320,4216320,0,,512.0,512.0,,-8235.0,1388-02-05
2009-04-26,0,1,1,0,0,316,316,0,0,161792,161792,0,,512.0,512.0,,-316.0,1388-02-06
2009-04-27,0,1,2,0,0,2994,2994,0,0,1532928,1532928,0,,512.0,512.0,,-2994.0,1388-02-07
2009-04-28,1,1,2,0,8392,16608,25000,0,4296704,8503296,12800000,0,512.0,512.0,512.0,,-16608.0,1388-02-08
2009-04-29,1,0,2,0,6910,0,6910,0,3537920,0,3537920,0,512.0,512.0,,,0.0,1388-02-09
2009-05-02,2,0,2,0,5080,0,5080,0,2600960,0,2600960,0,512.0,512.0,,,0.0,1388-02-12
2009-05-04,6,0,2,0,189286,0,189286,0,99753722,0,99753722,0,527.0,527.0,,,0.0,1388-02-14
2009-05-05,1,0,1,0,5000,0,5000,0,2710000,0,2710000,0,542.0,542.0,,,0.0,1388-02-15
2009-05-06,1,0,0,1,802,0,0,802,434684,0,0,434684,542.0,,,542.0,802.0,1388-02-16
2009-05-09,3,0,4,0,41609,0,41609,0,23217822,0,23217822,0,558.0,558.0,,,0.0,1388-02-19
2009-05-10,1,1,3,0,561,9999,10560,0,322014,5739426,6061440,0,574.0,574.0,574.0,,-9999.0,1388-02-20
2009-05-11,1,0,1,0,2000,0,2000,0,1182000,0,1182000,0,591.0,591.0,,,0.0,1388-02-21
2009-05-12,1,0,4,0,19607,0,19607,0,11921056,0,11921056,0,608.0,608.0,,,0.0,1388-02-22
2009-05-13,2,1,4,0,81375,80000,161375,0,50940750,50080000,101020750,0,626.0,626.0,626.0,,-80000.0,1388-02-23
2009-05-16,1,0,0,1,1000,0,0,1000,628000,0,0,628000,628.0,,,628.0,1000.0,1388-02-26
2009-05-17,0,1,3,0,0,14948,14948,0,0,9656408,9656408,0,,646.0,646.0,,-14948.0,1388-02-27
2009-05-18,9,2,1,1,131599,110000,41599,200000,87513335,73150000,27663335,133000000,665.0,665.0,665.0,665.0,90000.0,1388-02-28
2009-05-19,3,0,1,1,87000,0,7000,80000,59508000,0,4788000,54720000,684.0,684.0,,684.0,80000.0,1388-02-29
2009-05-20,6,1,1,1,71997,110000,854,181143,50685888,77440000,601216,127524672,704.0,704.0,704.0,704.0,71143.0,1388-02-30
2009-05-23,3,0,1,1,61000,0,21000,40000,44225000,0,15225000,29000000,725.0,725.0,,725.0,40000.0,1388-03-02
2009-05-24,5,1,4,0,44000,4903,48903,0,31944000,3559578,35503578,0,726.0,726.0,726.0,,-4903.0,1388-03-03
2009-05-25,14,2,5,1,222776,75762,15735,282803,161958152,55078974,11439345,205597781,727.0,727.0,727.0,727.0,207041.0,1388-03-04
