date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-08-16,4417,89,130,4,203393380,53734700,11828080,245300000,436516661146,116298477890,25877047876,526938091160,2146.1694630670872,2187.764022225078,2164.3086848907687,2148.1373467590706,191565300.0,1390-05-25
2011-08-17,957,23,328,19,189794064,45657952,35017953,200434063,424379527104,102091180672,78300142908,448170564868,2236.0,2236.0,2236.0,2236.0,154776111.0,1390-05-26
2011-08-20,1558,22,1326,32,72367911,15763809,57354809,30776911,164835439744,36151405515,131249372501,69737472758,2277.742129989077,2288.3760714990785,2293.3166416187864,2265.9022784320364,15013102.0,1390-05-29
2011-08-21,383,11,951,22,70895840,14371000,42457224,42809616,161739401353,32779434064,96855528667,97663306750,2281.36659856206,2281.2496800780004,2280.9431538515064,2281.340406090071,28438616.0,1390-05-30
2011-08-23,335,13,367,11,15170321,3201190,14780628,3590883,34754088429,7334465396,33843690054,8244863771,2290.9263705758103,2289.7328891573484,2291.168407998276,2296.0546949037325,389693.0,1390-06-01
2011-08-24,131,2,447,14,20037365,70035172,17138437,72934100,45963159434,160660699385,39310304955,167313553864,2293.8724445055527,2293.692531880241,2294.000211565126,2294.0374099906626,2898928.0,1390-06-02
2011-08-27,108,3,502,8,20745082,305045,20115127,935000,47614218425,700978320,46168489338,2146707407,2295.20512018222,2295.212420881061,2297.9505318887377,2295.943750802139,629955.0,1390-06-05
2011-08-28,99,1,541,10,31825406,138000,24057546,7905860,73040536819,316848000,55212743450,18144641369,2295.038649907561,2295.028073520051,2296.0,2295.0876146301603,7767860.0,1390-06-06
2011-08-29,75,1,383,6,14653211,500000,14093211,1060000,33658838730,1149508266,32373466996,2434880000,2297.0281892480766,2297.0965946653323,2299.016532,2297.056603773585,560000.0,1390-06-07
2011-08-30,83,1,237,6,64258341,200000,31633341,32825000,147608759332,459600000,72670311516,75398047816,2297.1143828938875,2297.269564918862,2298.0,2296.9702304950497,32625000.0,1390-06-08
2011-09-03,61,3,201,9,49425443,6019028,44240316,11204155,113530619335,13825727316,101620402616,25735944035,2297.0076228755297,2297.0089683807864,2297.0033227956405,2297.0,5185127.0,1390-06-12
2011-09-04,117,7,210,6,45523166,3723527,33851931,15394762,104556192081,8544710996,77749874073,35351029004,2296.76890401252,2296.763338936263,2294.7895895477595,2296.3024049348733,11671235.0,1390-06-13
2011-09-05,114,5,339,10,37326030,3450510,26953018,13823522,85758682400,7978433287,61972641423,31764474264,2297.5570238785103,2299.2839400396647,2312.2475480436224,2297.856817097698,10373012.0,1390-06-14
2011-09-06,395,16,237,9,10727494,3873083,10245577,4355000,25463948180,9207329093,24298511991,10372765282,2373.708918410954,2371.609914307413,2377.260981238977,2381.806034902411,481917.0,1390-06-15
2011-09-07,359,20,157,10,53465942,8127500,10707042,50886400,123506321255,18785461400,24978397296,117313385359,2309.9999108778443,2332.894304141144,2311.345604429406,2305.397618204471,42758900.0,1390-06-16
2011-09-10,289,9,113,3,80535770,3662972,3260942,80937800,185454329999,8418081890,7491872598,186380539291,2302.757271694304,2297.456562551557,2298.1562212323765,2302.762606483003,77274828.0,1390-06-19
2011-09-11,250,18,177,3,4811120,13434810,9985715,8260215,10910508441,30387381669,22625391197,18672498913,2267.768927193668,2265.775780402305,2261.8393314829164,2260.534249169059,-5174595.0,1390-06-20
2011-09-12,172,18,143,5,5635999,21514239,7702570,19447668,12753241913,48627692609,17427497913,43953436609,2262.8183420543546,2262.556252393681,2260.256224215042,2260.0877703691776,-2066571.0,1390-06-21
2011-09-13,188,18,156,2,7137833,43591014,8078847,42650000,16046847635,97833066806,18246915669,95632998772,2248.139965588996,2258.6039405127985,2244.3402396191104,2242.274297116061,-941014.0,1390-06-22
2011-09-14,90,2,127,2,1255342,7558061,8082196,731207,2839265580,17083102451,18269697797,1652670234,2261.746663459041,2260.486852459406,2260.249348477076,2260.19476564092,-6826854.0,1390-06-23
2011-09-17,63,3,179,4,2897121,5460089,7442210,915000,6557170935,12344506390,16825277325,2076400000,2263.3403765324265,2260.7904540452364,2260.861753352372,2269.289617486339,-4545089.0,1390-06-26
2011-09-18,74,3,117,6,2959404,7545728,4668160,5836972,6665539241,17045252433,10519907114,13190884560,2252.3248738597367,2253.5446758465864,2258.92749288074,2259.8848444022005,-1708756.0,1390-06-27
2011-09-19,69,10,222,9,2584069,17356935,12098681,7842323,5838645363,39238888481,27316828705,17760705139,2259.4773448387023,2257.8352718779843,2260.70377523451,2264.725023312608,-9514612.0,1390-06-28
2011-09-20,114,6,100,5,4600225,18156836,14657061,8100000,10335491956,40891473389,32981498525,18245466820,2246.7361826867163,2250.212271409664,2252.125501877089,2252.5267679012345,-10056836.0,1390-06-29
2011-09-21,109,10,126,6,4717941,24141980,14932308,13927613,10607788779,54406619094,33628383435,31386024438,2248.3936910190278,2252.0553041766884,2253.6104782623465,2253.510665323627,-10214367.0,1390-06-30
2011-09-25,115,3,88,1,3633052,2010000,5453052,190000,8130737689,4501523627,12206767116,425494200,2237.991002881324,2238.5202114338904,2239.5639935323384,2239.443157894737,-1820000.0,1390-07-03
2011-09-26,247,10,108,1,3990457,1212325,5187182,15600,8810449479,2671387550,11447422929,34414100,2207.879819028247,2206.867414522953,2203.52426123358,2206.0320512820517,-1196725.0,1390-07-04
2011-09-27,258,4,108,1,3911435,1654145,5549955,15625,8737286310,3692682578,12394968888,35000000,2233.7802647877315,2233.345835777047,2232.381428472111,2240.0,-1638520.0,1390-07-05
