date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-01-15,213,5,0,1,44425000,30575000,0,75000000,45757750000,31492250000,0,77250000000,1030.0,,1030.0,1030.0,44425000.0,1396-10-25
2018-03-17,9,1,4,0,488000,5000,493000,0,473360000,4850000,478210000,0,970.0,970.0,970.0,,-5000.0,1396-12-26
2018-03-19,14,1,14,0,855000,75000,930000,0,763550000,69750000,833300000,0,893.0409356725146,896.0215053763441,930.0,,-75000.0,1396-12-28
2018-03-26,7,0,9,0,742000,0,742000,0,661598000,0,661598000,0,891.6415094339623,891.6415094339623,,,0.0,1397-01-06
2018-03-28,6,0,2,0,110696,0,110696,0,96036584,0,96036584,0,867.570499385705,867.570499385705,,,0.0,1397-01-08
2018-04-04,10,0,8,0,604997,0,604997,0,529977372,0,529977372,0,876.0,876.0,,,0.0,1397-01-15
2018-04-07,10,0,7,0,423655,0,423655,0,349732350,0,349732350,0,825.5121502165678,825.5121502165678,,,0.0,1397-01-18
2018-04-09,7,0,6,0,920000,0,920000,0,690000000,0,690000000,0,750.0,750.0,,,0.0,1397-01-20
2018-04-11,8,0,10,0,521000,0,521000,0,375390000,0,375390000,0,720.5182341650672,720.5182341650672,,,0.0,1397-01-22
2018-04-16,15,1,16,0,767400,670000,1437400,0,537180000,470600000,1007780000,0,700.0,701.1131209127592,702.3880597014926,,-670000.0,1397-01-27
2018-04-18,15,2,10,1,3251000,2000,942000,2311000,2357251000,1460000,671681000,1687030000,725.0848969547832,713.0371549893842,730.0,730.0,2309000.0,1397-01-29
2018-04-23,10,0,0,1,5700000,0,0,5700000,4047000000,0,0,4047000000,710.0,,,710.0,5700000.0,1397-02-03
2018-09-08,35,0,21,0,2981345,0,2981345,0,3130412250,0,3130412250,0,1050.0,1050.0,,,0.0,1397-06-17
2018-09-10,48,0,54,2,5419048,0,3969048,1450000,6650763470,0,4895263470,1755500000,1227.2936999266292,1233.3596041166547,,1210.6896551724135,1450000.0,1397-06-19
2018-09-12,127,1,67,0,9619394,10000,9629394,0,15125813999,15610000,15141423999,0,1572.428990745155,1572.417121887421,1561.0,,-10000.0,1397-06-21
2018-09-15,142,0,46,1,5616073,0,5116073,500000,11217387250,0,10217387250,1000000000,1997.372051609728,1997.1152190361631,,2000.0,500000.0,1397-06-24
2018-09-17,21,0,22,1,1048205,0,1038205,10000,1862731620,0,1845031620,17700000,1777.0680544359166,1777.1361340005103,,1770.0,10000.0,1397-06-26
2018-09-22,16,0,19,0,1028726,0,1028726,0,1772532698,0,1772532698,0,1723.0367444781216,1723.0367444781216,,,0.0,1397-06-31
2018-09-24,21,0,32,1,14787483,0,1686590,13100893,22989102050,0,2617213435,20371888615,1554.632526035702,1551.7781055265357,,1555.0,13100893.0,1397-07-02
2018-09-26,15,0,35,0,1349516,0,1349516,0,2664047484,0,2664047484,0,1974.0762495591007,1974.0762495591007,,,0.0,1397-07-04
2018-09-29,29,0,22,0,1357353,0,1357353,0,2900740220,0,2900740220,0,2137.0566241795614,2137.0566241795614,,,0.0,1397-07-07
2018-10-01,53,0,21,0,1542416,0,1542416,0,3599484164,0,3599484164,0,2333.666250868767,2333.666250868767,,,0.0,1397-07-09
2018-10-03,26,0,18,0,1490493,0,1490493,0,2672941184,0,2672941184,0,1793.3268951950795,1793.3268951950795,,,0.0,1397-07-11
2018-10-06,22,0,21,0,848430,0,848430,0,1570194000,0,1570194000,0,1850.7054206004032,1850.7054206004032,,,0.0,1397-07-14
2018-10-08,16,0,14,0,726498,0,726498,0,1163123298,0,1163123298,0,1601.0,1601.0,,,0.0,1397-07-16
2018-10-10,21,0,15,0,1101973,0,1101973,0,1571262200,0,1571262200,0,1425.8627026252004,1425.8627026252004,,,0.0,1397-07-18
2018-10-13,9,0,5,0,229233,0,229233,0,314286258,0,314286258,0,1371.0340919501118,1371.0340919501118,,,0.0,1397-07-21
2018-10-15,33,0,9,2,27611002,0,661002,26950000,37934986500,0,986536500,36948450000,1373.9083608773053,1492.4864070002814,,1371.0,26950000.0,1397-07-23
2018-10-17,65,0,37,0,5319919,0,5319919,0,8438454211,0,8438454211,0,1586.1997543571622,1586.1997543571622,,,0.0,1397-07-25
2018-10-20,92,0,47,0,3512203,0,3512203,0,6242765400,0,6242765400,0,1777.4500505807894,1777.4500505807894,,,0.0,1397-07-28
2018-10-22,9,0,4,0,36088,0,36088,0,60739100,0,60739100,0,1683.0830192861893,1683.0830192861893,,,0.0,1397-07-30
2018-10-24,9,0,11,0,326164,0,326164,0,507955866,0,507955866,0,1557.3633693479353,1557.3633693479353,,,0.0,1397-08-02
2018-10-27,25,0,24,0,923659,0,923659,0,1329305550,0,1329305550,0,1439.1734936811097,1439.1734936811097,,,0.0,1397-08-05
2018-10-29,12,0,9,0,515100,0,515100,0,754941300,0,754941300,0,1465.620850320326,1465.620850320326,,,0.0,1397-08-07
2018-10-31,17,0,19,0,561998,0,561998,0,854292904,0,854292904,0,1520.0995448382378,1520.0995448382378,,,0.0,1397-08-09
2018-11-03,7,0,7,0,178618,0,178618,0,268993560,0,268993560,0,1505.9711787165909,1505.9711787165909,,,0.0,1397-08-12
2018-11-05,21,0,18,0,613142,0,613142,0,860868700,0,860868700,0,1404.0282675138874,1404.0282675138874,,,0.0,1397-08-14
2018-11-10,5,0,5,0,201090,0,201090,0,271471500,0,271471500,0,1350.0,1350.0,,,0.0,1397-08-19
2018-11-12,14,0,6,0,404420,0,404420,0,526959260,0,526959260,0,1303.0,1303.0,,,0.0,1397-08-21
2018-11-14,16,1,15,0,341581,54735,396316,0,444055300,71264970,515320270,0,1300.0,1300.276218976776,1302.0,,-54735.0,1397-08-23
2018-11-17,13,0,10,0,465465,0,465465,0,605100408,0,605100408,0,1299.9912087912087,1299.9912087912087,,,0.0,1397-08-26
2018-11-19,14,0,4,0,137896,0,137896,0,166919395,0,166919395,0,1210.473073910773,1210.473073910773,,,0.0,1397-08-28
2018-11-21,7,0,7,0,114678,0,114678,0,142679160,0,142679160,0,1244.1720295087114,1244.1720295087114,,,0.0,1397-08-30
2018-11-24,29,1,11,0,1129839,10000,1139839,0,1283497104,11360000,1294857104,0,1136.0,1136.0,1136.0,,-10000.0,1397-09-03
2018-11-26,6,0,7,1,61811,0,61006,805,69890736,0,68976256,914480,1130.716797980942,1130.6470838933876,,1136.0,805.0,1397-09-05
2018-11-28,5,0,2,0,47983,0,47983,0,49625317,0,49625317,0,1034.2270595836026,1034.2270595836026,,,0.0,1397-09-07
2018-12-01,19,0,14,0,356823,0,356823,0,394945530,0,394945530,0,1106.8387688013386,1106.8387688013386,,,0.0,1397-09-10
2018-12-03,13,0,7,0,847442,0,847442,0,973488536,0,973488536,0,1148.737655202362,1148.737655202362,,,0.0,1397-09-12
2018-12-05,13,0,10,1,72847,0,63652,9195,88780510,0,77470660,11309850,1218.725685340508,1217.097027587507,,1230.0,9195.0,1397-09-14
2018-12-08,7,0,18,0,428133,0,428133,0,562535168,0,562535168,0,1313.9262051745602,1313.9262051745602,,,0.0,1397-09-17
2018-12-10,15,0,13,0,789481,0,789481,0,1053424273,0,1053424273,0,1334.3250477212243,1334.3250477212243,,,0.0,1397-09-19
2018-12-12,9,0,8,0,171401,0,171401,0,235483759,0,235483759,0,1373.8762259263365,1373.8762259263365,,,0.0,1397-09-21
2018-12-15,10,0,9,0,193822,0,193822,0,233554044,0,233554044,0,1204.9924363591335,1204.9924363591335,,,0.0,1397-09-24
2018-12-17,22,0,14,0,727672,0,727672,0,888035440,0,888035440,0,1220.3787420706033,1220.3787420706033,,,0.0,1397-09-26
2018-12-19,7,0,8,0,217491,0,217491,0,265339020,0,265339020,0,1220.0,1220.0,,,0.0,1397-09-28
2018-12-24,2,0,2,0,34623,0,34623,0,44144325,0,44144325,0,1275.0,1275.0,,,0.0,1397-10-03
2018-12-26,2,0,2,0,21980,0,21980,0,27667500,0,27667500,0,1258.7579617834394,1258.7579617834394,,,0.0,1397-10-05
2018-12-31,6,0,7,0,186042,0,186042,0,227991072,0,227991072,0,1225.481729931951,1225.481729931951,,,0.0,1397-10-10
2019-01-02,3,0,2,0,41416,0,41416,0,51770000,0,51770000,0,1250.0,1250.0,,,0.0,1397-10-12
2019-01-05,2,0,3,0,26560,0,26560,0,32031360,0,32031360,0,1206.0,1206.0,,,0.0,1397-10-15
2019-01-07,19,0,26,0,1234306,0,1234306,0,1481167200,0,1481167200,0,1200.0,1200.0,,,0.0,1397-10-17
2019-01-09,52,0,36,0,2667197,0,2667197,0,3534702825,0,3534702825,0,1325.2500002811942,1325.2500002811942,,,0.0,1397-10-19
2019-01-12,21,0,26,0,475437,0,475437,0,721273716,0,721273716,0,1517.0752718025733,1517.0752718025733,,,0.0,1397-10-22
2019-01-14,37,0,17,0,726210,0,726210,0,1130948500,0,1130948500,0,1557.3298357224494,1557.3298357224494,,,0.0,1397-10-24
2019-01-16,56,1,46,0,2434400,50000,2484400,0,3656100000,75000000,3731100000,0,1501.8485047650345,1501.8113025277733,1500.0,,-50000.0,1397-10-26
2019-01-19,74,0,56,0,3025714,0,3025714,0,5137247560,0,5137247560,0,1697.8629044252034,1697.8629044252034,,,0.0,1397-10-29
2019-01-21,66,0,35,0,2356840,0,2356840,0,4297084279,0,4297084279,0,1823.2397103749088,1823.2397103749088,,,0.0,1397-11-01
2019-01-23,47,0,16,0,776167,0,776167,0,1394500690,0,1394500690,0,1796.650321387021,1796.650321387021,,,0.0,1397-11-03
2019-01-26,78,0,61,0,2441394,0,2441394,0,4330804900,0,4330804900,0,1773.9065877936948,1773.9065877936948,,,0.0,1397-11-06
2019-01-29,21,0,13,0,329411,0,329411,0,581475500,0,581475500,0,1765.1975799229533,1765.1975799229533,,,0.0,1397-11-09
2019-01-30,86,0,55,0,1884740,0,1884740,0,3007412234,0,3007412234,0,1595.664247588527,1595.664247588527,,,0.0,1397-11-10
2019-02-02,47,0,33,0,765698,0,765698,0,1149143764,0,1149143764,0,1500.7793725463564,1500.7793725463564,,,0.0,1397-11-13
2019-02-03,67,0,38,0,2224330,0,2224330,0,3062501935,0,3062501935,0,1376.8199570207655,1376.8199570207655,,,0.0,1397-11-14
2019-02-04,44,1,37,0,893283,30000,923283,0,1282373052,42640000,1325013052,0,1435.5731072907463,1435.1104179325298,1421.3333333333333,,-30000.0,1397-11-15
2019-02-05,54,0,25,0,1029726,0,1029726,0,1438894653,0,1438894653,0,1397.3568240483391,1397.3568240483391,,,0.0,1397-11-16
2019-02-06,45,0,33,0,1411069,0,1411069,0,1922716568,0,1922716568,0,1362.595711478319,1362.595711478319,,,0.0,1397-11-17
2019-02-10,50,0,24,0,915717,0,915717,0,1207296543,0,1207296543,0,1318.4166538351917,1318.4166538351917,,,0.0,1397-11-21
2019-02-12,22,0,28,0,341721,0,341721,0,449212223,0,449212223,0,1314.558435097638,1314.558435097638,,,0.0,1397-11-23
2019-02-13,41,0,22,2,1308990,0,578573,730417,1646105289,0,729307006,916798283,1257.538475465817,1260.5272040001869,,1255.1710639264968,730417.0,1397-11-24
2019-02-16,57,1,17,2,1374205,10000,846842,537363,1715017524,12410000,1052380005,675047519,1248.0070469835289,1242.7111609957938,1241.0,1256.222551608503,527363.0,1397-11-27
2019-02-17,80,1,18,2,1384649,60000,832756,611893,1622571812,70396000,974503748,718464064,1171.8289703744415,1170.215222706291,1173.2666666666669,1174.1661761124903,551893.0,1397-11-28
2019-02-18,23,0,9,0,209699,0,209699,0,248337100,0,248337100,0,1184.2550512877983,1184.2550512877983,,,0.0,1397-11-29
2019-02-19,23,0,18,2,433325,0,228325,205000,506868825,0,268946253,237922572,1169.7197830727514,1177.90979086828,,1160.597912195122,205000.0,1397-11-30
2019-02-20,32,0,13,2,576276,0,279304,296972,669334372,0,325798574,343535798,1161.4822966772865,1166.465836507891,,1156.7952466899235,296972.0,1397-12-01
2019-02-23,53,0,13,2,1036156,0,908825,127331,1179240658,0,1035486530,143754128,1138.0918104995774,1139.3684482711194,,1128.9798085305229,127331.0,1397-12-04
2019-02-24,35,0,13,2,464651,0,120180,344471,529472647,0,138005666,391466981,1139.5060959731068,1148.324729572308,,1136.429426570016,344471.0,1397-12-05
2019-02-25,121,0,56,2,3097892,0,1331103,1766789,3651022018,0,1584011017,2067011001,1178.5504523721293,1189.9988332984,,1169.925215178496,1766789.0,1397-12-06
2019-02-26,108,0,64,2,3238467,0,1715749,1522718,3943261477,0,2106476092,1836785385,1217.6321318080438,1227.7297506803152,,1206.254464057035,1522718.0,1397-12-07
2019-02-27,60,0,62,1,2125744,0,1599192,526552,2612460420,0,1968262446,644197974,1228.96285723963,1230.7855754656102,,1223.4270765280542,526552.0,1397-12-08
2019-03-02,96,0,106,0,2591966,0,2591966,0,3406256707,0,3406256707,0,1314.1594862741256,1314.1594862741256,,,0.0,1397-12-11
2019-03-03,79,0,90,1,2467790,0,2417790,50000,3548784127,0,3476534127,72250000,1438.0413758869272,1437.8974712444008,,1445.0,50000.0,1397-12-12
2019-03-04,132,0,90,0,2623601,0,2623601,0,3589482782,0,3589482782,0,1368.1511716148912,1368.1511716148912,,,0.0,1397-12-13
2019-03-05,62,1,47,0,899696,20000,919696,0,1153339940,25253784,1178593724,0,1281.9218269282069,1281.5035881421686,1262.6892,,-20000.0,1397-12-14
2019-03-06,87,0,74,1,1956010,0,1836010,120000,2656370628,0,2492394533,163976095,1358.055750226226,1357.5059683770785,,1366.4674583333333,120000.0,1397-12-15
2019-03-09,40,0,35,0,1222196,0,1222196,0,1608678031,0,1608678031,0,1316.2193551607106,1316.2193551607106,,,0.0,1397-12-18
2019-03-10,85,0,73,0,1268121,0,1268121,0,1716012426,0,1716012426,0,1353.1929729103138,1353.1929729103138,,,0.0,1397-12-19
2019-03-11,38,0,43,0,1475420,0,1475420,0,1967503706,0,1967503706,0,1333.5211031435117,1333.5211031435117,,,0.0,1397-12-20
2019-03-12,37,0,36,0,964627,0,964627,0,1256221210,0,1256221210,0,1302.2870083462312,1302.2870083462312,,,0.0,1397-12-21
2019-03-13,20,0,41,0,652152,0,652152,0,833661115,0,833661115,0,1278.323327997154,1278.323327997154,,,0.0,1397-12-22
2019-03-16,32,0,26,0,572670,0,572670,0,724327528,0,724327528,0,1264.8253409467932,1264.8253409467932,,,0.0,1397-12-25
2019-03-17,40,0,39,0,707690,0,707690,0,909081684,0,909081684,0,1284.576133617827,1284.576133617827,,,0.0,1397-12-26
2019-03-18,70,1,63,0,1314459,150000,1464459,0,1755286295,199947318,1955233613,0,1335.367854760019,1335.123491337074,1332.98212,,-150000.0,1397-12-27
2019-03-19,58,0,36,1,692705,0,542705,150000,938811967,0,739225787,199586180,1355.2839477122295,1362.1134631153204,,1330.5745333333334,150000.0,1397-12-28
2019-03-25,23,0,22,0,226583,0,226583,0,300569708,0,300569708,0,1326.5324759580374,1326.5324759580374,,,0.0,1398-01-05
2019-03-26,82,0,70,0,1667162,0,1667162,0,2281205824,0,2281205824,0,1368.3168306379343,1368.3168306379343,,,0.0,1398-01-06
2019-03-27,100,0,93,0,1945742,0,1945742,0,2793840939,0,2793840939,0,1435.874303479084,1435.874303479084,,,0.0,1398-01-07
2019-03-30,125,0,93,0,3358821,0,3358821,0,5143932295,0,5143932295,0,1531.4696124026852,1531.4696124026852,,,0.0,1398-01-10
2019-03-31,130,0,101,0,2572034,0,2572034,0,3951922532,0,3951922532,0,1536.4970027612387,1536.4970027612387,,,0.0,1398-01-11
2019-04-06,62,0,48,0,727017,0,727017,0,1115314157,0,1115314157,0,1534.0963925190194,1534.0963925190194,,,0.0,1398-01-17
2019-04-07,86,0,72,0,1819061,0,1819061,0,2740022842,0,2740022842,0,1506.284199375392,1506.284199375392,,,0.0,1398-01-18
2019-04-08,55,0,29,0,400132,0,400132,0,592751618,0,592751618,0,1481.3901862385412,1481.3901862385412,,,0.0,1398-01-19
2019-04-09,48,0,33,0,326416,0,326416,0,482101292,0,482101292,0,1476.953617469732,1476.953617469732,,,0.0,1398-01-20
2019-04-10,126,0,94,0,2374760,0,2374760,0,3665318361,0,3665318361,0,1543.4479109467904,1543.4479109467904,,,0.0,1398-01-21
2019-04-13,116,0,109,0,3233644,0,3233644,0,5225649557,0,5225649557,0,1616.0250036800587,1616.0250036800587,,,0.0,1398-01-24
