date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2010-11-02,11374,394,0,1,24412650,3474500,0,27887150,56204962650,7994824500,0,64199787150,2302.2884713457984,,2301.0,2302.127938853558,24412650.0,1389-08-11
2010-11-03,45,1,7,1,136490,45000,11490,170000,326757060,107730000,27507060,406980000,2394.0,2394.0,2394.0,2394.0,125000.0,1389-08-12
2010-11-06,4,1,7,0,7900,3500,11400,0,19212800,8512000,27724800,0,2432.0,2432.0,2432.0,,-3500.0,1389-08-15
2010-11-07,2,0,3,0,6000,0,6000,0,14604000,0,14604000,0,2434.0,2434.0,,,0.0,1389-08-16
2010-11-08,4,0,14,0,26500,0,26500,0,64527500,0,64527500,0,2435.0,2435.0,,,0.0,1389-08-17
2010-11-09,7,0,4,0,3500,0,3500,0,8540000,0,8540000,0,2440.0,2440.0,,,0.0,1389-08-18
2010-11-10,1,0,4,0,4850,0,4850,0,11838850,0,11838850,0,2441.0,2441.0,,,0.0,1389-08-19
2010-11-13,8,0,13,0,14150,0,14150,0,34554300,0,34554300,0,2442.0,2442.0,,,0.0,1389-08-22
2010-11-14,1,1,5,0,3000,4250,7250,0,7338000,10395500,17733500,0,2446.0,2446.0,2446.0,,-4250.0,1389-08-23
2010-11-15,2,0,7,0,15850,0,15850,0,38800800,0,38800800,0,2448.0,2448.0,,,0.0,1389-08-24
2010-11-16,1,0,7,0,9331,0,9331,0,22870281,0,22870281,0,2451.0,2451.0,,,0.0,1389-08-25
2010-11-20,4,0,6,0,9640,0,9640,0,23646920,0,23646920,0,2453.0,2453.0,,,0.0,1389-08-29
2010-11-21,0,2,4,0,0,6000,6000,0,0,14730000,14730000,0,,2455.0,2455.0,,-6000.0,1389-08-30
2010-11-22,1,0,2,0,1500,0,1500,0,3829500,0,3829500,0,2553.0,2553.0,,,0.0,1389-09-01
2010-11-23,1,0,2,0,1231,0,1231,0,3268305,0,3268305,0,2655.0,2655.0,,,0.0,1389-09-02
2010-11-24,1,1,4,0,3000,6000,9000,0,8283000,16566000,24849000,0,2761.0,2761.0,2761.0,,-6000.0,1389-09-03
2010-11-27,9,0,10,0,23500,0,23500,0,67468500,0,67468500,0,2871.0,2871.0,,,0.0,1389-09-06
2010-11-28,0,1,13,0,0,22490,22490,0,0,67132650,67132650,0,,2985.0,2985.0,,-22490.0,1389-09-07
2010-11-29,1,0,4,0,5500,0,5500,0,16456000,0,16456000,0,2992.0,2992.0,,,0.0,1389-09-08
2010-11-30,5,0,7,0,10600,0,10600,0,32976600,0,32976600,0,3111.0,3111.0,,,0.0,1389-09-09
2010-12-01,3,0,3,1,11500,0,6500,5000,37202500,0,21027500,16175000,3235.0,3235.0,,3235.0,5000.0,1389-09-10
2010-12-04,3,0,3,0,4250,0,4250,0,14297000,0,14297000,0,3364.0,3364.0,,,0.0,1389-09-13
2010-12-05,22,1,8,0,18350,500,18850,0,64188300,1749000,65937300,0,3498.0,3498.0,3498.0,,-500.0,1389-09-14
2010-12-06,2,0,15,0,25640,0,25640,0,93252680,0,93252680,0,3637.0,3637.0,,,0.0,1389-09-15
2010-12-07,1,0,9,0,11950,0,11950,0,43569700,0,43569700,0,3646.0,3646.0,,,0.0,1389-09-16
2010-12-08,6,0,11,0,20020,0,20020,0,75895820,0,75895820,0,3791.0,3791.0,,,0.0,1389-09-17
2010-12-11,1,1,9,0,1400,13000,14400,0,5518800,51246000,56764800,0,3942.0,3942.0,3942.0,,-13000.0,1389-09-20
2010-12-12,2,1,11,0,7300,15000,22300,0,29922700,61485000,91407700,0,4099.0,4099.0,4099.0,,-15000.0,1389-09-21
2010-12-13,19,0,89,0,180001,0,180001,0,767164262,0,767164262,0,4262.0,4262.0,,,0.0,1389-09-22
2010-12-14,22,1,89,3,188975,10000,178975,20000,837537200,44320000,793217200,88640000,4432.0,4432.0,4432.0,4432.0,10000.0,1389-09-23
2010-12-18,256,13,127,4,1841340,414922,248262,2008000,8304443400,1871298220,1119661620,9056080000,4510.0,4510.0,4510.0,4510.0,1593078.0,1389-09-27
2010-12-19,319,30,1532,28,6138951,1993719,4108740,4023930,28791680190,9350542110,19269990600,18872231700,4690.0,4690.0,4690.0,4690.0,2030211.0,1389-09-28
