date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-06-24,2545175,2128,0,1,559517925,480479,0,559998404,2294023492500,1969963900,0,2295993456400,4100.0,,4100.0,4100.0,559517925.0,1399-04-04
2020-06-27,4,0,1637,1,329139,0,328911,228,1416943395,0,1415961855,981540,4305.0,4305.0,,4305.0,228.0,1399-04-07
2020-06-28,6,0,2134,9,443736,0,441727,2009,1912945896,0,1904285097,8660799,4311.0,4311.0,,4311.0,2009.0,1399-04-08
2020-06-29,69,0,3253,6,3551227,0,679392,2871835,15334198186,0,2933614656,12400583530,4318.0,4318.0,,4318.0,2871835.0,1399-04-09
2020-06-30,20,0,5571,9,1157617,0,1155580,2037,5071520077,0,5062595980,8924097,4381.0,4381.0,,4381.0,2037.0,1399-04-10
2020-07-01,19,0,2588,3,1543290,0,542834,1000456,6793562580,0,2389555268,4404007312,4402.0,4402.0,,4402.0,1000456.0,1399-04-11
2020-07-04,51,1,4165,3,2801303,100000,900847,2000456,12406970987,442900000,3989851363,8860019624,4429.0,4429.0,4429.0,4429.0,1900456.0,1399-04-14
2020-07-05,65,1,4880,4,3934497,100000,1033813,3000684,17638350051,448300000,4634583679,13452066372,4483.0,4483.0,4483.0,4483.0,2900684.0,1399-04-15
2020-07-06,17,0,5874,4,1262551,0,1261638,913,5757232560,0,5753069280,4163280,4560.0,4560.0,,4560.0,913.0,1399-04-16
2020-07-07,73,0,5035,9,5064350,0,1062526,4001824,23214980400,0,4870619184,18344361216,4584.0,4584.0,,4584.0,4001824.0,1399-04-17
2020-07-08,85,2,3759,9,5412376,200000,904975,4707401,25335332056,936200000,4236187975,22035344081,4681.0,4681.0,4681.0,4681.0,4507401.0,1399-04-18
2020-07-11,87,0,4890,4,6041060,0,1040501,5000559,28948759520,0,4986080792,23962678728,4792.0,4792.0,,4792.0,5000559.0,1399-04-21
2020-07-12,68,1,4534,13,5875979,100000,963766,5012213,28933320596,492400000,4745583784,24680136812,4924.0,4924.0,4924.0,4924.0,4912213.0,1399-04-22
2020-07-13,91,0,5153,11,6087415,0,1085224,5002191,30790145070,0,5489062992,25301082078,5058.0,5058.0,,5058.0,5002191.0,1399-04-23
2020-07-14,96,0,5161,9,6265473,0,1053031,5212442,32567928654,0,5473655138,27094273516,5198.0,5198.0,,5198.0,5212442.0,1399-04-24
2020-07-15,79,0,1523,10,5331211,0,329157,5002054,28500654006,0,1759673322,26740980684,5346.0,5346.0,,5346.0,5002054.0,1399-04-25
2020-07-18,90,1,6621,11,6328220,100000,1425937,5002283,34653332720,547600000,7808431012,27392501708,5476.0,5476.0,5476.0,5476.0,4902283.0,1399-04-28
2020-07-19,56,0,5321,5,6143891,0,1143046,5000845,34768279169,0,6468497314,28299781855,5659.0,5659.0,,5659.0,5000845.0,1399-04-29
