date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-03-14,556,9,0,1,3120082,48285670,0,51405752,31200820000,482856700000,0,514057520000,10000.0,,10000.0,10000.0,3120082.0,1398-12-24
2020-03-15,381,7,0,1,1326957,8799300,0,10126257,13269570000,87993000000,0,101262570000,10000.0,,10000.0,10000.0,1326957.0,1398-12-25
2020-03-16,401,4,0,1,1179970,38569086,0,39749056,11799700000,385690860000,0,397490560000,10000.0,,10000.0,10000.0,1179970.0,1398-12-26
2020-04-21,92,2,97,2,662215,344708,862047,144876,6787228672,3522412313,8823365705,1486275280,10249.282592511496,10235.36501490058,10218.539497197627,10258.947513735884,-199832.0,1399-02-02
2020-04-22,86,2,113,1,368772,20108547,427759,20049560,3775862514,206250163806,4377045120,205648981200,10239.01628648596,10232.502694274111,10256.8407257869,10257.03213437103,-58987.0,1399-02-03
2020-04-25,96,1,145,0,345324,247082,592406,0,3540628521,2533832255,6074460776,0,10253.062402265698,10253.881250358709,10255.025679733852,,-247082.0,1399-02-06
2020-04-26,70,2,117,1,639474,20205823,350368,20494929,6585193389,208197498328,3605315601,211177376116,10297.828197862618,10290.082430473103,10303.836588492337,10303.884249416038,289106.0,1399-02-07
2020-04-27,92,5,74,1,5002980,40043378,321358,44725000,51656243161,413366766631,3317945884,461705063908,10325.09487565411,10324.765165329633,10322.974416169383,10323.19874584684,4681622.0,1399-02-08
2020-04-28,125,17,75,2,5627884,35065682,336371,40357195,58196198245,362511812102,3494482396,417213527951,10340.689012957622,10388.774287914235,10338.07961020122,10338.020963820702,5291513.0,1399-02-09
2020-04-29,176,27,94,4,1948622,53875188,5323210,50500600,20207529051,557750101144,55117396745,522840233450,10370.16365975546,10354.165389868143,10352.633964711176,10353.14894179475,-3374588.0,1399-02-10
2020-05-02,411,9,146,1,8831458,66784140,5512483,70103115,91709594270,692871323128,57250963851,727329953547,10384.422851809974,10385.69440504397,10374.78843222358,10375.144578768004,3318975.0,1399-02-13
2020-05-03,286,6,226,5,2428406,31750000,2437053,31741353,25205182076,329803819933,25285480357,329723521652,10379.311398505852,10375.43309767986,10387.521887653544,10387.82189442271,-8647.0,1399-02-14
2020-05-04,68,5,151,2,23847983,37833385,1208828,60472540,247227382216,392132988557,12555068062,626805302711,10366.804698577653,10386.149280129182,10364.734441737106,10365.122793105764,22639155.0,1399-02-15
2020-05-05,55,10,165,2,14600737,46989510,1701312,59888935,151831669296,488595240798,17699038356,622727871738,10398.904472835857,10403.170233325807,10397.964158340872,10398.045511044736,12899425.0,1399-02-16
2020-05-06,63,13,114,3,4077861,1606694,2359163,3325392,42452488477,16714468817,24573938356,34593018938,10410.47953252943,10416.380028001457,10403.019378301033,10402.68904778745,1718698.0,1399-02-17
2020-05-09,57,2,103,0,682283,647523,1329806,0,7101696450,6727445240,13829141690,0,10408.725484879442,10399.367795001675,10389.507770380356,,-647523.0,1399-02-20
2020-05-10,75,32,141,1,1292251,787465,2029716,50000,13463274389,8209964646,21148239035,525000000,10418.46699209364,10419.309418164908,10425.815300997505,10500.0,-737465.0,1399-02-21
2020-05-11,54,0,75,1,398036,0,298036,100000,4211459709,0,3152609709,1058850000,10580.600018591284,10577.949338334964,,10588.5,100000.0,1399-02-22
2020-05-12,69,1,64,2,2249978,50000,2245718,54260,23827038333,525000000,23776360533,575677800,10589.898360339525,10587.420385373409,10500.0,10609.616660523408,4260.0,1399-02-23
2020-05-13,40,1,53,1,678783,626526,805309,500000,7096855456,6547595680,8416353046,5228098090,10455.26398863849,10451.085292726146,10450.636813156996,10456.19618,-126526.0,1399-02-24
2020-05-16,45,7,60,0,1939555,1604331,3543886,0,20407498723,16891093545,37298592268,0,10521.742731193495,10524.772034992096,10528.434310002112,,-1604331.0,1399-02-27
2020-05-17,59,7,51,0,1007098,2377138,3384236,0,10631013105,25044890755,35675903860,0,10556.08600652568,10541.789597415784,10535.73278244679,,-2377138.0,1399-02-28
2020-05-18,55,3,53,1,1352348,210000,1544348,18000,14270278307,2223205798,16303368105,190116000,10552.223471325427,10556.796852134365,10586.694276190476,10562.0,-192000.0,1399-02-29
2020-05-19,45,15,81,12,8110967,3861625,2019358,9953234,85793930208,40923376640,21366323864,105350982984,10577.521793394057,10580.750844575356,10597.449685041918,10584.598230484684,6091609.0,1399-02-30
2020-05-20,31,1,64,2,1158995,2000000,991659,2167336,12276514514,21168000000,10497386114,22947128400,10592.37918541495,10585.681281569572,10584.0,10587.711550031929,167336.0,1399-02-31
2020-05-23,31,3,38,5,584963,3078490,669850,2993603,6195499550,32595092049,7096413847,31694177752,10591.267396399431,10594.034256923193,10588.012970319864,10587.301573388322,-84887.0,1399-03-03
2020-05-26,55,1,67,5,808881,1509,628166,182224,8611350435,15969747,6690265861,1937054321,10646.0040908366,10650.474334809587,10583.0,10630.072443805426,180715.0,1399-03-06
