date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2010-11-14,18932,527,0,4,47156254,6983746,0,54140000,155820765970,23075634030,0,178896400000,3304.349958968327,,3304.191479758857,3304.3295160694497,47156254.0,1389-08-23
2010-11-15,124,6,11,3,477920,91000,18920,550000,1642133120,312676000,65009120,1889800000,3436.0,3436.0,3436.0,3436.0,459000.0,1389-08-24
2010-11-16,46,2,13,3,295000,36750,21750,310000,1054035000,131307750,77712750,1107630000,3573.0,3573.0,3573.0,3573.0,273250.0,1389-08-25
2010-11-20,12,0,17,1,40450,0,39450,1000,148006550,0,144347550,3659000,3659.0,3659.0,,3659.0,1000.0,1389-08-29
2010-11-21,3,1,16,0,10050,20000,30050,0,36883500,73400000,110283500,0,3670.0,3670.0,3670.0,,-20000.0,1389-08-30
2010-11-22,15,0,23,0,87100,0,87100,0,320353800,0,320353800,0,3678.0,3678.0,,,0.0,1389-09-01
2010-11-23,4,1,10,0,12410,2000,14410,0,45929410,7402000,53331410,0,3701.0,3701.0,3701.0,,-2000.0,1389-09-02
2010-11-24,8,0,14,1,44354,0,32354,12000,164331570,0,119871570,44460000,3705.0,3705.0,,3705.0,12000.0,1389-09-03
2010-11-27,7,2,23,0,28200,30000,58200,0,104791200,111480000,216271200,0,3716.0,3716.0,3716.0,,-30000.0,1389-09-06
2010-11-28,30,1,34,0,93255,2000,95255,0,348027660,7464000,355491660,0,3732.0,3732.0,3732.0,,-2000.0,1389-09-07
2010-11-29,2,0,18,0,49200,0,49200,0,184893600,0,184893600,0,3758.0,3758.0,,,0.0,1389-09-08
2010-11-30,33,2,55,2,282320,268680,132000,419000,1064911040,1013460960,497904000,1580468000,3772.0,3772.0,3772.0,3772.0,150320.0,1389-09-09
2010-12-01,456,22,1035,34,4073863,867227,3900290,1040800,15977690686,3401264294,15296937380,4082017600,3922.0,3922.0,3922.0,3922.0,173573.0,1389-09-10
2010-12-04,1072,29,5851,124,24458628,3245616,23469708,4234536,99739257754,13235620298,95706648244,17268229808,4077.876230588241,4077.879803361848,4077.9994608111374,4077.9508800964254,988920.0,1389-09-13
2010-12-05,577,16,2471,33,9523377,2682000,11427577,777800,38142495224,10670155470,45712926866,3099723828,4005.143892129861,4000.229170715717,3978.4323154362414,3985.245343275906,-1904200.0,1389-09-14
2010-12-06,207,15,407,3,1699138,1032322,2692460,39000,6561602827,3987469205,10397392032,151680000,3861.724490300376,3861.6700088395,3862.621551221421,3889.230769230769,-993322.0,1389-09-15
