date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-02-08,1,0,1,0,50,0,50,0,17500,0,17500,0,350.0,350.0,,,0.0,1392-11-19
2014-05-05,1,0,1,0,100,0,100,0,30000,0,30000,0,300.0,300.0,,,0.0,1393-02-15
2014-05-10,1,0,1,0,80,0,80,0,24000,0,24000,0,300.0,300.0,,,0.0,1393-02-20
2014-09-08,1,0,1,0,2623,0,2623,0,2623000,0,2623000,0,1000.0,1000.0,,,0.0,1393-06-17
2015-01-12,1,0,1,0,20,0,20,0,18000,0,18000,0,900.0,900.0,,,0.0,1393-10-22
2015-05-13,1,0,1,0,2612,0,2612,0,2350800,0,2350800,0,900.0,900.0,,,0.0,1394-02-23
2015-06-20,2,0,0,1,609,0,0,609,548100,0,0,548100,900.0,,,900.0,609.0,1394-03-30
2016-01-10,1,0,1,0,594,0,594,0,564300,0,564300,0,950.0,950.0,,,0.0,1394-10-20
2016-03-01,1,0,1,0,2685,0,2685,0,2685000,0,2685000,0,1000.0,1000.0,,,0.0,1394-12-11
2016-03-15,1,0,0,1,43526,0,0,43526,43526000,0,0,43526000,1000.0,,,1000.0,43526.0,1394-12-25
2016-08-24,1,0,1,0,4283,0,4283,0,4283000,0,4283000,0,1000.0,1000.0,,,0.0,1395-06-03
2016-12-21,1,0,1,0,594,0,594,0,594000,0,594000,0,1000.0,1000.0,,,0.0,1395-10-01
2017-02-11,1,0,1,0,4333,0,4333,0,4333000,0,4333000,0,1000.0,1000.0,,,0.0,1395-11-23
2017-03-28,1,0,0,1,1000,0,0,1000,1100000,0,0,1100000,1100.0,,,1100.0,1000.0,1396-01-08
